ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of receptor activity	132/2037	433/14555	2.27874025036544e-19	1.22938036507216e-15	1.09475478975451e-15	CXCL14/FAM3D/NTF4/GPHA2/BMP3/TNFSF18/CCL11/EPO/CCL20/TNFSF15/CXCL9/PNOC/IFNG/PLN/LEFTY2/CCL21/CCL13/RETN/CFTR/OXT/EDN3/SFRP2/C10orf99/ANGPTL3/PF4/F2/GREM2/PCSK9/IL17B/OSM/LTA/CLEC11A/WNT3A/GHRL/POMC/CCL26/SERPINE1/NRG4/WNT9A/GDF15/TNFSF14/IL34/ADM/KL/PSPN/NENF/NEURL1/EFEMP1/RELN/CALCB/FGF18/CCL14/IL1RN/AKAP6/CCL3L1/CCL23/FAM3B/PGF/GREM1/AGRP/IGF2/QRFP/LTB/TIMP1/XCL1/LHB/CASQ2/INHA/IL11/CDC42EP2/SCT/CCL5/GDF7/XCL2/CXCL13/BMP8B/CORT/NCOA2/KCNK3/PTHLH/IL12A/CXCL2/AGER/PYY2/IL6/INSL3/CCL8/SST/CCL4/MIA/GMFG/FGF17/CRLF1/MIF/CXCL3/GSTM2/FGF1/CLEC12B/NPFF/INSL5/CCL19/STC1/DAND5/CCL17/IL1A/ARC/NGF/CNTF/FOXH1/WNT10A/JPH3/ARTN/GSTO1/CCL2/HAMP/NPPA/CNIH2/CCL4L1/CMTM2/GDF3/UCN2/UCN/PSCA/PHLDA2/ACTN2/LYPD6B/GPRC5A/CCL3/C1QTNF4/DKK1/VIP/IL27	132
GO:0006959	humoral immune response	61/2037	164/14555	8.54182236045499e-14	2.30415658173273e-10	2.05183564490087e-10	FOXJ1/FCN2/PRTN3/PI3/SLPI/CAMP/CFHR1/IFNG/VTN/LTF/C6/CCL13/PF4/BPI/CHGA/C4BPB/FGA/CPN2/F2/HRG/LTA/S100A9/CFD/DEFB1/GNLY/RPS19/RGCC/LY86/HPX/RARRES2/PSMB10/TREM1/SUSD4/CR2/MASP2/RNASE3/C1QB/CD19/ROMO1/PRSS3/RPL39/CFP/CXCL13/FCER2/TFEB/MS4A1/IL6/SH2D1A/ATOX1/GATA3/FCN3/ITLN1/BST2/C1QA/LCN2/TREM2/PDCD1/CCL2/SLC11A1/S100A8/S100A12	61
GO:0050900	leukocyte migration	106/2037	386/14555	1.68417321895524e-12	3.02870483875451e-09	2.69704090221464e-09	CXCL14/FOXJ1/MMP9/PRTN3/TNFSF18/CCL11/CCL20/CXCL9/CXCL17/IFNG/ROR2/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/F2/GPR15/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/CD300A/LGALS9/COL1A2/RARRES2/TNFSF14/FN1/TREM1/LCK/CD244/GPR18/FER/RET/MMP1/CCL14/ZAP70/CCL3L1/IL6R/SLC7A8/CCL23/CD48/PGF/GPSM3/PIK3CA/GREM1/SELL/CORO1A/PECAM1/RIPK3/ATP1B2/KLRK1/XCL1/DAPK2/CCL5/XCL2/PLVAP/CXCL13/L1CAM/CD74/LBP/SLC7A5/IL12A/CXCL2/CD2/IL6/CCL8/THY1/CCL4/VPREB3/EDNRB/HRAS/GATA3/MIF/COL1A1/CXCL3/FCER1G/ITGA2B/ADAM10/PYCARD/CXCR3/FUT7/CCL19/CCL17/IL1A/CD177/TNFRSF18/SIRPG/ARTN/PLG/BDKRB1/CCL2/CXCR5/CCL4L1/SLIT2/S100A8/TRPM2/CCL3/EPS8/GRB14/S100A12/CXADR/TNFRSF10A	106
GO:0030595	leukocyte chemotaxis	62/2037	192/14555	6.33125873159684e-11	8.53928521424124e-08	7.60417496079157e-08	CXCL14/TNFSF18/CCL11/CCL20/CXCL9/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/LGALS9/RARRES2/TNFSF14/TREM1/GPR18/CCL14/CCL3L1/IL6R/CCL23/PGF/GPSM3/GREM1/CORO1A/KLRK1/XCL1/DAPK2/CCL5/XCL2/CXCL13/CD74/LBP/IL12A/CXCL2/IL6/CCL8/CCL4/EDNRB/MIF/CXCL3/FCER1G/ADAM10/CXCR3/CCL19/CCL17/CCL2/CXCR5/CCL4L1/SLIT2/S100A8/TRPM2/CCL3/S100A12/CXADR	62
GO:0002548	monocyte chemotaxis	28/2037	55/14555	8.37225318815811e-11	9.0336611900226e-08	8.04441337910602e-08	TNFSF18/CCL11/CCL20/CXCL17/CCL21/CCL13/RPS19/AIF1/CCL26/SERPINE1/CCL14/CCL3L1/IL6R/CCL23/GREM1/XCL1/CCL5/XCL2/IL6/CCL8/CCL4/CCL19/CCL17/CCL2/CCL4L1/SLIT2/CCL3/S100A12	28
GO:0048247	lymphocyte chemotaxis	27/2037	52/14555	1.0093245329922e-10	9.07550975915482e-08	8.08167924311645e-08	CXCL14/CCL11/CCL20/CXCL9/CCL21/CCL13/SAA1/PIK3CG/CCL26/TNFSF14/CCL14/CCL3L1/CCL23/KLRK1/XCL1/CCL5/XCL2/CXCL13/CCL8/CCL4/ADAM10/CXCR3/CCL19/CCL17/CCL2/CCL4L1/CCL3	27
GO:1990266	neutrophil migration	39/2037	97/14555	1.71402231814412e-10	1.32102148662679e-07	1.1763605804526e-07	PRTN3/CCL11/CCL20/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/TREM1/CCL14/CCL3L1/CCL23/PECAM1/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/IL1A/CD177/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	39
GO:0072676	lymphocyte migration	35/2037	85/14555	6.79923480221447e-10	4.58523396974338e-07	4.08311942596143e-07	CXCL14/CCL11/CCL20/CXCL9/CCL21/CCL13/SAA1/GPR15/PIK3CG/AIF1/CCL26/TNFSF14/RET/CCL14/ZAP70/CCL3L1/CCL23/RIPK3/KLRK1/XCL1/CCL5/XCL2/CXCL13/CCL8/CCL4/GATA3/ADAM10/PYCARD/CXCR3/CCL19/CCL17/ARTN/CCL2/CCL4L1/CCL3	35
GO:0097530	granulocyte migration	43/2037	118/14555	8.20065968961122e-10	4.87255486382137e-07	4.33897671303463e-07	PRTN3/TNFSF18/CCL11/CCL20/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/CD300A/RARRES2/TREM1/CCL14/CCL3L1/CCL23/PECAM1/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/IL1A/CD177/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	43
GO:0060326	cell chemotaxis	71/2037	247/14555	9.66326066782842e-10	4.87255486382137e-07	4.33897671303463e-07	CXCL14/TNFSF18/CCL11/PLXNB3/CCL20/CXCL9/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/SAA2/HRG/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/LGALS9/RARRES2/TNFSF14/TREM1/GPR18/FGF18/CCL14/CCL3L1/IL6R/CCL23/PGF/GPSM3/PIK3CA/GREM1/CORO1A/KLRK1/XCL1/DAPK2/CCL5/XCL2/CXCL13/CD74/LBP/IL12A/CXCL2/IL6/CCL8/HOXB9/CCL4/EDNRB/MIF/CXCL3/FCER1G/FGF1/SEMA5A/ADAM10/CXCR3/CCL19/CCL17/SAA4/CCL2/CXCR5/CCL4L1/SLIT2/S100A8/TRPM2/CCL3/S100A12/CXADR	71
GO:0030593	neutrophil chemotaxis	35/2037	86/14555	9.93477358703153e-10	4.87255486382137e-07	4.33897671303463e-07	CCL11/CCL20/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/TREM1/CCL14/CCL3L1/CCL23/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	35
GO:0097529	myeloid leukocyte migration	54/2037	168/14555	1.29552342994114e-09	5.82445742044369e-07	5.18663941600995e-07	PRTN3/TNFSF18/CCL11/CCL20/CXCL17/IFNG/ROR2/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/CD300A/RARRES2/TREM1/CCL14/CCL3L1/IL6R/CCL23/PGF/GREM1/PECAM1/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/IL6/CCL8/CCL4/EDNRB/MIF/CXCL3/FCER1G/CCL19/CCL17/IL1A/CD177/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	54
GO:0002526	acute inflammatory response	45/2037	131/14555	2.95863819424954e-09	1.22783485061356e-06	1.09337851972104e-06	PTGER3/EPO/CFHR1/VTN/C6/SAA1/C4BPB/SAA2/CPN2/F2/AHSG/OSM/DEFB1/PIK3CG/FN1/SUSD4/CR2/IL1RN/HP/IL6R/C1QB/CD19/SERPINA3/CFP/TAC1/LBP/IL6ST/IL20RB/F12/IL6/CD6/EDNRB/GATA3/FCER1G/NPFF/TFR2/C1QA/IL1A/NUPR1/SAA4/CRP/HAMP/S100A8/ITIH4/CEBPB	45
GO:0072507	divalent inorganic cation homeostasis	99/2037	399/14555	4.02130799442158e-09	1.54963975927889e-06	1.37994358545414e-06	ATP13A4/TRPM8/FAM155A/CCL11/EPO/CEMIP/CXCL9/PLN/CCL21/CCL13/OXT/SAA1/KISS1/EDN3/UTS2R/SLC30A8/DRD1/F2/SLC30A4/S100A9/GHRL/FAM20A/GTF2I/PIK3CG/TNNI3/GNA15/MCHR1/ANK3/ADM/KL/FZD9/LCK/ADRA1A/GPR18/CACNA2D1/CALCB/DRD5/CCL14/TBXA2R/CD52/AKAP6/CCL23/KNG1/CACNA1A/KEL/CD19/CORO1A/GPR4/XCL1/F2RL3/CASQ2/SLC24A5/CCL5/TAC1/CXCL13/LPAR2/TMC8/SLC30A1/TRPC3/ESR1/KCNK3/TMEM178A/PVALB/P2RY4/TRPV6/CCL8/THY1/APLNR/EDNRB/PDPK1/APOE/RAMP3/GSTM2/NPFF/ATP7B/CXCR3/CCL19/DRD4/AVPR1B/STC1/BDKRB2/JPH3/CHRNA10/DDIT3/EGFR/GSTO1/BDKRB1/CCL2/SLC11A1/P2RX7/S100A8/TRPC5/FATE1/TRPM2/CCL3/TRPC6/S1PR4/PKHD1/KCTD17	99
GO:0006953	acute-phase response	21/2037	39/14555	5.17941379224043e-09	1.86286249394247e-06	1.65886628405511e-06	PTGER3/EPO/SAA1/SAA2/F2/AHSG/FN1/IL1RN/HP/IL6R/SERPINA3/LBP/IL6/EDNRB/TFR2/IL1A/SAA4/CRP/HAMP/ITIH4/CEBPB	21
GO:0071621	granulocyte chemotaxis	38/2037	104/14555	7.14981166633322e-09	2.41082712124173e-06	2.14682502928584e-06	TNFSF18/CCL11/CCL20/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/RARRES2/TREM1/CCL14/CCL3L1/CCL23/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	38
GO:0071674	mononuclear cell migration	30/2037	72/14555	8.00337046881407e-09	2.53989315760305e-06	2.26175745013421e-06	TNFSF18/CCL11/CCL20/CXCL17/CCL21/CCL13/RPS19/AIF1/CCL26/SERPINE1/RARRES2/CCL14/CCL3L1/IL6R/CCL23/GREM1/XCL1/CCL5/XCL2/IL6/CCL8/CCL4/CCL19/CCL17/PLG/CCL2/CCL4L1/SLIT2/CCL3/S100A12	30
GO:0034765	regulation of ion transmembrane transport	94/2037	378/14555	8.83323623439608e-09	2.64751719358705e-06	2.35759591659554e-06	S100A1/MMP9/CLCNKB/KCNA6/TMC1/EPO/CEMIP/SCN7A/CXCL9/KCNH6/PLN/ASIC2/KCNK12/KCNB2/CFTR/KCNJ13/EDN3/KCNA2/DRD1/F2/DPP10/KCNG1/PCSK9/HCN1/PIK3CG/KCNH7/FXYD2/ANK3/CACNA1I/COX17/CACNA2D1/NOX1/RELN/TCAF1/FXYD5/AKAP6/CACNA1A/ABCB1/RRAD/KEL/CD19/CORO1A/KCNC4/ATP1B2/XCL1/F2RL3/CASQ2/CLCNKA/HTR3A/SLC30A1/CACNB1/KCNE5/STAC/KCNE4/THY1/CRACR2A/APLNR/PDPK1/RAMP3/GSTM2/FXYD1/KCNMB1/DRD4/KCNQ1/REM1/KCND3/KCNIP1/FXYD3/KCNK10/ARC/GPR89B/KCNV1/CATSPER1/AKAP9/CLCN3/JPH3/KCNB1/SCN9A/GSTO1/BDKRB1/HAMP/NPPA/CNIH2/P2RX7/CLCN1/FXYD7/CACNA1F/ACTN2/KCNJ10/HCN4/TRPC6/DPP6/KCNJ1/CLIC4	94
GO:0034762	regulation of transmembrane transport	96/2037	392/14555	1.40122248386648e-08	3.97873436866297e-06	3.54303568773773e-06	S100A1/MMP9/CLCNKB/KCNA6/TMC1/EPO/CEMIP/SCN7A/CXCL9/KCNH6/PLN/PM20D1/ASIC2/KCNK12/KCNB2/CFTR/KCNJ13/EDN3/KCNA2/DRD1/F2/DPP10/KCNG1/PCSK9/HCN1/PIK3CG/KCNH7/TWIST1/FXYD2/ANK3/CACNA1I/COX17/CACNA2D1/NOX1/RELN/TCAF1/FXYD5/AKAP6/CACNA1A/ABCB1/RRAD/KEL/CD19/CORO1A/KCNC4/ATP1B2/XCL1/F2RL3/CASQ2/CLCNKA/HTR3A/SLC30A1/CACNB1/KCNE5/STAC/KCNE4/THY1/CRACR2A/APLNR/PDPK1/RAMP3/GSTM2/FXYD1/KCNMB1/DRD4/KCNQ1/REM1/KCND3/KCNIP1/FXYD3/KCNK10/ARC/GPR89B/KCNV1/CATSPER1/AKAP9/CLCN3/JPH3/KCNB1/SCN9A/GSTO1/BDKRB1/HAMP/NPPA/CNIH2/P2RX7/CLCN1/FXYD7/CACNA1F/ACTN2/KCNJ10/HCN4/TRPC6/DPP6/KCNJ1/CLIC4	96
