ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	112/2181	490/15302	1.40641978642862e-07	4.29071269257552e-05	3.99223158792485e-05	ASPN/COL6A3/WNT16/COL3A1/MMP9/LAD1/PRTN3/COL4A6/ADAMTS4/PI3/MFAP2/IL1RL1/SLPI/HAPLN1/APOA1/SPON1/LINGO2/MMP17/VTN/LEFTY2/POSTN/LRFN5/ACAN/SFRP2/MMP12/AHSG/S100A9/WNT3A/RPS19/CLEC3B/ANGPTL4/SERPINE1/PRG4/WNT9A/COL1A2/RARRES2/FN1/COL19A1/MMP2/CLEC14A/EFEMP1/RELN/TIMP4/COL6A2/LRRC70/MMP1/COL5A1/ADAMTS6/TFF3/FREM2/ADAM11/KNG1/IMPG1/RPL23/COMP/CHI3L1/EGFL7/IBSP/NTN1/CD248/TIMP1/GPC6/CFP/EGFL6/L1CAM/WISP2/PCSK6/PODNL1/RPS10/CSTA/CHL1/EMID1/MMP19/RPL27/COL11A2/COL5A3/MMP23B/DGCR6/PCOLCE/GPC5/ADAMTS15/CPXM2/APOE/COL1A1/FGF1/LGALS1/HAPLN3/DPT/HIST1H4J/LRFN1/COL22A1/FBN2/RPS17/RPL12/EMILIN3/RPL9/WNT10A/VWA1/EDIL3/MGP/NPPA/COL8A1/WNT6/A1BG/COL7A1/CILP2/FLRT1/CTHRC1/MFGE8/PRSS36/LINGO1/RPS20	112
GO:0009897	external side of plasma membrane	59/2181	211/15302	1.42312195441974e-07	4.29071269257552e-05	3.99223158792485e-05	GFRA3/TRPM8/GRIA2/TMC1/IL1RL1/CXCL9/IFNG/CD79A/ASTN1/FGA/FGG/F2/PCSK9/TNFRSF13B/LY6G5C/AMOT/CTLA4/CD79B/CD3E/GPIHBP1/CD244/CLEC14A/LAG3/SELL/CD19/KLRK1/SCNN1G/CD74/FCER2/IL6ST/CD27/MS4A1/CD14/CD2/GP1BA/IL6/THY1/FCER1G/CLEC12B/ITGA2B/CXCR3/IL7R/CA4/TFR2/ICOS/CLCN3/TNFRSF18/PDCD1/PLG/CXCR5/P2RX7/CD8B/CUBN/IL2RG/LRP2/IL12RB2/SERPINA5/PKHD1/MFGE8	59
GO:0072562	blood microparticle	35/2181	103/15302	3.5119402835801e-07	7.05899996999599e-05	6.56794446016909e-05	FCN2/APOA1/CFHR1/VTN/ACTC1/CD5L/FGA/CPN2/FGG/F2/HRG/HPR/AHSG/AFM/TMPRSS13/ANGPTL4/HPX/FN1/HP/KNG1/ACTG2/C1QB/SERPINA3/HSPA6/HBE1/FCN3/APOE/CP/ITGA2B/GC/SLC2A1/PLG/HSPA7/A1BG/ITIH4	35
GO:0022626	cytosolic ribosome	34/2181	107/15302	2.9237468056596e-06	0.000440754830953185	0.000410093959846465	RPS28/RPS4Y1/RPS19/RPS9/RPS24/RPL37A/NAA10/RPL28/RPL35/RPL23/RPL36/RPL39/RPL22L1/RPL34/RPS10/RPL27/RPS21/RPL24/RPLP1/RPL37/RPS27A/RPL13AP3/RPL18/RPL38/RPL32/RPS17/RPL12/RPLP2/RPL21/RPL13/RPL9/RPL27A/RPS20/RPS15	34
GO:0005578	proteinaceous extracellular matrix	76/2181	321/15302	3.66371937654793e-06	0.00044184455681168	0.000411107879515799	ASPN/COL6A3/WNT16/COL3A1/MMP9/LAD1/COL4A6/ADAMTS4/PI3/MFAP2/IL1RL1/HAPLN1/SPON1/LINGO2/MMP17/VTN/POSTN/LRFN5/ACAN/MMP12/WNT3A/ANGPTL4/WNT9A/COL1A2/FN1/COL19A1/MMP2/EFEMP1/RELN/TIMP4/COL6A2/LRRC70/MMP1/COL5A1/ADAMTS6/TFF3/FREM2/IMPG1/COMP/CHI3L1/NTN1/CD248/TIMP1/GPC6/EGFL6/WISP2/PODNL1/CHL1/EMID1/MMP19/COL11A2/COL5A3/MMP23B/DGCR6/GPC5/ADAMTS15/COL1A1/FGF1/LGALS1/HAPLN3/DPT/LRFN1/COL22A1/FBN2/EMILIN3/WNT10A/VWA1/MGP/COL8A1/WNT6/COL7A1/CILP2/FLRT1/CTHRC1/PRSS36/LINGO1	76
GO:0022625	cytosolic large ribosomal subunit	22/2181	58/15302	6.88765062662644e-06	0.000692208887975957	0.000644055751577525	RPL37A/RPL28/RPL35/RPL23/RPL36/RPL39/RPL22L1/RPL34/RPL27/RPL24/RPLP1/RPL37/RPL13AP3/RPL18/RPL38/RPL32/RPL12/RPLP2/RPL21/RPL13/RPL9/RPL27A	22
GO:1902495	transmembrane transporter complex	62/2181	265/15302	4.0784107151058e-05	0.00351325951601256	0.00326886152052841	GABRP/CLCNKB/KCNA6/GABRB2/GRIA2/SCN7A/GRIA4/KCNN1/PKD2L1/PLN/KCNB2/CFTR/KCNA2/GRIK5/DPP10/KCNG1/HCN1/FXYD2/CACNA1I/CACNA2D1/AKAP6/GABRE/ATP1A3/CACNA1A/GABRR2/KCNC4/CATSPERZ/ATP1B2/CASQ2/SCNN1G/CLCNKA/HTR3A/CACNB1/UQCRQ/KCNE5/FXYD1/UQCC3/KCNMB1/CATSPERG/KCNQ1/CHRNB4/KCND3/KCNIP1/ANO2/KCNV1/CATSPER1/CPT1C/AKAP9/KCNB1/CHRNA10/SCN9A/CNIH2/CLCN1/TRPC5/CACNA1F/GABRD/HCN4/EPS8/KCNN4/DPP6/KCNJ1/CLIC4	62
GO:1990351	transporter complex	63/2181	272/15302	4.89110072858801e-05	0.00368666717417321	0.00343020616886501	GABRP/CLCNKB/KCNA6/GABRB2/GRIA2/SCN7A/GRIA4/KCNN1/PKD2L1/PLN/KCNB2/CFTR/KCNA2/GRIK5/DPP10/KCNG1/HCN1/FXYD2/CACNA1I/CACNA2D1/AKAP6/GABRE/ATP1A3/CACNA1A/GABRR2/TIMM10/KCNC4/CATSPERZ/ATP1B2/CASQ2/SCNN1G/CLCNKA/HTR3A/CACNB1/UQCRQ/KCNE5/FXYD1/UQCC3/KCNMB1/CATSPERG/KCNQ1/CHRNB4/KCND3/KCNIP1/ANO2/KCNV1/CATSPER1/CPT1C/AKAP9/KCNB1/CHRNA10/SCN9A/CNIH2/CLCN1/TRPC5/CACNA1F/GABRD/HCN4/EPS8/KCNN4/DPP6/KCNJ1/CLIC4	63
GO:0034364	high-density lipoprotein particle	11/2181	22/15302	7.4132717835868e-05	0.00448212356487779	0.00417032706656169	APOA1/SAA1/SAA2/HPR/APOC2/GPIHBP1/CETP/APOE/APOC1/APOC4/SAA4	11
GO:0034702	ion channel complex	55/2181	232/15302	7.43304073777412e-05	0.00448212356487779	0.00417032706656169	GABRP/CLCNKB/KCNA6/GABRB2/GRIA2/SCN7A/GRIA4/KCNN1/PKD2L1/KCNB2/CFTR/KCNA2/GRIK5/DPP10/KCNG1/HCN1/CACNA1I/CACNA2D1/AKAP6/GABRE/CACNA1A/GABRR2/KCNC4/CATSPERZ/CASQ2/SCNN1G/CLCNKA/HTR3A/CACNB1/KCNE5/KCNMB1/CATSPERG/KCNQ1/CHRNB4/KCND3/KCNIP1/ANO2/KCNV1/CATSPER1/CPT1C/AKAP9/KCNB1/CHRNA10/SCN9A/CNIH2/CLCN1/TRPC5/CACNA1F/GABRD/HCN4/EPS8/KCNN4/DPP6/KCNJ1/CLIC4	55
