ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	56/712	188/5004	1.57991996754526e-08	2.01430511043436e-06	1.85124487841149e-06	2568/6344/5733/2561/2891/3355/2893/3352/2897/2901/2837/1812/2147/5032/2847/5739/6751/148/1816/6915/53637/2564/9294/2899/136/57105/2570/10888/5646/3972/9002/9170/2862/5030/2492/187/1910/153/3001/9127/1815/1143/5031/553/624/2642/84634/57053/5340/554/623/5731/5027/4543/2563/8698	56
hsa03010	Ribosome	33/712	86/5004	2.04497980754757e-08	2.01430511043436e-06	1.85124487841149e-06	6234/6192/6223/6203/6229/6168/6158/11224/9349/25873/6170/200916/6164/6204/6155/6227/6152/6176/6167/6233/6141/6169/6161/6218/6136/6181/6144/6137/6133/2197/6157/6224/6209	33
hsa04060	Cytokine-cytokine receptor interaction	61/712	218/5004	4.72901343447399e-08	3.10538548863792e-06	2.85400109027904e-06	9547/149233/8995/6356/2056/6364/9966/4283/3458/6366/6357/5196/23495/27190/5008/4049/10344/7850/8740/3563/6358/6349/3570/6368/50615/10913/4050/6375/3589/6352/6846/10563/3572/939/53833/3592/2920/3569/6355/6351/7293/8718/2921/4804/2833/3575/6363/6361/3601/3552/1270/8784/1956/6347/643/388372/3561/3595/6348/8797/943	61
hsa04650	Natural killer cell mediated cytotoxicity	33/712	112/5004	1.96828671998011e-05	0.000969381209590202	0.000890908725885732	3802/3805/3458/3804/3812/154064/673/80329/5294/27040/259197/3822/919/3932/51744/7535/962/5290/10870/79465/22914/4773/135250/4068/3265/7305/2207/3002/3823/3809/53358/8797/3821	33
hsa04974	Protein digestion and absorption	21/712	66/5004	0.000196353968984104	0.0077363463779737	0.00711008056110861	1293/1281/1288/4311/340024/3769/486/1278/6550/1292/1289/23428/478/1506/482/5646/1302/50509/1277/3784/3783	21
hsa05340	Primary immunodeficiency	13/712	33/5004	0.000321007052308683	0.00985047342401355	0.00905306667876212	973/23495/916/3932/7535/930/915/3575/29851/926/3561/5896/3718	13
hsa04640	Hematopoietic cell lineage	23/712	78/5004	0.00035001682217307	0.00985047342401355	0.00905306667876212	2056/4311/7850/916/3563/1380/3570/1791/930/3589/915/2208/924/931/929/914/2811/3569/3674/3575/3552/2209/926	23
hsa04610	Complement and coagulation cascades	19/712	62/5004	0.000665338728527488	0.0163839661899894	0.0150576659614116	3053/729/725/2243/2266/2147/1675/5054/1380/10747/3827/713/2161/5327/712/624/5340/623/5104	19
hsa04260	Cardiac muscle contraction	18/712	60/5004	0.00120739166121243	0.0264284619176498	0.0242890486232208	1339/70/84701/486/7169/7137/1345/1349/781/478/482/7139/782/27089/1329/1340/778/1346	18
hsa04062	Chemokine signaling pathway	40/712	178/5004	0.00168926528024552	0.0332785260208368	0.03058459244234	9547/6356/6364/4283/6366/6357/5196/673/5294/10344/6358/6349/6368/2793/5290/10235/6375/2784/115/6352/6846/10563/2920/6355/6351/3265/2921/2833/6363/2786/6361/196883/9475/6347/643/388372/53358/6348/7454/3718	40
