ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	136/3006	334/14350	8.67168347376165e-17	9.00120744576459e-14	7.57631292970755e-14	EPO/GDF10/ADH7/UCN2/SAA1/IFNG/HGF/TDGF1/CCL19/NRG1/CXCL6/AGRP/WFIKKN2/PPBP/CGA/SFRP2/PF4V1/PNOC/ANGPTL3/CXCL3/CCL20/C1QTNF12/ARTN/CD70/ZP3/PRKCE/ACTN2/LYPD6B/GDNF/FGF13/GREM2/CTF1/CCL5/PTHLH/MDK/WNT10B/VEGFD/FGF11/NUDT6/XCL2/CD320/CXCL8/TIMP1/CMTM3/BMP8A/FGF14/TNFSF4/NMB/BMP4/PMCH/COLEC10/TGFB1/TGFA/ADM2/CCL26/NBL1/LYPD1/IL18/CCL16/NENF/TSLP/AMH/NTS/CMTM2/EREG/CCL3L1/BMP7/GDF15/DKK1/WNT9B/LEFTY1/SEMA3A/SHH/SECTM1/TFF1/SCG2/LYPD6/PYY2/CCL13/MIF/DAND5/AREG/LTA/PROK1/GMFG/UTS2B/VGF/IGF2/PGF/METRNL/CHGB/LIF/INHBA/INHBC/TDGF1P3/TNFSF15/IL11/NPFF/SCT/FNDC5/NAMPT/IGF1/EFNA5/TNFSF9/ANGPTL8/TG/CALCA/NRG3/FGF9/UTS2/SPP1/CXCL1/GDF7/IL12A/CALCB/LEFTY2/CMTM7/WNT10A/INSL3/IL27/CCL28/SAA2/VEGFB/FGF2/IL17D/CRLF1/NCOA2/CXCL5/MIA/XCL1/WNT9A/WNT7B/INHA/GUCA2A/LTB/INS-IGF2	136
GO:0048018	receptor ligand activity	128/3006	312/14350	3.52555722900208e-16	1.82976420185208e-13	1.54011184214301e-13	EPO/GDF10/UCN2/SAA1/IFNG/HGF/TDGF1/CCL19/NRG1/CXCL6/AGRP/PPBP/CGA/SFRP2/PF4V1/PNOC/ANGPTL3/CXCL3/CCL20/C1QTNF12/ARTN/CD70/ZP3/GDNF/FGF13/GREM2/CTF1/CCL5/PTHLH/MDK/WNT10B/VEGFD/FGF11/NUDT6/XCL2/CD320/CXCL8/TIMP1/CMTM3/BMP8A/FGF14/TNFSF4/NMB/BMP4/PMCH/COLEC10/TGFB1/TGFA/ADM2/CCL26/NBL1/IL18/CCL16/NENF/TSLP/AMH/NTS/CMTM2/EREG/CCL3L1/BMP7/GDF15/DKK1/WNT9B/LEFTY1/SEMA3A/SHH/SECTM1/TFF1/SCG2/PYY2/CCL13/MIF/DAND5/AREG/LTA/PROK1/GMFG/UTS2B/VGF/IGF2/PGF/METRNL/CHGB/LIF/INHBA/INHBC/TDGF1P3/TNFSF15/IL11/NPFF/SCT/FNDC5/NAMPT/IGF1/EFNA5/TNFSF9/ANGPTL8/TG/CALCA/NRG3/FGF9/UTS2/SPP1/CXCL1/GDF7/IL12A/CALCB/LEFTY2/CMTM7/WNT10A/INSL3/IL27/CCL28/SAA2/VEGFB/FGF2/IL17D/CRLF1/CXCL5/MIA/XCL1/WNT9A/WNT7B/INHA/GUCA2A/LTB/INS-IGF2	128
GO:0046873	metal ion transmembrane transporter activity	142/3006	365/14350	1.70896424543243e-15	5.9130162891962e-13	4.9769835919611e-13	MCOLN3/ABCC8/FAM155B/KCNK10/SLC6A19/KCNJ10/GRIN2A/SCN2B/KCNJ13/KCNJ16/GRIK4/SLC9C2/SLC5A1/TRPV6/SLC28A2/KCNH6/KCNC2/KCNJ4/PKD1L3/KCNG1/ZDHHC13/SLC17A1/TRPM6/SLC38A1/SLC4A11/ITPR2/SLC13A5/KCNMA1/SLC6A13/HCN4/CACNB1/NIPAL1/SLC39A8/SCN5A/SLC11A1/KCNMB4/KCNE1/SLC1A1/SLC9A5/KCNC4/SLC13A2/CACNB3/SLC34A3/KCNF1/SLC6A12/GPM6A/SLC4A4/KCNB1/SLC30A2/KCNMB3/KCNH3/SLC34A2/ATP1B2/SLC4A3/KCND3/SLC28A1/SLC31A1/SLC6A20/SLC6A17/SLC17A3/SLC13A3/SLC34A1/RYR1/TRPC1/PDE2A/TRPM2/SLC9A2/LRRC26/SLC10A6/ITPR3/SLC30A4/KCNH2/TRPM7/KCNE5/SLC6A8/TRPM3/SLC30A1/SLC17A4/SLC10A1/SLC5A10/SLC24A5/KCNC1/SCN8A/NCS1/TRPV2/KCNJ11/REST/CACNA1G/SCN4A/SLC10A4/KCND2/SLC4A5/KCNJ8/ATP1A3/CACNA2D2/SLC1A2/SLC9B2/CATSPER1/ABCB11/SCN3B/ATP1A2/KCNK15/GRIN1/GRIK5/CACNA1I/SLC39A14/MCOLN2/SLC4A1/SLC23A2/KCNQ1/NALCN/SLC39A4/SLC5A6/KCNN4/KCNN2/SLC6A1/KCNQ3/KCNK7/LOXHD1/SLC1A7/GRIN2D/TRPV4/SLC5A5/JPH3/KCNJ15/FXYD2/CACNA1F/SLC6A6/SLC6A2/CLDN16/TTYH1/SLC41A2/SLC9A3/ORAI2/SLC8A2/SLC17A2/CACNA1A/TRPC5/KCNK9/SLC6A7/ABCC9/ATP2C2	142
GO:0022890	inorganic cation transmembrane transporter activity	162/3006	450/14350	5.63819625504173e-14	1.46311192818333e-11	1.23150076096964e-11	MCOLN3/ABCC8/FAM155B/KCNK10/SLC6A19/KCNJ10/GRIN2A/SCN2B/CHRNA4/KCNJ13/KCNJ16/GRIK4/SLC9C2/SLC5A1/TRPV6/SLC28A2/KCNH6/CHRNA2/KCNC2/KCNJ4/PKD1L3/KCNG1/ZDHHC13/SLC17A1/TRPM6/SLC38A1/ATP5EP2/SLC4A11/ITPR2/SLC13A5/KCNMA1/SLC6A13/HCN4/CHRNB2/CACNB1/NIPAL1/SLC39A8/SCN5A/SLC11A1/KCNMB4/KCNE1/SLC1A1/SLC9A5/KCNC4/SLC13A2/CACNB3/SLC34A3/KCNF1/SLC6A12/GPM6A/SLC4A4/CHRNA5/KCNB1/SLC30A2/KCNMB3/KCNH3/SLC34A2/ATP1B2/SLC4A3/KCND3/SLC28A1/SLC31A1/SLC6A20/SLC6A17/SLC17A3/SLC13A3/NDUFA4L2/SLC34A1/ATP6V0D2/RYR1/TRPC1/PDE2A/COX6C/TRPM2/SLC9A2/LRRC26/SLC10A6/ITPR3/SLC30A4/KCNH2/TRPM7/COX7A1/KCNE5/ATP5I/SLC6A8/TRPM3/SLC30A1/SLC17A4/SLC10A1/ATP5D/SLC5A10/SLC24A5/KCNC1/SCN8A/NCS1/TRPV2/KCNJ11/REST/CACNA1G/SCN4A/SLC10A4/ATP6V0E2/KCND2/SLC4A5/KCNJ8/ATP1A3/CACNA2D2/SLC1A2/CHRNB4/SLC9B2/CATSPER1/ATP5E/ABCB11/SCN3B/ATP1A2/KCNK15/GRIN1/GRIK5/CACNA1I/CHRNA1/SLC39A14/ATP6V1B1/MCOLN2/SLC4A1/SLC23A2/KCNQ1/NALCN/SLC39A4/SLC5A6/KCNN4/KCNN2/SLC6A1/KCNQ3/KCNK7/LOXHD1/SLC47A1/SLC1A7/GRIN2D/TRPV4/SLC5A5/JPH3/KCNJ15/FXYD2/CACNA1F/SLC6A6/SLC6A2/CLDN16/TTYH1/NNT/CYB5A/SLC41A2/COX6B1/SLC9A3/ORAI2/SLC8A2/SLC17A2/CACNA1A/TRPC5/KCNK9/SLC6A7/ABCC9/ATP2C2	162
GO:0015081	sodium ion transmembrane transporter activity	63/3006	132/14350	5.44055421887808e-12	1.12945905583909e-09	9.50665263509222e-10	SLC6A19/SCN2B/GRIK4/SLC9C2/SLC5A1/SLC28A2/SLC17A1/SLC38A1/SLC4A11/SLC13A5/SLC6A13/HCN4/SCN5A/SLC1A1/SLC9A5/SLC13A2/SLC34A3/SLC6A12/SLC4A4/SLC34A2/ATP1B2/SLC4A3/SLC28A1/SLC6A20/SLC6A17/SLC17A3/SLC13A3/SLC34A1/TRPM2/SLC9A2/SLC10A6/SLC6A8/SLC17A4/SLC10A1/SLC5A10/SLC24A5/SCN8A/CACNA1G/SCN4A/SLC10A4/SLC4A5/ATP1A3/SLC1A2/SLC9B2/ABCB11/SCN3B/ATP1A2/GRIK5/CACNA1I/SLC4A1/SLC23A2/NALCN/SLC5A6/SLC6A1/SLC1A7/SLC5A5/FXYD2/SLC6A6/SLC6A2/SLC9A3/SLC8A2/SLC17A2/SLC6A7	63
GO:0015293	symporter activity	61/3006	127/14350	8.37896580663911e-12	1.44956108454857e-09	1.22009502096675e-09	SLC6A19/SLC12A3/SLC5A1/SLC28A2/SLC17A1/SLC16A5/SLC16A13/SLC16A1/SLC38A1/SLC4A11/SLC13A5/SLC6A13/SLC2A10/SLC1A1/SLC13A2/SLC34A3/SLC6A12/SLC4A4/SLC34A2/SLC16A2/SLC4A3/SLC28A1/SLC12A1/SLC38A4/SLC6A20/SLC6A17/SLC17A3/SLC13A3/SLC34A1/SLC10A6/SLC6A8/SLC16A4/SLC2A6/SLC17A4/SLC10A1/SLC5A10/SLC45A2/SLC24A5/SLC16A3/SLC10A4/SLC22A4/SLC46A2/SLC4A5/SLC1A2/SLC2A12/SLC1A5/SLC4A1/SLC23A2/SLC5A6/SLC16A12/SLC6A1/SLC35A3/SLC1A7/SLC45A4/SLC5A5/MFSD2A/SLC6A6/SLC6A2/SLC16A11/SLC17A2/SLC6A7	61
GO:0015077	monovalent inorganic cation transmembrane transporter activity	113/3006	301/14350	1.96811461732933e-11	2.91843281826835e-09	2.45644380809525e-09	ABCC8/KCNK10/SLC6A19/KCNJ10/SCN2B/KCNJ13/KCNJ16/GRIK4/SLC9C2/SLC5A1/SLC28A2/KCNH6/KCNC2/KCNJ4/KCNG1/SLC17A1/SLC38A1/ATP5EP2/SLC4A11/SLC13A5/KCNMA1/SLC6A13/HCN4/SCN5A/SLC11A1/KCNMB4/KCNE1/SLC1A1/SLC9A5/KCNC4/SLC13A2/SLC34A3/KCNF1/SLC6A12/SLC4A4/KCNB1/KCNMB3/KCNH3/SLC34A2/ATP1B2/SLC4A3/KCND3/SLC28A1/SLC6A20/SLC6A17/SLC17A3/SLC13A3/NDUFA4L2/SLC34A1/ATP6V0D2/COX6C/TRPM2/SLC9A2/LRRC26/SLC10A6/KCNH2/COX7A1/KCNE5/ATP5I/SLC6A8/SLC17A4/SLC10A1/ATP5D/SLC5A10/SLC24A5/KCNC1/SCN8A/KCNJ11/REST/CACNA1G/SCN4A/SLC10A4/ATP6V0E2/KCND2/SLC4A5/KCNJ8/ATP1A3/SLC1A2/SLC9B2/ATP5E/ABCB11/SCN3B/ATP1A2/KCNK15/GRIK5/CACNA1I/ATP6V1B1/SLC4A1/SLC23A2/KCNQ1/NALCN/SLC5A6/KCNN4/KCNN2/SLC6A1/KCNQ3/KCNK7/SLC47A1/SLC1A7/SLC5A5/KCNJ15/FXYD2/SLC6A6/SLC6A2/NNT/CYB5A/COX6B1/SLC9A3/SLC8A2/SLC17A2/KCNK9/SLC6A7/ABCC9	113
GO:0005261	cation channel activity	93/3006	238/14350	9.93075314766925e-11	1.28851522091009e-08	1.08454277796914e-08	MCOLN3/ABCC8/FAM155B/KCNK10/KCNJ10/GRIN2A/SCN2B/CHRNA4/KCNJ13/KCNJ16/GRIK4/TRPV6/KCNH6/CHRNA2/KCNC2/KCNJ4/PKD1L3/KCNG1/TRPM6/SLC4A11/ITPR2/KCNMA1/HCN4/CHRNB2/CACNB1/SCN5A/KCNMB4/KCNE1/P2RX3/P2RX6/KCNC4/CACNB3/KCNF1/P2RX4/GPM6A/CHRNA5/KCNB1/KCNMB3/KCNH3/KCND3/RYR1/TRPC1/PDE2A/TMEM63C/TRPM2/LRRC26/ITPR3/KCNH2/TRPM7/KCNE5/TRPM3/SLC24A5/KCNC1/SCN8A/NCS1/TRPV2/KCNJ11/REST/CACNA1G/SCN4A/ANO1/KCND2/KCNJ8/CACNA2D2/CHRNB4/CATSPER1/SCN3B/KCNK15/GRIN1/GRIK5/CACNA1I/CHRNA1/MCOLN2/KCNQ1/NALCN/P2RX5/KCNN4/KCNN2/HTR3A/KCNQ3/KCNK7/LOXHD1/GRIN2D/TRPV4/JPH3/KCNJ15/CALHM6/CACNA1F/ORAI2/CACNA1A/TRPC5/KCNK9/ABCC9	93
GO:0015291	secondary active transmembrane transporter activity	84/3006	208/14350	1.1444450253952e-10	1.31992659595579e-08	1.11098172055908e-08	SLC6A19/SLC12A3/SLC9C2/SLC5A1/SLC28A2/SLCO1B3/SLC7A7/SLC17A1/SLC16A5/SLC16A13/SLC16A1/SLC38A1/SLC4A11/SLC13A5/SLC6A13/SLC2A10/SLC7A10/SLC11A1/SLC1A1/SLC9A5/SLC13A2/SLC34A3/SLC6A12/SLC4A4/SLC34A2/SLC22A2/SLC16A2/SLC4A3/SLC28A1/SLC12A1/SLCO4A1/SLC38A4/SLC6A20/SLC6A17/SLC17A3/SLC13A3/SLC34A1/SLC9A2/SLC10A6/SLC6A8/SLC16A4/SLC2A6/SLCO1A2/SLC17A4/SLC10A1/SLC5A10/SLC45A2/SLC24A5/SLC22A12/SLC16A3/CDH17/SLC10A4/SLC22A4/SLC46A2/SLC4A5/SLC1A2/SLC2A12/SLC9B2/SLC22A1/SLC26A9/SLC22A11/SLC22A25/SLC1A5/SLC4A1/SLC23A2/SLC5A6/SLCO1B1/SLC16A12/SLC6A1/SLC35A3/SLC47A1/SLC1A7/SLC45A4/SLC5A5/MFSD2A/SLC6A6/SLC6A2/SLC16A11/SLC9A3/SLC8A2/SLC17A2/SLCO1B7/SLC6A7/SLCO2B1	84
GO:0022838	substrate-specific channel activity	118/3006	327/14350	1.32517933168587e-10	1.37553614628993e-08	1.15778825820976e-08	CLCNKA/MCOLN3/CLIC6/ABCC8/FAM155B/KCNK10/KCNJ10/AQP4/GRIN2A/AQP5/SCN2B/CHRNA4/KCNJ13/CFTR/KCNJ16/GRIK4/TRPV6/KCNH6/CHRNA2/KCNC2/KCNJ4/PKD1L3/KCNG1/MIP/DLG3/TRPM6/SLC4A11/ITPR2/KCNMA1/HCN4/CHRNB2/CACNB1/GABRD/SCN5A/KCNMB4/KCNE1/P2RX3/P2RX6/KCNC4/CACNB3/KCNF1/P2RX4/GPM6A/CHRNA5/KCNB1/KCNMB3/KCNH3/KCND3/SLC17A3/RYR1/TRPC1/PDE2A/TMEM150C/TMEM63C/TRPM2/FXYD3/LRRC26/AQP10/ITPR3/KCNH2/TRPM7/KCNE5/TRPM3/AQP9/SLC24A5/AQP8/KCNC1/SCN8A/CLCN1/NCS1/TRPV2/KCNJ11/REST/CACNA1G/SCN4A/ANO1/KCND2/KCNJ8/ANO9/CACNA2D2/CHRNB4/CATSPER1/SLC26A9/SCN3B/CLIC3/ANO3/KCNK15/GRIN1/GRIK5/CACNA1I/CHRNA1/MCOLN2/AQP6/KCNQ1/NALCN/P2RX5/KCNN4/KCNN2/HTR3A/KCNQ3/KCNK7/LOXHD1/GRIN2D/CLDN4/TRPV4/JPH3/KCNJ15/NCALD/CLIC1/CALHM6/FXYD2/CACNA1F/TTYH1/ORAI2/CACNA1A/TRPC5/KCNK9/ABCC9	118
