ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	41/388	203/5099	3.28696321210441e-09	5.8179248854248e-07	5.01694385005409e-07	2903/887/2568/2891/84634/1141/1128/186/799/2890/4161/2917/1135/5030/22953/3352/23566/155/2901/2740/1816/64106/1910/2894/1511/1901/2561/3972/56923/146/6751/2690/2831/3356/59350/4923/150/117/148/5646/1269	41
hsa05322	Systemic lupus erythematosus	24/388	105/5099	6.66628808141953e-07	5.89966495205628e-05	5.08743037792543e-05	2903/731/3013/735/1991/8343/3012/8355/729/8331/8332/3458/8363/1511/8339/730/8351/8358/8969/8338/8352/732/8345/474382	24
hsa04610	Complement and coagulation cascades	16/388	62/5099	9.77533575554009e-06	0.000576744809576865	0.000497341643702917	2155/731/2266/735/7450/2161/2/2162/2243/729/730/1380/2160/1378/2244/732	16
hsa04270	Vascular smooth muscle contraction	21/388	109/5099	5.47010278827631e-05	0.00196857465052436	0.00169755173551015	123745/51806/114/5319/8399/72/4629/10335/775/163688/5592/108/5582/2977/146/4881/4638/5320/148/91807/1579	21
hsa00982	Drug metabolism - cytochrome P450	14/388	57/5099	6.41467214339291e-05	0.00196857465052436	0.00169755173551015	7366/54600/2949/125/124/218/1544/126/2327/131/1548/2328/4128/2940	14
hsa04970	Salivary secretion	17/388	79/5099	6.67313440855715e-05	0.00196857465052436	0.00169755173551015	51806/727897/114/486/482/163688/5592/155/1755/108/5582/477/2977/146/478/1473/148	17
hsa04020	Calcium signaling pathway	27/388	165/5099	0.000100052308467466	0.0025298940855345	0.00218159168838836	51806/2903/887/114/1128/6543/775/163688/22953/3706/155/487/108/1816/5582/1910/6547/146/4638/3356/7125/8877/4923/5156/2066/148/91807	27
hsa00830	Retinol metabolism	11/388	45/5099	0.000409448060507598	0.00905903833873061	0.00781183799652654	7366/54600/125/124/8854/1544/126/131/1548/145226/1579	11
hsa04974	Protein digestion and absorption	14/388	68/5099	0.00047406431752102	0.00932326491124673	0.00803968725620443	11136/131873/486/23428/482/2006/6543/6564/477/6547/7373/478/1280/5646	14
hsa04060	Cytokine-cytokine receptor interaction	32/388	231/5099	0.00056744266471146	0.0100437351653928	0.00866096698770123	3577/6358/8771/1271/6355/1524/60401/6373/3575/3572/2826/2056/2322/1896/970/3458/9966/3568/6360/2690/2829/6370/83729/3627/5156/2277/51561/268/10344/282618/8784/4804	32
hsa05414	Dilated cardiomyopathy	15/388	81/5099	0.000977091447548975	0.0157222896560153	0.0135577282195791	114/3479/6445/3674/785/775/108/1674/9254/3680/6444/8516/7137/6442/3908	15
hsa00980	Metabolism of xenobiotics by cytochrome P450	11/388	54/5099	0.00207296057091871	0.0301091631006189	0.0259638932476345	7366/1572/54600/2949/125/124/218/1544/126/131/2940	11
hsa04114	Oocyte meiosis	17/388	106/5099	0.0024156658574715	0.0301091631006189	0.0259638932476345	367/51806/114/891/3479/9088/163688/10734/108/983/995/6790/151648/4085/991/5241/9133	17
hsa00350	Tyrosine metabolism	9/388	40/5099	0.00255162399157788	0.0301091631006189	0.0259638932476345	7054/125/8639/124/218/126/131/7306/4128	9
hsa04960	Aldosterone-regulated sodium reabsorption	9/388	40/5099	0.00255162399157788	0.0301091631006189	0.0259638932476345	486/3479/482/6340/5582/477/3758/478/8471	9
hsa05410	Hypertrophic cardiomyopathy (HCM)	13/388	74/5099	0.00341170382158832	0.0377419735263208	0.0325458588243623	3479/6445/3674/785/775/1674/9254/3680/6444/8516/7137/6442/3908	13
hsa04512	ECM-receptor interaction	14/388	84/5099	0.00398705001829866	0.0415122266611096	0.0357970435079446	2815/131873/7450/7148/3674/7143/948/22987/7448/63923/3680/1280/8516/3908	14
hsa04971	Gastric acid secretion	12/388	68/5099	0.00465212167623372	0.0457458631496316	0.0394478153832684	51806/887/114/482/163688/108/5582/477/3758/478/4638/91807	12
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	12/388	69/5099	0.00525592776151147	0.0489631165151331	0.0422221343722528	6445/3674/785/775/1674/9254/3680/6444/8516/29119/6442/3908	12
