ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	96/1066	321/15048	1.12201113233805e-35	3.38460252697629e-32	2.70450395410733e-32	FBN2/KLK2/FGG/FGA/FGB/COL4A4/SPOCK2/ITGAM/SPARC/LOX/BGN/FAP/COL10A1/ITGA1/TIMP2/COL4A3/PXDN/MFAP4/ECM2/PDGFRA/HSPG2/COL8A2/COL9A2/CYP1B1/CRISPLD2/POSTN/HPSE2/NPHS1/LAMA4/SCUBE1/COL3A1/CPB2/VCAN/CTSK/DPT/COL6A1/FMOD/NDNF/CTSG/COL8A1/ADAMTS9/IHH/ELANE/NID2/JAM2/MMP10/DCN/A2M/ANTXR1/COL19A1/COMP/FN1/FBLN2/VCAM1/SFRP2/MMP2/CCDC80/WT1/ITGA8/FBN1/COL6A2/COL5A1/TNR/COL6A3/COL12A1/LAMA2/GREM1/COL14A1/ITGA11/COL5A2/ADAMTSL2/TNXB/KDR/THBS1/CMA1/LRP1/ADAMTS2/CYR61/COL11A1/COL1A2/DDR2/FBLN5/MMP16/MATN4/ABI3BP/COL9A1/COL1A1/ELN/ITGA9/MATN3/SULF1/VWF/CREB3L1/CTGF/LOXL2/COL5A3	96
GO:0043062	extracellular structure organization	96/1066	322/15048	1.49463569307851e-35	3.38460252697629e-32	2.70450395410733e-32	FBN2/KLK2/FGG/FGA/FGB/COL4A4/SPOCK2/ITGAM/SPARC/LOX/BGN/FAP/COL10A1/ITGA1/TIMP2/COL4A3/PXDN/MFAP4/ECM2/PDGFRA/HSPG2/COL8A2/COL9A2/CYP1B1/CRISPLD2/POSTN/HPSE2/NPHS1/LAMA4/SCUBE1/COL3A1/CPB2/VCAN/CTSK/DPT/COL6A1/FMOD/NDNF/CTSG/COL8A1/ADAMTS9/IHH/ELANE/NID2/JAM2/MMP10/DCN/A2M/ANTXR1/COL19A1/COMP/FN1/FBLN2/VCAM1/SFRP2/MMP2/CCDC80/WT1/ITGA8/FBN1/COL6A2/COL5A1/TNR/COL6A3/COL12A1/LAMA2/GREM1/COL14A1/ITGA11/COL5A2/ADAMTSL2/TNXB/KDR/THBS1/CMA1/LRP1/ADAMTS2/CYR61/COL11A1/COL1A2/DDR2/FBLN5/MMP16/MATN4/ABI3BP/COL9A1/COL1A1/ELN/ITGA9/MATN3/SULF1/VWF/CREB3L1/CTGF/LOXL2/COL5A3	96
GO:0003013	circulatory system process	88/1066	465/15048	8.2380447575388e-18	1.24367015689644e-14	9.93768346540996e-15	CHRM2/EDN3/FGG/FGA/TRHDE/FGB/ANK2/KCNN2/CACNA2D2/CALCA/NTSR1/CELF2/ITGA1/COL4A3/KCNA5/DES/CNR1/NPY1R/ADRA1A/P2RX2/ALOX12/POSTN/FXYD1/CPA3/DRD1/PIK3CG/KCNJ5/FXYD2/ADCYAP1/ABCC9/CTSG/PLN/ACTC1/RYR3/EDNRA/OLR1/F5/AR/KCNK3/ADRA2A/CPS1/CACNA1C/GJA5/AZU1/KCNH2/HCN4/MEOX2/NPR1/SLC8A3/KCND2/KEL/HTR1B/OR51E2/ACTA2/EDNRB/HSPB7/SLIT2/ADRB3/TEK/ADAMTS16/SGCD/KCNIP1/ATP2B3/PROKR1/CASQ2/ATP1A2/FOXN4/AGTR2/CYSLTR1/AGTR1/ACE/CMA1/SCN2B/PRKG1/CACNA1H/CACNA1G/PDE3A/MYH6/COL1A2/HTR1D/LEP/CORIN/HBB/ATP1B2/ELN/MYL3/CTGF/HTR2A	88
GO:0008015	blood circulation	87/1066	461/15048	1.5347843831326e-17	1.73775961780189e-14	1.38857597610787e-14	CHRM2/EDN3/FGG/FGA/TRHDE/FGB/ANK2/KCNN2/CACNA2D2/CALCA/NTSR1/CELF2/ITGA1/COL4A3/KCNA5/DES/CNR1/NPY1R/ADRA1A/P2RX2/ALOX12/POSTN/FXYD1/CPA3/DRD1/PIK3CG/KCNJ5/FXYD2/ADCYAP1/ABCC9/CTSG/PLN/ACTC1/RYR3/EDNRA/OLR1/F5/AR/KCNK3/ADRA2A/CPS1/CACNA1C/GJA5/AZU1/KCNH2/HCN4/MEOX2/NPR1/SLC8A3/KCND2/KEL/HTR1B/OR51E2/ACTA2/EDNRB/HSPB7/SLIT2/ADRB3/TEK/ADAMTS16/SGCD/KCNIP1/ATP2B3/PROKR1/CASQ2/ATP1A2/FOXN4/AGTR2/AGTR1/ACE/CMA1/SCN2B/PRKG1/CACNA1H/CACNA1G/PDE3A/MYH6/COL1A2/HTR1D/LEP/CORIN/HBB/ATP1B2/ELN/MYL3/CTGF/HTR2A	87
GO:0044243	multicellular organismal catabolic process	29/1066	70/15048	7.60114552643621e-16	6.88511761784592e-13	5.50162911997636e-13	COL4A4/COL15A1/COL6A6/FAP/COL10A1/COL4A3/COL8A2/COL3A1/CTSK/P2RX7/COL6A1/COL6A5/COL8A1/MMP10/COL19A1/MMP2/COL6A2/COL5A1/COL6A3/COL12A1/COL5A2/ACE/ADAMTS2/COL11A1/PLA2G1B/COL1A2/MMP16/COL1A1/COL5A3	29
GO:0018149	peptide cross-linking	22/1066	42/15048	5.39448137267804e-15	4.07193435614314e-12	3.2537240279416e-12	KRT2/TGM4/SPRR4/SPOCK2/TGM1/BGN/SPRR2E/SPRR2F/COL3A1/F13A1/TGM3/NDNF/PI3/DCN/SPRR1A/FN1/LCE3D/SPRR2A/SPRR2B/SPRR2D/THBS1/C1orf68	22
GO:0030574	collagen catabolic process	26/1066	63/15048	2.68042728825114e-14	1.73423645549849e-11	1.38576075443721e-11	COL4A4/COL15A1/COL6A6/FAP/COL10A1/COL4A3/COL8A2/COL3A1/CTSK/COL6A1/COL6A5/COL8A1/MMP10/COL19A1/MMP2/COL6A2/COL5A1/COL6A3/COL12A1/COL5A2/ADAMTS2/COL11A1/COL1A2/MMP16/COL1A1/COL5A3	26
GO:0044259	multicellular organismal macromolecule metabolic process	35/1066	114/15048	3.98447228943931e-14	2.14574114968301e-11	1.71457811591038e-11	COL4A4/COL15A1/COL6A6/FAP/PDGFRB/COL10A1/COL4A3/MFAP4/COL8A2/TGFB3/COL3A1/CTSK/P2RX7/COL6A1/COL6A5/COL8A1/IHH/MMP10/COL19A1/MMP2/COL6A2/COL5A1/COL6A3/COL12A1/COL5A2/TNXB/ACE/ADAMTS2/COL11A1/COL1A2/MMP16/COL1A1/CREB3L1/CTGF/COL5A3	35
GO:0044236	multicellular organism metabolic process	38/1066	133/15048	4.26400316783994e-14	2.14574114968301e-11	1.71457811591038e-11	COL4A4/COL15A1/COL6A6/FAP/PDGFRB/COL10A1/COL4A3/MFAP4/COL8A2/TGFB3/COL3A1/CTSK/P2RX7/COL6A1/COL6A5/COL8A1/IHH/MMP10/PM20D1/COL19A1/MMP2/COL6A2/COL5A1/ADRB3/COL6A3/COL12A1/COL5A2/TNXB/ACE/ADAMTS2/COL11A1/PLA2G1B/COL1A2/MMP16/COL1A1/CREB3L1/CTGF/COL5A3	38
GO:0032963	collagen metabolic process	34/1066	109/15048	5.47681901132372e-14	2.48045133022851e-11	1.98203197483484e-11	COL4A4/COL15A1/COL6A6/FAP/PDGFRB/COL10A1/COL4A3/MFAP4/COL8A2/TGFB3/COL3A1/CTSK/P2RX7/COL6A1/COL6A5/COL8A1/IHH/MMP10/COL19A1/MMP2/COL6A2/COL5A1/COL6A3/COL12A1/COL5A2/TNXB/ADAMTS2/COL11A1/COL1A2/MMP16/COL1A1/CREB3L1/CTGF/COL5A3	34
