ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	53/403	210/5145	2.74485731424281e-15	4.6937060073552e-13	4.0450528841473e-13	1129/5618/3362/2555/6753/2561/5745/4923/5732/1268/9568/4886/148/22953/1269/1132/1812/1137/2846/5027/117/2917/1511/1909/2894/1241/150/6751/2568/64106/3351/887/1910/8811/155/8973/2890/2903/186/10800/185/6752/1901/2913/2899/2900/3352/3952/5646/5739/5733/2897/3356	53
hsa04974	Protein digestion and absorption	28/403	69/5145	3.63336931406117e-14	3.1065307635223e-12	2.67721949457139e-12	6550/1358/1286/1306/131873/1298/1359/1281/1361/486/1291/6547/1292/1289/1293/1303/477/7373/1290/1301/1278/5646/482/1297/1277/7512/2006/50509	28
hsa04512	ECM-receptor interaction	29/403	83/5145	1.18232231245895e-12	6.73923718101603e-11	5.80789907874574e-11	1286/131873/3672/3339/3910/7058/1281/2814/1291/22798/1311/2335/63923/8516/1292/1289/7143/1293/3908/22801/1290/7148/7057/1301/1278/1277/3680/7450/50509	29
hsa04510	Focal adhesion	36/403	196/5145	8.16058060420735e-07	3.48864820829864e-05	3.00652969628692e-05	1286/3082/131873/5159/3672/5156/3910/5294/7058/1281/1291/80310/22798/1311/2335/3479/63923/8516/1292/1289/7143/1293/3908/22801/1290/7148/3791/7057/2277/1301/1278/1277/3680/7450/5063/50509	36
hsa04020	Calcium signaling pathway	31/403	165/5145	2.99071126719471e-06	0.000102282325338059	8.81472794541599e-05	1129/3362/114/108/5153/5136/4923/5159/5156/5137/148/22953/1812/5027/5350/6263/1909/775/6547/2066/887/1910/155/492/2903/10800/185/8912/8913/5733/3356	31
hsa05144	Malaria	14/403	49/5145	1.38415697574282e-05	0.000345888146451876	0.000298087660838798	3082/7043/7058/6403/1311/7412/3039/2532/7057/6401/4035/3040/1378/3043	14
hsa04610	Complement and coagulation cascades	16/403	62/5145	1.41591638898429e-05	0.000345888146451876	0.000298087660838798	2266/2243/2244/2162/1361/2153/2/722/2160/729/1380/1378/7450/718/720/730	16
hsa05414	Dilated cardiomyopathy	18/403	82/5145	4.53719129362029e-05	0.000969824639011337	0.000835798396193212	114/9254/108/3672/1674/7043/6442/5350/70/775/3479/8516/6444/3908/22801/4624/3680/4634	18
hsa04976	Bile secretion	15/403	63/5145	7.29263574945463e-05	0.00138560079239638	0.00119411579523234	6550/8431/114/8671/3781/108/358/486/28234/477/1080/361/482/5243/5244	15
hsa04514	Cell adhesion molecules (CAMs)	23/403	129/5145	0.000135003067479622	0.00230855245390154	0.00198951888917338	1000/149461/3684/6693/9075/5010/4685/51208/1003/1462/6403/6900/58494/940/7412/933/8516/57863/49861/4684/3111/6401/3680	23
hsa05410	Hypertrophic cardiomyopathy (HCM)	16/403	76/5145	0.000201738950887579	0.00313612369107055	0.00270272278701063	9254/3672/1674/7043/6442/70/775/3479/8516/6444/3908/22801/1636/4624/3680/4634	16
hsa04614	Renin-angiotensin system	6/403	16/5145	0.000904530789097778	0.0128895637446433	0.0111082728485692	1359/1511/186/185/1636/1215	6
hsa04964	Proximal tubule bicarbonate reclamation	7/403	22/5145	0.00103967801714221	0.0136757646870244	0.011785823676106	6550/8671/358/486/477/762/482	7
hsa04970	Salivary secretion	15/403	80/5145	0.00115208515472798	0.0140718972470346	0.0121272121550313	114/108/148/1473/2977/486/6263/1470/155/492/477/1755/276/5592/482	15
hsa04972	Pancreatic secretion	15/403	84/5145	0.00192489291144419	0.0219437791904638	0.0189112286036622	1358/114/8671/108/5322/1359/1361/486/492/477/1080/5319/5646/482/279	15
hsa05146	Amoebiasis	17/403	103/5145	0.00239988566929154	0.0256487780905534	0.0221042101118958	1286/3684/7043/3910/5294/1281/1511/22798/2335/1289/3908/1290/1301/1278/1277/4583/50509	17
hsa04960	Aldosterone-regulated sodium reabsorption	9/403	39/5145	0.00258587819830683	0.0260108924653216	0.0224162815952295	4306/6340/5294/486/3479/8471/477/3758/482	9
hsa04640	Hematopoietic cell lineage	14/403	79/5145	0.00290348324705572	0.0275830908470293	0.0237712078706316	3684/913/3672/3568/2814/931/1436/3575/3552/933/2322/1380/2208/1378	14
hsa02010	ABC transporters	9/403	43/5145	0.00520398980356173	0.0468359082320556	0.0403633558170993	6833/10351/10350/10060/21/23460/1080/5243/5244	9
