ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	92/1344	333/15393	2.2275382589696e-24	1.14495466511037e-21	1.0152884906672e-21	MMP12/CHAD/SPON1/COL24A1/FREM2/COL6A3/HMCN1/PTN/ELN/VWA2/CILP/LAMB1/SMOC1/MMP1/TIMP4/ASPN/SPARCL1/ADAMTS9/RELN/WNT6/OTOA/FREM1/ECM2/NID2/COL14A1/COL22A1/WNT9A/MFAP4/EMILIN3/MMP24/SERPINA1/CHI3L1/LRRC70/LRRC55/COL4A4/ADAMTS18/SOST/COL21A1/CHL1/LAMA1/MUC4/COL5A3/MMP2/IMPG2/LAMA2/ADAMTSL3/VCAN/ADAMTS14/COL10A1/FGF1/COL27A1/NTN3/COCH/SPON2/SPOCK3/WNT3/COL8A2/COL6A6/COL16A1/COL3A1/COL26A1/LRFN5/COL9A1/VTN/ENTPD2/COL4A1/LINGO2/NTN1/THSD4/POSTN/ADAMTS4/MMP16/ADAMTS6/GPC4/ADAMTS8/COL4A2/ADAMTS12/MMP8/LTBP1/OLFML2A/COL15A1/TNN/OMD/ADAMTSL1/THBS4/PI3/LTBP4/ADAMTS19/TNC/COL9A2/MYOC/COL9A3	92
GO:0005581	collagen trimer	33/1344	81/15393	6.71937785629474e-15	1.72688010906775e-12	1.53131084830296e-12	COL24A1/COL6A3/C1QA/COL25A1/C1QB/C1QC/C1QL1/C1QTNF7/COL14A1/COL22A1/FCN3/MARCO/COL4A4/COLEC10/COL21A1/COL5A3/COL10A1/COL27A1/COL8A2/C1QL4/COL6A6/COL16A1/COL3A1/COL26A1/COL9A1/COL4A1/COL4A2/COL15A1/C1QTNF9/ADIPOQ/COL9A2/COL9A3/C1QTNF3	33
GO:0043235	receptor complex	68/1344	299/15393	1.09162339172941e-13	1.87031474449639e-11	1.65850150392573e-11	ITGA8/IRS1/VIPR1/CHRNA3/CD8B/PKD2L1/GPR84/NOTCH3/LRP4/CD8A/ACVR1C/ITGA7/SHISA6/IL6R/GRIA1/ADCYAP1R1/GABRG1/KLRC2/CD40/CEACAM1/ADGRV1/ITGB8/ERBB4/CSF2RB/DLG4/CHRNA6/GRIA4/IL12RB1/CD3D/ADRB3/NTRK3/CD247/PLXDC1/ITGAD/IMPG2/ROR1/MUSK/ITGAL/ITGA9/CHRNA4/GPR20/CALCR/PTH1R/TSHR/INSRR/KLRD1/CR1L/CD200R1/CD3E/NOS1AP/IL6ST/SKAP1/GPR63/GRIA2/KLRC1/EGF/SHANK1/SHANK2/LRP6/NTRK2/ITGA10/GRM7/CD14/GRIA3/GABRQ/GRIK4/SORBS1/RAMP1	68
GO:0097060	synaptic membrane	56/1344	271/15393	8.16225536039625e-10	1.04884981381092e-07	9.30067518697784e-08	ITGA8/GRM3/CHRNA3/LRRTM3/DNM3/EPHA7/UNC13C/LRP4/SYNDIG1/SYNE1/P2RY1/SH2D5/GRIA1/SNCAIP/NLGN4X/GABRG1/SYT1/DLG4/CHRNA6/GRIA4/FAIM2/LRRC4B/CHRM1/CAMK2N1/ANK2/GSG1L/ANKS1B/NEURL1/DLGAP1/MUSK/KCNA1/CHRNA4/GRM5/ARC/GRIA2/NRXN1/PRKCG/CLSTN2/SHANK1/SHANK2/DGKI/IGSF9B/HOMER1/SHC4/NTRK2/GRM7/HIP1/LRRTM2/GRIA3/GRIK3/GABRQ/GRIK4/NLGN3/CNTNAP4/GRM4/PSD3	56
GO:0034702	ion channel complex	51/1344	251/15393	8.42868251654264e-09	8.66468562700584e-07	7.68340953613256e-07	CHRNA3/PKD2L1/KCNIP2/CACNA2D2/KCNB2/CASQ2/SHISA6/SCN4A/GRIA1/GABRG1/ANO1/CATSPERZ/KCNG3/SCN11A/DLG4/CHRNA6/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/TTYH1/SCN2A/CACNA1H/SCNN1G/ANO2/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/NOS1AP/CNTNAP2/GRIA2/SCN5A/RYR2/SHANK1/SHANK2/SCN9A/ABCC9/SCN2B/CACNA1G/SCN4B/GRIA3/SCN7A/GABRQ/GRIK4/CACNA1D	51
GO:0034703	cation channel complex	42/1344	190/15393	1.37962565908984e-08	1.1818793146203e-06	1.04803142172965e-06	PKD2L1/KCNIP2/CACNA2D2/KCNB2/CASQ2/SHISA6/SCN4A/GRIA1/CATSPERZ/KCNG3/SCN11A/DLG4/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/SCN2A/CACNA1H/SCNN1G/KCNA1/KCNS1/CACNA2D1/KCNMB2/KCNJ6/NOS1AP/CNTNAP2/GRIA2/SCN5A/RYR2/SHANK1/SCN9A/ABCC9/SCN2B/CACNA1G/SCN4B/GRIA3/SCN7A/GRIK4/CACNA1D	42
GO:0045211	postsynaptic membrane	43/1344	203/15393	3.50931783320617e-08	2.57684195181139e-06	2.28501446883951e-06	GRM3/CHRNA3/LRRTM3/DNM3/EPHA7/SYNDIG1/SYNE1/P2RY1/SH2D5/GRIA1/NLGN4X/GABRG1/DLG4/CHRNA6/GRIA4/FAIM2/CHRM1/CAMK2N1/ANK2/GSG1L/ANKS1B/NEURL1/DLGAP1/MUSK/CHRNA4/ARC/GRIA2/CLSTN2/SHANK1/SHANK2/IGSF9B/HOMER1/SHC4/NTRK2/GRM7/HIP1/LRRTM2/GRIA3/GRIK3/GABRQ/GRIK4/NLGN3/PSD3	43
GO:0098802	plasma membrane receptor complex	37/1344	164/15393	5.67097473682356e-08	3.64360126840914e-06	3.23096323821658e-06	ITGA8/IRS1/CHRNA3/CD8B/CD8A/ACVR1C/ITGA7/SHISA6/IL6R/GRIA1/CD40/CEACAM1/ITGB8/CSF2RB/DLG4/CHRNA6/GRIA4/IL12RB1/CD3D/CD247/ITGAD/ITGAL/ITGA9/CHRNA4/CALCR/CD3E/NOS1AP/IL6ST/SKAP1/GRIA2/SHANK1/SHANK2/ITGA10/GRIA3/GRIK4/SORBS1/RAMP1	37
GO:1902495	transmembrane transporter complex	53/1344	282/15393	6.79960310461847e-08	3.77593029742368e-06	3.34830599792024e-06	CHRNA3/PKD2L1/KCNIP2/CACNA2D2/KCNB2/CASQ2/SHISA6/SCN4A/GRIA1/GABRG1/ANO1/CATSPERZ/KCNG3/SCN11A/DLG4/CHRNA6/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/TTYH1/SCN2A/CACNA1H/SCNN1G/ANO2/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/NOS1AP/CNTNAP2/GRIA2/SCN5A/RYR2/SHANK1/SHANK2/SCN9A/ABCC9/SCN2B/ATP1B2/CACNA1G/SCN4B/GRIA3/SCN7A/GABRQ/GRIK4/CACNA1D/ATP1A2	53
GO:0009897	external side of plasma membrane	43/1344	208/15393	7.3461678938204e-08	3.77593029742368e-06	3.34830599792024e-06	ASTN1/CD8B/LAG3/KLRK1/IFNG/CD8A/FASLG/GPIHBP1/CXCL9/FGG/PRND/CD2/CXCL10/CD40/CCR5/IL12RB1/CXCR3/SLC22A11/PDCD1/IL2RG/SCNN1G/TNFRSF18/ADGRE1/GFRA3/CTLA4/NRCAM/CHRNA4/FCRL6/KLRD1/CD27/CD200R1/IL2RB/CD3E/EPHA5/CD19/IL6ST/GPC4/ENPEP/GRIA2/SLC2A4/NCAM1/CD14/FCER1G	43
