ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	73/1234	364/14711	1.36355104037643e-12	1.15492773119884e-09	1.00185118545553e-09	TGFB2/NPPB/LYPD6B/IL17D/SAA2/FGF13/PTN/EPHA7/ANGPT4/IFNG/SAA4/FASLG/CXCL9/TNFSF4/NCOA2/CCL26/CCL7/FGF20/CRLF1/NTS/NMB/CXCL10/TGFB3/WNT9A/INHBC/CXCL11/XCL2/HGF/EBI3/TNFSF15/COLEC10/LEFTY2/IL32/BMP5/FGF1/BMP3/WFIKKN2/WNT3/TNFSF10/OXT/CCL4/CCL14/GDF15/CCL13/FGF2/ADM/NGF/PYY2/CD70/UCN2/PGF/DKK1/EGF/VGF/EPGN/CXCL13/BTC/PPBP/GPHA2/INS-IGF2/C1QTNF9/GRP/GDF7/GDF10/ADIPOQ/THBS4/TNFSF18/LEP/CCL8/TYMP/SAA1/IL27/CCL5	73
GO:0048018	receptor ligand activity	69/1234	341/14711	3.69721476058961e-12	1.5657704511097e-09	1.35823994889029e-09	TGFB2/NPPB/IL17D/SAA2/FGF13/PTN/EPHA7/IFNG/SAA4/FASLG/CXCL9/TNFSF4/CCL26/CCL7/FGF20/CRLF1/NTS/NMB/CXCL10/TGFB3/WNT9A/INHBC/CXCL11/XCL2/HGF/EBI3/TNFSF15/COLEC10/LEFTY2/IL32/BMP5/FGF1/BMP3/WNT3/TNFSF10/OXT/CCL4/CCL14/GDF15/CCL13/FGF2/ADM/NGF/PYY2/CD70/UCN2/PGF/DKK1/EGF/VGF/EPGN/CXCL13/BTC/PPBP/GPHA2/INS-IGF2/C1QTNF9/GRP/GDF7/GDF10/ADIPOQ/THBS4/TNFSF18/LEP/CCL8/TYMP/SAA1/IL27/CCL5	69
GO:0015267	channel activity	69/1234	389/14711	1.63412263782703e-09	3.11340599008889e-07	2.70074862496992e-07	CHRNA3/PKD2L1/TRPM2/KCNIP2/PRF1/BCL2A1/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/APOL1/NCALD/GRIA1/TMEM150C/ASIC1/GABRG1/SLC26A7/ANO1/KCNG3/SCN11A/DLG4/CHRNA6/GJD3/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/PANX2/KCNK2/TTYH1/JPH3/SCN2A/KCNJ9/CACNA1H/SCNN1G/ANO2/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/KCNJ10/NOX5/CLCA2/KCNJ15/GRIA2/SCN5A/MCOLN2/RYR2/GJA3/SCN9A/ABCC9/SCN2B/AQP7/CALHM6/SLC14A1/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D	69
GO:0022803	passive transmembrane transporter activity	69/1234	389/14711	1.63412263782703e-09	3.11340599008889e-07	2.70074862496992e-07	CHRNA3/PKD2L1/TRPM2/KCNIP2/PRF1/BCL2A1/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/APOL1/NCALD/GRIA1/TMEM150C/ASIC1/GABRG1/SLC26A7/ANO1/KCNG3/SCN11A/DLG4/CHRNA6/GJD3/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/PANX2/KCNK2/TTYH1/JPH3/SCN2A/KCNJ9/CACNA1H/SCNN1G/ANO2/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/KCNJ10/NOX5/CLCA2/KCNJ15/GRIA2/SCN5A/MCOLN2/RYR2/GJA3/SCN9A/ABCC9/SCN2B/AQP7/CALHM6/SLC14A1/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D	69
GO:0022836	gated channel activity	55/1234	280/14711	1.83790200123311e-09	3.11340599008889e-07	2.70074862496992e-07	CHRNA3/PKD2L1/TRPM2/KCNIP2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/NCALD/GRIA1/TMEM150C/ASIC1/GABRG1/ANO1/KCNG3/SCN11A/DLG4/CHRNA6/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/JPH3/SCN2A/KCNJ9/CACNA1H/SCNN1G/ANO2/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/KCNJ10/CLCA2/KCNJ15/GRIA2/SCN5A/RYR2/SCN9A/SCN2B/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D	55
GO:0022838	substrate-specific channel activity	65/1234	367/14711	5.20289201353467e-09	7.34474922577311e-07	6.37126074639859e-07	CHRNA3/PKD2L1/TRPM2/KCNIP2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/APOL1/NCALD/GRIA1/TMEM150C/ASIC1/GABRG1/SLC26A7/ANO1/KCNG3/SCN11A/DLG4/CHRNA6/GJD3/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/TTYH1/JPH3/SCN2A/KCNJ9/CACNA1H/SCNN1G/ANO2/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/KCNJ10/NOX5/CLCA2/KCNJ15/GRIA2/SCN5A/MCOLN2/RYR2/SCN9A/ABCC9/SCN2B/AQP7/CALHM6/SLC14A1/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D	65
GO:0005261	cation channel activity	52/1234	267/14711	6.91187623826625e-09	8.36337024830216e-07	7.25487160046592e-07	CHRNA3/PKD2L1/TRPM2/KCNIP2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/GRIA1/ASIC1/ANO1/KCNG3/SCN11A/CHRNA6/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/JPH3/SCN2A/KCNJ9/CACNA1H/SCNN1G/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/KCNJ10/NOX5/KCNJ15/GRIA2/SCN5A/MCOLN2/RYR2/SCN9A/ABCC9/SCN2B/CALHM6/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GRIK4/CACNA1D	52
GO:0005216	ion channel activity	63/1234	359/14711	1.29290951849007e-08	1.36886795270136e-06	1.18743532092904e-06	CHRNA3/PKD2L1/TRPM2/KCNIP2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/APOL1/NCALD/GRIA1/TMEM150C/ASIC1/GABRG1/SLC26A7/ANO1/KCNG3/SCN11A/DLG4/CHRNA6/GJD3/GRIA4/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/TTYH1/JPH3/SCN2A/KCNJ9/CACNA1H/SCNN1G/ANO2/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/KCNMB2/KCNJ6/KCNJ10/NOX5/CLCA2/KCNJ15/GRIA2/SCN5A/MCOLN2/RYR2/SCN9A/ABCC9/SCN2B/CALHM6/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GABRQ/GRIK4/CACNA1D	63
GO:0005272	sodium channel activity	17/1234	42/14711	1.52193519102348e-08	1.43231011866321e-06	1.24246872904607e-06	PKD2L1/TRPM2/SCN4A/ASIC1/SCN11A/SCN3A/SCN2A/CACNA1H/SCNN1G/SCN5A/SCN9A/SCN2B/CACNA1G/SCN4B/GRIK3/SCN7A/GRIK4	17
GO:0001664	G-protein coupled receptor binding	44/1234	230/14711	1.69606645741221e-07	1.43656828942814e-05	1.24616251291971e-05	DNM3/CXCL9/P2RY1/WNT6/CCL26/CCL7/NMB/CXCL10/WNT9A/MARCO/CXCL11/TAC1/DLG4/XCL2/RSPO3/PPP1R1B/ADRB3/CCKBR/WNT3/OXT/CCL4/CCL14/CCL13/ADM/PYY2/UCN2/NMU/DEFB1/PACRG/CXCL13/PPBP/SHANK1/GPHA2/HOMER1/LRP6/KISS1/PTCH1/PTCH2/CCL8/SAA1/GRIK3/MYOC/RAMP1/CCL5	44
GO:0005201	extracellular matrix structural constituent	20/1234	66/14711	2.45093538114921e-07	1.88722024348489e-05	1.63708411104512e-05	COL24A1/ELN/LAMB1/COL14A1/CHI3L1/COL4A4/LAMA1/MUC4/COL5A3/IMPG2/VCAN/COL27A1/COL8A2/COL3A1/COL9A1/COL4A1/COL4A2/COL15A1/COL9A2/COL9A3	20
GO:0005125	cytokine activity	36/1234	174/14711	3.08358548233653e-07	2.17649741961587e-05	1.88801988304465e-05	TGFB2/IL17D/IFNG/FASLG/CXCL9/TNFSF4/CCL26/CCL7/CRLF1/CXCL10/TGFB3/INHBC/CXCL11/XCL2/EBI3/TNFSF15/LEFTY2/IL32/BMP5/BMP3/TNFSF10/CCL4/CCL14/GDF15/CCL13/FGF2/CD70/CXCL13/PPBP/GDF7/GDF10/ADIPOQ/TNFSF18/CCL8/IL27/CCL5	36
GO:0005248	voltage-gated sodium channel activity	11/1234	22/14711	4.10345480896191e-07	2.48259015942196e-05	2.15354244861309e-05	SCN4A/SCN11A/SCN3A/SCN2A/CACNA1H/SCN5A/SCN9A/SCN2B/CACNA1G/SCN4B/SCN7A	11
GO:1905030	voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	11/1234	22/14711	4.10345480896191e-07	2.48259015942196e-05	2.15354244861309e-05	SCN4A/SCN11A/SCN3A/SCN2A/CACNA1H/SCN5A/SCN9A/SCN2B/CACNA1G/SCN4B/SCN7A	11
GO:0004930	G-protein coupled receptor activity	56/1234	343/14711	9.5982566924857e-07	5.41981561235693e-05	4.7014618746351e-05	GRM3/VIPR1/SCTR/GPR84/SFRP5/CXCR6/P2RY1/MRGPRX3/ADCYAP1R1/P2RY6/CCR5/ADGRV1/CHRM1/CXCR3/ADRB3/GNRHR/FZD10/S1PR5/TACR2/PDGFRB/GLP2R/ADGRE1/GPR171/CCKBR/GPR88/SSTR5/ADGRA1/GPR20/CALCR/PTH1R/DRD1/ACKR2/NTSR1/PAX8/TSHR/OR2A4/ADGRB3/GRM5/ADGRG2/AMHR2/CALCRL/GPR39/SFRP4/GPR63/RXFP1/FZD9/HTR2B/HTR2A/GPR15/LPAR4/GRM7/EDNRA/GRIK3/ADRA1D/RAMP1/GRM4	56
GO:0019199	transmembrane receptor protein kinase activity	21/1234	79/14711	1.38571548280082e-06	7.33563133707682e-05	6.36335136180901e-05	EPHB1/EPHA7/ACVR1C/ALK/ERBB4/NTRK3/PDGFRB/ROR1/MUSK/INSRR/EPHA10/EPHA5/SOSTDC1/AMHR2/FLT3/TEK/LTBP1/NTRK2/TYRO3/EPHA3/LTBP4	21
GO:0022890	inorganic cation transmembrane transporter activity	71/1234	480/14711	1.62923727809892e-06	7.81382400044076e-05	6.77816336582073e-05	SLC6A14/CHRNA3/PKD2L1/TRPM2/KCNIP2/ATP2B2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/GRIA1/ASIC1/KCNG3/SCN11A/CHRNA6/GRIA4/SLC6A20/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/SLC6A1/ATP6V1B1/KCNK2/TTYH1/JPH3/SCN2A/SLC8A3/KCNJ9/CACNA1H/SCNN1G/ATP6V0D2/ATP6V1G3/KCNH3/KCNA1/CHRNA4/KCNS1/CACNA2D1/SLC39A4/KCNMB2/ATP6V0A4/KCNJ6/SLC10A6/KCNJ10/SLC12A8/SLC30A2/NIPAL1/SLC5A4/KCNJ15/GRIA2/SCN5A/SLC28A1/MCOLN2/RYR2/SLC4A10/SCN9A/ABCC9/SCN2B/ATP1B2/ATP2B3/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/CLDN16/GRIK4/CACNA1D/ATP1A2	71
GO:0005126	cytokine receptor binding	41/1234	225/14711	1.6605529162684e-06	7.81382400044076e-05	6.77816336582073e-05	TGFB2/IFNG/FASLG/CXCL9/IL6R/TNFSF4/CCL26/CCL7/CRLF1/CXCL10/TGFB3/INHBC/CXCL11/XCL2/IL12RB1/EBI3/LRRC70/TNFSF15/CD300LF/LEFTY2/BMP5/BMP3/GATA3/TNFSF10/CCL4/CCL14/GDF15/CCL13/IL6ST/NGF/CD70/DEFB1/PGF/CXCL13/PPBP/GDF7/GDF10/TNFSF18/CCL8/IL27/CCL5	41
GO:0046873	metal ion transmembrane transporter activity	60/1234	390/14711	2.95353099250191e-06	0.000131665302665743	0.000114214107078467	SLC6A14/PKD2L1/TRPM2/KCNIP2/ATP2B2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/ASIC1/KCNG3/SCN11A/SLC6A20/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/SLC6A1/KCNK2/TTYH1/JPH3/SCN2A/SLC8A3/KCNJ9/CACNA1H/SCNN1G/KCNH3/KCNA1/KCNS1/CACNA2D1/SLC39A4/KCNMB2/KCNJ6/SLC10A6/KCNJ10/SLC12A8/SLC30A2/NIPAL1/SLC5A4/KCNJ15/SCN5A/SLC28A1/MCOLN2/RYR2/SLC4A10/SCN9A/ABCC9/SCN2B/ATP1B2/ATP2B3/CACNA1G/SCN4B/GRIK3/SCN7A/CLDN16/GRIK4/CACNA1D/ATP1A2	60
GO:0008201	heparin binding	29/1234	140/14711	4.15295240242453e-06	0.000175877534242679	0.000152566356678543	PTN/COL25A1/TENM1/SERPIND1/CCL7/LPL/ECM2/CXCL10/CXCL11/RSPO3/SOST/COL5A3/LTF/IMPG2/FGF1/SLIT2/LIPH/VTN/FGF2/POSTN/PGF/ADAMTS8/CXCL13/MPO/PTCH1/THBS4/CCL8/SAA1/CHRD	29
GO:0015077	monovalent inorganic cation transmembrane transporter activity	50/1234	317/14711	9.76091095493922e-06	0.000393690075182548	0.000341509566242986	SLC6A14/PKD2L1/TRPM2/KCNIP2/KCNB2/REST/KCNH8/SCN4A/ASIC1/KCNG3/SCN11A/SLC6A20/KCNQ2/SCN3A/KCNV1/LRRC55/SLC6A1/ATP6V1B1/KCNK2/SCN2A/SLC8A3/KCNJ9/CACNA1H/SCNN1G/ATP6V0D2/ATP6V1G3/KCNH3/KCNA1/KCNS1/KCNMB2/ATP6V0A4/KCNJ6/SLC10A6/KCNJ10/SLC12A8/SLC5A4/KCNJ15/SCN5A/SLC28A1/SLC4A10/SCN9A/ABCC9/SCN2B/ATP1B2/CACNA1G/SCN4B/GRIK3/SCN7A/GRIK4/ATP1A2	50
GO:0030414	peptidase inhibitor activity	26/1234	124/14711	1.02259274925417e-05	0.000393698208462857	0.000341516621521251	PTTG1/COL6A3/BIRC7/PI15/SERPIND1/TIMP4/BIRC5/CSTA/SERPINB4/WFDC1/SSPO/SERPINA1/CST7/LTF/SLPI/SNCA/SPOCK3/WFIKKN2/CD27/SERPINB3/NGF/SERPINE3/MT3/BST2/PI3/CPAMD8	26
GO:0005244	voltage-gated ion channel activity	32/1234	170/14711	1.12568812039712e-05	0.000397274099156816	0.000344618556156661	KCNIP2/CACNA2D2/KCNB2/REST/KCNH8/SCN4A/ANO1/KCNG3/SCN11A/KCNQ2/SCN3A/CATSPER1/KCNV1/LRRC55/KCNK2/SCN2A/KCNJ9/CACNA1H/KCNH3/KCNA1/KCNS1/CACNA2D1/KCNJ6/KCNJ10/KCNJ15/SCN5A/SCN9A/SCN2B/CACNA1G/SCN4B/SCN7A/CACNA1D	32
