ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of receptor activity	89/1163	437/14458	1.20225437055376e-16	5.91148474001284e-13	4.73941328181456e-13	CXCL5/SCGB3A1/WNT5A/FOXH1/SERPINE1/GREM1/INHBE/SCT/IL10/TNFSF18/JSRP1/CMTM5/TNFSF8/ANGPTL8/CTGF/EREG/C1QTNF12/CXCL3/CACNG4/WNT4/CALCA/BTC/NOV/WNT7B/NPPB/HGF/SPP1/CALCB/WNT8B/VGF/WNT3/ADM2/MIA/CRLF1/LHB/IL11/CXCL2/VIP/IL20/EDN3/CXCL1/CRH/PTHLH/NPY/LYPD6/GHRH/OGN/CGA/HAMP/PMCH/AREG/NPFF/SPX/WNT9A/AGER/INHBA/FGF17/CXCL12/TNFRSF11B/RASGRF1/FBN1/NOG/CRHBP/KITLG/NOS1/THBS4/CORT/FGF13/NCOA2/CNIH2/INS/P2RY1/NETO2/CXCL14/PROK1/BMP2/GPRC5A/ERRFI1/BMP3/PDGFC/LYPD1/GAL/TNFSF15/UCN/ADRA2A/NPPC/AMH/PSPN/CCK	89
GO:0030198	extracellular matrix organization	67/1163	299/14458	6.53720369758998e-15	1.27495978869475e-11	1.02217321401835e-11	COL4A4/DPP4/SERPINE1/GREM1/TLL1/CYP1B1/MADCAM1/COL4A3/LUM/CTGF/COL27A1/NPNT/SCUBE1/FBN2/SPP1/FERMT1/COL2A1/ADAMTS4/MPZL3/COL11A1/TNR/ELANE/ACAN/MFAP5/NID2/CARMIL2/PXDN/ITGA2/ITGA1/ITGA11/SCUBE3/SULF2/LAMB3/KDR/TNFRSF11B/COL12A1/ITGA4/POSTN/PDGFRA/ADAM19/FBN1/ITGA9/COL8A1/ETS1/ADAMTS2/FLRT2/PHLDB2/COL5A2/FOXC2/LOX/DCN/ITGB3/DDR2/HSPG2/COL4A1/FN1/ITGA8/COL6A3/VCAN/CCDC80/TNC/LAMC2/THBS1/LAMA2/MMP14/ANTXR1/NOX1	67
GO:0043062	extracellular structure organization	67/1163	300/14458	7.77888827757626e-15	1.27495978869475e-11	1.02217321401835e-11	COL4A4/DPP4/SERPINE1/GREM1/TLL1/CYP1B1/MADCAM1/COL4A3/LUM/CTGF/COL27A1/NPNT/SCUBE1/FBN2/SPP1/FERMT1/COL2A1/ADAMTS4/MPZL3/COL11A1/TNR/ELANE/ACAN/MFAP5/NID2/CARMIL2/PXDN/ITGA2/ITGA1/ITGA11/SCUBE3/SULF2/LAMB3/KDR/TNFRSF11B/COL12A1/ITGA4/POSTN/PDGFRA/ADAM19/FBN1/ITGA9/COL8A1/ETS1/ADAMTS2/FLRT2/PHLDB2/COL5A2/FOXC2/LOX/DCN/ITGB3/DDR2/HSPG2/COL4A1/FN1/ITGA8/COL6A3/VCAN/CCDC80/TNC/LAMC2/THBS1/LAMA2/MMP14/ANTXR1/NOX1	67
GO:0003013	circulatory system process	86/1163	459/14458	6.5453047016166e-14	8.0458158044622e-11	6.45057002830373e-11	MYH6/NPY5R/MYH7/COL4A3/EDNRB/KCNE1/CACNA2D1/ATP1A2/THRB/CTGF/ADRA1A/HRH2/ACSM3/ADRB3/PROKR1/CACNG4/CALCA/CYP11B1/NPPB/FOXN4/TRHDE/GCGR/MYLK3/SEMA3A/ASIC2/ADM2/KCNK1/TCAP/SCN1A/DSG2/PTGS2/CYP4F12/AZU1/EDN3/CRH/MME/KCNJ3/NPY/NPFF/SPX/PCSK5/ITGA1/EGFR/GJA1/ACE/SLIT2/CXCL12/AVPR1A/FLNA/S100A1/PIK3CG/RYR3/TEK/PRKG1/EHD3/POSTN/CYSLTR1/PDE3A/AR/LNPEP/F2R/ATP2A1/DRD1/NOS1/SGK1/FOXC2/NPR3/HTR2A/SGCD/INS/KCND3/ITPR3/P2RY1/MYOF/EDNRA/HTR1D/CTNNA3/UCN/IRX5/ADRA2A/ADRA1D/NPPC/CACNA1H/NOX1/HTR1B/PTAFR	86
GO:0008015	blood circulation	85/1163	455/14458	1.09484481293426e-13	1.07667038903956e-10	8.63198699881857e-11	MYH6/NPY5R/MYH7/COL4A3/EDNRB/KCNE1/CACNA2D1/ATP1A2/THRB/CTGF/ADRA1A/HRH2/ACSM3/ADRB3/PROKR1/CACNG4/CALCA/CYP11B1/NPPB/FOXN4/TRHDE/GCGR/MYLK3/SEMA3A/ASIC2/ADM2/KCNK1/TCAP/SCN1A/DSG2/PTGS2/CYP4F12/AZU1/EDN3/CRH/MME/KCNJ3/NPY/NPFF/SPX/PCSK5/ITGA1/EGFR/GJA1/ACE/SLIT2/CXCL12/AVPR1A/FLNA/S100A1/PIK3CG/RYR3/TEK/PRKG1/EHD3/POSTN/PDE3A/AR/LNPEP/F2R/ATP2A1/DRD1/NOS1/SGK1/FOXC2/NPR3/HTR2A/SGCD/INS/KCND3/ITPR3/P2RY1/MYOF/EDNRA/HTR1D/CTNNA3/UCN/IRX5/ADRA2A/ADRA1D/NPPC/CACNA1H/NOX1/HTR1B/PTAFR	85
GO:0007600	sensory perception	80/1163	434/14458	1.24101991542766e-12	9.77346797781754e-10	7.83568020228995e-10	TMIE/CEMIP/CYP1B1/CRYM/COL4A3/EDNRB/KCNE1/TSPEAR/IL10/SYT10/KCNQ4/TRPA1/LUM/SLC24A2/THRB/GRIN1/VAX2/CNGB1/GABRB2/OR13J1/CALCA/NOV/ATP6V0A4/KCNK4/CCKBR/COL2A1/GJD2/ASIC2/GABRR2/RCVRN/SCN1A/COL11A1/RBP3/PTGS2/OPRD1/PCDH15/SIX6/NPY2R/MME/SAG/USH1C/CHRNA4/NTSR2/NPFF/SPX/CHRNA10/ITGA2/EYA3/PRCD/GRM1/ASIC3/CXCL12/ROR1/SNAI2/F2R/POMK/LXN/DRGX/KIT/BIRC5/EPHB1/PIEZO2/HTR2A/TRPM3/RS1/P2RX7/ITPR3/P2RY1/HMCN1/NR2E3/P2RX3/ACPP/SCNN1D/DCDC2/UCN/IRX5/SCNN1A/CCK/CDH23/PTAFR	80
GO:0044057	regulation of system process	82/1163	452/14458	1.54463962995562e-12	9.77346797781754e-10	7.83568020228995e-10	MYH6/WASF3/TNNC2/MYH7/EDNRB/SCT/KCNE1/CACNA2D1/IL10/ATP1A2/THRB/CTGF/ADRA1A/HRH2/CACNG4/NPNT/CALCA/NOV/NPPB/HGF/FOXN4/SEMA3A/ASIC2/KCNK1/MLIP/TNR/DSG2/PTGS2/OPRD1/NPY2R/EDN3/CRH/KCNJ3/TLX3/HAMP/CRHR1/NPFF/SPX/ITGA2/GRM1/IGFBP5/INHBA/EGFR/GJA1/ACE/AVPR1A/FLNA/S100A1/PIK3CG/RYR3/PRKG1/EHD3/F2R/ATP2A1/CALCRL/APOA1/KIT/CRHBP/NOS1/SGK1/FGF13/FOXL2/HTR2A/KCND3/IL6ST/ITPR3/P2RX3/ACPP/ERRFI1/MYOCD/KLF4/GAL/CTNNA3/UCN/IRX5/ADRA2A/ADRA1D/NPPC/FOXO1/CCK/CACNA1H/PTAFR	82
GO:0019233	sensory perception of pain	30/1163	86/14458	1.59015138951679e-12	9.77346797781754e-10	7.83568020228995e-10	EDNRB/IL10/TRPA1/GRIN1/CALCA/NOV/KCNK4/SCN1A/PTGS2/OPRD1/NPY2R/MME/CHRNA4/NPFF/SPX/ITGA2/GRM1/ASIC3/CXCL12/F2R/POMK/LXN/EPHB1/HTR2A/P2RX7/P2RY1/P2RX3/ACPP/CCK/PTAFR	30
GO:0008544	epidermis development	55/1163	263/14458	3.24079085835644e-11	1.77055207228207e-08	1.41950429994677e-08	KRTAP5-1/WNT5A/PPL/PKP1/FLG/CTGF/EREG/KDF1/DCT/PRSS8/HPSE/BNC1/MSX2/FERMT1/KRT71/RBP2/KLK14/POU2F3/DSG2/KRT81/KRTAP5-7/EVPL/IL20/KRT80/PTHLH/USH1C/MYSM1/APCDD1/KAZN/IGFBP5/INHBA/EGFR/LAMB3/CD109/CRABP2/EPHA2/LRP4/ZFP36L1/DNASE1L2/POU3F1/FOXQ1/EMP1/KRT9/UGCG/SFRP4/LATS1/CYP26B1/ERRFI1/KLF4/GAL/TGM1/LAMC2/ROCK2/SULT2B1/SOSTDC1	55
GO:0040017	positive regulation of locomotion	76/1163	432/14458	4.87409650197755e-11	2.39659325002236e-08	1.92142014735852e-08	CEMIP/CXCL5/WNT5A/TNFAIP6/CD274/F10/SERPINE1/PROX1/MADCAM1/ACKR3/TNFSF18/CXCL3/HGF/CCR4/TWIST1/FPR2/SEMA3A/FAM110C/TNFRSF18/NTRK3/CCBE1/CXCL2/ELANE/PTGS2/AZU1/EDN3/CXCL1/CGA/CARMIL2/ITGA2/AGER/ZNF703/EGFR/SLIT2/CXCL12/FLNA/KDR/SNAI2/TEK/ITGA4/TGFBR2/POSTN/F2R/PDGFRA/ETS1/KIT/DRD1/KITLG/DAPK2/THBS4/NTN1/IL6R/FOXC2/CDH13/CAMK1D/FLT1/DOCK8/INS/ITGB3/F3/DDR2/IL1R1/CXCL14/MYLK/BMP2/SRPX2/PDGFC/LRRC15/FN1/ADRA2A/DOCK1/LAMC2/THBS1/ROCK2/MMP14/PTAFR	76
