ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	80/1247	322/15218	6.03265871824916e-20	3.09475392246182e-17	2.80042367868198e-17	MATN2/WNT5A/GPC3/THBS2/COL4A4/CTHRC1/LAMB4/COL4A3/OMD/FREM1/LUM/ACHE/CRTAC1/SPON1/CTGF/COL27A1/NPNT/WNT4/HPSE/COL24A1/NOV/WNT7B/SFRP1/FBN2/COL6A6/COL2A1/WNT8B/ADAMTS4/WNT3/MMP17/SBSPON/COL11A1/TNR/COL28A1/RBP3/CCBE1/ACAN/OGN/OMG/LRRC55/MFAP5/NID2/WNT9A/PXDN/LAMB3/TNFRSF11B/ADAMTSL3/COL12A1/POSTN/FBN1/COL8A1/TGFBR3/ADAMTS2/FLRT2/THBS4/NTN1/ADAMTS15/COL15A1/COL5A2/LTBP1/LOX/DCN/ASPN/COL21A1/HSPG2/HMCN1/IL1RL1/COL4A1/P3H2/FN1/SPARCL1/GPC6/COL6A3/VCAN/CCDC80/ADAMTSL1/TNC/LAMC2/LAMA2/WISP1	80
GO:0031012	extracellular matrix	97/1247	493/15218	1.95356956698891e-16	5.01090593932656e-14	4.53433778443216e-14	MATN2/WNT5A/GPC3/THBS2/COL4A4/SERPINE1/CTHRC1/LAMB4/COL4A3/OMD/FREM1/LUM/ACHE/CRTAC1/SPON1/CTGF/COL27A1/DEFA1B/NPNT/PRTN3/WNT4/HPSE/COL24A1/NOV/WNT7B/SFRP1/FBN2/COL6A6/COL2A1/HIST1H4B/WNT8B/ADAMTS4/WNT3/MMP17/SBSPON/COL11A1/TNR/COL28A1/RBP3/AMBP/CCBE1/HIST1H4A/ACAN/APOH/OGN/OMG/LRRC55/MFAP5/NID2/WNT9A/PXDN/CD93/EDIL3/LAMB3/FLNA/TNFRSF11B/ADAMTSL3/COL12A1/POSTN/FBN1/COL8A1/APOA1/TGFBR3/A1BG/ADAMTS2/FLRT2/THBS4/NTN1/ADAMTS15/COL15A1/COL5A2/LTBP1/CDH13/LOX/DCN/ASPN/COL21A1/F3/HSPG2/HMCN1/IL1RL1/COL4A1/P3H2/FN1/SPARCL1/GPC6/COL6A3/VCAN/CCDC80/ADAMTSL1/TNC/LAMC2/THBS1/LAMA2/MMP14/ADAM11/WISP1	97
GO:0044420	extracellular matrix component	36/1247	116/15218	9.59291437544939e-13	1.64038835820185e-10	1.48437727704322e-10	MATN2/THBS2/COL4A4/LAMB4/COL4A3/FREM1/LUM/ACHE/COL27A1/NPNT/FBN2/COL2A1/COL11A1/TNR/COL28A1/RBP3/MFAP5/NID2/LAMB3/COL12A1/FBN1/COL8A1/THBS4/NTN1/COL15A1/COL5A2/LTBP1/HSPG2/HMCN1/COL4A1/P3H2/FN1/CCDC80/TNC/LAMC2/LAMA2	36
GO:0043235	receptor complex	57/1247	296/15218	8.60241594546432e-10	1.1032598450058e-07	9.98333008407833e-08	GABRR1/PLXNA4/KCTD8/LRP1B/GRIN1/GABRA4/GABRE/ADRB3/CACNG4/CNGB1/GABRB2/NPNT/GABBR2/TRPV3/GABRR2/KCNK1/NTRK3/GRIA3/PEX5L/CHRNA4/CHRNA10/GHR/ITGA2/OSMR/GRM1/ITGA1/ITGA11/IRS1/ADCYAP1R1/EGFR/SHISA6/NOTCH2/NTRK2/ROR1/NOTCH3/ITGA4/TGFBR2/LRP4/ITGA9/TGFBR3/GPR20/IL6R/FLT1/CNIH2/ITGB3/GPR63/IL6ST/ITPR3/P2RX3/ABCG2/BMP2/ACVR1C/ITGA8/ADRA2A/LDLR/GRIN3B/PTPRB	57
GO:0005796	Golgi lumen	24/1247	74/15218	2.17086839525233e-09	2.22731097352889e-07	2.01547992064479e-07	WNT5A/GPC3/F10/MUC6/OMD/LUM/DEFA1B/WNT4/WNT7B/PROZ/WNT3/LHB/ACAN/MUC15/OGN/CGA/PCSK5/BGLAP/INS/DCN/HSPG2/GPC6/VCAN/MMP14	24
GO:0005581	collagen trimer	25/1247	82/15218	4.2817262490548e-09	3.66087594294185e-07	3.31270399268977e-07	COL4A4/CTHRC1/COL4A3/LUM/C1QL3/COL27A1/COL24A1/COL6A6/COL2A1/COL11A1/COL28A1/CCBE1/C1QTNF9B/COLEC12/COL12A1/COL8A1/COL15A1/COL5A2/LOX/DCN/COL21A1/COL25A1/COL4A1/COL6A3/C1QL4	25
GO:0005604	basement membrane	26/1247	89/15218	5.78355546204132e-09	4.23851993146742e-07	3.83541046430109e-07	MATN2/THBS2/COL4A4/LAMB4/COL4A3/FREM1/ACHE/NPNT/COL2A1/COL28A1/NID2/LAMB3/FBN1/COL8A1/THBS4/NTN1/COL15A1/HSPG2/HMCN1/COL4A1/P3H2/FN1/CCDC80/TNC/LAMC2/LAMA2	26
GO:0005788	endoplasmic reticulum lumen	50/1247	268/15218	2.74671473368212e-08	1.76133082297366e-06	1.59381736520239e-06	WNT5A/GPC3/F10/COL4A4/COL4A3/EVA1A/ARSI/SPON1/COL27A1/WNT4/COL24A1/WNT7B/SPP1/ARSF/PROZ/COL2A1/VGF/WNT3/C3/COL11A1/COL28A1/PTGS2/MSLN/SERPIND1/IGFBP5/BGLAP/COL12A1/FBN1/COL8A1/APOA1/COL15A1/COL5A2/LTBP1/PDIA2/ALB/INS/CHRDL1/COL21A1/ARSJ/COL25A1/COL4A1/PDGFC/P3H2/FN1/SPARCL1/COL6A3/VCAN/ADAMTSL1/TNC/THBS1	50
GO:0034702	ion channel complex	43/1247	251/15218	2.75208011789302e-06	0.000156868566719902	0.000141949395554482	SCN8A/GABRR1/KCNT1/KCNE1/CACNA2D1/KCNQ4/GLRA3/TTYH1/KCNF1/GRIN1/GABRA4/GABRE/KCNS1/DPP10/KCNS2/KCNG3/CACNG4/CNGB1/GABRB2/CATSPERZ/KCNK2/KCNQ3/KCNK4/GABRR2/KCNK1/KCNA4/SCN1A/KCNN1/GRIA3/TRPC5/KCNJ3/CHRNA4/LRRC55/CHRNA10/CACNA1E/SHISA6/ATP2A1/NOS1/CNIH2/KCND3/SCNN1A/GRIN3B/CACNA1H	43
GO:0034703	cation channel complex	34/1247	189/15218	1.02020592738051e-05	0.000523365640746203	0.000473590330499796	SCN8A/KCNT1/KCNE1/CACNA2D1/KCNQ4/KCNF1/GRIN1/KCNS1/DPP10/KCNS2/KCNG3/CACNG4/CNGB1/CATSPERZ/KCNK2/KCNQ3/KCNK4/KCNK1/KCNA4/SCN1A/KCNN1/GRIA3/TRPC5/KCNJ3/LRRC55/CACNA1E/SHISA6/ATP2A1/NOS1/CNIH2/KCND3/SCNN1A/GRIN3B/CACNA1H	34
