ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005179	hormone activity	30/1977	74/14831	5.46510484278578e-09	5.5744069396415e-06	5.37881371368917e-06	UCN3/PENK/INHA/PYY2/HAMP/EPO/VGF/C1QTNF12/TTR/NMB/UCN/NPFF/UCN2/POMC/ANGPTL8/SCT/GHRL/AMH/GNRH1/INHBA/GPHA2/CORT/NPPA/PMCH/GRP/INSL3/TG/UTS2/CALCA/CGB7	30
GO:0003735	structural constituent of ribosome	46/1977	154/14831	5.7947405975291e-08	2.95531770473984e-05	2.85162234667879e-05	RPS17/RPL28/RPS2/RPL18A/RPS10/RPS4Y2/MRPL27/MRPS21/RPLP1/MRPL52/RPL13/RPL32/RPS20/RPL24/RPL14/RPL38/UBA52/RPL21/RPS9/RPS28/MRPL28/MRPL41/RPL27A/RPL37A/RPL11/RPL39/RPL37/RPL13AP3/RPL35/MRPL23/RPS16/RPS29/RPL23/RPL34/RPLP2/RPL8/RPL18/RPL9/RPL29/RPS11/MRPL12/RPS21/RPS19/MRPL55/RPL36/RPS15	46
GO:0048018	receptor ligand activity	80/1977	340/14831	1.71755714955416e-07	5.83969430848414e-05	5.63479275380049e-05	CXCL13/UCN3/WISP3/PENK/MIA/CRLF1/GDNF/PROK1/TIMP1/PSPN/INHA/WNT3A/BMP8B/PYY2/CLEC11A/FAM3D/GDF7/HAMP/WNT8B/F2/IL17B/EPO/VGF/C1QTNF12/SAA4/TTR/CCL21/CTF1/GDF5/NRTN/NMB/UCN/NPFF/UCN2/BTC/POMC/ANGPTL8/GMFG/TNFSF15/CMTM5/NENF/SCT/GHRL/PGF/DKK1/GDF10/CXCL5/ARTN/SCGB3A1/APOA1/LTB/NTF4/FLT3LG/AMH/GNRH1/INHBA/GPHA2/CORT/NPPA/IFNE/PF4V1/CCL26/FGF17/C1QTNF4/CCL23/NBL1/PMCH/SAA1/MIF/IL32/GRP/TFF1/INSL3/TG/CCL14/UTS2/CALCA/CCL15/CCL17/CGB7	80
GO:0004930	G-protein coupled receptor activity	83/1977	360/14831	2.5566809535312e-07	6.51953643150457e-05	6.29078076724125e-05	GPR15/PRLHR/OR14I1/GPRC6A/OXER1/GRPR/DRD2/ADGRD2/ADRA2B/CCR10/GALR3/ADGRF5/MLNR/HTR1F/PTGER1/NPR3/CCR4/HRH3/GPR152/AVPR1A/RAMP2/CXCR1/GPBAR1/GPR176/SPHK1/FZD9/ADRB3/MC1R/GRM8/GPR75/ADCYAP1R1/S1PR5/HTR4/ADGRB1/CCKBR/P2RY11/RAMP1/TACR2/S1PR4/CCR8/SFRP5/CYSLTR1/ADRA2C/MTNR1A/OPN1SW/OR52R1/DRD4/NPY4R/HCAR1/OR51T1/HTR2A/GPR174/SSTR1/GNRHR/OR51S1/ADGRG2/XCR1/PTH1R/ADRA1D/AVPR1B/CYSLTR2/ADGRF1/SUCNR1/LPAR4/IGF2R/PTAFR/ACKR1/P2RY4/LPAR3/GRM6/HTR1B/OR2A4/GPR141/P2RY1/ADGRV1/NTSR1/CHRM3/GPR63/CCKAR/OR56B4/GPR158/GPR157/CRHR1	83
GO:0030545	receptor regulator activity	83/1977	363/14831	3.70453808269649e-07	7.55725768870085e-05	7.2920907522552e-05	CXCL13/UCN3/WISP3/PENK/MIA/CRLF1/GDNF/PROK1/TIMP1/PSPN/INHA/WNT3A/BMP8B/PYY2/CLEC11A/NCOA2/FAM3D/GDF7/HAMP/WNT8B/F2/IL17B/EPO/VGF/C1QTNF12/SAA4/TTR/CCL21/CTF1/GDF5/NRTN/NMB/UCN/NPFF/UCN2/BTC/POMC/ANGPTL8/GMFG/TNFSF15/CMTM5/NENF/SCT/GHRL/PGF/DKK1/GDF10/PPARGC1B/LY6G6D/CXCL5/ARTN/SCGB3A1/APOA1/LTB/NTF4/FLT3LG/AMH/GNRH1/INHBA/GPHA2/CORT/NPPA/IFNE/PF4V1/CCL26/FGF17/C1QTNF4/CCL23/NBL1/PMCH/SAA1/MIF/IL32/GRP/TFF1/INSL3/TG/CCL14/UTS2/CALCA/CCL15/CCL17/CGB7	83
GO:0016247	channel regulator activity	30/1977	117/14831	0.000251718032612623	0.0385006235896891	0.0371497245163667	AKAP9/KCNE5/FXYD1/FXYD5/NOS1/AMIGO1/GPLD1/VAMP8/RSC1A1/FXYD6/CAV3/BSND/TNNI3/FXYD4/CHRNA7/DRD4/LRRC26/STX8/RANGRF/FXYD2/KCNMB1/PHPT1/DPP6/FXYD7/FXYD3/SLC30A1/PRKG1/AMBP/WNK3/ITPR1	30
GO:0140104	molecular carrier activity	8/1977	15/14831	0.000264219965811592	0.0385006235896891	0.0371497245163667	ATP7A/MB/CCS/COX17/HBA2/HBA1/HBE1/ATOX1	8
GO:0005212	structural constituent of eye lens	7/1977	12/14831	0.000317199810567851	0.0386871322216908	0.037329688985842	CRYBA4/CRYBB2/CRYAB/CRYBB3/CRYGS/CRYBA2/HSPB6	7
GO:0005184	neuropeptide hormone activity	9/1977	19/14831	0.000341357049014919	0.0386871322216908	0.037329688985842	PENK/PYY2/VGF/UCN/NPFF/POMC/CORT/NPPA/GRP	9
GO:0008307	structural constituent of muscle	14/1977	40/14831	0.000415536407531334	0.0423847135681961	0.0408975306359787	MYLPF/SMTN/MYOM3/MYL6B/CAPN3/MYL5/MYBPC3/ANKRD2/MYOT/TPM2/TCAP/MYL9/MYL3/MYL6	14
