ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa03010	Ribosome	37/647	86/5072	1.98392656234539e-12	3.88849606219697e-10	3.63371812471682e-10	6218/6158/6187/6142/6204/6176/6137/6161/6224/6152/9045/6169/7311/6144/6203/6234/6157/6168/6135/6170/6167/2197/11224/6217/6235/9349/6164/6181/6132/6141/6133/6159/6205/6227/6223/25873/6209	37
hsa04080	Neuroactive ligand-receptor interaction	57/647	206/5072	3.77354774653969e-09	3.6980767916089e-07	3.45577530472582e-07	2834/2925/1813/2570/151/8484/2862/3355/5731/2147/11255/706/552/155/4157/22953/2918/117/53637/3360/5023/887/8973/5032/2564/6865/8698/1139/10800/152/4543/1815/5540/3356/6751/2798/5745/146/116443/553/57105/2846/5724/5027/5030/23566/2916/57053/3351/5028/5618/4923/1131/886/2554/9127/1394	57
hsa04260	Cardiac muscle contraction	25/647	62/5072	4.0549860176152e-08	2.6492575315086e-06	2.47567567391244e-06	4625/1340/29796/781/10975/84701/59285/70/7139/7134/1329/4624/786/7137/1346/7381/778/125965/7169/486/27089/1327/4634/776/1345	25
hsa00190	Oxidative phosphorylation	32/647	113/5072	6.54363770184822e-06	0.000320638247390563	0.000299629726347787	479/4726/1340/10312/4696/4708/29796/4695/10063/10975/84701/51079/4713/1329/374291/4725/525/1346/7381/126328/514/125965/4728/4707/27089/513/1327/521/4716/4694/1345/54539	32
hsa05010	Alzheimer's disease	39/647	157/5072	2.06219644681194e-05	0.000808381007150281	0.000755415119463743	51806/4726/3416/1340/572/4696/4708/29796/4842/4695/10975/84701/51079/4713/1329/374291/4725/1346/7381/126328/778/514/125965/163688/4728/4707/27089/513/102/1327/4716/3709/3708/776/2081/4694/1345/810/54539	39
hsa05410	Hypertrophic cardiomyopathy (HCM)	23/647	75/5072	3.292183402166e-05	0.00107544657804089	0.00100498230171383	4625/8516/3674/781/3673/59285/70/7139/6442/7134/4607/4624/786/7137/3680/1674/778/7169/6445/4634/3685/3676/776	23
hsa05414	Dilated cardiomyopathy	24/647	81/5072	4.18461773353684e-05	0.00117169296539031	0.00109492253479009	4625/8516/3674/107/781/3673/59285/70/7139/6442/7134/4607/4624/786/7137/3680/1674/778/7169/6445/4634/3685/3676/776	24
hsa05012	Parkinson's disease	29/647	113/5072	0.000128058516048835	0.00313743364319646	0.00293186602532859	4726/1340/4696/4708/29796/4695/10975/6571/84701/51079/4713/1329/374291/4725/1346/7381/126328/514/125965/7054/4728/4707/27089/513/1327/4716/4694/1345/54539	29
hsa05016	Huntington's disease	38/647	169/5072	0.000258073436626195	0.00562026595319268	0.00525202081555062	4726/2033/1175/1340/4696/4708/29796/4695/10975/84701/5441/51079/4713/5438/1329/374291/4725/1346/1212/7381/126328/55567/514/125965/4728/4707/27089/513/1327/5439/4716/3092/2876/5978/3708/4694/1345/54539	38
hsa04970	Salivary secretion	21/647	75/5072	0.000301399173255498	0.00590742379580777	0.00552036380489018	51806/727897/2977/4842/276/107/1469/1473/155/1472/5593/5555/163688/146/486/5592/3709/1131/3708/810/1471	21
hsa04270	Vascular smooth muscle contraction	26/647	106/5072	0.00060597070885494	0.0107972962668698	0.0100898472096421	51806/5319/2977/107/94274/123745/552/10266/9475/72/140465/10267/778/6093/163688/146/553/59/10398/3779/5592/3709/3708/4637/776/810	26
hsa04020	Calcium signaling pathway	35/647	164/5072	0.00122677520897343	0.0200373284132326	0.0187244637159102	51806/2925/4842/107/5731/552/8877/3706/155/22953/7134/3360/5023/887/6865/1139/10800/778/3356/163688/1956/146/553/57105/5724/5027/7125/3709/4923/1131/3708/886/776/810/9127	35
