ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005539	glycosaminoglycan binding	73/1352	193/14655	1.95914089776876e-27	1.64567835412575e-24	1.34252707836575e-24	STAB2/CCL8/RSPO1/ANOS1/CXCL6/COMP/CXCL13/PLA2G2D/PF4/PF4V1/VIT/PLA2G5/TREM2/COL25A1/CCL7/WISP2/FN1/LTBP2/FGF10/CRISPLD2/THBS4/APOE/COL5A1/THBS1/CCDC80/CTGF/CHRD/ADAMTS3/PCOLCE/RSPO2/ADAMTS5/CCL2/FSTL1/CTSG/NRP1/FGFR1/TNXB/WISP1/ADAMTS1/FBN1/CFH/GREM2/NRP2/TENM1/THBS2/FBLN7/DCN/NLRP3/VCAN/GPNMB/SELL/EPYC/SLIT2/DPYSL3/APOB/CYR61/ECM2/PTN/FGF7/SFRP1/LYVE1/COL5A3/HABP2/SUSD5/LAYN/PRELP/ADA2/BGN/ABI3BP/FGF1/TNFAIP6/POSTN/VTN	73
GO:0008201	heparin binding	59/1352	147/14655	5.82559061939624e-24	2.44674806014642e-21	1.99603131222471e-21	CCL8/RSPO1/ANOS1/CXCL6/COMP/CXCL13/PLA2G2D/PF4/PF4V1/PLA2G5/COL25A1/CCL7/WISP2/FN1/LTBP2/FGF10/CRISPLD2/THBS4/APOE/COL5A1/THBS1/CCDC80/CTGF/CHRD/ADAMTS3/PCOLCE/RSPO2/ADAMTS5/CCL2/FSTL1/CTSG/NRP1/FGFR1/TNXB/WISP1/ADAMTS1/FBN1/CFH/GREM2/NRP2/TENM1/THBS2/FBLN7/GPNMB/SELL/SLIT2/APOB/CYR61/ECM2/PTN/FGF7/SFRP1/COL5A3/PRELP/ADA2/ABI3BP/FGF1/POSTN/VTN	59
GO:0005201	extracellular matrix structural constituent	37/1352	66/14655	1.01085148678342e-21	2.83038416299359e-19	2.30899760665266e-19	COL9A1/ANOS1/CHI3L1/COL4A4/COMP/AMELX/TFPI2/COL2A1/COL19A1/EMILIN1/COL1A2/MGP/COL1A1/COL3A1/COL11A1/COL5A1/COL12A1/COL24A1/ELN/MATN3/FBN1/COL5A2/COL15A1/VCAN/COL4A1/FBLN1/FBLN2/PXDN/COL5A3/LUM/PRELP/BGN/MFAP5/COL8A2/LAMA4/COL14A1/FBN2	37
GO:1901681	sulfur compound binding	66/1352	216/14655	4.20253540385562e-19	8.8253243480968e-17	7.19960670502634e-17	CCL8/RSPO1/ANOS1/CXCL6/COMP/CXCL13/PLA2G2D/PF4/PF4V1/PLA2G5/HS3ST5/COL25A1/OGDHL/CCL7/WISP2/FN1/LTBP2/FGF10/CRISPLD2/THBS4/SULT1A3/APOE/COL5A1/THBS1/CCDC80/CTGF/CHRD/ADAMTS3/PCOLCE/RSPO2/ADAMTS5/CCL2/FSTL1/CTSG/NRP1/FGFR1/TNXB/WISP1/ADAMTS1/FBN1/CFH/GREM2/NRP2/TENM1/THBS2/FBLN7/GPNMB/SELL/SLIT2/DPYSL3/APOB/CYR61/ECM2/PTN/FGF7/SFRP1/COL5A3/PRELP/ADA2/GPC6/ABI3BP/FGF1/POSTN/GPC3/FST/VTN	66
GO:0048018	receptor ligand activity	86/1352	348/14655	6.42257743664113e-18	1.07899300935571e-15	8.80231139211237e-16	SCT/IL10/GRP/KCNK3/CCL8/PYY2/WNT7A/IGF2/WNT9A/SPP1/CXCL6/CCL13/CXCL13/PF4/PF4V1/THPO/IL17C/ADCYAP1/APOA1/FGF5/HAMP/INS-IGF2/IL13/TNFSF14/AMELX/IL24/CCL24/CCL26/NPY/BMP3/SAA4/CCL7/FGF19/EPO/IL36RN/PSPN/NRG3/GDF5/FLRT2/PDGFC/CXCL12/FGF10/THBS4/CCL19/HGF/LEP/TNFSF18/OGN/EFEMP1/TNFSF13B/CTGF/GREM1/CCL2/GDF6/TGFB3/CXCL9/CCL21/FBN1/GREM2/WNT2/TNFSF4/UCN/GPNMB/CCL18/TGFB2/CMTM3/EDN1/IGF1/PTN/STC1/FGF7/PTHLH/SFRP2/CXCL5/CCL14/CORT/INHBA/ADA2/IL6/VEGFC/TNFSF8/FGF1/TNF/FGF14/NGF/CRLF1	86
GO:0030545	receptor regulator activity	88/1352	370/14655	3.47442426824313e-17	4.86419397554039e-15	3.968158243204e-15	SCT/IL10/GRP/KCNK3/CCL8/PYY2/WNT7A/IGF2/WNT9A/SPP1/CXCL6/CCL13/CXCL13/PF4/PF4V1/THPO/IL17C/ADCYAP1/APOA1/FGF5/HAMP/INS-IGF2/IL13/TNFSF14/AMELX/IL24/CCL24/CCL26/NPY/BMP3/SAA4/CCL7/FGF19/EPO/IL36RN/PSPN/NRG3/GDF5/FLRT2/PDGFC/CXCL12/FGF10/THBS4/CCL19/HGF/LEP/TNFSF18/OGN/EFEMP1/TNFSF13B/CTGF/GREM1/CCL2/GDF6/TGFB3/CXCL9/CCL21/FBN1/GREM2/WNT2/TNFSF4/UCN/GPNMB/CCL18/TGFB2/CMTM3/EDN1/IGF1/PTN/STC1/FGF7/PXDN/PTHLH/SFRP2/CXCL5/CCL14/CORT/INHBA/ADA2/IL6/VEGFC/TNFSF8/FGF1/TNF/FGF14/NGF/LYNX1/CRLF1	88
GO:0019838	growth factor binding	45/1352	129/14655	7.72068510304716e-16	9.2648221236566e-14	7.55814436403565e-14	CD109/SCN5A/CXCL13/NTRK1/IL1R2/COL2A1/IGFALS/IL36RN/TEK/NTRK3/DUSP1/WISP2/LTBP2/COL1A2/FLT4/COL1A1/COL3A1/COL5A1/THBS1/OSMR/CTGF/NGFR/IGFBP5/NRP1/TGFB3/FGFR1/WISP1/NRP2/IL6ST/HTRA4/COL4A1/CYR61/PTN/IL2RA/COL6A1/PDGFRA/ITGAV/PXDN/LTBP1/HTRA3/IL1R1/CD36/LIFR/PDGFRB/A2M	45
GO:0005518	collagen binding	28/1352	63/14655	2.083728884005e-13	2.18791532820525e-11	1.78487829406218e-11	COMP/ASPN/FN1/NID2/MMP9/NID1/CTSK/THBS1/PCOLCE/CCBE1/SPARCL1/DCN/MMP13/LRRC15/SPARC/ITGA10/DDR2/ECM2/MRC2/COL5A3/LUM/SRGN/ANTXR1/ABI3BP/PODN/COL14A1/ITGA11/VTN	28
GO:0005178	integrin binding	34/1352	107/14655	5.12841836043482e-11	4.7865238030725e-09	3.90479573408546e-09	IBSP/EMILIN1/MMP14/WISP2/FN1/THBS4/THY1/VCAM1/COL3A1/COL5A1/THBS1/CTGF/ADAMTS5/TNXB/WISP1/EDIL3/FBN1/GPNMB/FBLN5/CYR61/ECM2/IGF1/LCP1/TNN/SFRP2/ADAM23/COL16A1/FAP/TIMP2/ITGA5/S1PR3/FGF1/JAM3/VTN	34
GO:0005125	cytokine activity	45/1352	174/14655	1.07362348468769e-10	9.01843727137659e-09	7.35714619507037e-09	IL10/CCL8/WNT7A/SPP1/CXCL6/CCL13/CXCL13/PF4/PF4V1/THPO/IL17C/IL13/TNFSF14/IL24/CCL24/CCL26/BMP3/CCL7/EPO/IL36RN/GDF5/CXCL12/CCL19/TNFSF18/TNFSF13B/GREM1/CCL2/GDF6/TGFB3/CXCL9/CCL21/GREM2/WNT2/TNFSF4/CCL18/TGFB2/CMTM3/EDN1/CXCL5/CCL14/INHBA/IL6/TNFSF8/TNF/CRLF1	45
