ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of receptor activity	173/2791	444/14590	4.79365264211011e-23	2.67294071324059e-19	2.18641019981717e-19	CRHBP/IL27/VEGFD/CXCL12/IL1RN/PTHLH/NRG3/IL37/CCL5/EDN3/NTF3/HAP1/C1QTNF12/NRG1/WNT5A/CCL4L1/BMP8B/NRTN/LTB/TNFSF9/FASLG/AREG/CSF3/CACNG7/SCGB3A1/CD70/CALCA/MSTN/SPX/NTS/CHGB/PENK/CCL17/PCSK9/CCK/PPBP/DMD/CMTM5/CCL3L1/ARTN/TRH/FKBP1B/IL11/GMFG/FGF13/CGB7/EGF/ADM/IL10/FCGR2B/BMP3/OGN/CCL7/EREG/TYMP/AKAP6/FGF5/PSCA/MAPT/CXCL6/PLAU/LYNX1/CSPG5/CCL11/PDE4D/CCL3/GSTO1/IL20/ADRB2/TGFB1/FGF14/LEP/EDN2/CX3CL1/NOG/PPARGC1A/PRL/FAM3B/SERPINE1/IL6/PDGFA/TIMP1/PHLDA2/CMTM3/INHBE/LEFTY2/CXCL5/NLGN1/CRLF1/GREM1/WNT2/SPP1/LIF/PNOC/CMTM8/CXCL3/GAL/CNIH3/NCF1/AGT/BMP5/WNT4/ARC/CCL23/IL24/ANXA2/JPH2/JPH4/NCOA2/JPH1/CCL21/LHB/MIA/IL32/IL17B/VEGFC/CCL13/FGF9/ZP3/OSM/CCL8/VGF/WNT7B/BUD31/TRDN/DKK1/CXCL1/EBI3/DAND5/OSGIN1/LYPD6B/TNFSF11/LEFTY1/CCL26/NMB/NRG4/PYY2/IL33/METRNL/KCNK3/HAMP/CCL20/IL18/LDOC1/FGF7/CCL4/PF4/PYY/NBL1/IL7/FAM3D/BTC/CMTM7/P2RY1/CALCB/CLEC11A/CCL28/LYPD1/PLN/RETN/CSF2/BMP6/CASQ2/CDC42EP2/IL23A/IL1B/CCL18/WISP3/ACTN2/IL36RN/GREM2/CXCL8/EFEMP1	173
GO:0044057	regulation of system process	157/2791	446/14590	3.58504421525091e-16	9.99510327211954e-13	8.17578767614853e-13	CRHBP/APOA1/FOXN4/TNNT2/KCNA1/IL6ST/SLC8A3/AVPR1A/EDN3/FOXL2/ATP2B3/DRD2/NRG1/NKX2-5/SLC8A2/CAMK2B/KCNG2/CACNG7/OPRK1/ABCC8/CALCA/DBH/FXYD1/SOX10/NMU/MSTN/SPX/KCNJ4/FAM19A4/SCN2B/TNNT1/CCK/DMD/ATP2B4/CAMK2G/ICAM1/FKBP1B/PTGER3/FGF13/RGS2/ATP2A1/RYR2/ADM/IL10/KCND1/TNNI3/CACNA2D4/S100B/CHRNA3/TYMP/PPP1R12B/OR51E2/AIF1/NPNT/AKAP6/CHRNA7/KCNA5/PROK2/ANK2/PDE4D/NTSR1/TACR2/CCL3/GSTO1/ADRB2/HSPB7/CORIN/P2RX1/TRPC3/ARHGAP42/LEP/GPD1L/ACPP/PRKG1/CNN1/EDN2/PPARGC1A/RYR3/HSPB6/IL6/KCNJ3/KCNIP1/GJC1/KCNN2/TRIM63/NLGN1/CACNB4/CHRM3/GAL/AGT/CXADR/KCNQ1/HAND2/PDE9A/KCNIP3/HCN4/TNNI3K/FBXO32/CASQ1/KCNK6/POPDC2/MYL9/GRM1/ADORA3/GRIN2A/MEF2A/TRDN/TNNI2/CRHR1/MYOCD/ATP1B1/CYBA/SPHK1/CACNA1C/DES/FXYD6/HEY2/GATA4/ATP2B2/ABCC9/CACNA1H/HRH2/ADRA1A/NOS1AP/IGFBP5/SGCA/SCN3B/KCND3/CTNNA3/KCNH2/KCNK3/HAMP/TPM1/THRB/HTR2A/GNAO1/ADA/FXYD2/CACNB2/KISS1/ITPR1/TNNC1/PLN/RETN/ENO1/FLNA/BMP6/CASQ2/IL1B/F2RL1/ABCB4/SNTA1/ATP1A2/SLC8A1/CACNA2D1/DMPK/PDE5A	157
GO:0003012	muscle system process	141/2791	389/14590	7.7915209525455e-16	1.44818402771312e-12	1.18458457148701e-12	STAC/MYBPHL/TNNT2/KCNA1/IL6ST/SLC8A3/EDN3/DRD2/NKX2-5/CAMK2B/ABCC8/SCN1A/CALCA/FXYD1/HTR1D/NMU/MSTN/SPX/SMPX/SCN2B/TNNT1/DMD/CALD1/ATP2B4/CAMK2G/VCL/FKBP1B/PTGER3/RGS2/ATP2A1/RYR2/TNNI3/LMOD3/CHRNA3/PPP1R12B/PGAM2/AIF1/NPNT/AKAP6/CKMT2/KCNA5/TMOD1/MYH3/KLF15/PROK2/ANK2/ITGA1/MYLK/PDE4D/TACR2/GSTO1/ADRB2/MYOC/LMOD1/P2RX1/KLHL41/SORBS1/DTNA/TRPC3/ARHGAP42/LEP/GPD1L/PRKG1/CNN1/EDN2/PPARGC1A/HSPB6/KCNJ3/DRD1/GJC1/KCNN2/ROCK1/TRIM63/STAC3/NMUR1/CHRM3/AGT/SYNM/KCNQ1/KCNMA1/HAND2/PDE9A/ACTC1/HCN4/ACTA2/TNNI3K/CASQ1/SMTN/MYL9/HMOX1/MEF2A/TRDN/TNNI2/MYOCD/ATP1B1/CYBA/SPHK1/CACNA1C/DES/HEY2/ROCK2/GATA4/CACNA1H/ADRA1A/NOS1AP/IGFBP5/SGCA/SCN3B/KCND3/SLMAP/ACTG2/CTNNA3/KCNH2/HAMP/TPM1/HTR2A/GNAO1/ACTA1/ADA/MYOM1/P2RY1/CACNB2/TCAP/TNNC1/PLN/ENO1/FLNA/CASQ2/IL1B/CRYAB/HTR7/MYH11/SNTA1/ACTN2/ATP1A2/SLC8A1/CACNA2D1/PDLIM5/DMPK/TPM2/PDE5A	141
GO:0008015	blood circulation	153/2791	450/14590	2.55041134333499e-14	3.55527341260897e-11	2.90814009228171e-11	PTGS1/FOXN4/CXCL12/TNNT2/FOXC2/SLC8A3/NFE2/AVPR1A/RASL10B/EDN3/ATP2B3/DRD2/KEL/NPY1R/NKX2-5/SLC8A2/KCNG2/CACNG7/SCN1A/CALCA/DBH/FXYD1/FFAR3/HTR1D/SPX/KCNJ4/NTS/POSTN/CYP4F12/SCN2B/DMD/ATP2B4/ICAM1/FKBP1B/RGS2/ATP2A1/RYR2/ADM/KCND1/TNNI3/CACNA2D4/OR51E2/F5/CHRNA7/KCNA5/PDE3A/LNPEP/ANK2/TRHDE/APOE/ITGA1/C9orf3/PDE4D/EPHX2/NTSR1/TACR2/GSTO1/ADRB2/HSPB7/CORIN/P2RX1/TGFB1/ANPEP/ARHGAP42/LEP/HTR1B/GPD1L/PRKG1/EDN2/RYR3/ENPEP/KCNJ3/KCNIP1/AR/DRD1/GJC1/KCNN2/CACNB4/KCNMB1/RENBP/CHRM3/AGT/C3AR1/CXADR/KCNQ1/NPY6R/KCNIP3/ACTC1/HCN4/ACTA2/TNNI3K/VEGFC/CASQ1/AGTRAP/KCNK6/MEOX2/POPDC2/HMOX1/ADORA3/MEF2A/TRDN/TNNI2/TBC1D8/ATP1B1/CYBA/CACNA1C/DES/FXYD6/HEY2/GATA4/ATP2B2/ABCC9/CACNA1H/HRH2/ADRA1A/NOS1AP/SCN3B/PTGDR/KCND3/CTNNA3/KCNH2/CTSZ/KCNK3/TPM1/THRB/SLC2A5/HTR2A/GNAO1/MME/ADA/FXYD2/P2RY1/NAV2/CACNB2/PROKR1/TCAP/ITPR1/TRPV4/TNNC1/PLN/FLNA/CNR1/CASQ2/F2RL1/ADRB3/HTR7/SNTA1/ATP1A2/SLC8A1/CACNA2D1/DMPK/GPX1/PDE5A	153
GO:0003013	circulatory system process	153/2791	454/14590	5.88061635018046e-14	6.55806335372125e-11	5.36436013585935e-11	PTGS1/FOXN4/CXCL12/TNNT2/FOXC2/SLC8A3/NFE2/AVPR1A/RASL10B/EDN3/ATP2B3/DRD2/KEL/NPY1R/NKX2-5/SLC8A2/KCNG2/CACNG7/SCN1A/CALCA/DBH/FXYD1/FFAR3/HTR1D/SPX/KCNJ4/NTS/POSTN/CYP4F12/SCN2B/DMD/ATP2B4/ICAM1/FKBP1B/RGS2/ATP2A1/RYR2/ADM/KCND1/TNNI3/CACNA2D4/OR51E2/F5/CHRNA7/KCNA5/PDE3A/LNPEP/ANK2/TRHDE/APOE/ITGA1/C9orf3/PDE4D/EPHX2/NTSR1/TACR2/GSTO1/ADRB2/HSPB7/CORIN/P2RX1/TGFB1/ANPEP/ARHGAP42/LEP/HTR1B/GPD1L/PRKG1/EDN2/RYR3/ENPEP/KCNJ3/KCNIP1/AR/DRD1/GJC1/KCNN2/CACNB4/KCNMB1/RENBP/CHRM3/AGT/C3AR1/CXADR/KCNQ1/NPY6R/KCNIP3/ACTC1/HCN4/ACTA2/TNNI3K/VEGFC/CASQ1/AGTRAP/KCNK6/MEOX2/POPDC2/HMOX1/ADORA3/MEF2A/TRDN/TNNI2/TBC1D8/ATP1B1/CYBA/CACNA1C/DES/FXYD6/HEY2/GATA4/ATP2B2/ABCC9/CACNA1H/HRH2/ADRA1A/NOS1AP/SCN3B/PTGDR/KCND3/CTNNA3/KCNH2/CTSZ/KCNK3/TPM1/THRB/SLC2A5/HTR2A/GNAO1/MME/ADA/FXYD2/P2RY1/NAV2/CACNB2/PROKR1/TCAP/ITPR1/TRPV4/TNNC1/PLN/FLNA/CNR1/CASQ2/F2RL1/ADRB3/HTR7/SNTA1/ATP1A2/SLC8A1/CACNA2D1/DMPK/GPX1/PDE5A	153
GO:0006936	muscle contraction	117/2791	319/14590	9.18688452881261e-14	7.90287616456245e-11	6.46438919071379e-11	STAC/MYBPHL/TNNT2/KCNA1/SLC8A3/EDN3/DRD2/NKX2-5/SCN1A/CALCA/FXYD1/HTR1D/NMU/SPX/SMPX/SCN2B/TNNT1/DMD/CALD1/VCL/FKBP1B/PTGER3/RGS2/ATP2A1/RYR2/TNNI3/LMOD3/CHRNA3/PPP1R12B/PGAM2/NPNT/CKMT2/KCNA5/TMOD1/MYH3/PROK2/ANK2/ITGA1/MYLK/PDE4D/TACR2/GSTO1/ADRB2/LMOD1/P2RX1/KLHL41/SORBS1/DTNA/ARHGAP42/GPD1L/PRKG1/CNN1/EDN2/HSPB6/KCNJ3/DRD1/GJC1/KCNN2/ROCK1/TRIM63/STAC3/NMUR1/CHRM3/AGT/SYNM/KCNQ1/KCNMA1/ACTC1/HCN4/ACTA2/TNNI3K/CASQ1/SMTN/MYL9/TRDN/TNNI2/MYOCD/ATP1B1/SPHK1/CACNA1C/DES/ROCK2/GATA4/CACNA1H/ADRA1A/NOS1AP/SGCA/SCN3B/KCND3/SLMAP/ACTG2/CTNNA3/KCNH2/TPM1/HTR2A/GNAO1/ACTA1/ADA/MYOM1/CACNB2/TCAP/TNNC1/PLN/ENO1/FLNA/CASQ2/CRYAB/HTR7/MYH11/SNTA1/ACTN2/ATP1A2/SLC8A1/CACNA2D1/DMPK/TPM2/PDE5A	117
GO:0034765	regulation of ion transmembrane transport	135/2791	387/14590	9.92111426684669e-14	7.90287616456245e-11	6.46438919071379e-11	CRHBP/KCNAB3/STAC/ANO1/KCNA1/EDN3/HAP1/ANO9/CACNA1A/SCN8A/DRD2/KEL/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/CLCNKB/KCNG2/CACNG7/OPRK1/ABCC8/SCN1A/CACNA1E/FXYD1/KCNJ4/GRIN1/KCNF1/PCSK9/SCN2B/LRRC26/HCN1/THY1/PTPN6/DMD/KCNB1/ATP2B4/CORO1A/ABCB1/PPIF/FKBP1B/RYR2/KCND1/CLIC4/KCNH8/CACNA2D4/RGN/AKAP6/KCNA5/CYBB/CATSPER1/ANK2/PDE4D/NTSR1/PTPN3/GSTO1/ADRB2/CLIC1/TGFB1/KCNS3/FGF14/GPD1L/PPARGC1A/FXYD5/KCNJ3/KCNIP1/DRD1/KCNN2/MMP9/CAPN3/NLGN1/CD19/HPCA/CACNB4/KCNMB1/TMC1/KCNA4/SLC31A2/CLIC3/GAL/CNIH3/AGT/CEMIP/HSPA2/ARC/KCNQ1/KCNMA1/TMEM37/JPH2/KCNIP3/JPH4/JPH1/F2RL3/HCN4/CASQ1/GLRX/KCNK6/HCN3/DPP6/GRIN2A/TRDN/DRD4/CRHR1/ATP1B1/KCNAB1/CYBA/CACNA1C/FXYD6/TESC/CACNA1H/NOS1AP/SCN3B/KCNE4/ANK3/KCND3/SLMAP/KCNH2/HAMP/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/PLN/KCNS1/FLNA/CASQ2/TCAF1/SNTA1/ACTN2/FHL1/ATP1A2/SLC8A1/CACNA2D1/SCN3A	135
GO:0008016	regulation of heart contraction	86/2791	211/14590	2.32082344388967e-13	1.6176139403911e-10	1.32317473452289e-10	FOXN4/TNNT2/SLC8A3/AVPR1A/EDN3/ATP2B3/DRD2/NKX2-5/SLC8A2/KCNG2/CACNG7/CALCA/FXYD1/SPX/KCNJ4/SCN2B/DMD/ATP2B4/FKBP1B/FGF13/RGS2/ATP2A1/RYR2/ADM/KCND1/TNNI3/CACNA2D4/CHRNA7/KCNA5/ANK2/PDE4D/GSTO1/HSPB7/CORIN/GPD1L/EDN2/RYR3/KCNJ3/KCNIP1/GJC1/KCNN2/CACNB4/AGT/CXADR/KCNQ1/KCNIP3/HCN4/TNNI3K/CASQ1/KCNK6/POPDC2/ADORA3/MEF2A/TRDN/ATP1B1/CACNA1C/DES/FXYD6/HEY2/GATA4/ATP2B2/ABCC9/CACNA1H/ADRA1A/NOS1AP/SCN3B/KCND3/CTNNA3/KCNH2/KCNK3/TPM1/THRB/GNAO1/ADA/FXYD2/CACNB2/ITPR1/PLN/FLNA/CASQ2/SNTA1/ATP1A2/SLC8A1/CACNA2D1/DMPK/PDE5A	86
GO:0030593	neutrophil chemotaxis	47/2791	87/14590	3.61160451627626e-13	2.20418627082231e-10	1.8029787645309e-10	CCL5/EDN3/S100A12/CCL4L1/CCL17/PPBP/CCL3L1/CCL7/CXCL6/CCL11/ITGA1/PDE4D/CCL3/JAML/EDN2/CX3CL1/PIK3CD/CSF3R/CXCL5/CXCL3/SYK/C3AR1/CXADR/CCL23/RAC2/RIPOR2/CCL21/VAV1/CCL13/CCL8/TREM1/CXCL1/ITGB2/FCER1G/SAA1/CCL26/S100A9/CCL20/VAV3/CCL4/PF4/CD74/IL23A/S100A8/IL1B/CCL18/CXCL8	47
GO:0034762	regulation of transmembrane transport	137/2791	401/14590	3.95298829057086e-13	2.20418627082231e-10	1.8029787645309e-10	CRHBP/KCNAB3/STAC/ANO1/KCNA1/EDN3/HAP1/ANO9/CACNA1A/SCN8A/DRD2/KEL/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/CLCNKB/KCNG2/CACNG7/OPRK1/ABCC8/SCN1A/CACNA1E/FXYD1/KCNJ4/GRIN1/KCNF1/PCSK9/SCN2B/LRRC26/HCN1/THY1/PTPN6/DMD/KCNB1/ATP2B4/CORO1A/ABCB1/PPIF/FKBP1B/RYR2/KCND1/CLIC4/KCNH8/CACNA2D4/RGN/AKAP6/KCNA5/CYBB/CATSPER1/ANK2/AZIN2/PDE4D/NTSR1/PTPN3/GSTO1/ADRB2/CLIC1/TGFB1/KCNS3/FGF14/GPD1L/PPARGC1A/FXYD5/KCNJ3/KCNIP1/DRD1/KCNN2/MMP9/CAPN3/NLGN1/CD19/HPCA/CACNB4/KCNMB1/TMC1/KCNA4/SLC31A2/CLIC3/GAL/CNIH3/AGT/CEMIP/HSPA2/ARC/KCNQ1/KCNMA1/TMEM37/JPH2/KCNIP3/JPH4/JPH1/F2RL3/HCN4/CASQ1/GLRX/KCNK6/HCN3/DPP6/GRIN2A/PM20D1/TRDN/DRD4/CRHR1/ATP1B1/KCNAB1/CYBA/CACNA1C/FXYD6/TESC/CACNA1H/NOS1AP/SCN3B/KCNE4/ANK3/KCND3/SLMAP/KCNH2/HAMP/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/PLN/KCNS1/FLNA/CASQ2/TCAF1/SNTA1/ACTN2/FHL1/ATP1A2/SLC8A1/CACNA2D1/SCN3A	137
