ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	26/302	82/4968	6.27655869638027e-13	9.72866597938942e-11	8.65504409711385e-11	3694/1288/1280/7058/7450/7148/1278/1277/3908/1281/948/131873/7060/9899/8516/1293/22801/63923/1291/3672/1289/7057/1311/5649/1290/1292	26
hsa04974	Protein digestion and absorption	20/302	67/4968	1.08764896861487e-09	6.16226291947581e-08	5.48221692666439e-08	6564/1288/1280/1308/1278/7373/1277/1281/131873/7512/1293/1359/1291/1289/2006/1358/477/1290/1303/1292	20
hsa04080	Neuroactive ligand-receptor interaction	35/302	188/4968	1.1926960489308e-09	6.16226291947581e-08	5.48221692666439e-08	148/1394/2897/3952/1269/2890/2561/10203/6751/2918/2740/2150/2151/150/2555/117/3362/187/552/2894/2900/5618/5737/185/4886/3356/2846/5733/6869/3972/2904/2906/2892/2903/7068	35
hsa04510	Focal adhesion	34/302	196/4968	1.40525536183567e-08	5.44536452711321e-07	4.84443295790717e-07	1956/3694/1288/53358/1280/2318/7058/7450/7148/3479/1278/1277/3082/3908/1281/3791/5063/131873/7060/8516/1293/22801/63923/1291/3672/1289/7057/1311/5649/5156/1290/5159/1292/5294	34
hsa04020	Calcium signaling pathway	22/302	156/4968	0.000156749081275715	0.00485922151954718	0.00432297466255131	148/1956/5137/810/114/7134/8913/3362/552/816/8911/5737/185/3356/5156/5733/6869/5159/2906/2903/2066/5350	22
hsa04970	Salivary secretion	14/302	78/4968	0.00020598169414743	0.00524525584693131	0.00466640757859424	148/810/114/1472/111/55503/276/2982/1755/2977/5555/477/362/1470	14
hsa05414	Dilated cardiomyopathy	14/302	79/4968	0.000236882522119479	0.00524525584693131	0.00466640757859424	3694/114/70/3479/111/7134/3908/1674/7043/8516/22801/3672/781/5350	14
hsa04360	Axon guidance	18/302	125/4968	0.000480704936471467	0.00931365814413468	0.00828583508917924	1630/2041/10371/137970/8633/9353/57689/56920/5063/2045/2051/25791/2046/2042/6586/56896/285220/4773	18
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	11/302	65/4968	0.00162658038099149	0.0265679219236428	0.0236359780780795	3694/1832/5318/3908/1674/8516/22801/3672/1824/2697/781	11
hsa04060	Cytokine-cytokine receptor interaction	25/302	221/4968	0.00171405947894469	0.0265679219236428	0.0236359780780795	3575/1237/1956/85480/27190/3952/9547/6369/2829/8792/3082/7043/1235/3791/53832/5618/3568/10913/3624/3572/5156/6364/5159/1233/8995	25
