ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034702	ion channel complex	62/1417	268/16159	7.56665910181585e-13	2.10763128214513e-10	1.76496717213517e-10	GRIN2A/CACNG5/GLRA2/GRIK2/GABRQ/CASQ2/NLGN1/KCNQ3/GRIN3A/NOS1/CHRNA7/KCNMA1/CACNA2D1/GRID2/BEST2/CATSPER1/ANO1/CACNA1C/CNTN2/BEST3/CHRNB4/TRDN/LRRC55/KCNS2/SCNN1G/SHANK1/CACNA1D/GABRG1/RYR2/SCN2B/NOS1AP/SNAP25/CACNG8/CACNA1G/BEST4/GRIA1/CHRNB3/KCNT2/KCNMB1/GABRP/CACNG7/ABCC9/KCNJ16/OLFM3/KCNB2/CACNA1S/GABRG3/GABRA3/KCNA5/CLIC6/GABRA2/KCNQ4/SCN7A/SHISA7/CACNB4/VWC2/KCNA1/CHRNB2/KCND3/SCNN1B/AKAP6/KCNB1	62
GO:1902495	transmembrane transporter complex	67/1417	303/16159	8.53292017062807e-13	2.10763128214513e-10	1.76496717213517e-10	PLN/GRIN2A/CACNG5/GLRA2/GRIK2/GABRQ/CASQ2/NLGN1/KCNQ3/GRIN3A/NOS1/CHRNA7/KCNMA1/CACNA2D1/GRID2/BEST2/CATSPER1/ANO1/CACNA1C/CNTN2/BEST3/CHRNB4/ATP1B2/TRDN/LRRC55/KCNS2/SCNN1G/SHANK1/CACNA1D/GABRG1/RYR2/SCN2B/NOS1AP/ATP1A2/SNAP25/CACNG8/CACNA1G/BEST4/GRIA1/CHRNB3/KCNT2/KCNMB1/GABRP/CACNG7/ABCC9/KCNJ16/ABCG5/OLFM3/KCNB2/CACNA1S/GABRG3/GABRA3/KCNA5/CLIC6/GABRA2/KCNQ4/SCN7A/SHISA7/CACNB4/VWC2/KCNA1/CHRNB2/KCND3/SCNN1B/ABCG8/AKAP6/KCNB1	67
GO:1990351	transporter complex	67/1417	310/16159	2.60131290181853e-12	4.28349524499451e-10	3.58707358040239e-10	PLN/GRIN2A/CACNG5/GLRA2/GRIK2/GABRQ/CASQ2/NLGN1/KCNQ3/GRIN3A/NOS1/CHRNA7/KCNMA1/CACNA2D1/GRID2/BEST2/CATSPER1/ANO1/CACNA1C/CNTN2/BEST3/CHRNB4/ATP1B2/TRDN/LRRC55/KCNS2/SCNN1G/SHANK1/CACNA1D/GABRG1/RYR2/SCN2B/NOS1AP/ATP1A2/SNAP25/CACNG8/CACNA1G/BEST4/GRIA1/CHRNB3/KCNT2/KCNMB1/GABRP/CACNG7/ABCC9/KCNJ16/ABCG5/OLFM3/KCNB2/CACNA1S/GABRG3/GABRA3/KCNA5/CLIC6/GABRA2/KCNQ4/SCN7A/SHISA7/CACNB4/VWC2/KCNA1/CHRNB2/KCND3/SCNN1B/ABCG8/AKAP6/KCNB1	67
GO:0043235	receptor complex	63/1417	312/16159	2.39231242765778e-10	2.95450584815736e-08	2.47415469491975e-08	GRIN2A/CACNG5/ADRA2A/PLXNA4/GRIK2/GABRQ/ITLN1/NLGN1/ITGA10/CD74/NR1H3/GRIN3A/ITGB3/LRP1B/CHRNA7/P2RX3/NTRK2/GRID2/ZAP70/SLITRK5/KCTD8/ITGAX/CHRNB4/CD79B/SHANK1/GABRG1/ITGB8/NOS1AP/CD3D/PEX5L/CACNG8/IL6R/GRIA1/CHRNB3/ITGA8/TF/GABRP/CACNG7/KCTD16/ABCG5/OLFM3/ADRB3/GPR20/IFNL1/GABRA3/CALCR/GABRA2/GRM1/IL6ST/IMPG2/OSMR/BMP2/EGFR/SHISA7/GPR63/GRM7/VWC2/CHRNB2/LY96/ERBB4/ADCYAP1R1/ABCG8/SORBS1	63
GO:0005578	proteinaceous extracellular matrix	66/1417	341/16159	5.82820354650206e-10	5.75826510394403e-08	4.82207156584275e-08	OPTC/ADAMTS17/COL4A4/NTN3/KERA/LAMB4/NOV/COL14A1/VWA2/HMCN1/NCAN/SMOC2/ZP2/SPARCL1/ABI3BP/OMD/FBN1/COL8A1/COL11A1/ELN/LRRC55/MFAP5/MYOC/OGN/ADAMTS16/COL6A6/TNN/LRFN5/CCBE1/MATN2/COL1A2/WNT7B/COMP/ADAMTSL1/COL21A1/COL1A1/DPT/COL9A1/MMP12/DCN/WISP2/EPYC/EGFL6/COL3A1/POSTN/MAMDC2/LAMA2/IHH/ADAMTS2/ADAMTSL3/ADAMTS15/COL11A2/ACAN/IMPG2/COL12A1/VTN/CHAD/LRFN2/MMP16/LTBP2/CPA6/VWC2/SBSPON/P3H2/HPSE2/MATN1	66
GO:0097060	synaptic membrane	57/1417	284/16159	2.17625329660439e-09	1.79178188087095e-07	1.50046937818513e-07	GRIN2A/CACNG5/LRRTM2/NRXN1/GLRA2/GRIK2/GABRQ/CNKSR2/IQSEC3/NLGN1/CHRM2/GRID1/SHC4/GRIN3A/EPHA7/CHRNA7/NTRK2/GRID2/SYT11/ANKS1B/KCTD8/CHRNB4/CNTNAP4/SHANK1/GABRG1/DRP2/DLGAP2/SNAP25/CACNG8/GRIA1/CHRNB3/ITGA8/GABRP/KCTD16/SYP/IL1RAPL1/TENM2/LRRC4C/GABRG3/GABRA3/GABRA2/GRM1/NETO1/GRIK1/DNM3/SLC8A1/IGSF9B/RIMS2/CPN1/PSD3/LRFN2/LRRTM3/GRM7/RIMS1/KCNA1/CHRNB2/KCNB1	57
GO:0034703	cation channel complex	45/1417	201/16159	3.21139810244306e-09	2.26632951800981e-07	1.89786384099266e-07	GRIN2A/CACNG5/GRIK2/CASQ2/NLGN1/KCNQ3/GRIN3A/NOS1/KCNMA1/CACNA2D1/CATSPER1/CACNA1C/CNTN2/TRDN/LRRC55/KCNS2/SCNN1G/SHANK1/CACNA1D/RYR2/SCN2B/NOS1AP/SNAP25/CACNG8/CACNA1G/GRIA1/KCNT2/KCNMB1/CACNG7/ABCC9/KCNJ16/OLFM3/KCNB2/CACNA1S/KCNA5/KCNQ4/SCN7A/SHISA7/CACNB4/VWC2/KCNA1/KCND3/SCNN1B/AKAP6/KCNB1	45
GO:0045211	postsynaptic membrane	46/1417	214/16159	8.42613506924795e-09	5.20313840526061e-07	4.35719879238743e-07	GRIN2A/CACNG5/LRRTM2/GLRA2/GRIK2/GABRQ/CNKSR2/IQSEC3/NLGN1/CHRM2/GRID1/SHC4/GRIN3A/EPHA7/CHRNA7/NTRK2/GRID2/ANKS1B/KCTD8/CHRNB4/SHANK1/GABRG1/DRP2/DLGAP2/CACNG8/GRIA1/CHRNB3/GABRP/KCTD16/IL1RAPL1/TENM2/LRRC4C/GABRG3/GABRA3/GABRA2/NETO1/GRIK1/DNM3/SLC8A1/IGSF9B/PSD3/LRFN2/LRRTM3/GRM7/CHRNB2/KCNB1	46
GO:0072562	blood microparticle	28/1417	106/16159	7.67541407187736e-08	4.21294950167491e-06	3.52799734531907e-06	ITIH1/AMBP/C8G/HBD/ORM1/ACTG2/FGA/HP/ORM2/SERPINF2/PON1/FGG/CPN2/TF/ACTA1/HBG2/ALB/SERPINC1/KRT1/F2/APOA2/ACTC1/APOE/BCHE/VTN/APOA1/HPX/HSPA7	28
GO:0005882	intermediate filament	23/1417	78/16159	1.25132497875817e-07	6.18154539506536e-06	5.17653385949432e-06	KRT17/LMNTD1/KRT6A/KRT10/KRT14/NEFM/DES/KRT16/DLGAP2/NEFL/KRT9/KRT2/KRT4/SYNM/KRT1/GFAP/PKP1/KRTAP5-9/KRT13/KRT72/KRT15/SYNC/KRT5	23
