ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	58/470	235/5233	1.95329887154863e-13	3.574536934934e-11	3.18696131673724e-11	2903/150/2742/2898/55879/1129/3362/2894/4986/116443/2492/2925/3972/1139/5024/2895/5617/3356/1143/3973/2565/5030/1909/6869/6751/2890/1142/3062/4887/2568/1081/155/186/148/2834/2567/9340/5733/64106/2556/799/2555/5737/2147/2911/2897/23566/153/1812/2859/2917/2831/1141/887/117/552/165829/3351	58
hsa05414	Dilated cardiomyopathy	26/470	88/5233	2.30533322360511e-08	2.10937989959868e-06	1.88066657715154e-06	5350/27091/6444/8515/3690/781/775/108/776/1674/6262/3696/4625/59283/111/8516/59284/7042/779/3908/4624/70/6546/153/785/7137	26
hsa04020	Calcium signaling pathway	36/470	172/5233	8.48581349685365e-07	5.11217258448772e-05	4.55787604599135e-05	5350/2903/1129/3362/51806/4842/2925/1139/5024/5260/816/775/108/3356/3973/776/6262/5535/8913/1909/6869/155/148/779/5733/5737/2911/6546/153/1812/1956/5137/887/2066/4638/552	36
hsa05410	Hypertrophic cardiomyopathy (HCM)	22/470	80/5233	1.11741477256562e-06	5.11217258448772e-05	4.55787604599135e-05	27091/6444/8515/3690/781/775/776/1674/6262/3696/4625/59283/8516/59284/7042/779/3908/4624/70/6546/785/7137	22
hsa04610	Complement and coagulation cascades	18/470	62/5233	4.60533780208034e-06	0.00016855536355614	0.000150279444067885	733/2243/732/3818/730/5345/5648/3053/2266/5624/725/729/2153/2159/462/2147/2155/727	18
hsa04974	Protein digestion and absorption	18/470	71/5233	3.59742762488506e-05	0.00109721542558994	0.000978247862907342	1286/7373/11136/1301/482/2006/131873/477/1278/1277/1297/340024/6519/1281/1302/9056/6546/1303	18
hsa04060	Cytokine-cytokine receptor interaction	39/470	232/5233	7.2728832790983e-05	0.00190133948582141	0.00169518332069208	2056/6348/4050/6349/2829/3606/6362/269/5617/53832/10850/3561/2920/8792/6363/6361/3575/6372/3570/8600/6366/1437/23495/7042/6369/3576/282618/6354/6359/3563/3589/3572/9180/650/1956/8784/7293/6346/8200	39
hsa04260	Cardiac muscle contraction	17/470	69/5233	8.73696595747416e-05	0.00199858096277221	0.00178188121501118	27091/781/775/482/776/6262/477/4625/59283/59284/779/170712/4624/70/6546/785/7137	17
hsa04970	Salivary secretion	18/470	79/5233	0.000161521841277529	0.00328427743930976	0.00292817373076222	362/820/51806/4842/3778/54831/108/482/1469/477/727897/111/155/1470/148/1472/5592/153	18
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	17/470	73/5233	0.000184487862102488	0.00337612787647554	0.00301006511851429	27091/6444/8515/3690/781/775/776/1674/6262/3696/59283/8516/59284/779/3908/6546/785	17
hsa04950	Maturity onset diabetes of the young	8/470	21/5233	0.000283293932843519	0.00471298088276036	0.00420196742495172	3175/6927/3651/3375/4825/3170/3171/3172	8
hsa04512	ECM-receptor interaction	18/470	83/5233	0.00031227014537329	0.00476211971694267	0.00424577829235613	1286/22798/8515/3690/1301/3696/131873/63923/1278/1311/8516/1277/2811/1281/3908/1302/7448/1101	18
hsa04270	Vascular smooth muscle contraction	20/470	108/5233	0.00127645667336951	0.0179685824020477	0.0160203064269048	84647/51806/72/3778/775/108/5321/776/1909/3779/111/59/148/779/5592/10335/4660/4638/4629/552	20
