ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034702	ion channel complex	57/1454	236/15302	2.43606539207417e-11	1.30816711554383e-08	1.15648999139521e-08	TRPC5/KCNG3/OLFM3/KCNN4/CACNA2D2/KCNMB2/SHANK2/CHRNA4/KCNK2/CACNA1B/GABRA5/KCNIP4/CACNB4/GABRG1/CNTN2/SHISA6/GRIK4/DLG2/KCNB1/CACNA2D1/MCUB/DPP6/KCNAB1/CLCNKB/KCND3/RYR2/SCN4A/GABRG3/CACNB2/CATSPER1/KCNJ1/GRIN2C/CLCNKA/GABRA6/GABRR2/CACNG4/ABCC8/KCNA1/CFTR/TTYH2/NOS1/CNTNAP2/ABCC9/OLFM2/CHRNA7/SCN3A/KCNC1/GABRB3/GABRQ/KCNA2/GRIK2/SHANK1/NLGN1/HCN2/KCNIP1/DPP10/PKD2L1	57
GO:1902495	transmembrane transporter complex	61/1454	270/15302	9.51059150196805e-11	2.55359381827842e-08	2.25751408809873e-08	TRPC5/KCNG3/OLFM3/KCNN4/ATP1A3/CACNA2D2/KCNMB2/SHANK2/CHRNA4/KCNK2/CACNA1B/GABRA5/FXYD2/KCNIP4/CACNB4/GABRG1/CNTN2/SHISA6/GRIK4/DLG2/KCNB1/CACNA2D1/MCUB/DPP6/KCNAB1/CLCNKB/ATP1A2/KCND3/RYR2/SCN4A/GABRG3/CACNB2/CATSPER1/KCNJ1/ATP12A/GRIN2C/CLCNKA/GABRA6/GABRR2/CACNG4/ABCC8/KCNA1/CFTR/TTYH2/NOS1/CNTNAP2/ABCC9/OLFM2/CHRNA7/SCN3A/KCNC1/GABRB3/GABRQ/KCNA2/GRIK2/SHANK1/NLGN1/HCN2/KCNIP1/DPP10/PKD2L1	61
GO:1990351	transporter complex	61/1454	277/15302	2.85592423297702e-10	5.11210437702887e-08	4.51937483885136e-08	TRPC5/KCNG3/OLFM3/KCNN4/ATP1A3/CACNA2D2/KCNMB2/SHANK2/CHRNA4/KCNK2/CACNA1B/GABRA5/FXYD2/KCNIP4/CACNB4/GABRG1/CNTN2/SHISA6/GRIK4/DLG2/KCNB1/CACNA2D1/MCUB/DPP6/KCNAB1/CLCNKB/ATP1A2/KCND3/RYR2/SCN4A/GABRG3/CACNB2/CATSPER1/KCNJ1/ATP12A/GRIN2C/CLCNKA/GABRA6/GABRR2/CACNG4/ABCC8/KCNA1/CFTR/TTYH2/NOS1/CNTNAP2/ABCC9/OLFM2/CHRNA7/SCN3A/KCNC1/GABRB3/GABRQ/KCNA2/GRIK2/SHANK1/NLGN1/HCN2/KCNIP1/DPP10/PKD2L1	61
GO:0005578	proteinaceous extracellular matrix	67/1454	333/15302	2.18428778346897e-09	2.93240634930709e-07	2.59240471143291e-07	CHI3L1/WNT7A/VIT/IHH/EPYC/FREM1/MATN2/NCAN/COL4A6/ENAM/GPC3/TNFRSF11B/CNMD/GPC6/TNN/GPLD1/MMP23B/RELN/COL27A1/DGCR6/LAMB4/ECM1/LAD1/TECTA/SMOC2/LGALS1/SPOCK2/SERPINA1/SMOC1/FN1/NDNF/CHL1/ANGPTL4/COMP/WNT11/FBN1/ENTPD2/GP5/SFRP1/LRFN5/FREM2/LINGO2/FLRT1/LOX/ADAMTS14/COL6A6/CCBE1/TIMP1/MMP12/MMP7/LAMA2/ANXA2/MMP10/NTN3/MMP9/COL9A1/OGN/WNT10A/COL9A3/WNT3A/AMTN/SFTPA2/ABI3BP/LAMC3/CILP/LRRN2/ADAMTS5	67
GO:0034703	cation channel complex	43/1454	179/15302	8.09861842015518e-09	8.69791618324666e-07	7.68942506839997e-07	TRPC5/KCNG3/OLFM3/KCNN4/CACNA2D2/KCNMB2/KCNK2/CACNA1B/KCNIP4/CACNB4/CNTN2/SHISA6/GRIK4/DLG2/KCNB1/CACNA2D1/MCUB/DPP6/KCNAB1/KCND3/RYR2/SCN4A/CACNB2/CATSPER1/KCNJ1/GRIN2C/CACNG4/ABCC8/KCNA1/NOS1/CNTNAP2/ABCC9/OLFM2/SCN3A/KCNC1/KCNA2/GRIK2/SHANK1/NLGN1/HCN2/KCNIP1/DPP10/PKD2L1	43
GO:0045211	postsynaptic membrane	41/1454	195/15302	8.61187056262559e-07	7.7076241535499e-05	6.81395372586692e-05	CHRM3/KCTD8/SHANK2/CHRNA4/PDLIM4/LRRC7/GABRA5/SH2D5/GABRG1/SYNDIG1/GRIK4/DLG2/KCNB1/SYNE1/GRM3/KCTD16/GABRG3/LRRC4C/CHRM1/GRIN2C/GABRA6/IGSF9B/GABRR2/DLGAP1/CLSTN2/DLGAP2/ANKS1B/CBLN1/LIN7A/LRRTM1/LRRTM2/CHRNA7/ANK2/GABRB3/GABRQ/TENM2/P2RY1/GRIK2/SHANK1/NECTIN3/NLGN1	41
GO:0031225	anchored component of membrane	30/1454	127/15302	2.07652906529973e-06	0.000147834751016131	0.000130693860057385	RAB27B/TREH/CD177/CEACAM6/TDGF1/LY6G6C/GPC3/CNTN1/CNTN3/GPC6/GFRA1/NEGR1/CD55/FCGR3B/CNTN2/LY6D/PRSS22/OPCML/TECTA/ITLN1/CNTFR/PLAUR/LY6E/SYN1/CNTN5/ART1/NCAM1/CD52/ART4/MSLN	30
GO:0034705	potassium channel complex	23/1454	84/15302	2.20237990340604e-06	0.000147834751016131	0.000130693860057385	KCNG3/KCNN4/KCNMB2/KCNK2/KCNIP4/CNTN2/GRIK4/DLG2/KCNB1/DPP6/KCNAB1/KCND3/KCNJ1/ABCC8/KCNA1/CNTNAP2/ABCC9/KCNC1/KCNA2/GRIK2/HCN2/KCNIP1/DPP10	23
GO:0097060	synaptic membrane	49/1454	262/15302	2.89402504496357e-06	0.000172676827682826	0.000152655590091061	NRXN1/CHRM3/KCTD8/ITGA8/SHANK2/CHRNA4/PDLIM4/LRRC7/GABRA5/RIMS4/SH2D5/GABRG1/SYNDIG1/GRIK4/DLG2/KCNB1/SYNE1/GRM3/KCTD16/GABRG3/LRRC4C/CHRM1/GRIN2C/PALM/GABRA6/IGSF9B/GABRR2/DLGAP1/CLSTN2/KCNA1/DLGAP2/ANKS1B/CBLN1/LIN7A/LRRTM1/LRRTM2/OLFM2/CHRNA7/ANK2/GABRB3/DGKI/GABRQ/KCNA2/TENM2/P2RY1/GRIK2/SHANK1/NECTIN3/NLGN1	49
GO:0008076	voltage-gated potassium channel complex	21/1454	80/15302	1.23472115685135e-05	0.000663045261229174	0.000586167622884166	KCNG3/KCNN4/KCNMB2/KCNK2/KCNIP4/CNTN2/DLG2/KCNB1/DPP6/KCNAB1/KCND3/KCNJ1/ABCC8/KCNA1/CNTNAP2/ABCC9/KCNC1/KCNA2/HCN2/KCNIP1/DPP10	21
