ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of receptor activity	73/1036	448/14701	1.01447567016316e-11	4.82991866564681e-08	4.29390175760639e-08	LHB/CDC42EP2/FGF10/CXCL10/GAS6/NPFF/WNT10B/C1QTNF4/FBN1/SPX/VGF/ADM2/PYY2/IFNE/ADORA1/P2RY1/NETO1/CRHBP/FGF7/NOV/CXCL12/NRTN/BMP6/WNT9A/NTF4/IL17D/FAM3D/TNFSF15/IFNG/CXCL11/ADRA2C/C1QTNF12/IL17B/IL27/CCL4/AMH/INHBE/IL12A/MIA/SHANK1/CD70/CBLC/ANGPTL8/WNT5A/CXCL13/PTN/PPARGC1A/GDF1/PENK/BDNF/FAM3B/EGF/CGB2/CCL18/CXCL9/LYPD1/WNT9B/GDF5/BMP2/NTF3/TRDN/TNFSF9/AGRP/CTGF/LYPD6B/NEURL1/C1QTNF9/CRLF1/JPH1/XCL1/CHGB/TNFSF8/CCL20	73
GO:0007600	sensory perception	71/1036	444/14701	4.79311583301725e-11	1.14100122404976e-07	1.01437467181907e-07	OR7D2/TRPM3/SCN3B/ATP2B2/NPFF/WNT10B/VAX2/LRAT/DRD2/CST4/SLC17A8/CNR1/CD36/SPX/MYO9A/CST1/CHRNA9/CHRNB2/ADORA1/OCLM/P2RY1/PAX3/OR10R2/KCNA1/OR2T8/P2RX7/TACSTD2/NOV/KCND2/CXCL12/ANO1/KIT/GJB4/IFNG/POMK/ADRA2C/CRYBB3/RORB/NR2E3/RCVRN/CALHM1/ALOXE3/RGS9/LRP2/GRIN2A/NTRK1/SHANK1/SCNN1B/MYO3A/GRM6/SCNN1G/OR10G2/GRIN2D/GNG13/PENK/COCH/VSX1/KCNQ4/RBP4/OPN4/CST2/ADGRV1/TFAP2A/GPR179/TRPM5/CLDN19/HMCN1/MYO3B/SLITRK6/PHF24/GABRR2	71
GO:0031424	keratinization	27/1036	96/14701	2.69861645401625e-10	4.2827043125238e-07	3.80741640757872e-07	KRTAP5-9/TCHH/HRNR/KLK12/SPINK5/KRT9/KRTAP5-10/KRT73/KRT86/DSG1/KRT2/FLG/PCSK6/KRT33A/PI3/KRTAP5-8/KRT1/TGM1/KRT6B/KRT40/KLK8/KRTAP5-1/KRTAP5-7/KRT6A/KRT36/KRT33B/KRT6C	27
GO:0030216	keratinocyte differentiation	35/1036	162/14701	1.79974862537055e-09	1.98260903114194e-06	1.76258214533031e-06	KRTAP5-9/CD109/TCHH/POU3F1/HRNR/KLK12/SPINK5/KRT9/KRTAP5-10/KRT73/INTU/LATS1/KRT86/DSG1/KRT2/FLG/FOSL2/PCSK6/KRT33A/PI3/KRTAP5-8/KRT1/TGM1/ACER1/GRHL1/KRT6B/WNT5A/KRT40/KLK8/KRTAP5-1/KRTAP5-7/KRT6A/KRT36/KRT33B/KRT6C	35
GO:0008544	epidermis development	52/1036	305/14701	2.08213508836583e-09	1.98260903114194e-06	1.76258214533031e-06	FGF10/POU2F3/KRTAP5-9/WNT10B/CD109/MYSM1/TCHH/POU3F1/HRNR/SOX9/KLK12/HOXC13/SPINK5/KRT9/KRTAP5-10/SATB1/KRT73/FGF7/INTU/LATS1/KLK7/KRT86/NTF4/DSG1/KRT2/FLG/FOSL2/PCSK6/KRT33A/EMP1/PI3/KRTAP5-8/KRT1/TGM1/ACER1/GRHL1/KRT6B/WNT5A/KRT40/HES5/DCT/KLK8/KRTAP5-1/ELF3/CTGF/KRTAP5-7/SLC44A4/KRT6A/SLITRK6/KRT36/KRT33B/KRT6C	52
GO:0043588	skin development	47/1036	267/14701	4.35379879737815e-09	3.45473934571957e-06	3.07133771302764e-06	FGF10/KRTAP5-9/WNT10B/CD109/MYSM1/ASCL4/TCHH/POU3F1/HRNR/SOX9/KLK12/HOXC13/CLDN1/SPINK5/KRT9/KRTAP5-10/KRT73/FGF7/INTU/LATS1/KRT86/DSG1/KRT2/FLG/FOSL2/PCSK6/KRT33A/PI3/ALOXE3/KRTAP5-8/KRT1/TGM1/ACER1/GRHL1/KRT6B/WNT5A/KRT40/KLK8/KRTAP5-1/KRTAP5-7/KRT6A/TCF15/ALOX12B/KRT36/KRT33B/GJB3/KRT6C	47
GO:0009913	epidermal cell differentiation	38/1036	206/14701	3.66661552826309e-08	2.49382236143722e-05	2.21706181039788e-05	KRTAP5-9/CD109/TCHH/POU3F1/HRNR/KLK12/SPINK5/KRT9/KRTAP5-10/KRT73/INTU/LATS1/KRT86/DSG1/KRT2/FLG/FOSL2/PCSK6/KRT33A/PI3/KRTAP5-8/KRT1/TGM1/ACER1/GRHL1/KRT6B/WNT5A/KRT40/HES5/KLK8/KRTAP5-1/KRTAP5-7/SLC44A4/KRT6A/SLITRK6/KRT36/KRT33B/KRT6C	38
GO:0007610	behavior	68/1036	492/14701	5.8130314620432e-08	3.45948034884846e-05	3.07555256695733e-05	BRINP1/ADAM22/HRH2/DRD2/CNR1/TSPO/UNC79/ADM2/ETV1/PYY2/SERPINF1/GRPR/EGR2/CHRNB2/ADORA1/OXTR/GLP1R/P2RY1/NETO1/SNCG/CRHBP/THBS1/HOXD10/KCND2/CXCL12/PTGDS/NLGN4X/KIT/CCND2/NTF4/GJB4/POMK/RAG1/GRIN2A/NTRK1/CAMK4/FOS/SHANK1/MCHR1/BCHE/GRM6/PTN/PPP1R1B/GPR37/GRIN2D/LRRN4/PENK/C1QL1/ADRB3/SLC8A3/LYPD1/HTR2C/KLK8/NPY6R/SGIP1/AGRP/CHL1/NPY5R/STRN/DRD4/SEZ6L/TCF15/HOXD9/TMOD1/GCNT4/SLITRK6/AVPR1A/NPW	68
GO:0034765	regulation of ion transmembrane transport	57/1036	386/14701	7.35220354205931e-08	3.63808197093289e-05	3.23433325708247e-05	KCNJ15/PIK3CG/CXCL10/SNTA1/SCN3B/KCNA3/RYR2/GPER1/DRD2/TCAF1/KCNC2/F2RL3/WNK3/ATP1B2/S100A1/KCNG2/SCN4A/KCNA1/NETO1/CRHBP/SCN2B/CRACR2A/P2RX7/THBS1/KCND2/KCND3/ANO1/CLCN4/KCNG3/CACNA1E/HPCA/CXCL11/CALHM1/GRIN2A/CLCNKA/KCNJ16/CLCN1/SHANK1/CLCNKB/KCNH1/HSPA2/PPARGC1A/GRIN2D/NOS1AP/CXCL9/KCNQ4/SCN4B/KCNK7/TRDN/TRPM5/DRD4/JPH1/XCL1/KCNE5/KCNF1/KCNK13/KCNB1	57
GO:0070268	cornification	21/1036	79/14701	7.64142400952088e-08	3.63808197093289e-05	3.23433325708247e-05	TCHH/KLK12/SPINK5/KRT9/KRT73/KRT86/DSG1/KRT2/FLG/PCSK6/KRT33A/PI3/KRT1/TGM1/KRT6B/KRT40/KLK8/KRT6A/KRT36/KRT33B/KRT6C	21
