ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	65/1045	362/14781	2.08650919207778e-12	1.00716465854978e-09	8.85601515298706e-10	LHB/CDC42EP2/LGALS3/FGF10/CXCL10/GAS6/NPFF/WNT10B/C1QTNF4/FBN1/SPX/VGF/ADM2/PYY2/IFNE/FGF7/NOV/CXCL12/NRTN/ANGPT4/BMP6/WNT9A/NTF4/IL17D/FAM3D/TNFSF15/IFNG/CXCL11/C1QTNF12/IL17B/IL27/CCL4/AMH/INHBE/IL12A/MIA/CD70/ANGPTL8/WNT5A/CXCL13/PTN/GDF1/PENK/BDNF/FAM3B/EGF/CGB2/CCL18/CXCL9/LYPD1/WNT9B/GDF5/BMP2/NTF3/TNFSF9/AGRP/ADH7/CTGF/LYPD6B/C1QTNF9/CRLF1/XCL1/CHGB/TNFSF8/CCL20	65
GO:0022836	gated channel activity	55/1045	279/14781	2.42106889074466e-12	1.00716465854978e-09	8.85601515298706e-10	KCNJ15/TRPM3/GAS6/SCN3B/KCNA3/RYR2/KCNC2/CHRNA9/CHRNB2/REST/KCNG2/TMEM63C/SCN4A/KCNA1/GABRR1/SCN2B/P2RX7/KCND2/CHRNE/TMEM38A/KCND3/ANO1/CLCN4/KCNMB2/CLCA2/KCNG3/CACNA1E/CALHM1/FAM155A/GRIN2A/CLCNKA/GRIA4/KCNJ16/CLCN1/CLCNKB/SCNN1B/GRIK4/KCNH1/GABRA1/SCNN1G/FAM155B/GRIN2D/GRIK1/KCNQ4/SCN4B/KCNK7/ZACN/TRPM5/KCNN1/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1/GABRR2	55
GO:0048018	receptor ligand activity	61/1045	338/14781	8.12344064269944e-12	2.25290087157531e-09	1.98097938479864e-09	LHB/CDC42EP2/LGALS3/FGF10/CXCL10/GAS6/NPFF/WNT10B/C1QTNF4/FBN1/SPX/VGF/ADM2/PYY2/IFNE/FGF7/NOV/CXCL12/NRTN/BMP6/WNT9A/NTF4/IL17D/FAM3D/TNFSF15/IFNG/CXCL11/C1QTNF12/IL17B/IL27/CCL4/AMH/INHBE/IL12A/MIA/CD70/ANGPTL8/WNT5A/CXCL13/PTN/GDF1/PENK/BDNF/FAM3B/EGF/CGB2/CCL18/CXCL9/WNT9B/GDF5/BMP2/NTF3/TNFSF9/AGRP/CTGF/C1QTNF9/CRLF1/XCL1/CHGB/TNFSF8/CCL20	61
GO:0004930	G-protein coupled receptor activity	61/1045	356/14781	7.60295020888751e-11	1.5814136434486e-08	1.39053957767811e-08	OR7D2/GPR26/GPER1/XCR1/FZD8/NPR1/HRH2/DRD2/AMHR2/CNR1/HCAR3/F2RL3/ADGRG3/HCAR2/NPFFR2/GRPR/SSTR3/ADORA1/PDGFRL/OXTR/S1PR2/GLP1R/P2RY1/OR10R2/CYSLTR2/ADGRG2/OR2T8/CCR5/P2RY10/GNRHR/GRM4/ADRA2C/RAMP1/CXCR6/OXGR1/MCHR1/GRM6/OR10G2/GPR15/GPR37/SPHK1/FZD7/ADRB3/HTR7/HRH3/OPN4/HTR2C/PTH1R/PTGFR/ADGRV1/GPR179/GPR21/NPY5R/DRD4/CCR4/GPR174/RAMP2/CCR8/AVPR1A/LPAR4/SFRP1	61
GO:0005216	ion channel activity	60/1045	360/14781	3.41387730920868e-10	5.68069184252325e-08	4.99504153663165e-08	KCNJ15/TRPM3/GAS6/SCN3B/KCNA3/RYR2/KCNC2/CHRNA9/CALHM3/CHRNB2/REST/GJD3/AQP6/KCNG2/TMEM63C/SCN4A/KCNA1/GABRR1/SCN2B/P2RX7/KCND2/CHRNE/TMEM38A/KCND3/ANO1/CLCN4/KCNMB2/CLCA2/KCNG3/CACNA1E/CALHM1/FAM155A/GRIN2A/CLCNKA/GRIA4/KCNJ16/CLCN1/CLCNKB/SCNN1B/GRIK4/KCNH1/GABRA1/SCNN1G/FAM155B/TRPC4/GRIN2D/BEST3/GRIK1/KCNQ4/SCN4B/KCNK7/ZACN/TRPM5/KCNN1/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1/GABRR2	60
GO:0005261	cation channel activity	49/1045	266/14781	4.60279759275821e-10	6.38254599529138e-08	5.61218302976659e-08	KCNJ15/TRPM3/GAS6/SCN3B/KCNA3/RYR2/KCNC2/CHRNA9/CALHM3/CHRNB2/REST/KCNG2/TMEM63C/SCN4A/KCNA1/SCN2B/P2RX7/KCND2/CHRNE/TMEM38A/KCND3/ANO1/KCNMB2/KCNG3/CACNA1E/CALHM1/FAM155A/GRIN2A/GRIA4/KCNJ16/SCNN1B/GRIK4/KCNH1/SCNN1G/FAM155B/TRPC4/GRIN2D/GRIK1/KCNQ4/SCN4B/KCNK7/ZACN/TRPM5/KCNN1/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1	49
GO:0022838	substrate-specific channel activity	60/1045	370/14781	1.03008029515526e-09	1.22432400795596e-07	1.07655008290662e-07	KCNJ15/TRPM3/GAS6/SCN3B/KCNA3/RYR2/KCNC2/CHRNA9/CALHM3/CHRNB2/REST/GJD3/AQP6/KCNG2/TMEM63C/SCN4A/KCNA1/GABRR1/SCN2B/P2RX7/KCND2/CHRNE/TMEM38A/KCND3/ANO1/CLCN4/KCNMB2/CLCA2/KCNG3/CACNA1E/CALHM1/FAM155A/GRIN2A/CLCNKA/GRIA4/KCNJ16/CLCN1/CLCNKB/SCNN1B/GRIK4/KCNH1/GABRA1/SCNN1G/FAM155B/TRPC4/GRIN2D/BEST3/GRIK1/KCNQ4/SCN4B/KCNK7/ZACN/TRPM5/KCNN1/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1/GABRR2	60
GO:0015267	channel activity	62/1045	393/14781	1.65495032855139e-09	1.69474459670493e-07	1.49019166840831e-07	KCNJ15/TRPM3/GAS6/SCN3B/KCNA3/RYR2/KCNC2/CHRNA9/CALHM3/CHRNB2/REST/GJD3/AQP6/KCNG2/TMEM63C/SCN4A/KCNA1/GABRR1/SCN2B/P2RX7/KCND2/CHRNE/TMEM38A/KCND3/ANO1/CLCN4/KCNMB2/CLCA2/KCNG3/CACNA1E/GJB7/CALHM1/FAM155A/GRIN2A/CLCNKA/GRIA4/KCNJ16/CLCN1/CLCNKB/SCNN1B/GRIK4/KCNH1/GABRA1/SCNN1G/FAM155B/TRPC4/GRIN2D/BEST3/GRIK1/KCNQ4/SCN4B/KCNK7/ZACN/TRPM5/KCNN1/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1/GJB3/GABRR2	62
GO:0022803	passive transmembrane transporter activity	62/1045	394/14781	1.83325737624331e-09	1.69474459670493e-07	1.49019166840831e-07	KCNJ15/TRPM3/GAS6/SCN3B/KCNA3/RYR2/KCNC2/CHRNA9/CALHM3/CHRNB2/REST/GJD3/AQP6/KCNG2/TMEM63C/SCN4A/KCNA1/GABRR1/SCN2B/P2RX7/KCND2/CHRNE/TMEM38A/KCND3/ANO1/CLCN4/KCNMB2/CLCA2/KCNG3/CACNA1E/GJB7/CALHM1/FAM155A/GRIN2A/CLCNKA/GRIA4/KCNJ16/CLCN1/CLCNKB/SCNN1B/GRIK4/KCNH1/GABRA1/SCNN1G/FAM155B/TRPC4/GRIN2D/BEST3/GRIK1/KCNQ4/SCN4B/KCNK7/ZACN/TRPM5/KCNN1/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1/GJB3/GABRR2	62
GO:0005244	voltage-gated ion channel activity	33/1045	164/14781	3.59628984199564e-08	2.72010286230943e-06	2.39179085185356e-06	KCNJ15/GAS6/SCN3B/KCNA3/KCNC2/REST/KCNG2/SCN4A/KCNA1/SCN2B/KCND2/KCND3/ANO1/CLCN4/KCNG3/CACNA1E/CALHM1/GRIN2A/CLCNKA/KCNJ16/CLCN1/CLCNKB/KCNH1/GRIN2D/KCNQ4/SCN4B/KCNK7/TRPM5/KCNT1/KCNE5/KCNF1/KCNK13/KCNB1	33
