ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001533	cornified envelope	14/1205	35/15565	1.27224066034432e-07	6.51387218096291e-05	5.85230703758387e-05	DSG1/PI3/SPRR2A/PKP2/SPRR2D/CDSN/PKP1/SPRR1A/SPRR1B/FLG/CSTA/SPRR3/SPRR2F/CNFN	14
GO:0005930	axoneme	24/1205	103/15565	7.96695126421977e-07	0.000134607664347617	0.000120936573437313	AKAP14/DNAAF1/PRKAR2A/DNAH5/DNAH11/CFAP74/RP1/DNAH9/DNAH3/CFAP61/ARMC4/RSPH4A/DNAI1/CFAP221/RSPH9/CCDC39/CFAP206/DNAH7/HYDIN/DRC3/KIF19/DNAH6/DNAI2/RP1L1	24
GO:0097014	ciliary plasm	24/1205	104/15565	9.60746127305042e-07	0.000134607664347617	0.000120936573437313	AKAP14/DNAAF1/PRKAR2A/DNAH5/DNAH11/CFAP74/RP1/DNAH9/DNAH3/CFAP61/ARMC4/RSPH4A/DNAI1/CFAP221/RSPH9/CCDC39/CFAP206/DNAH7/HYDIN/DRC3/KIF19/DNAH6/DNAI2/RP1L1	24
GO:0005929	cilium	68/1205	484/15565	1.05162237771576e-06	0.000134607664347617	0.000120936573437313	TEKT1/AKAP14/GUCA1A/DRD1/DNAH12/CYS1/DNAAF1/TMEM231/SHANK2/PKHD1L1/TACR1/GUCY2D/PRKAR2A/SNTN/CNGA4/ENKUR/DNAH5/MYRIP/TTBK2/GNA11/SORD/INHA/DRC7/DNAH11/CFAP74/CFAP77/RP1/DNAH9/DNAH3/ROPN1B/TSSK1B/GPR157/CFAP61/KLC3/ARMC4/CATSPERZ/RSPH4A/DNAH10/CATSPERD/DNAI1/CFAP157/STOML3/IQUB/TEKT4/CFAP221/RSPH9/CCDC39/ABCA4/CFAP206/CFAP65/CFAP58/DNAH7/PKD1L1/HYDIN/DRC3/HAVCR1/RSPH1/TUBA3D/KIF19/DNAH6/ROPN1L/DNAI2/AGBL2/TUBA3C/KNCN/CNGB1/RILP/RP1L1	68
GO:0045111	intermediate filament cytoskeleton	25/1205	120/15565	4.22009924303075e-06	0.000432138162486349	0.000388249130358829	KRT31/KRT16/KRT14/KRT9/KRTAP5-2/SHANK2/S100A8/KRT19/PKP2/KRT18/BFSP2/NEFL/LMNTD1/PKP1/FLG/SYCE1L/DST/SLC1A6/CARMIL2/HOXA13/SYNC/KRT34/KRT27/KRT78/KRT8	25
GO:0005882	intermediate filament	20/1205	85/15565	5.53651689408715e-06	0.00047244944162877	0.000424466295213348	KRT31/KRT16/KRT14/KRT9/KRTAP5-2/SHANK2/KRT19/PKP2/KRT18/BFSP2/NEFL/LMNTD1/PKP1/FLG/DST/SYNC/KRT34/KRT27/KRT78/KRT8	20
GO:0044441	ciliary part	51/1205	372/15565	4.48413535653491e-05	0.00327982471792267	0.00294671752000865	AKAP14/GUCA1A/DRD1/CYS1/DNAAF1/TMEM231/SHANK2/TACR1/GUCY2D/PRKAR2A/CNGA4/ENKUR/DNAH5/MYRIP/TTBK2/GNA11/INHA/DNAH11/CFAP74/RP1/DNAH9/DNAH3/GPR157/CFAP61/KLC3/ARMC4/CATSPERZ/RSPH4A/CATSPERD/DNAI1/CFAP157/CFAP221/RSPH9/CCDC39/ABCA4/CFAP206/DNAH7/PKD1L1/HYDIN/DRC3/RSPH1/TUBA3D/KIF19/DNAH6/DNAI2/AGBL2/TUBA3C/KNCN/CNGB1/RILP/RP1L1	51
GO:0031514	motile cilium	23/1205	122/15565	5.43114256553749e-05	0.00347593124194399	0.00312290697518406	TEKT1/TACR1/ENKUR/SORD/DRC7/DNAH11/DNAH9/ROPN1B/TSSK1B/CFAP61/KLC3/CATSPERZ/RSPH4A/CATSPERD/IQUB/TEKT4/RSPH9/CFAP206/CFAP65/HAVCR1/RSPH1/ROPN1L/DNAI2	23
GO:0044447	axoneme part	10/1205	32/15565	9.90623230318535e-05	0.00543118473758594	0.00487958003767487	DNAH5/DNAH3/CFAP61/RSPH4A/DNAI1/CFAP206/DNAH7/HYDIN/DNAH6/DNAI2	10
GO:0016323	basolateral plasma membrane	31/1205	196/15565	0.000106077826905975	0.00543118473758594	0.00487958003767487	KCNQ4/FRMPD2/SLC23A1/AJAP1/C5AR2/CDH17/ANK2/MLC1/OTOF/RHCG/KCNJ10/ADORA1/P2RY1/CTNNA2/KCNJ16/EGFR/SLC4A4/CLDN19/SLC40A1/SLC38A3/DST/ERBB4/RHBG/TF/ITGA9/TEK/SLC39A5/CA2/FXYD2/PTH1R/ADRA2A	31
