ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	72/1127	371/14863	7.47694594926782e-14	6.504942975863e-11	5.85562924868974e-11	CXCL14/CCL26/LEP/FGF19/CALCB/UTS2/CALCA/PGF/TNFSF15/GDF7/WNT9A/OGN/SFRP2/LYPD1/SCG2/CCL18/POMC/INHA/PPBP/IFNE/GREM2/CCL11/CCL4/EBI3/PF4V1/FGF14/CCL8/IL18/C1QTNF12/LTB/IL17C/GDF5/BTC/THPO/LIF/APOA1/VGF/IL11/SLURP1/IFNG/FGF8/CCL7/TNFRSF11B/SAA1/BMP7/NTS/AGTR2/CCL5/CSF2/IL27/SAA4/WNT10A/NDP/DKK1/CXCL13/FGF17/CCL25/GMFG/IL24/PF4/IL6/GRP/LY6G6D/GPHA2/CD70/TNFSF9/FGF3/PRL/NCOA2/F2/CCL3/TNFSF8	72
GO:0048018	receptor ligand activity	68/1127	347/14863	2.32586556770126e-13	1.01175152195005e-10	9.10759990720914e-11	CXCL14/CCL26/LEP/FGF19/CALCB/UTS2/CALCA/PGF/TNFSF15/GDF7/WNT9A/OGN/SFRP2/SCG2/CCL18/POMC/INHA/PPBP/IFNE/GREM2/CCL11/CCL4/EBI3/PF4V1/FGF14/CCL8/IL18/C1QTNF12/LTB/IL17C/GDF5/BTC/THPO/LIF/APOA1/VGF/IL11/SLURP1/IFNG/FGF8/CCL7/TNFRSF11B/SAA1/BMP7/NTS/CCL5/CSF2/IL27/SAA4/WNT10A/NDP/DKK1/CXCL13/FGF17/CCL25/GMFG/IL24/PF4/IL6/GRP/GPHA2/CD70/TNFSF9/FGF3/PRL/F2/CCL3/TNFSF8	68
GO:0005125	cytokine activity	40/1127	170/14863	7.17285786908531e-11	2.08012878203474e-08	1.87249342266648e-08	CXCL14/CCL26/TNFSF15/GDF7/SCG2/CCL18/INHA/PPBP/IFNE/GREM2/CCL11/CCL4/EBI3/PF4V1/CCL8/IL18/LTB/IL17C/GDF5/THPO/LIF/IL11/SLURP1/IFNG/CCL7/TNFRSF11B/BMP7/CCL5/CSF2/IL27/NDP/CXCL13/CCL25/IL24/PF4/IL6/CD70/TNFSF9/CCL3/TNFSF8	40
GO:0001664	G-protein coupled receptor binding	42/1127	227/14863	5.26310405292231e-08	1.1447251315106e-05	1.0304603724669e-05	CXCL14/UCHL1/CCL26/CALCA/RTP1/WNT9A/GRIK3/CCL18/POMC/GNA11/PPBP/CCL11/HSPA1B/CCL4/PF4V1/CCL8/WNT11/ADORA1/P2RY1/ATP1A3/SFTPB/NECAB2/CCL7/SHANK1/MARCO/SAA1/REEP2/CCL5/PROK2/WNT10A/NDP/WNT6/S100A14/CXCL13/CCL25/HOMER2/PF4/NPW/GPHA2/AVPR1A/CCL3/ADRA2A	42
GO:0005126	cytokine receptor binding	38/1127	225/14863	2.36810299788933e-06	0.000412049921632743	0.000370919711669402	CXCL14/CCL26/PGF/TNFSF15/GDF7/CCL18/GATA3/INHA/PPBP/IFNE/CCL11/CCL4/EBI3/PF4V1/CCL8/IL6ST/LTB/GDF5/LIF/IL11/IFNG/CCL7/BMP7/CCL5/CSF2/IL27/S100A14/CXCL13/CCL25/TGFBRAP1/PF4/IL6/CD70/TNFSF9/PIK3R1/PRL/CCL3/TNFSF8	38
GO:0008009	chemokine activity	14/1127	45/14863	3.43133073200752e-06	0.000497542956141091	0.00044787895870414	CXCL14/CCL26/CCL18/PPBP/CCL11/CCL4/PF4V1/CCL8/CCL7/CCL5/CXCL13/CCL25/PF4/CCL3	14
GO:0045503	dynein light chain binding	10/1127	24/14863	4.42317638060869e-06	0.000549737635875651	0.000494863643183889	DNAH5/DNAH11/DNAH9/DNAH3/DNAH10/DNAI1/WDR63/DNAH7/DNAH6/DNAI2	10
GO:0042379	chemokine receptor binding	15/1127	55/14863	9.49333401371415e-06	0.00103240007399141	0.000929347435026754	CXCL14/CCL26/CCL18/PPBP/CCL11/CCL4/PF4V1/CCL8/CCL7/CCL5/S100A14/CXCL13/CCL25/PF4/CCL3	15
GO:0008201	heparin binding	26/1127	141/14863	1.89314906553002e-05	0.00183004409667902	0.00164737181842612	AOC1/RSPO4/PGF/PLA2G5/TNXB/ADAMTS8/FGFR4/VTN/GREM2/LTF/FGFRL1/C6orf15/PF4V1/CCL8/TENM1/CCL7/SAA1/BMP7/ABI3BP/LIPH/LIPC/CXCL13/SLIT2/FGFR2/PF4/F2	26
GO:0008236	serine-type peptidase activity	29/1127	167/14863	2.11039790799146e-05	0.00183604617995257	0.00165277478267963	DPP10/MMP13/PLG/KLK5/C1QB/MMP3/KLK4/MASP1/MMP1/LTF/C1QA/CTSV/KLK11/RELN/MMP12/KLKB1/KLK6/TMPRSS6/GZMH/KLK14/GZMB/PRSS12/GZMM/PCSK1/CPVL/PCSK2/GZMA/DPP6/F2	29
