ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	46/1496	142/14208	1.11586705810105e-12	5.81255150564839e-09	5.39492357669278e-09	PCDHGB4/PCDHGB7/FAT2/PCDHGA5/PCDHGB3/CDH18/AMIGO1/CADM3/PCDH19/PCDHGB5/PCDHGA10/CDH23/PCDHB15/PLXNB3/PCDHA9/PCDHGA11/CDH15/PCDHA12/PCDHGB2/PCDHA10/PCDHGA3/PCDHGB6/PCDHGA7/CDHR1/DSC3/NECTIN4/PCDHA8/PCDHA11/DSC2/PCDHB11/CDH2/PCDHB16/PCDHB7/PCDHB8/PCDHAC2/PCDHAC1/PCDHGA4/PCDH10/PCDHGA9/CLSTN2/PCDHGC4/IGSF9B/CDH10/PCDHGA6/PCDHGA12/PCDHGC5	46
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	57/1496	210/14208	9.09342119789969e-12	2.36838155099297e-08	2.19821492431333e-08	PCDHGB4/PCDHGB7/FAT2/PCDHGA5/PCDHGB3/CDH18/AMIGO1/CADM3/CLDN7/PCDH19/PCDHGB5/CLDN16/SELP/CD209/MAG/PCDHGA10/ITGA5/CDH23/VCAM1/PCDHB15/PLXNB3/PCDHA9/PCDHGA11/CDH15/PCDHA12/PCDHGB2/PCDHA10/PCDHGA3/PCDHGB6/PCDHGA7/CDHR1/DSC3/CLDN2/NECTIN4/PCDHA8/CX3CL1/PCDHA11/DSC2/PCDHB11/CDH2/PCDHB16/PCDHB7/MBP/PCDHB8/PCDHAC2/PCDHAC1/PCDHGA4/PCDH10/PCDHGA9/CLSTN2/APOA1/PCDHGC4/IGSF9B/CDH10/PCDHGA6/PCDHGA12/PCDHGC5	57
GO:0043588	skin development	50/1496	220/14208	1.03436559152832e-07	0.000179600345542368	0.000166696181118933	INHBA/LAMA5/AQP3/PPL/FERMT1/SCEL/STMN1/HOXC13/ABCB6/CTSV/SPINK5/WNT10B/CSTA/FRAS1/ZFP36/GRHL1/MSX2/DLL1/EVPL/PI3/PKP1/COL3A1/PCSK6/ERRFI1/DSC3/KRT17/TCF15/MET/EGFR/WNT5A/ALOXE3/TGM3/ATP8A2/COL1A2/DSC2/SOX21/HPSE/COL5A3/SOSTDC1/KRT81/SPINK6/DACT2/REG3G/SOX9/ZDHHC21/SPRR2B/PERP/SPRR2A/SPRR2D/PRSS8	50
GO:0070268	cornification	17/1496	47/14208	2.75154426287517e-06	0.00306265224860624	0.00284260273774105	PPL/SPINK5/CSTA/EVPL/PI3/PKP1/PCSK6/DSC3/KRT17/DSC2/KRT81/SPINK6/SPRR2B/PERP/SPRR2A/SPRR2D/PRSS8	17
GO:0008544	epidermis development	52/1496	258/14208	2.93976986811887e-06	0.00306265224860624	0.00284260273774105	SULT2B1/INHBA/LAMA5/AQP3/MAFF/DCT/PPL/FERMT1/SLC4A7/SCEL/HOXC13/CTSV/ELF3/SPINK5/WNT10B/COL17A1/CSTA/HES1/ZFP36/GRHL1/LAMC2/MSX2/DLL1/CRABP2/EVPL/PI3/PITX2/PKP1/POU2F3/PCSK6/ERRFI1/DSC3/KRT17/EGFR/WNT5A/TGM3/DSC2/SOX21/HPSE/GJB5/SOSTDC1/KRT81/SPINK6/REG3G/SOX9/ZDHHC21/SPRR2B/PERP/SPRR2A/SPRR2D/PRSS8/COL7A1	52
GO:0030198	extracellular matrix organization	58/1496	302/14208	4.00352174136672e-06	0.00331533062404635	0.00307712634130097	KDR/ICAM4/MFAP4/CREB3L1/COL8A2/LAMA5/HSD17B12/CTRB2/DDR2/FERMT1/CTSV/ELF3/SPINK5/TIMP1/ACAN/JAM3/MFAP5/COL4A2/NCAN/ITGA5/VCAM1/ITGA2B/CYR61/KLKB1/ABI3BP/EFEMP2/LAMC2/FGFR4/LRP1/LAMA4/FLRT2/HPN/COL14A1/COL3A1/HAS2/TCF15/MADCAM1/MMP9/COL10A1/ELN/PDPN/COL1A2/SPINT1/ICAM5/COL5A3/CHADL/CTRB1/SOX9/LAMA1/GPM6B/FBLN1/COL2A1/KLK2/MATN3/TLL1/APP/MELTF/COL7A1	58
GO:0043062	extracellular structure organization	58/1496	303/14208	4.45523408875494e-06	0.00331533062404635	0.00307712634130097	KDR/ICAM4/MFAP4/CREB3L1/COL8A2/LAMA5/HSD17B12/CTRB2/DDR2/FERMT1/CTSV/ELF3/SPINK5/TIMP1/ACAN/JAM3/MFAP5/COL4A2/NCAN/ITGA5/VCAM1/ITGA2B/CYR61/KLKB1/ABI3BP/EFEMP2/LAMC2/FGFR4/LRP1/LAMA4/FLRT2/HPN/COL14A1/COL3A1/HAS2/TCF15/MADCAM1/MMP9/COL10A1/ELN/PDPN/COL1A2/SPINT1/ICAM5/COL5A3/CHADL/CTRB1/SOX9/LAMA1/GPM6B/FBLN1/COL2A1/KLK2/MATN3/TLL1/APP/MELTF/COL7A1	58
GO:1901615	organic hydroxy compound metabolic process	74/1496	420/14208	5.61708868479823e-06	0.00354485107348732	0.00329015590031974	APOE/P2RY1/SULT2B1/CYP24A1/PTS/DDT/MVK/DCT/DIO3/SPHK1/APOC1/LCAT/SLC6A3/PLCE1/DUOXA2/FDPS/PLD4/LEPR/PMEL/ADH1A/CUBN/PCSK9/MAOB/ACSS2/RNF180/EBP/DRD4/ADH1B/PLB1/PROX1/CYP46A1/FGFR4/ACER2/INPP4B/ACAT2/SULT1B1/HPN/FASN/DISP3/MVD/ERG28/SC5D/SORL1/ACADL/SNCA/ABAT/TNFSF4/DHCR7/GCNT4/GRIN2A/WNT5A/PLCB1/FDX1/PLCH1/SGPP2/DUOXA1/SULT1E1/FDFT1/PCK1/PTAFR/CYP7B1/ACSS1/ABCG1/CH25H/TM7SF2/CYP19A1/CYP3A4/RBP4/SNCAIP/REST/APOA1/DRD1/APP/CLN6	74
GO:0044057	regulation of system process	73/1496	414/14208	6.30829847945057e-06	0.00354485107348732	0.00329015590031974	NR1H3/IL6ST/ANK2/CACNA2D1/PTGS2/TRDN/INHBA/POMC/RYR3/SPHK1/GRIN2D/CHRM2/CACNB3/KCNMB2/PLCE1/ADM/ADRA1B/FOXN4/CLIC2/TBXA2R/HRH2/KCNK15/SCN4B/ACPP/TNNC2/MAG/CASQ1/INHA/KCNIP4/TNFRSF21/HSPB7/KCNH2/BDKRB2/ADRA2C/KCNMB4/MYLK2/GRM1/KCNG2/PTGER3/ATP2B3/THRB/WNK3/ABAT/CACNB4/NR4A3/ERRFI1/HRC/TACR1/HGF/EGFR/GRIN2A/SLC8A1/DSC2/RGS2/FXYD1/CAMK2B/PIK3CG/PTAFR/FGF13/ACE2/ATP2B1/ASPH/TNNI3/SLC22A5/TNNT1/AKAP6/APOA1/TNNI3K/HTR2A/CELF2/PRKG1/TMEM100/FKBP1B	73
GO:1902652	secondary alcohol metabolic process	31/1496	128/14208	6.80524298999293e-06	0.00354485107348732	0.00329015590031974	APOE/SULT2B1/MVK/APOC1/LCAT/FDPS/LEPR/CUBN/PCSK9/EBP/CYP46A1/ACAT2/FASN/DISP3/MVD/ERG28/SC5D/SORL1/ACADL/TNFSF4/DHCR7/FDX1/FDFT1/CYP7B1/ABCG1/CH25H/TM7SF2/CYP3A4/APOA1/APP/CLN6	31
