ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	92/1312	364/14748	7.10683762945348e-21	4.24448539822673e-18	3.70653669422679e-18	EPHA7/CRLF1/CXCL2/RETN/AREG/BMP5/TTR/BMP3/ANGPT4/CHGB/PCSK9/EPGN/CXCL9/INS-IGF2/TAC4/GRP/SLURP1/SCT/CRH/PF4V1/CALCB/TFF1/LEFTY2/OGN/CD70/EFEMP1/GDF7/SAA4/FGF7/PGF/CCL4/SAA2/WNT9B/LHB/FGF5/IL36RN/CSF2/UCN2/GREM2/NRG4/ENDOU/TYMP/POMC/IL32/APOA1/NCOA2/CGB3/CXCL10/IFNG/CLCF1/IL36G/IL15/TGFB2/SAA1/WNT7A/CCL27/CCL13/NTS/CCL5/MIA/IL19/CCL20/TDGF1/CSF3/F2/LYPD6/IL11/CXCL11/GAL/CCL4L1/CCL8/CXCL5/VEGFC/CCL7/C1QTNF9/IL27/MAPT/PTHLH/WNT10B/WNT5A/CGB2/EREG/PPBP/CCL3L1/FASLG/CCL26/TNFSF15/KL/NRG1/ADCYAP1/CCL3/SCGB3A1	92
GO:0048018	receptor ligand activity	88/1312	340/14748	9.5167834040958e-21	4.24448539822673e-18	3.70653669422679e-18	EPHA7/CRLF1/CXCL2/RETN/AREG/BMP5/TTR/BMP3/CHGB/EPGN/CXCL9/INS-IGF2/TAC4/GRP/SLURP1/SCT/CRH/PF4V1/CALCB/TFF1/LEFTY2/OGN/CD70/EFEMP1/GDF7/SAA4/FGF7/PGF/CCL4/SAA2/WNT9B/LHB/FGF5/IL36RN/CSF2/UCN2/GREM2/NRG4/ENDOU/TYMP/POMC/IL32/APOA1/CGB3/CXCL10/IFNG/CLCF1/IL36G/IL15/TGFB2/SAA1/WNT7A/CCL27/CCL13/NTS/CCL5/MIA/IL19/CCL20/TDGF1/CSF3/F2/IL11/CXCL11/GAL/CCL4L1/CCL8/CXCL5/VEGFC/CCL7/C1QTNF9/IL27/MAPT/PTHLH/WNT10B/WNT5A/CGB2/EREG/PPBP/CCL3L1/FASLG/CCL26/TNFSF15/KL/NRG1/ADCYAP1/CCL3/SCGB3A1	88
GO:0005125	cytokine activity	45/1312	174/14748	3.21110311418546e-11	9.54767992617809e-09	8.33760106841136e-09	CRLF1/CXCL2/AREG/BMP5/BMP3/CXCL9/SLURP1/PF4V1/LEFTY2/CD70/GDF7/CCL4/IL36RN/CSF2/GREM2/IL32/CXCL10/IFNG/CLCF1/IL36G/IL15/TGFB2/WNT7A/CCL27/CCL13/CCL5/IL19/CCL20/CSF3/IL11/CXCL11/CCL4L1/CCL8/CXCL5/CCL7/IL27/WNT5A/PPBP/CCL3L1/FASLG/CCL26/TNFSF15/NRG1/CCL3/SCGB3A1	45
GO:0004252	serine-type endopeptidase activity	38/1312	145/14748	7.21944612687167e-10	1.60993648629238e-07	1.40589214049606e-07	PRSS21/PCSK9/KLK4/LPA/KLK8/MMP9/GZMA/DPP4/CFB/TLL2/MMP3/C1QB/TMPRSS2/TLL1/KLK7/GZMB/C1QC/GZMH/CTSC/KLK13/F2/PRSS3P2/KLK11/TMPRSS11D/KLK5/F3/KLK2/PRSS1/KLK10/MMP12/C1QA/PROC/CTSL/MMP1/KLK6/TMPRSS6/KLK14/CTSV	38
GO:0017171	serine hydrolase activity	42/1312	175/14748	1.74917366866318e-09	3.12052582489511e-07	2.72502845223316e-07	AADAC/PRSS21/PCSK9/KLK4/DPP6/LPA/KLK8/MMP9/GZMA/DPP4/CFB/TLL2/MMP3/C1QB/ENDOU/TMPRSS2/TLL1/KLK7/GZMB/RBP3/C1QC/GZMH/CTSC/KLK13/F2/PRSS3P2/KLK11/TMPRSS11D/KLK5/F3/KLK2/PRSS1/KLK10/MMP12/C1QA/PROC/CTSL/MMP1/KLK6/TMPRSS6/KLK14/CTSV	42
GO:0008236	serine-type peptidase activity	41/1312	170/14748	2.33503865293877e-09	3.4714241307023e-07	3.03145368978016e-07	PRSS21/PCSK9/KLK4/DPP6/LPA/KLK8/MMP9/GZMA/DPP4/CFB/TLL2/MMP3/C1QB/ENDOU/TMPRSS2/TLL1/KLK7/GZMB/RBP3/C1QC/GZMH/CTSC/KLK13/F2/PRSS3P2/KLK11/TMPRSS11D/KLK5/F3/KLK2/PRSS1/KLK10/MMP12/C1QA/PROC/CTSL/MMP1/KLK6/TMPRSS6/KLK14/CTSV	41
GO:0004867	serine-type endopeptidase inhibitor activity	23/1312	68/14748	8.93376001991756e-09	1.13841627682378e-06	9.94132693945713e-07	SERPINB4/SERPIND1/TFPI2/HMSD/SERPINB2/ITIH2/SERPINB3/SPINK4/SERPINB7/SERPINB1/SERPINE1/SERPINB11/CD109/SERPINA3/SLPI/PZP/COL7A1/SERPINF2/SERPINA1/SERPINB13/WFDC5/SERPINB9/PI3	23
GO:0008009	chemokine activity	18/1312	44/14748	1.18404695604585e-08	1.32021235599112e-06	1.15288782562359e-06	CXCL2/CXCL9/PF4V1/CCL4/CXCL10/CCL27/CCL13/CCL5/CCL20/CXCL11/CCL4L1/CCL8/CXCL5/CCL7/PPBP/CCL3L1/CCL26/CCL3	18
GO:0005126	cytokine receptor binding	47/1312	226/14748	2.6563245703369e-08	2.63271279637835e-06	2.29904114859568e-06	CRLF1/CXCL2/DEFB1/BMP5/BMP3/CXCL9/PF4V1/LEFTY2/CD70/GDF7/PGF/CCL4/IL12RB1/CD300LF/IL36RN/CSF2/PIK3R1/ECM1/CXCL10/IFNG/GATA3/CLCF1/IL36G/IL15/TGFB2/TGFBR3/CCL27/CCL13/CCL5/CCL20/CSF3/EDA/IL11/CXCL11/CCL4L1/CCL8/CXCL5/VEGFC/CCL7/IL27/PPBP/CCL3L1/FASLG/CCL26/TNFSF15/CCL3/IL6ST	47
GO:0042379	chemokine receptor binding	19/1312	53/14748	5.98299524203836e-08	5.33683175589821e-06	4.66043839906146e-06	CXCL2/DEFB1/CXCL9/PF4V1/CCL4/CXCL10/CCL27/CCL13/CCL5/CCL20/CXCL11/CCL4L1/CCL8/CXCL5/CCL7/PPBP/CCL3L1/CCL26/CCL3	19
