ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	71/840	201/5068	3.46070074070537e-11	7.0252225036319e-09	6.08354761787154e-09	8698/5737/2914/887/2569/4887/2564/136/22953/5746/8811/2897/5032/2899/886/10800/9568/3001/3972/5030/8973/5646/1081/11255/1394/5026/8001/2925/134/6752/2900/2798/5733/7068/4923/5618/3362/2891/2555/5644/165829/1135/706/10316/6869/2558/1139/2358/185/53637/7253/4986/10888/5731/2890/7434/3355/2568/151/1128/1131/1138/117/2906/2151/2916/1143/2740/2690/5540/4886	71
hsa04060	Cytokine-cytokine receptor interaction	74/840	224/5068	4.76574716589319e-10	4.83723337338158e-08	4.1888409300219e-08	6363/58985/4050/6352/9547/6376/643/1956/1236/2322/10344/8807/3627/6357/53833/23495/3561/2921/658/2919/6355/6370/115650/4049/27242/116379/6354/4254/83729/1271/3552/3595/10913/8200/6364/282618/8744/655/6374/6372/650/939/2833/943/27190/51330/5618/6361/338376/1524/3458/4233/6846/7124/7850/970/8771/608/3592/1440/3576/6362/8784/3976/4283/6373/8718/7293/3559/3572/51561/6375/2690/3601	74
hsa04972	Pancreatic secretion	31/840	84/5068	4.83568388039859e-06	0.000327214609240305	0.000283354108079497	279/5874/6262/5321/107/491/1506/1080/8671/1358/886/111/486/5646/1811/22802/477/9635/487/5582/3708/26279/5644/1056/1360/952/492/1359/3778/1131/480	31
hsa05340	Primary immunodeficiency	16/840	32/5068	1.21506988499289e-05	0.000616647966633893	0.000533991238931087	926/3932/23495/3561/6890/115650/973/6891/3718/100/930/916/29851/915/7535/57379	16
hsa04020	Calcium signaling pathway	46/840	160/5068	6.3644993244457e-05	0.00254445263407394	0.00220338911013922	6263/8877/5737/6262/107/887/491/1956/774/5137/7134/136/22953/5613/886/10800/773/776/5567/51806/5026/2925/487/5582/5733/3708/9630/163688/85366/4923/3362/5260/2769/5336/6261/6869/1139/185/952/492/2066/5731/1128/1131/7125/2906	46
hsa04974	Protein digestion and absorption	25/840	70/5068	7.5205496573614e-05	0.00254445263407394	0.00220338911013922	1286/1506/1280/1288/23428/1358/1302/6564/486/8645/5646/6505/477/643834/1303/5644/3769/1360/1359/1297/117247/1299/1287/3783/480	25
hsa00982	Drug metabolism - cytochrome P450	20/840	52/5068	0.000121019185312723	0.00350955637406898	0.00303912841311651	124/4128/2939/54490/218/7365/2938/1549/1565/7364/2944/1548/10720/2950/2328/7366/7363/2327/2330/222	20
hsa04970	Salivary secretion	26/840	78/5068	0.000201192128342933	0.00510525025670191	0.00442093229385128	6263/107/491/362/5613/111/486/5567/51806/477/5582/3708/163688/1473/4025/2977/5592/952/492/1755/1472/3778/276/3783/1131/480	26
hsa00500	Starch and sucrose metabolism	15/840	36/5068	0.000306796462831587	0.0069199646616458	0.00599239874770468	279/2645/5167/7358/80201/54490/8972/3101/178/7365/7364/10720/7366/7363/276	15
hsa00053	Ascorbate and aldarate metabolism	8/840	14/5068	0.00064792531786243	0.0131528839526073	0.0113898450613711	7358/54490/7365/7364/10720/7366/7363/55586	8
hsa04650	Natural killer cell mediated cytotoxicity	32/840	113/5068	0.00108021445338699	0.0199348667306872	0.0172627572933615	3805/399694/3932/259197/5551/154064/3105/51744/80328/353091/10451/3002/3821/919/5582/53358/3265/3458/5336/3804/7124/10870/3811/3135/80329/3809/79465/3384/27040/3812/7535/9437	32
hsa04740	Olfactory transduction	16/840	46/5068	0.00201182623058103	0.0340333937339957	0.0294714895181607	5137/5613/26664/79290/26659/5567/51806/22802/26212/9635/4993/163688/5592/1261/2978/1258	16
hsa00830	Retinol metabolism	15/840	43/5068	0.00266737351994903	0.0416520634268964	0.0360689374762338	124/56603/145226/1579/157506/54490/7365/53630/1549/7364/1548/10720/7366/7363/284541	15
