ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	63/1462	145/14702	5.28798155728266e-26	2.64134678786269e-22	2.12743847494045e-22	PCDHB8/PCDHA5/DCHS2/PCDHAC2/DSC1/DSG1/CDH15/PCDHAC1/PCDH20/CDH8/PCDHA1/PCDH19/RET/PCDHA4/PCDHA2/CDHR2/TRO/PCDHB7/PTPRT/CD84/PCDHB5/PCDHB2/PCDHGC4/PCDHB3/PCDHB6/PCDHB4/PCDHA3/PCDHGA2/PCDHGB5/CDH11/PCDHA7/PCDHGA6/CDHR3/FAT4/PCDHGB6/PCDHGA7/PCDH9/PCDHA10/CDH6/PCDHGA5/CADM3/DCHS1/PCDHGA12/PCDHA6/PCDHGB7/PCDH11X/CD200/CDH12/PCDH10/PCDHB11/PCDHB12/PCDHGA9/PCDH18/PCDHB18P/IGSF9B/CDH5/CDH19/PCDHB15/FAT3/PCDHGB3/PCDHGA3/PCDHGA4/PCDH17	63
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	77/1462	217/14702	1.18163251356952e-24	2.95112720263987e-21	2.37694708782248e-21	CLDN6/PCDHB8/PCDHA5/DCHS2/PCDHAC2/DSC1/DSG1/CDH15/PCDHAC1/PCDH20/CDH8/PCDHA1/PCDH19/RET/LGALS7B/PCDHA4/NRXN1/PCDHA2/CLDN8/SELE/CDHR2/TRO/PCDHB7/PTPRT/CD84/PCDHB5/PCDHB2/PCDHGC4/PCDHB3/PCDHB6/PCDHB4/PCDHA3/PCDHGA2/PCDHGB5/TENM1/NLGN1/CDH11/PCDHA7/DAB1/PCDHGA6/CDHR3/FAT4/PCDHGB6/PCDHGA7/PCDH9/PCDHA10/CDH6/PCDHGA5/CADM3/DCHS1/PTPRD/PCDHGA12/PCDHA6/PCDHGB7/PCDH11X/CD200/CBLN1/CDH12/PCDH10/CLDN2/SELP/PCDHB11/VCAM1/SCARF2/PCDHB12/PCDHGA9/PCDH18/PCDHB18P/IGSF9B/CDH5/CDH19/PCDHB15/FAT3/PCDHGB3/PCDHGA3/PCDHGA4/PCDH17	77
GO:0030198	extracellular matrix organization	82/1462	315/14702	1.19861152712115e-16	1.83072533450729e-13	1.47453395047402e-13	IHH/COL2A1/FOXF2/ELN/C6orf15/GFAP/MMP1/ADAMTS3/NR2E1/COL9A1/MMP12/TLL1/MMP7/KLK2/ABI3BP/VWF/JAM2/MYH11/COL4A1/CTGF/COL10A1/ITGA7/SMOC2/ADAMTSL2/COL19A1/BGN/ADAMTS2/GREM1/ADAMTS9/COL11A2/DCN/A2M/COL14A1/LAMA2/MMP16/COL1A1/COL11A1/DDR2/TNF/FMOD/CYP1B1/SPARC/SCUBE3/ADAMTS5/ITGA11/VCAN/SULF1/POSTN/CRISPLD2/ITGA4/TNC/COL6A3/EGFLAM/ITGA9/MFAP4/WT1/MMP11/JAM3/TGFBI/COL5A2/PDGFRA/KDR/FBN1/ECM2/NDNF/VTN/CTSK/COL8A1/ITGA10/ADAM12/ITGA8/SFRP2/VCAM1/COL1A2/HPSE2/COL3A1/AGT/COMP/MMP2/LUM/FBLN5/DPT	82
GO:0043062	extracellular structure organization	82/1462	316/14702	1.46604631391975e-16	1.83072533450729e-13	1.47453395047402e-13	IHH/COL2A1/FOXF2/ELN/C6orf15/GFAP/MMP1/ADAMTS3/NR2E1/COL9A1/MMP12/TLL1/MMP7/KLK2/ABI3BP/VWF/JAM2/MYH11/COL4A1/CTGF/COL10A1/ITGA7/SMOC2/ADAMTSL2/COL19A1/BGN/ADAMTS2/GREM1/ADAMTS9/COL11A2/DCN/A2M/COL14A1/LAMA2/MMP16/COL1A1/COL11A1/DDR2/TNF/FMOD/CYP1B1/SPARC/SCUBE3/ADAMTS5/ITGA11/VCAN/SULF1/POSTN/CRISPLD2/ITGA4/TNC/COL6A3/EGFLAM/ITGA9/MFAP4/WT1/MMP11/JAM3/TGFBI/COL5A2/PDGFRA/KDR/FBN1/ECM2/NDNF/VTN/CTSK/COL8A1/ITGA10/ADAM12/ITGA8/SFRP2/VCAM1/COL1A2/HPSE2/COL3A1/AGT/COMP/MMP2/LUM/FBLN5/DPT	82
GO:0010469	regulation of receptor activity	102/1462	449/14702	5.55019283905804e-16	5.54464264621898e-13	4.46586042755364e-13	CD70/CCL3L1/MSTN/GDF3/CCL7/CFTR/IL24/DKK1/CASQ2/FGF8/CCL18/CGB3/CXCL11/CSF3/IFNL1/TNFSF18/RELN/CCL26/NRG1/CCK/GDF5/JPH3/EPGN/SLURP1/FGF9/TDGF1/CCL25/SST/PLN/CTGF/CNIH3/CCL14/SCG2/TNFSF8/IL32/KL/THBS4/IL11/PDGFD/GREM1/DMD/WNT9B/CCL19/EGF/EDN3/CD40LG/NLGN1/AREG/TNF/CAV1/TRH/KCNK3/HBEGF/PROK1/GAST/OGN/EFEMP1/GDF10/TGFB3/CGB2/HGF/IL37/GDF7/FGF14/SHANK1/IL6/JPH4/IL1A/LEFTY2/GAL/NDP/WNT2/IGF1/ADRA2A/MEF2C/P2RY1/FBN1/ARTN/FNDC5/BMP8A/GREM2/NCOA2/CXCL12/MIA/HRC/SFRP2/ADM/C1QTNF12/FGF7/AGT/IL34/BDNF/INHA/CCL8/NRG2/CCL3/LHB/PENK/CSF2/IL20/IL1B/TNFSF9	102
GO:0008015	blood circulation	96/1462	442/14702	7.95724245874278e-14	6.62440434690336e-11	5.33554046970437e-11	SCN2B/FXYD6/ANPEP/KCNE1/FOXN4/HTR2A/CASQ2/FXYD1/ELN/REN/TNNI2/TACR1/ACTC1/SLC8A2/MME/DRD2/PDE3A/ADRB3/MYH7/MEOX2/PLN/CTGF/PDE5A/SLIT2/MYLK3/P2RX2/ABCC9/RYR3/CD34/GUCY1A3/HTR2B/NR2F2/TH/AVPR1A/ATP1B2/PIK3CG/DMD/ANK2/ASIC2/CPS1/SLC6A4/GUCY1B3/EDN3/SCN5A/KCNMB1/CAV1/MYL3/KCNJ8/KCNK3/HBEGF/HSPB7/GNAO1/ADRA1D/CORIN/POSTN/OR51E2/CACNA1C/OLR1/CACNA2D2/KCNJ5/ATP1A2/PRKG1/SGCD/ADRA2A/SLC8A1/P2RY1/F2R/ANGPT1/KCNMB2/KCND2/ACTA2/ADAMTS16/CXCL12/TRHDE/KCNA5/HRC/HTR1D/KCNIP1/COL1A2/ADM/EDNRA/CACNA1G/AGT/CACNA2D1/DES/ENPEP/NPY1R/CACNA1H/TEK/CACNA1D/CNR1/EDNRB/POPDC2/AGTR1/F5/AR	96
GO:0003013	circulatory system process	96/1462	446/14702	1.41763047213812e-13	9.40252048379214e-11	7.57313804099965e-11	SCN2B/FXYD6/ANPEP/KCNE1/FOXN4/HTR2A/CASQ2/FXYD1/ELN/REN/TNNI2/TACR1/ACTC1/SLC8A2/MME/DRD2/PDE3A/ADRB3/MYH7/MEOX2/PLN/CTGF/PDE5A/SLIT2/MYLK3/P2RX2/ABCC9/RYR3/CD34/GUCY1A3/HTR2B/NR2F2/TH/AVPR1A/ATP1B2/PIK3CG/DMD/ANK2/ASIC2/CPS1/SLC6A4/GUCY1B3/EDN3/SCN5A/KCNMB1/CAV1/MYL3/KCNJ8/KCNK3/HBEGF/HSPB7/GNAO1/ADRA1D/CORIN/POSTN/OR51E2/CACNA1C/OLR1/CACNA2D2/KCNJ5/ATP1A2/PRKG1/SGCD/ADRA2A/SLC8A1/P2RY1/F2R/ANGPT1/KCNMB2/KCND2/ACTA2/ADAMTS16/CXCL12/TRHDE/KCNA5/HRC/HTR1D/KCNIP1/COL1A2/ADM/EDNRA/CACNA1G/AGT/CACNA2D1/DES/ENPEP/NPY1R/CACNA1H/TEK/CACNA1D/CNR1/EDNRB/POPDC2/AGTR1/F5/AR	96
GO:0044057	regulation of system process	94/1462	433/14702	1.50590918659334e-13	9.40252048379214e-11	7.57313804099965e-11	SCN2B/FXYD6/MSTN/KCNE1/NCMAP/FOXN4/HTR2A/CAMK2B/KIT/CASQ2/FXYD1/REN/TNNI2/TACR1/NRG1/TRIM63/CCK/KCNB2/SLC8A2/DRD2/MYH7/PLN/CTGF/PDE5A/FGFR1/ABCC9/RYR3/GUCY1A3/TH/AVPR1A/ATP1B2/PIK3CG/DMD/ANK2/ASIC2/EDN3/MYOCD/SCN5A/NLGN1/CAV1/MYL3/KCNK3/HBEGF/HSPB7/GNAO1/HGF/ADRA1D/CORIN/IL6ST/HSPB6/OR51E2/CACNA1C/CACNA2D2/KCNJ5/IL6/ABCB4/ATP1A2/GAL/TMEM100/IGF1/PRKG1/ADRA2A/SLC8A1/F2R/KCNMB2/KCND2/GRIN2A/NMUR2/TSHZ3/SCN11A/HAND2/TNNT1/KCNA5/KISS1/HRC/SSTR2/PTGER3/KCNIP1/ADM/CACNA1G/SOX10/AGT/CACNA2D1/SGCA/DES/CACNA1H/INHA/CNN1/CACNA1D/CCL3/EDNRB/POPDC2/AGTR1/IL1B	94
GO:0006936	muscle contraction	73/1462	304/14702	4.93790054584082e-13	2.74053480294166e-10	2.20732817382498e-10	SCN2B/KCNE1/HTR2A/KIT/CASQ2/DTNA/FXYD1/MYBPC2/TNNI2/TACR1/TRIM63/KCNB2/ACTC1/DRD2/CHRNG/MYH7/MYH11/PLN/MYLK/CTGF/PDE5A/VIM/P2RX2/GUCY1A3/HTR2B/PIK3CG/DMD/ANK2/EDN3/MYOCD/SCN5A/CKMT2/CAV1/CALD1/MYL3/KCNJ8/SULF1/GNAO1/ADRA1D/HSPB6/CACNA1C/SCN7A/KCNJ5/ATP1A2/PRKG1/ADRA2A/SLC8A1/F2R/NMUR2/ACTA2/TNNT1/CHRNA1/KCNA5/HRC/HTR1D/SSTR2/PTGER3/EDNRA/LMOD1/CACNA1G/AGT/CACNA2D1/SGCA/ACTG2/DES/RCSD1/KCNMA1/MYBPC1/CACNA1H/CNN1/SORBS1/CACNA1D/EDNRB	73
GO:0042391	regulation of membrane potential	80/1462	350/14702	6.15092960307597e-13	3.07238933673645e-10	2.47461609925857e-10	SCN2B/GRIA1/KCNE1/CATSPER1/CFTR/CASQ2/KCNK12/FXYD1/KCNQ3/RELN/TACR1/CCK/RIMS4/CHRNG/NRXN1/PLN/CNIH3/KCNH3/GRIA2/P2RX2/NPAS4/CNGA3/ATP1B2/CHRNA6/DMD/ANK2/ASIC2/GRIK4/SLC26A4/DCN/PRKN/SCN5A/NLGN1/CAV1/P2RX7/KCNJ8/KCNK3/GRIA4/CACNA1C/SCN7A/MYOC/GPR88/FGF14/KCNJ5/SHANK1/IL6/ATP1A2/GRIK2/CUX2/SLC26A7/CNTNAP1/TMEM108/SLC8A1/MEF2C/PIEZO2/SLC1A6/KCNMB2/KDR/FZD9/KCND2/GRIN2A/CBLN1/SCN11A/GRID1/CNGB1/IFI6/CHRNA1/KCNA5/KCNK2/IGSF9B/CACNA1G/CACNA2D1/GRIA3/FHL1/CNR2/KCNMA1/CACNA1H/CACNA1D/CNR1/GRIK3	80
