ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015711	organic anion transport	59/756	408/14556	6.59742173150295e-13	2.85998232060653e-09	2.59660630043047e-09	LRP2/ABCB11/SLC22A1/SLC10A1/CA9/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/SLC2A2/PPARA/SLC51A/APOA5/SLC22A10/ABAT/ABCB4/ABCA1/SLC16A1/XK/AGXT/THRSP/SLC13A5/CA4/ABCG8/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/SLC2A9/MFSD2A/SLC3A1/SLC22A3/APBA1/APOC2/FABP1/CYP4F2/APOC1/PITPNM1/APOC3/APOA1/SLC6A13/MAP2K6/APOA4/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/CA5A/AQP9/SLC13A2/ARG1/SLC16A12/MTTP/SLC38A4	59
GO:0010876	lipid localization	50/756	344/14556	3.35474013192722e-11	7.27139923595226e-08	6.60177544909257e-08	APOF/ABCB11/SLC10A1/ITGB3/TTPA/ACSL1/APOH/ENPP1/ABCA6/PPARA/SLC51A/APOA5/LPA/ABCB4/ABCA1/THRSP/ABCG5/ANGPTL3/LRP1/ABCG8/PLIN2/SLC27A5/SLC25A20/ABCA8/APOL1/CFHR4/SPNS2/APOC4/MFSD2A/CHKA/ABCG2/APOC2/FABP1/CYP4F2/APOC1/ABCA9/PITPNM1/HILPDA/APOC3/APOA1/MAP2K6/APOA4/APOLD1/CPT1B/SLCO2A1/PROCA1/DGAT2/PLA2G10/AQP9/MTTP	50
GO:0015849	organic acid transport	43/756	279/14556	1.24786988128803e-10	1.24812151497123e-07	1.1331818963097e-07	LRP2/ABCB11/SLC10A1/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/PPARA/SLC51A/SLC22A10/ABAT/ABCB4/SLC16A1/XK/AGXT/THRSP/SLC13A5/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/SLC2A9/MFSD2A/SLC3A1/APBA1/FABP1/CYP4F2/SLC6A13/MAP2K6/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/AQP9/SLC13A2/ARG1/SLC16A12/SLC38A4	43
GO:0002526	acute inflammatory response	29/756	141/14556	1.40912946844746e-10	1.24812151497123e-07	1.1331818963097e-07	SAA1/UGT1A1/C2/CFHR2/C8A/CD19/CPN2/CFHR5/FN1/CFP/CREB3L3/C4BPB/HP/C9/EDNRB/IL1RN/IL1A/ADORA1/CFHR4/MBL2/F2/CFH/SAA4/SIGIRR/F3/C6/AHSG/A2M/SERPINC1	29
GO:0006869	lipid transport	46/756	313/14556	1.43958652245817e-10	1.24812151497123e-07	1.1331818963097e-07	APOF/ABCB11/SLC10A1/ITGB3/TTPA/ACSL1/APOH/ABCA6/PPARA/SLC51A/APOA5/LPA/ABCB4/ABCA1/THRSP/ABCG5/LRP1/ABCG8/PLIN2/SLC27A5/SLC25A20/ABCA8/APOL1/CFHR4/SPNS2/APOC4/MFSD2A/CHKA/ABCG2/APOC2/FABP1/CYP4F2/APOC1/ABCA9/PITPNM1/APOC3/APOA1/MAP2K6/APOA4/APOLD1/CPT1B/SLCO2A1/PROCA1/PLA2G10/AQP9/MTTP	46
GO:0072376	protein activation cascade	21/756	80/14556	4.44768404849553e-10	3.05107914703596e-07	2.77010500352515e-07	C2/CFHR2/C8A/CD19/APOH/CPN2/CFHR5/CFP/C4BPB/C9/MASP2/FCN2/CFHR4/MBL2/F2/F9/CFH/F3/C6/A2M/SERPINC1	21
GO:0006959	humoral immune response	31/756	167/14556	4.92677140236487e-10	3.05107914703596e-07	2.77010500352515e-07	LEAP2/POU2AF1/C2/CFHR2/C8A/CD19/LTF/CPN2/SPINK5/CFHR5/HRG/CFP/C4BPB/C9/POU2F2/MASP2/FCN2/CFHR4/MBL2/SPNS2/F2/RPS19/RPL39/CFH/CTSG/CCR6/GNLY/CXCL13/C6/A2M/HPX	31
GO:0046942	carboxylic acid transport	41/756	273/14556	7.57244889395223e-10	4.10332074441036e-07	3.7254455808536e-07	LRP2/ABCB11/SLC10A1/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/PPARA/SLC51A/ABAT/ABCB4/SLC16A1/XK/AGXT/THRSP/SLC13A5/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/MFSD2A/SLC3A1/APBA1/FABP1/CYP4F2/SLC6A13/MAP2K6/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/AQP9/SLC13A2/ARG1/SLC16A12/SLC38A4	41
GO:0002920	regulation of humoral immune response	18/756	61/14556	9.86086800577506e-10	4.74965142278165e-07	4.31225561094654e-07	C2/CFHR2/C8A/CD19/CPN2/SPINK5/CFHR5/CFP/C4BPB/C9/CFHR4/SPNS2/F2/CFH/CXCL13/C6/A2M/HPX	18
GO:1901615	organic hydroxy compound metabolic process	56/756	454/14556	1.35223941668538e-09	5.86195787133112e-07	5.3221296620912e-07	LRP2/MOGAT2/ACOX2/APOF/ABCB11/LEPR/DIO2/NUDT11/PCK1/SULT1B1/SRD5A2/DUOX2/DUOXA2/TTPA/DAO/HMGCS1/MAOA/CITED1/APOA5/ABAT/ABCA1/ANGPTL3/DDC/SULT1E1/BMP5/ALDH1A1/CYP8B1/SLC27A5/EPHX1/CYP27A1/SULT1C4/APOL1/SULT2A1/CYP26B1/SLC24A5/FDX1L/DIO1/SULT2B1/CHKA/ADH4/ACER2/CYP4F2/CYP4F12/APOC1/ELOVL6/GFI1/APOA1/APOA4/CYP24A1/DGAT2/MOGAT3/HMGCS2/CYP7A1/CYP3A4/ADH1C/HAO1	56
