ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0008201	heparin binding	26/751	146/14631	2.3856321402453e-08	1.0718077335833e-05	9.18282395573377e-06	ECM2/SAA1/LTF/APOH/AGER/APOA5/SERPIND1/HRG/LPA/FN1/FBN1/ANGPTL3/COL5A3/TENM1/F2/CFH/CTSG/FGFBP3/ADAMTS15/TNXB/SERPINA10/ADAMTS1/RSPO2/FSTL1/CXCL13/SERPINC1	26
GO:0004497	monooxygenase activity	19/751	83/14631	2.8696324861668e-08	1.0718077335833e-05	9.18282395573377e-06	CYP4A22/CYP2A7/CYP2E1/CYP3A7/CYP4F22/CYP8B1/CYP27A1/CYP1A2/CYP26B1/CYP3A5/CYP3A43/CYP4F2/CYP4F12/CYP24A1/CYP2C9/CYP7A1/FMO3/CYP3A4/CYP2A6	19
GO:1901681	sulfur compound binding	32/751	214/14631	4.75400470993819e-08	1.18374717277461e-05	1.01418767145348e-05	ECM2/SAA1/RYR2/GPC3/LTF/APOH/ENPP1/AGER/ALDH6A1/APOA5/SERPIND1/HRG/LPA/FN1/FBN1/GPC2/ANGPTL3/LRP1/COL5A3/TENM1/F2/CFH/CTSG/FGFBP3/ADAMTS15/TNXB/SERPINA10/ADAMTS1/RSPO2/FSTL1/CXCL13/SERPINC1	32
GO:0005539	glycosaminoglycan binding	29/751	191/14631	1.44567386859963e-07	2.32375463044357e-05	1.99090088819797e-05	ECM2/SAA1/LTF/STAB2/APOH/AGER/APOA5/SERPIND1/HRG/LPA/FN1/VCAN/FBN1/ANGPTL3/HAPLN4/COL5A3/TENM1/F2/CFH/CTSG/FGFBP3/ADAMTS15/TNXB/SERPINA10/ADAMTS1/RSPO2/FSTL1/CXCL13/SERPINC1	29
GO:0020037	heme binding	21/751	110/14631	1.55539131890467e-07	2.32375463044357e-05	1.99090088819797e-05	CYP4A22/DUOX2/CYP2A7/CYP2E1/CYP3A7/HRG/CYP4F22/CYP8B1/CYP27A1/CYP1A2/TDO2/CYP26B1/CYP3A5/CYP3A43/CYP4F2/CYP4F12/CYP24A1/CYP2C9/CYP7A1/CYP3A4/CYP2A6	21
GO:0046906	tetrapyrrole binding	21/751	118/14631	5.33775104390849e-07	6.40141833154225e-05	5.48448156919282e-05	CYP4A22/DUOX2/CYP2A7/CYP2E1/CYP3A7/HRG/CYP4F22/CYP8B1/CYP27A1/CYP1A2/TDO2/CYP26B1/CYP3A5/CYP3A43/CYP4F2/CYP4F12/CYP24A1/CYP2C9/CYP7A1/CYP3A4/CYP2A6	21
GO:0005506	iron ion binding	23/751	139/14631	5.99865171630465e-07	6.40141833154225e-05	5.48448156919282e-05	CYP4A22/CDO1/AOX1/CYP2A7/LTF/CYP2E1/CYP3A7/ALKBH6/CYP4F22/CYP8B1/CYP27A1/CYP1A2/CYP26B1/CYP3A5/CYP3A43/CYP4F2/CYP4F12/CYP24A1/CYP2C9/CYP7A1/CYP3A4/CYP2A6/TF	23
GO:0008395	steroid hydroxylase activity	10/751	29/14631	9.83122763176661e-07	8.34574367577748e-05	7.15030247991645e-05	CYP2A7/CYP2E1/CYP3A7/CYP8B1/CYP27A1/CYP3A5/CYP2C9/CYP7A1/CYP3A4/CYP2A6	10
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	9/751	23/14631	1.00551128623825e-06	8.34574367577748e-05	7.15030247991645e-05	CYP2A7/CYP2E1/CYP3A7/CYP1A2/CYP3A5/CYP3A43/CYP4F12/CYP3A4/CYP2A6	9
GO:0005319	lipid transporter activity	21/751	136/14631	5.72540111357389e-06	0.000427687463183969	0.000366425671268729	APOF/ABCB11/SLC10A1/TTPA/APOA5/ABCB4/ABCA1/ABCG5/ABCG8/SLC27A5/CFHR4/SPNS2/APOC4/MFSD2A/ABCG2/FABP1/PITPNM1/APOA1/APOA4/SLCO2A1/MTTP	21
GO:0019825	oxygen binding	10/751	35/14631	6.80524494212511e-06	0.000462137997433405	0.000395941523905461	CYP2A7/CYP2E1/CYP3A7/CYP8B1/CYP1A2/TDO2/CYP3A5/CYP4F12/CYP2C9/CYP3A4	10
GO:0043177	organic acid binding	23/751	165/14631	1.20345350536878e-05	0.000749149807092067	0.000641841869530017	PCK1/UGT1A1/UGT1A9/STAB2/HMGCS1/GRIN3A/VCAN/AGXT/OTC/DDC/HAPLN4/DPYS/TDO2/CYP26B1/NAGS/ST8SIA3/FABP1/APOC1/GRIN3B/FABP4/UGT1A3/CPS1/TAT	23
GO:0015645	fatty acid ligase activity	7/751	18/14631	1.76601805395738e-05	0.00101478114331243	0.00086942427271748	ACSM2A/ACSL1/ACSL6/SLC27A5/ACSM2B/ACSL5/ACSM5	7
GO:0017127	cholesterol transporter activity	7/751	19/14631	2.67269292391983e-05	0.0013980855140978	0.00119782426910655	APOA5/ABCA1/ABCG5/ABCG8/ABCG2/APOA1/APOA4	7
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	9/751	33/14631	2.98546720394945e-05	0.0013980855140978	0.00119782426910655	CYP4A22/CYP2E1/CYP8B1/CYP26B1/CYP4F2/CYP4F12/CYP7A1/FMO3/CYP3A4	9
GO:0005496	steroid binding	15/751	87/14631	3.26857418554536e-05	0.0013980855140978	0.00119782426910655	APOF/UGT1A1/SHBG/APOA5/SYP/ABCA1/SULT1E1/SULT2B1/FABP1/APOC3/APOA1/APOA4/ATP1A2/AR/CYP3A4	15
GO:0031406	carboxylic acid binding	22/751	164/14631	3.3936438700577e-05	0.0013980855140978	0.00119782426910655	PCK1/UGT1A1/UGT1A9/STAB2/GRIN3A/VCAN/AGXT/OTC/DDC/HAPLN4/DPYS/TDO2/CYP26B1/NAGS/ST8SIA3/FABP1/APOC1/GRIN3B/FABP4/UGT1A3/CPS1/TAT	22
GO:0008391	arachidonic acid monooxygenase activity	6/751	14/14631	3.77478842936156e-05	0.0013980855140978	0.00119782426910655	CYP2A7/CYP2E1/CYP4F2/CYP4F12/CYP2C9/CYP2A6	6
GO:0008392	arachidonic acid epoxygenase activity	6/751	14/14631	3.77478842936156e-05	0.0013980855140978	0.00119782426910655	CYP2A7/CYP2E1/CYP4F2/CYP4F12/CYP2C9/CYP2A6	6
GO:0048018	receptor ligand activity	35/751	330/14631	3.79979813193996e-05	0.0013980855140978	0.00119782426910655	SAA1/CCL14/EPHA7/CCL19/CXCL5/INHBC/REG1A/FAM3D/HGF/VGF/OGN/IL16/FBN1/ANGPTL3/IL27/BMP5/CD40LG/KCNK3/IL1RN/CCL16/IL1A/F2/INHA/SAA4/FGF21/APOA1/GDF2/UCN/LEFTY1/CCL17/FGF17/INHBE/PNOC/CXCL13/INS-IGF2	35
GO:0070330	aromatase activity	7/751	20/14631	3.93036088300588e-05	0.0013980855140978	0.00119782426910655	CYP2A7/CYP3A7/CYP1A2/CYP3A5/CYP3A43/CYP4F12/CYP3A4	7
GO:0030414	peptidase inhibitor activity	19/751	133/14631	4.80924934419929e-05	0.00163295875459858	0.00139905435467616	SPP2/GPC3/CD109/LTF/PZP/SERPINB2/SPINK5/SERPIND1/HRG/LPA/FETUB/SERPINA10/CD27/SERPINA11/PI15/ITIH3/AHSG/A2M/SERPINC1	19
GO:0030545	receptor regulator activity	36/751	352/14631	6.3508755396188e-05	0.0020626539252588	0.0017672001501548	SAA1/CCL14/EPHA7/CCL19/CXCL5/INHBC/REG1A/FAM3D/PPARGC1B/HGF/VGF/OGN/IL16/FBN1/ANGPTL3/IL27/BMP5/CD40LG/KCNK3/IL1RN/CCL16/IL1A/F2/INHA/SAA4/FGF21/APOA1/GDF2/UCN/LEFTY1/CCL17/FGF17/INHBE/PNOC/CXCL13/INS-IGF2	36
GO:0004857	enzyme inhibitor activity	34/751	329/14631	8.20954754561832e-05	0.0025552216735737	0.00218921267883155	CABP1/UGT1A1/SPP2/GPC3/PDZD3/CD109/LTF/PZP/SERPINB2/PKIB/SPINK5/SERPIND1/HRG/LPA/ANGPTL3/FETUB/PPP1R14B/PRKAR2A/APOC2/SERPINA10/APOC1/PODN/CD27/APOC3/APOA1/SERPINA11/UCN/LMTK2/PPP1R1A/PI15/ITIH3/AHSG/A2M/SERPINC1	34
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	19/751	141/14631	0.000107552414048564	0.00315377298064331	0.00270202772103309	CYP4A22/CYP2A7/CYP2E1/CYP3A7/CYP4F22/CYP8B1/CYP27A1/CYP1A2/CYP26B1/CYP3A5/CYP3A43/CYP4F2/CYP4F12/CYP24A1/CYP2C9/CYP7A1/FMO3/CYP3A4/CYP2A6	19
GO:0003735	structural constituent of ribosome	20/751	153/14631	0.000109769876166969	0.00315377298064331	0.00270202772103309	RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	20
GO:0016878	acid-thiol ligase activity	7/751	24/14631	0.000146543445025917	0.00399040030445249	0.0034188168605751	ACSM2A/ACSL1/ACSL6/SLC27A5/ACSM2B/ACSL5/ACSM5	7
GO:0005342	organic acid transmembrane transporter activity	18/751	133/14631	0.000153114826656805	0.00399040030445249	0.0034188168605751	ABCB11/SLC10A1/SLC6A20/SLC25A18/SLC6A12/SLC6A17/SLC22A10/SLC16A1/SLC13A5/SLC25A29/SLC2A9/SLC3A1/SLC6A13/SLCO2A1/AQP9/SLC13A2/SLC16A12/SLC38A4	18
