ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	155/1987	328/15293	5.95500546082416e-53	3.06087280686362e-50	2.30678106271925e-50	C6orf15/FGF1/ADAMTS2/BGN/SFTPD/COL2A1/EFEMP1/LAMC3/DCN/ADAMTS12/LOX/COL6A3/PRELP/LTBP1/VCAN/OMD/EFEMP2/ADAMTS6/MAMDC2/LRRC55/COL1A1/MMP9/TIMP3/FBLN7/NID2/FBLN1/LRFN5/COL5A1/SPARC/COL5A3/EMILIN1/THBS2/LTBP2/DPT/CYR61/THBS4/FLRT2/COL12A1/ADAMTS18/COL8A2/ANOS1/MMRN2/MFAP5/LUM/COL24A1/WISP1/CILP/MATN3/RELN/COL11A1/LAMA2/WNT2/ALPL/FBLN2/COL4A2/WISP2/ADAMTSL1/PTN/FBN1/COL7A1/ADAMTS10/ECM2/COL10A1/LRRN2/SPON2/SFRP1/ADAMTS1/PODN/CILP2/COL8A1/CRISPLD2/SPARCL1/TECTA/COL14A1/TNC/NID1/COL16A1/OLFML2A/HMCN1/HPSE2/TNN/POSTN/FN1/PODNL1/SPOCK1/APLP1/LRRN3/CTGF/ELN/ADAMTS14/IMPG2/ASPN/SPOCK2/TIMP2/LOXL2/SPN/MMP2/COL19A1/MMP16/ADAMTS5/COL6A6/ADAMTS4/PTPRZ1/COL6A1/COMP/MMP13/FBLN5/COL4A1/WNT9A/ADAMTSL4/ABI3BP/CCDC80/COL18A1/VTN/ADAMTS3/EPYC/ADAMTS8/HAPLN4/ADAMTSL3/COL5A2/SERPINF1/MFAP4/CCBE1/WNT16/MGP/FBN2/TNXB/COL15A1/WNT6/MMP11/CRTAC1/GPC6/OGN/CPZ/WNT1/CD248/COL1A2/FGF9/LOXL1/COL21A1/CHL1/COL3A1/CTHRC1/ADAMTS16/HSPG2/PXDN/KERA/LAMA4/COL6A2/ADAMTS7/COL22A1/NTN1/WNT7B/VWF/MMP8	155
GO:0005581	collagen trimer	46/1987	80/15293	5.14232823799757e-21	1.32157835716538e-18	9.9598778504374e-19	SFTPD/COL2A1/DCN/LOX/COL6A3/COL1A1/COL5A1/C1QTNF3/SCARA3/COL5A3/EMILIN1/COLEC12/COL23A1/COL12A1/MARCO/COL8A2/C1QTNF7/LUM/COL24A1/COL11A1/COL4A2/COL7A1/COL10A1/C1QTNF6/COL13A1/COL8A1/COL14A1/COL16A1/FCN1/COL19A1/COL6A6/COL6A1/COL4A1/COL18A1/COL5A2/CCBE1/TNXB/COL15A1/COL1A2/COL21A1/COL25A1/COL3A1/CTHRC1/MSR1/COL6A2/COL22A1	46
GO:0044420	extracellular matrix component	56/1987	115/15293	1.36443480562667e-20	2.33773163364037e-18	1.76179652094953e-18	COL2A1/LAMC3/LTBP1/EFEMP2/COL1A1/TIMP3/NID2/FBLN1/COL5A1/SPARC/COL5A3/EMILIN1/THBS2/THBS4/COL12A1/COL8A2/MMRN2/MFAP5/LUM/COL11A1/LAMA2/COL4A2/PTN/FBN1/COL7A1/ADAMTS10/ADAMTS1/COL8A1/COL14A1/TNC/NID1/HMCN1/FN1/APLP1/ELN/LOXL2/SPN/PTPRZ1/FBLN5/COL4A1/CCDC80/COL18A1/VTN/COL5A2/SERPINF1/MFAP4/FBN2/TNXB/COL15A1/COL1A2/FGF9/LOXL1/COL3A1/HSPG2/LAMA4/NTN1	56
GO:0009897	external side of plasma membrane	78/1987	212/15293	7.83182198148032e-19	1.00638912462022e-16	7.58450128732831e-17	IL13/LY6G6D/VTCN1/CD19/CD28/KCNJ5/IL2RA/SEMA7A/PTPRC/CD4/LILRB1/EPHA5/TLR8/TNFRSF13B/CXCR5/THBS1/MCAM/CD200R1/STAB2/CCR4/IL7R/IL6/CUBN/LRP2/CD34/FCGR2B/ASTN1/ITGB2/CD163/CD36/FCER2/CLEC14A/MFGE8/IL6ST/SERPINA5/SELP/CHRNB2/HEG1/CD209/NCAM1/MS4A1/P2RX1/VCAM1/CCR5/CD33/THY1/ITGAM/GP1BA/TRPM8/FCN1/SPN/CDH5/ITGA5/PRND/GPIHBP1/FOLR2/CD79A/CD79B/FCER1A/MS4A2/CCR7/S1PR1/P2RY12/NLGN1/ANTXR1/GFRA3/FCGR3A/CCR1/CD86/P2RX7/PDPN/SELL/ABCA1/CD226/PDGFRA/IL31RA/CXCL12/TF	78
GO:0034703	cation channel complex	67/1987	182/15293	2.22657967900793e-16	2.28892391002016e-14	1.72501330921036e-14	OLFM3/HCN4/KCNV1/SHISA6/CACNA1E/NOS1/KCNJ5/KCNB2/SHANK1/KCND3/CPT1C/KCNA5/LRRC55/GRIN2A/KCNA3/HCN2/KCNMB2/CNTN2/CNIH3/GRIA1/SCN2A/AKAP6/SNAP25/SCN4B/DLG4/TRPC4/GRIA3/CACNA1G/GRIA4/GRIK2/SCN9A/SCN2B/DLG2/CACNA1A/CACNA1B/KCNJ8/RYR1/KCNH1/KCNK2/DPP6/SCN1B/CNGB1/KCNIP1/CASQ2/KCNQ5/SCN4A/ABCC9/CACNA1I/CACNA2D1/KCNS2/CACNA1H/NLGN1/KCNC1/SCN7A/KCNE1/KCND2/SCN11A/KCNMA1/KCNT2/KCNQ3/SCN3B/CACNB4/SCN3A/KCNB1/KCNMB1/CNTNAP1/GRIK5	67
GO:0034702	ion channel complex	78/1987	240/15293	2.63540599054016e-15	2.2576644652294e-13	1.70145509564698e-13	BEST3/OLFM3/HCN4/KCNV1/GABRA3/SHISA6/CLCNKB/CACNA1E/NOS1/KCNJ5/KCNB2/SHANK1/TTYH1/CHRNA3/KCND3/CPT1C/KCNA5/LRRC55/GRIN2A/KCNA3/HCN2/KCNMB2/CNTN2/CNIH3/GRIA1/SCN2A/AKAP6/SNAP25/SCN4B/DLG4/TRPC4/GRIA3/CACNA1G/GRIA4/LRRC8C/CHRNB2/GRIK2/SCN9A/SCN2B/DLG2/GLRB/CHRNB4/CACNA1A/CACNA1B/KCNJ8/RYR1/CLIC6/KCNH1/KCNK2/DPP6/SCN1B/CNGB1/KCNIP1/CASQ2/KCNQ5/CHRNA6/SCN4A/ABCC9/CACNA1I/CACNA2D1/KCNS2/CACNA1H/NLGN1/KCNC1/SCN7A/KCNE1/KCND2/SCN11A/KCNMA1/KCNT2/KCNQ3/SCN3B/CACNB4/SCN3A/KCNB1/KCNMB1/CNTNAP1/GRIK5	78
GO:0098794	postsynapse	106/1987	386/15293	1.35364366313159e-14	9.93961204070908e-13	7.49084012078833e-13	DLGAP1/LRRTM1/ACTN2/GABRA3/PCDH8/LRRC4C/ANK2/NOS1/MPP2/SHANK1/ITGA8/GPM6A/MUSK/CHRNA3/ADD2/GAP43/LRRK2/ADGRB3/MT3/EPB41L3/TMEM108/GRIN2A/BSN/ANKS1B/GRIK1/EPHA4/NEFH/GRASP/DOCK10/DGKI/SSPN/ITPR1/FCGR2B/CNIH3/GRIA1/CAP2/SYNDIG1/NTSR1/SNAP25/DLG4/NLGN4X/GRIA3/LAMA2/MPDZ/KIF1A/GRID1/NPAS4/CPEB1/SHC4/CNKSR2/GRIA4/PALM/SNCA/COL13A1/CHRNB2/GRIK2/LRRTM2/ADGRB1/DLG2/GLRB/GRIK3/MAP2/P2RX1/NLGN4Y/CHRNB4/SLC8A1/BAALC/FBXO2/SPOCK1/KCNH1/MEF2C/TENM2/SLC8A3/SYNE1/CHRM4/F2R/PALMD/SYT11/TIAM1/CHRNA6/PTPRS/CLSTN2/LZTS1/NLGN2/NLGN1/SLC17A7/HOMER2/KCND2/CHRM2/CDH2/IQSEC3/P2RX7/ATP1A2/APBB1/MAP1B/LRRC4/CAMK2A/KCNB1/SEZ6/ZNF804A/PSD/DCLK1/EPHA7/SYNPO/CRYAB/GRIK5	106
GO:1902495	transmembrane transporter complex	83/1987	273/15293	2.43728810820896e-14	1.56595760952426e-12	1.18016055765907e-12	BEST3/OLFM3/HCN4/KCNV1/GABRA3/SHISA6/CLCNKB/CACNA1E/NOS1/KCNJ5/KCNB2/SHANK1/TTYH1/CHRNA3/KCND3/CPT1C/KCNA5/LRRC55/GRIN2A/KCNA3/HCN2/KCNMB2/CNTN2/CNIH3/GRIA1/SCN2A/PLN/AKAP6/SNAP25/SCN4B/DLG4/TRPC4/GRIA3/CACNA1G/GRIA4/FXYD1/LRRC8C/CHRNB2/CNGA3/GRIK2/SCN9A/SCN2B/DLG2/GLRB/ATP1B2/CHRNB4/CACNA1A/CACNA1B/KCNJ8/RYR1/CLIC6/KCNH1/KCNK2/DPP6/SCN1B/CNGB1/KCNIP1/CASQ2/KCNQ5/CHRNA6/SCN4A/ABCC9/CACNA1I/CACNA2D1/KCNS2/CACNA1H/NLGN1/KCNC1/SCN7A/KCNE1/KCND2/SCN11A/KCNMA1/ATP1A2/KCNT2/KCNQ3/SCN3B/CACNB4/SCN3A/KCNB1/KCNMB1/CNTNAP1/GRIK5	83
GO:0097060	synaptic membrane	79/1987	257/15293	5.35455317384993e-14	3.05804481262096e-12	2.30464978710734e-12	DLGAP1/LRRTM1/GABRA3/PCDH8/LRRC4C/ANK2/MPP2/SHANK1/ITGA8/MUSK/CHRNA3/TMEM240/TMEM108/GRIN2A/ANKS1B/GRIK1/EPHA4/GRASP/DGKI/SSPN/PDE2A/CNIH3/GRIA1/SYNDIG1/SNAP25/DLG4/NLGN4X/GRIA3/MPDZ/GRM6/NRXN1/GRID1/CPEB1/SHC4/CNKSR2/GRIA4/PALM/COL13A1/CHRNB2/GRIK2/LRRTM2/ADGRB1/DLG2/GLRB/GRIK3/P2RX1/NLGN4Y/CHRNB4/SLC8A1/BAALC/KCNH1/TENM2/SYNE1/CHRM4/F2R/RIMS1/SYT11/CHRNA6/PTPRS/CLSTN2/RIMS4/CNR1/LZTS1/NLGN2/UNC13A/NLGN1/HOMER2/KCND2/CHRM2/IQSEC3/APBB1/LRRC4/CAMK2A/KCNB1/IL31RA/EPHA7/SYNPO/CRYAB/GRIK5	79
GO:0098552	side of membrane	109/1987	412/15293	8.65733902056941e-14	4.44987225657267e-12	3.35357974691531e-12	RGS7/IL13/LY6G6D/VTCN1/CD19/CD28/KCNJ5/IL2RA/SEMA7A/PTPRC/CD4/LILRB1/EPHA5/TLR8/LRRK2/TNFRSF13B/CXCR5/THBS1/MCAM/CD200R1/STAB2/CCR4/IL7R/IL6/CUBN/LRP2/CD34/GNAL/FCGR2B/GFAP/ASTN1/ITGB2/NTSR1/SNAP25/DLG4/SLA/BMX/CD163/CD36/ITK/FCER2/RGS2/CLEC14A/HCK/MFGE8/RGS9/IL6ST/GNAO1/SERPINA5/SELP/CHRNB2/HEG1/CD209/NCAM1/HLA-DQA1/MS4A1/P2RX1/VCAM1/PKD2/DTNA/CCR5/CD33/CNR2/THY1/KCNIP1/ITGAM/GP1BA/EEF1A2/TRPM8/FCN1/BLK/TIAM1/SPN/CDH5/ITGA5/PRND/GPIHBP1/FOLR2/GNG2/CD79A/CD79B/FCER1A/MS4A2/CCR7/AJAP1/S1PR1/BTK/P2RY12/GEM/NLGN1/FERMT2/ANTXR1/GFRA3/FCGR3A/CCR1/CD86/P2RX7/PGM5/PDPN/CACNB4/MATK/SELL/ABCA1/CD226/PDGFRA/IL31RA/FGR/CXCL12/TF	109
