ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	79/734	216/5187	2.97983722234854e-17	5.63189235023875e-15	4.57953931013566e-15	7253/2914/10316/9340/2925/1134/3274/3362/1268/6751/2837/3351/3352/2587/2740/3360/2900/2859/5646/1128/2917/1135/1901/3356/1269/286530/552/2892/719/148/6869/10886/185/2894/155/22953/3357/4886/6753/5739/887/1909/2891/135/84634/2916/2558/5737/2890/57105/2899/2359/2149/9934/2901/2743/5027/6865/5731/2151/27334/8973/7434/554/3973/2357/5733/1129/5745/4161/53829/2903/134/10800/1511/728/5729/1903/2846	79
hsa04640	Hematopoietic cell lineage	40/734	79/5187	9.19980239592701e-15	8.69381326415103e-13	7.06932184108076e-13	917/3553/915/909/3569/290/1604/925/926/910/3674/7173/1380/914/1438/1378/3676/951/3552/2209/3690/3815/947/920/1436/916/930/933/931/2208/3672/1441/7066/945/3554/913/2322/911/3568/912	40
hsa04514	Cell adhesion molecules (CAMs)	51/734	128/5187	3.63729257147305e-13	2.29149432002802e-11	1.86331479100023e-11	959/3117/925/1002/22871/926/1000/3111/3897/24146/23705/9074/9379/7122/8506/3680/257194/23114/5788/914/3676/9378/8516/83700/6402/947/920/1003/58494/8174/923/9369/6900/6403/57863/6614/29851/933/6693/940/5010/4684/7412/3683/1462/4685/5175/5797/3689/6401/54413	51
hsa04060	Cytokine-cytokine receptor interaction	72/734	234/5187	1.76078525440637e-11	8.31971032707009e-10	6.76512229324552e-10	5473/6366/959/3553/7852/8200/3569/10563/3977/5008/4283/2833/8792/3577/8771/2829/7173/6354/6369/29949/8995/608/3605/269/6360/729230/6358/643/1438/7292/3552/3560/944/1234/3815/1524/1232/5159/1439/6367/1233/1436/3586/2277/7043/1236/6361/1230/6356/64109/3593/115650/1237/8600/50615/5156/3604/3579/1441/23495/3554/27190/2322/116379/3082/3568/3587/6363/4049/6387/939/60401	72
hsa04512	ECM-receptor interaction	34/734	83/5187	1.45642947614502e-09	5.50530341982817e-08	4.47660428457206e-08	1301/63923/10319/1311/6696/3674/9899/3680/7060/3676/3690/131873/7450/3679/8516/3910/7143/7057/1281/2335/7058/22801/1278/1290/8515/5649/1277/1291/3672/1293/1289/7148/3908/1292	34
hsa05144	Malaria	24/734	48/5187	3.24370229929508e-09	1.02176622427795e-07	8.30843045082599e-08	22914/959/3553/3569/1311/3039/3040/7060/1378/2995/3586/7043/7057/7058/7099/6403/2532/7412/3683/3082/5175/3689/6401/54106	24
hsa04020	Calcium signaling pathway	52/734	165/5187	5.3093865305168e-09	1.43353436323954e-07	1.16566982474504e-07	2774/2925/3274/3362/2066/3360/1128/3356/5260/552/113026/108/148/6869/8912/185/155/6547/816/22953/3357/5137/5136/887/1909/135/8913/5737/5159/4638/107/775/57105/5330/2149/492/5027/6865/5731/5156/6262/3708/3973/5733/1129/6546/2903/5153/5579/6263/10800/5350	52
hsa05414	Dilated cardiomyopathy	32/734	80/5187	9.02202652151321e-09	2.1314537657075e-07	1.7331787791328e-07	4634/785/3674/7139/6445/55799/6444/3680/108/70/3676/111/783/3690/3679/8516/1674/3479/7043/107/775/1756/22801/59285/8515/6442/6262/3672/7169/6546/3908/5350	32
hsa04974	Protein digestion and absorption	29/734	71/5187	2.59665826817889e-08	5.00395237231359e-07	4.06893370291164e-07	4225/1301/643847/340024/59272/1297/6564/5646/6550/6547/131873/1359/477/480/1281/1278/1306/1290/1303/1277/643834/1291/1293/6546/1289/7373/1292/2006/482	29
hsa05410	Hypertrophic cardiomyopathy (HCM)	30/734	75/5187	2.64759384778497e-08	5.00395237231359e-07	4.06893370291164e-07	3569/4634/785/3674/7139/53632/6445/55799/6444/3680/70/3676/783/3690/3679/8516/1674/3479/7043/775/1756/22801/59285/8515/6442/6262/3672/7169/6546/3908	30
