ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	58/692	357/14734	6.60730959007853e-17	5.0149479788696e-14	4.40255470581022e-14	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3F/PMCH/WNT4/NGF/TAC4/FAM3D/XCL1/XCL2/WFIKKN2/WNT10B/IL6/TNFSF11/VIP/WNT2/LYPD6B/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/NCOA2/TSLP/CARTPT/TIMP1	58
GO:0048018	receptor ligand activity	55/692	333/14734	2.07555893386489e-16	7.87674615401724e-14	6.9148884480867e-14	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3F/PMCH/WNT4/NGF/TAC4/FAM3D/XCL1/XCL2/WNT10B/IL6/TNFSF11/VIP/WNT2/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/TSLP/CARTPT/TIMP1	55
GO:0005125	cytokine activity	30/692	163/14734	1.0478068892557e-10	2.65095142981691e-08	2.32723424876791e-08	CCL2/VSTM1/CXCL13/FAM3D/XCL1/XCL2/IL6/TNFSF11/WNT2/MSTN/CXCL2/BMP3/CXCL1/AREG/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/TSLP/TIMP1	30
GO:0008009	chemokine activity	15/692	42/14734	3.1023265382453e-10	5.88666460632045e-08	5.1678228913402e-08	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0042379	chemokine receptor binding	15/692	50/14734	4.98079727573175e-09	7.5608502645608e-07	6.63756773797516e-07	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0001664	G-protein coupled receptor binding	32/692	225/14734	2.01237857928535e-08	2.54565890279596e-06	2.23479936962741e-06	CCL2/UCN2/CXCL13/WNT4/TAC4/XCL1/XCL2/WNT10B/WNT2/CXCL2/SFRP1/NPY/CXCL1/RTP5/ROR2/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/CCL20/CCL26/CTHRC1/CCL18/RSPO3/P2RY1/PTCH1/NPPA/GNG3/CCL14/NPW	32
GO:0005539	glycosaminoglycan binding	26/692	182/14734	3.91775066737143e-07	4.24796108076416e-05	3.72922732698664e-05	CCL2/CXCL13/APOB/DCN/LYVE1/ADAMTS15/COL13A1/LIPG/HAPLN1/MSTN/SFRP1/HAPLN2/SELP/VIT/POSTN/CCL7/PF4V1/CXCL6/RSPO3/SERPIND1/NDNF/PTCH1/ANOS1/MMP7/JCHAIN/PCOLCE	26
GO:0061135	endopeptidase regulator activity	20/692	118/14734	5.53955564358472e-07	5.25565341685101e-05	4.6138667399857e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/COL28A1/A2ML1/SERPINB2/ITIH2/SFRP2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	20
GO:0030414	peptidase inhibitor activity	20/692	119/14734	6.37082137299542e-07	5.37272602455947e-05	4.71664319193696e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/PI16/COL28A1/A2ML1/SERPINB2/ITIH2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	20
GO:0061134	peptidase regulator activity	23/692	155/14734	9.28338028559855e-07	7.0460856367693e-05	6.18566286398303e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/MAL/PI16/COL28A1/A2ML1/SERPINB2/ITIH2/SFRP2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/PCOLCE/TIMP1/CST6	23
GO:0004866	endopeptidase inhibitor activity	19/692	112/14734	1.0452324024691e-06	7.21210357703676e-05	6.33140775849701e-05	SERPINI1/SNCA/NGF/COL6A3/COL4A3/MT3/WFIKKN2/COL28A1/A2ML1/SERPINB2/ITIH2/HMSD/SPINK2/CST7/SERPIND1/ANOS1/CRB2/TIMP1/CST6	19
GO:0005179	hormone activity	15/692	74/14734	1.41098388240916e-06	8.92447305623796e-05	7.83467366285088e-05	UCN2/IGF2/PMCH/VIP/CCK/HAMP/INSL3/NPY/NPPB/EDN2/SST/NPPC/NPPA/INHBC/CARTPT	15
GO:0005126	cytokine receptor binding	27/692	215/14734	3.06708760388968e-06	0.000179070730104021	0.000157203761397746	CCL2/CXCL13/NGF/XCL1/XCL2/IL6/TNFSF11/MSTN/CXCL2/NTRK1/NTF3/BMP3/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/TNFSF9/CD70/CCL14/INHBC/BMP5/IL6ST	27
GO:0015276	ligand-gated ion channel activity	19/692	122/14734	3.92957736723959e-06	0.000198836614782323	0.000174555963050011	TRPA1/CHRND/GRIN1/CLCA2/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/ASIC2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1/GRIK1	19
GO:0022834	ligand-gated channel activity	19/692	122/14734	3.92957736723959e-06	0.000198836614782323	0.000174555963050011	TRPA1/CHRND/GRIN1/CLCA2/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/ASIC2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1/GRIK1	19
GO:0048020	CCR chemokine receptor binding	9/692	29/14734	4.53044398044912e-06	0.000214912936322555	0.000188669147343704	CCL2/CXCL13/XCL1/XCL2/CCL7/CCL20/CCL26/CCL18/CCL14	9
GO:0008201	heparin binding	20/692	137/14734	6.08381323821306e-06	0.000271624367517865	0.000238455342401787	CCL2/CXCL13/APOB/ADAMTS15/COL13A1/LIPG/MSTN/SFRP1/SELP/POSTN/CCL7/PF4V1/CXCL6/RSPO3/SERPIND1/NDNF/PTCH1/ANOS1/MMP7/PCOLCE	20
GO:0015267	channel activity	40/692	412/14734	1.09819567093542e-05	0.000438700270652621	0.000385129008145218	TRPA1/GJA5/KCNG3/CALHM1/STEAP1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/GJB2/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/GJB1/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	40
GO:0022803	passive transmembrane transporter activity	40/692	412/14734	1.09819567093542e-05	0.000438700270652621	0.000385129008145218	TRPA1/GJA5/KCNG3/CALHM1/STEAP1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/GJB2/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/GJB1/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	40
GO:0005230	extracellular ligand-gated ion channel activity	12/692	63/14734	3.08001865286909e-05	0.00116886707876382	0.00102613253014007	CHRND/GRIN1/GRID2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/CHRNA2/GABRR1/GRIK1	12
GO:0070405	ammonium ion binding	11/692	55/14734	4.08896395761267e-05	0.00147786840182287	0.00129740059406959	TH/CHRND/CHRNA3/HTR3A/HTR1E/HTR5A/CHRNA2/APOA1/APOC1/JCHAIN/DRD5	11
GO:0005216	ion channel activity	36/692	381/14734	5.3290139212387e-05	0.00183065032143294	0.00160710304898003	TRPA1/KCNG3/CALHM1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	36
GO:0045236	CXCR chemokine receptor binding	6/692	16/14734	5.6100584275151e-05	0.00183065032143294	0.00160710304898003	CXCL13/CXCL2/CXCL1/CXCL5/PF4V1/CXCL6	6
GO:0004867	serine-type endopeptidase inhibitor activity	11/692	57/14734	5.78861761717925e-05	0.00183065032143294	0.00160710304898003	SERPINI1/COL6A3/WFIKKN2/COL28A1/A2ML1/SERPINB2/ITIH2/HMSD/SPINK2/SERPIND1/ANOS1	11
GO:0022838	substrate-specific channel activity	36/692	388/14734	7.75648917529402e-05	0.0023364250873907	0.0020511158453898	TRPA1/KCNG3/CALHM1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	36
GO:0022836	gated channel activity	30/692	300/14734	8.00356419923033e-05	0.0023364250873907	0.0020511158453898	TRPA1/KCNG3/CALHM1/CACNA1I/CHRND/GRIN1/CLCA2/CACNG3/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/RYR1/KCNN3/REST/GABRR1/CNGB1/GRIK1	30
GO:0019825	oxygen binding	8/692	32/14734	8.76103091290478e-05	0.00246282313440546	0.00216207897382796	TH/HBG1/HBQ1/HBD/CYP4F3/CYP4F12/CYP1B1/CYP26A1	8
GO:0004930	G-protein coupled receptor activity	34/692	361/14734	9.1048426455034e-05	0.00246806270283467	0.00216667871977581	NPR1/GPR22/RXFP1/HRH3/BDKRB1/GPR83/MC4R/NPY2R/NPY4R/OR2L13/CHRM1/SFRP1/CRHR1/MCHR2/MRGPRE/ADRA1A/NPY/SFRP2/HTR1E/LPAR3/HTR5A/ADGRD2/GPR6/SSTR1/VIPR2/OPRK1/P2RY1/GPR75/TSHR/PTGIR/SFRP5/ADCYAP1R1/PDGFRL/DRD5	34
