ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004930	G-protein coupled receptor activity	112/2159	338/14941	1.51412149845816e-18	1.46112724601212e-15	1.22404769559565e-15	GPR50/ADGRA1/GRM7/GPR26/HTR2B/CCR2/SUCNR1/GPR174/ADGRG2/GPR15/ADGRD1/GPR63/APLNR/CCKAR/TSHR/CXCR4/OXGR1/P2RY13/GPR179/CRHR1/NPY1R/HRH2/P2RY10/HTR1F/OR13A1/CHRM1/GPR88/FRZB/CX3CR1/PTGER2/ADRA2B/ACKR1/GPR141/SSTR2/VIPR2/GRIK3/S1PR1/CNR1/FZD1/DRD1/CRHR2/GPRC5B/F2R/AGTR1/HPGD/HTR2A/GPR21/XCR1/ADGRA2/ADORA1/OR7A5/FPR2/PDGFRB/FPR3/GP1BA/C5AR1/ADRA2A/ADGRF5/MRGPRX3/CYSLTR2/EDNRB/PTGFR/F2RL2/ADGRL4/UTS2R/SSTR3/CCR8/SORCS1/GPR82/FPR1/ADCYAP1R1/ADGRD2/ADRA1A/SFRP4/P2RY14/GRM8/PTGER3/CYSLTR1/P2RY12/GPR173/CCR6/P2RY8/CCR4/CCR1/MTNR1A/CNR2/GALR2/CALCR/PDGFRL/HRH4/ADGRB3/LPAR4/AVPR1A/GPR34/SSTR1/GPR183/ADGRE3/SFRP2/GPR20/GLP1R/FZD4/HTR1B/GAL/GPR78/TACR1/FFAR4/S1PR3/CHRM4/GPRC5D/CXCR5/CALCRL/GRM1	112
GO:0005539	glycosaminoglycan binding	74/2159	194/14941	2.29474614585978e-16	1.10721501537734e-13	9.27560547379111e-14	SPOCK3/SHH/PGF/ADAMTS8/LYVE1/RSPO1/THBS4/TNXB/CHRD/LPL/POSTN/CCDC80/LTBP2/SPOCK2/EPYC/PRELP/SOD3/LXN/CXCL11/TGFBR3/CEMIP/FSTL1/WISP1/NDNF/FN1/CTGF/HAPLN2/CTSG/CEL/LPA/WISP2/SELL/ABI3BP/COMP/FGF7/SLIT2/CRISPLD2/FGF10/RSPO3/PCOLCE/BGN/LTF/FGFBP1/PGLYRP4/STAB2/JCHAIN/SUSD5/COL25A1/VCAN/DPYSL3/CXCL10/ECM2/SEMA5A/ADA2/SELP/THBS1/RSPO2/PLA2G2D/SERPINC1/FGF9/ADAMTS5/GREM2/THBS2/FGF2/FBN1/ANOS1/ADAMTS3/TNFAIP6/FGFR1/ELANE/DCN/SAA1/COL5A1/SMOC2	74
GO:0022838	substrate-specific channel activity	111/2159	370/14941	6.57286117418728e-15	2.11427034436357e-12	1.77121311641257e-12	SLC26A5/GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/BEST4/KCNT2/KCNQ3/GRIA2/SLC14A1/AQP5/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/GJD3/KCNS2/KCNA1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/SLC24A2/TRPC3/KCNE3/AQP9/CACNA1D/CACNG1/DENND5B/CACNB4/KCNA6/TRPM8/FXYD1/ASIC4/KCNJ11/RYR1/BEST3/KCNH8/KCNJ6/AQP1/ANO5/GRIA3/CFTR/KCNH1/REST/ABCC9/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/AQP7/SLC24A4/GABRP/GRIN2A/CLCN4/AQP4/TRPV6/FAM155A/CACNA2D2/GRID1/TMEM38A/SLC40A1/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/CALHM3/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/PDE2A/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/KCNK15/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	111
GO:0048018	receptor ligand activity	106/2159	349/14941	1.0938664984586e-14	2.63895292753137e-12	2.2107617653058e-12	IL17C/TFF1/SHH/IFNK/OGN/PGF/FNDC5/EDN3/GDF3/IL37/THBS4/GREM1/ADCYAP1/LEFTY2/VEGFD/PENK/CGB2/EPHA7/UCN/WNT9B/AGT/FGF14/GAST/SCG2/TG/CXCL11/CHGB/IL36G/FGF18/IFNL1/TNFSF8/TNFSF4/CCL21/IL1F10/WNT1/BMP3/IL24/GDF10/IL1A/WNT2/SCGB3A1/IGF1/CTGF/CCL19/TNFSF15/EGF/TDGF1/C1QTNF12/UCN2/FGF7/AREG/FGF10/GDF5/APOA1/IFNE/BMP8A/C1QTNF9/NPPC/IL20/PYY2/CXCL5/EPO/THPO/C10orf99/CD70/SLURP1/IGF2/INHA/CD40LG/CCL11/WNT8B/CCL24/KL/TNFSF14/MAPT/CXCL10/HGF/ADA2/LHB/IL16/CXCL12/FGF9/PDGFD/BMP5/GREM2/NRG3/CSF3/BMP8B/GDF6/SFRP2/CXCL14/IL17D/TGFB3/CSF2/FGF2/GAL/FBN1/IL18/DKK1/INS-IGF2/CCL18/SAA1/GRP/CCL14/NMB/NPFF	106
GO:0030545	receptor regulator activity	110/2159	373/14941	3.16322792695314e-14	6.10502989901955e-12	5.11444010084212e-12	IL17C/TFF1/SHH/IFNK/OGN/PGF/FNDC5/EDN3/GDF3/IL37/THBS4/GREM1/ADCYAP1/LEFTY2/VEGFD/PENK/CGB2/EPHA7/UCN/WNT9B/AGT/FGF14/GAST/SCG2/TG/CXCL11/CHGB/IL36G/FGF18/IFNL1/TNFSF8/TNFSF4/CCL21/IL1F10/WNT1/BMP3/IL24/GDF10/IL1A/WNT2/SCGB3A1/IGF1/CTGF/CCL19/NCOA2/TNFSF15/ACTN2/EGF/TDGF1/C1QTNF12/UCN2/FGF7/AREG/FGF10/GDF5/APOA1/IFNE/BMP8A/PXDN/C1QTNF9/NPPC/IL20/PYY2/CXCL5/EPO/THPO/C10orf99/CD70/SLURP1/IGF2/INHA/CD40LG/CCL11/WNT8B/CCL24/KL/TNFSF14/MAPT/CXCL10/HGF/LYNX1/ADA2/LHB/IL16/CXCL12/FGF9/PDGFD/BMP5/GREM2/NRG3/CSF3/BMP8B/GDF6/SFRP2/CXCL14/IL17D/TGFB3/CSF2/FGF2/GAL/FBN1/IL18/DKK1/INS-IGF2/CCL18/SAA1/GRP/CCL14/NMB/NPFF	110
GO:0015267	channel activity	114/2159	394/14941	4.57155383681138e-14	6.30221350360425e-12	5.27962909273855e-12	SLC26A5/GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/BEST4/KCNT2/KCNQ3/GRIA2/SLC14A1/AQP5/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/GJD3/KCNS2/KCNA1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/SLC24A2/TRPC3/KCNE3/AQP9/CACNA1D/CACNG1/DENND5B/CACNB4/KCNA6/TRPM8/FXYD1/ASIC4/KCNJ11/RYR1/BEST3/KCNH8/KCNJ6/AQP1/GJA5/ANO5/GRIA3/CFTR/KCNH1/REST/ABCC9/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/AQP7/SLC24A4/GABRP/GRIN2A/CLCN4/AQP4/GJB1/TRPV6/FAM155A/BCL2/CACNA2D2/GRID1/TMEM38A/SLC40A1/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/CALHM3/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/PDE2A/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/KCNK15/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	114
GO:0022803	passive transmembrane transporter activity	114/2159	394/14941	4.57155383681138e-14	6.30221350360425e-12	5.27962909273855e-12	SLC26A5/GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/BEST4/KCNT2/KCNQ3/GRIA2/SLC14A1/AQP5/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/GJD3/KCNS2/KCNA1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/SLC24A2/TRPC3/KCNE3/AQP9/CACNA1D/CACNG1/DENND5B/CACNB4/KCNA6/TRPM8/FXYD1/ASIC4/KCNJ11/RYR1/BEST3/KCNH8/KCNJ6/AQP1/GJA5/ANO5/GRIA3/CFTR/KCNH1/REST/ABCC9/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/AQP7/SLC24A4/GABRP/GRIN2A/CLCN4/AQP4/GJB1/TRPV6/FAM155A/BCL2/CACNA2D2/GRID1/TMEM38A/SLC40A1/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/CALHM3/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/PDE2A/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/KCNK15/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	114
GO:0022836	gated channel activity	89/2159	278/14941	5.34401043962338e-14	6.4462125927957e-12	5.4002631810931e-12	GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/KCNT2/KCNQ3/GRIA2/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/KCNS2/KCNA1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/KCNE3/CACNA1D/CACNG1/CACNB4/KCNA6/KCNJ11/RYR1/KCNH8/KCNJ6/AQP1/ANO5/GRIA3/CFTR/KCNH1/REST/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/GABRP/GRIN2A/CLCN4/FAM155A/CACNA2D2/GRID1/TMEM38A/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	89
GO:0008201	heparin binding	57/2159	144/14941	1.00047174104688e-13	1.07272803345583e-11	8.98669353361412e-12	PGF/ADAMTS8/RSPO1/THBS4/TNXB/CHRD/LPL/POSTN/CCDC80/LTBP2/PRELP/SOD3/LXN/CXCL11/TGFBR3/FSTL1/WISP1/NDNF/FN1/CTGF/CTSG/CEL/LPA/WISP2/SELL/ABI3BP/COMP/FGF7/SLIT2/CRISPLD2/FGF10/RSPO3/PCOLCE/LTF/FGFBP1/COL25A1/CXCL10/ECM2/ADA2/SELP/THBS1/RSPO2/PLA2G2D/SERPINC1/FGF9/ADAMTS5/GREM2/THBS2/FGF2/FBN1/ANOS1/ADAMTS3/FGFR1/ELANE/SAA1/COL5A1/SMOC2	57
GO:0005216	ion channel activity	106/2159	362/14941	1.55735076528314e-13	1.50284348849823e-11	1.25899514498679e-11	SLC26A5/GABRA4/KCND3/KCNJ2/TMEM150C/KCNA7/CHRNA1/HCN4/CLIC5/CYBB/BEST4/KCNT2/KCNQ3/GRIA2/GRIA1/CACNA2D1/KCNN3/SCN4A/LRRC55/KCNN2/KCNB2/CHRNA7/GABRB2/KCNA3/TRPM3/GJD3/KCNS2/KCNA1/SCN5A/GRIK3/CNGA3/JPH2/CACNA1S/SLC24A2/TRPC3/KCNE3/CACNA1D/CACNG1/DENND5B/CACNB4/KCNA6/TRPM8/FXYD1/ASIC4/KCNJ11/RYR1/BEST3/KCNH8/KCNJ6/AQP1/ANO5/GRIA3/CFTR/KCNH1/REST/ABCC9/P2RX7/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCNE4/KCND2/SCN1B/SLC24A4/GABRP/GRIN2A/CLCN4/TRPV6/FAM155A/CACNA2D2/GRID1/TMEM38A/SLC40A1/PIEZO2/SCNN1D/KCNB1/CHRND/KCNC1/CALHM3/GLRA3/KCNA5/KCNK7/CACNA1C/CHRNA6/PDE2A/KCNT1/ANXA6/RYR2/KCNJ5/NALCN/KCNQ4/KCNA2/KCNJ8/KCNK15/SCN7A/SCN3A/CLIC6/CLIC3/HTR3E/CHRNG/CACNB1/CHRFAM7A/CACNG6/LRRC26	106
