ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	77/781	197/5085	1.15281538605839e-16	2.29410261825619e-14	2.03866299850325e-14	9248/2557/2917/3357/187/886/7253/1134/53829/2891/1394/4886/3274/27334/2890/3355/1128/1139/2561/5732/151/6752/7434/2899/1901/1268/1812/1395/2149/185/3356/134/2358/2359/728/1511/2892/150/5027/57105/1910/2743/5737/2151/2837/6753/2568/2357/2903/117/148/9934/2918/5733/10800/286530/2894/4543/1269/8811/799/1144/8001/59340/2846/552/8973/3972/6751/2740/3351/6869/1903/1132/10203/2911/1146	77
hsa05410	Hypertrophic cardiomyopathy (HCM)	38/781	78/5085	2.9837882728202e-12	2.9688693314561e-10	2.63829699912523e-10	6442/3672/3676/1674/6546/8516/781/6445/53632/779/776/786/70/4624/1756/7134/785/4634/3479/1636/783/3680/9254/7137/4633/3690/775/6444/6262/3908/7273/7043/5563/3679/4625/22801/782/59285	38
hsa04512	ECM-receptor interaction	38/781	83/5085	3.26270489442293e-11	1.62319568497541e-09	1.4424590059554e-09	1282/7060/7148/131873/3672/3676/3339/8516/1101/1293/2814/7143/1277/5649/3910/2335/2811/22798/1286/1278/1290/1311/1292/3680/1291/1301/6383/3690/9899/63923/7057/3908/1281/7058/3679/7450/22801/1289	38
hsa05414	Dilated cardiomyopathy	38/781	83/5085	3.26270489442293e-11	1.62319568497541e-09	1.4424590059554e-09	6442/3672/3676/1674/6546/8516/781/6445/779/776/786/70/4624/1756/7134/785/4634/3479/783/3680/9254/7137/4633/108/3690/775/6444/6262/3908/111/7273/5350/7043/3679/4625/22801/782/59285	38
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	30/781	69/5085	1.79733570468073e-08	7.1533961046293e-07	6.35689259760763e-07	6442/3672/3676/29119/1674/6546/8516/781/6445/779/776/786/1756/785/783/88/3680/9254/51176/3690/775/6444/6262/3908/3679/89/22801/782/59285/1496	30
hsa04510	Focal adhesion	60/781	198/5085	4.46158477326428e-08	1.29635952395568e-06	1.15201481102647e-06	5228/1282/7060/7148/131873/859/2277/3672/3676/5579/8516/5294/1101/1293/7143/1277/3265/5649/3910/5159/2335/3479/85366/2318/29895/22798/1286/1278/3791/1290/88/1950/10000/5295/2324/1311/1292/3680/596/1291/4633/1301/57144/2321/5156/3690/3082/63923/7057/80310/3908/1281/7058/91807/3679/7450/89/5063/22801/1289	60
hsa04020	Calcium signaling pathway	52/781	162/5085	4.56005862697977e-08	1.29635952395568e-06	1.15201481102647e-06	3357/886/816/5579/6546/3274/7125/1128/1139/4843/5136/1812/779/776/2149/185/815/3356/4842/7134/5137/5159/6261/85366/5027/777/57105/1910/8913/5737/2903/148/2066/6547/5733/10800/108/5156/487/552/775/6262/51196/5350/5260/9630/5332/683/91807/6869/491/2911	52
hsa04060	Cytokine-cytokine receptor interaction	67/781	232/5085	5.830054757582e-08	1.45022612094852e-06	1.28874894641286e-06	56832/729230/1436/3572/60401/2277/3568/7852/3587/3554/64109/1524/6373/282618/8792/944/7292/6366/8784/2829/11009/5159/1439/3552/6363/3791/9966/1950/2324/1237/8200/338376/3977/3560/50604/6374/2056/970/1235/53833/959/8718/6356/1233/1230/2321/3575/2322/6369/8740/5156/3627/3082/55504/6387/1440/9547/7043/1437/3606/50615/3604/1441/6362/643/3815/6358	67
hsa04640	Hematopoietic cell lineage	29/781	79/5085	2.31859293261265e-06	5.12666659544353e-05	4.55583172723889e-05	1436/917/3672/3676/3568/3554/290/2208/2814/910/3684/947/920/3552/2811/1378/933/2056/7066/921/3575/2322/3690/1440/1380/931/1437/1441/3815	29
hsa04514	Cell adhesion molecules (CAMs)	40/781	130/5085	5.54707898566815e-06	0.000109443748743351	9.725760269179e-05	9074/6693/257194/3689/9369/3676/8516/7412/3684/1365/947/940/3683/920/5788/5010/6900/933/58494/9378/1013/6402/25945/9071/3680/4684/10666/959/83700/6383/1462/5797/6401/22871/23705/57863/6403/4685/1003/4359	40
hsa04260	Cardiac muscle contraction	25/781	66/5085	6.04965445315003e-06	0.000109443748743351	9.725760269179e-05	1339/6546/781/779/776/786/70/4624/7134/785/1345/4634/27089/783/9254/7137/4633/775/6262/23439/477/4625/480/782/59285	25
hsa04974	Protein digestion and absorption	25/781	67/5085	8.27202287892491e-06	0.000137177712742171	0.000121903495057841	1282/2006/131873/6546/1293/1277/10008/1506/7373/1286/1278/1290/1292/7512/6547/1291/1301/1303/1306/23439/1281/477/1359/480/1289	25
hsa05144	Malaria	20/781	48/5085	9.76071657961465e-06	0.000149414046103332	0.000132777359139697	7060/3689/4035/7412/2532/54106/3683/7099/1378/1311/959/6383/6401/3082/6403/7057/1440/7043/7058/3606	20
hsa04970	Salivary secretion	28/781	82/5085	1.71121689419384e-05	0.000243237258531839	0.000216153712950801	4589/1469/276/1470/5592/5579/362/5555/4025/1755/4842/2977/2982/2983/6779/148/55503/108/727897/111/23439/5332/683/477/480/491/4069/653247	28
hsa04614	Renin-angiotensin system	9/781	15/5085	9.49696268842561e-05	0.00125993038333113	0.00111964191695123	290/183/4012/1215/185/1636/1511/2028/1359	9
hsa05146	Amoebiasis	28/781	102/5085	0.00110970769464405	0.0138019894521353	0.0122651903092237	1282/1992/3689/5579/5294/3554/4843/1277/3684/3910/2335/1511/7099/22798/1286/1278/1290/88/5295/1301/3908/1281/9630/7043/5332/1437/89/1289	28
hsa04610	Complement and coagulation cascades	18/781	57/5085	0.00153945966909231	0.0180207337734924	0.0160141934617652	722/7035/729/2159/5648/2/2162/2149/2153/720/728/1378/2155/2161/730/462/1380/7450	18
hsa04810	Regulation of actin cytoskeleton	45/781	197/5085	0.00304078012600868	0.0336175136153182	0.0298743310625414	81873/9459/3689/3672/3676/85477/8516/5294/2259/1128/22808/26230/10788/3684/8817/3265/2149/3683/5159/2335/85366/29895/88/1950/5295/2252/2255/3680/8395/4633/57144/5156/3690/2254/80310/2247/91807/3679/3645/3071/2260/1132/89/5063/22801	45
hsa04730	Long-term depression	18/781	62/5085	0.00431785449127983	0.0452238444086676	0.0401883409714687	5592/5579/2891/1394/2890/5320/3265/4842/6261/3479/2892/2977/2982/2983/64600/26279/5332/2911	18
