ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010469	regulation of receptor activity	122/1859	444/14737	1.12209887643046e-17	6.02006047204943e-14	5.61876247913654e-14	EPO/GPHA2/CXCL6/BMP5/PENK/CALCB/F2/TRDN/GRP/CCL7/AMH/NOS1/NBL1/LEP/GSTO1/LYPD6B/NRG1/CORT/CCL13/METRNL/CXCL1/CNIH2/WNT2/FGF17/MIA/CACNG4/IL11/IFNG/CSPG5/GDF7/FGF9/GDF5/CRLF1/CCL20/MAPK8IP2/CACNG5/NCOA2/FOXH1/NEURL1/JSRP1/WNT7B/VGF/INSL3/SRA1/FGF7/CCL11/IL17B/CCL5/ANGPTL8/C1QTNF4/UCN2/NRG4/HAP1/WNT1/PNOC/PGF/WNT4/PYY2/CSF3/IL34/IGF2/KL/C1QTNF12/EREG/CCL17/GNRH1/NPFF/GPRC5A/FAM3B/CLEC11A/XCL2/INHA/MAPT/FKBP1B/CCL25/UCN/CXCL2/MDK/ACTN2/IFNE/NPPA/TNFSF14/AGRP/CCL19/P2RY1/LTB/CXCL13/FGF18/PSPN/TDGF1/LYPD1/MIF/RETN/IL27/SHISA9/XCL1/LEFTY1/NENF/HAMP/PSCA/GREM1/PHLDA2/LYPD6/WNT10B/BUD31/AGER/CXCL3/ARTN/IL6/BMP7/SCGB3A1/CBLC/POMC/PMCH/LIF/MSTN/TIMP1/CGB7/INHBE/CCL26/WNT10A/NMB	122
GO:0007600	sensory perception	100/1859	433/14737	7.24660643288729e-10	1.94390217562202e-06	1.81432141059183e-06	ATP6V0A4/SIX3/USH1G/EYA1/PENK/SYT10/EYA3/SCNN1B/TMEM150C/GPX1/CNGB1/OR2T10/OR7C1/BIRC5/BDKRB1/COCH/REEP2/TRPM3/IFNG/SCNN1D/GRM6/GRIN1/CDH3/MYO9A/PDZD7/MYO3B/OR13A1/TMPRSS3/NR2E3/SCNN1G/GJB2/GJB4/OR2T5/COL11A2/VAX2/HOMER2/CST2/PNOC/FSCN2/TAS1R3/GJB6/ESPNL/GUCA1B/OR14I1/ROM1/NPFF/CRYBB2/STRC/SCNN1A/HOXB8/TAS2R3/UCN/ZIC2/PDE6G/CHRNA10/POU6F2/TFAP2A/LPO/OTOF/TACSTD2/TMIE/HSF4/NMU/GRIN2D/GABRB3/LRIT3/P2RY1/LRP2/HMCN1/PJVK/TBX1/ASIC1/ABCA4/GUCY2D/UCHL1/OPN4/SLC52A3/WNT10B/ROR1/NTRK1/OR7A5/BFSP2/ALOXE3/TRPM8/CRYAA/RTP5/LEF1/ATP6V1B1/RP1/CRYBB3/PPEF2/CLIC5/DRD2/POMK/SFRP5/ASIC3/SCN1A/TAS1R1/CHRNA7/FZD2	100
GO:0031424	keratinization	27/1859	70/14737	3.38578780024959e-08	6.05491718277968e-05	5.65129563711834e-05	KRT14/TGM5/KRT17/CDH3/TCHH/KRT32/KLK14/KRT5/KRTAP5-9/CNFN/SFN/PKP2/PI3/KRT81/KRT15/KRT13/KRT16/TGM1/KRTAP5-8/KRT10/KRTAP5-10/KRT7/KRT23/KRT72/KRT19/PKP3/KRTAP5-1	27
GO:0042742	defense response to bacterium	44/1859	158/14737	2.07254488802447e-07	0.000277980083106283	0.000259449895587695	CXCL6/F2/FGA/CLEC4E/RARRES2/COCH/TLR3/CHGA/IFNG/LBP/PLA2G2A/CCL20/ARG2/HP/S100A14/VGF/HIST1H2BF/CRP/DEFB1/IL6R/RPS19/IFNE/SSC5D/LPO/ROMO1/CYBA/CXCL13/TREM1/S100A8/HAMP/TLR9/PLA2G6/ADGRB1/ISG15/GNLY/DEFA1B/IL6/PGLYRP2/JCHAIN/RPL39/BCL3/PYCARD/CEBPB/SLPI	44
GO:0006959	humoral immune response	45/1859	167/14737	4.24551097721436e-07	0.000430315639418217	0.000401630744437623	C4BPB/CXCL6/F2/FGA/C4BPA/CD19/ITLN1/AIRE/PSMB10/CCL13/RARRES2/CHGA/IFNG/PLA2G2A/MNX1/SUSD4/HIST1H2BF/GATA3/FCER2/POU2AF1/PRSS3/DEFB1/PI3/RPS19/CPN2/IFNE/ROMO1/PDCD1/CXCL13/TREM1/S100A8/PLA2G6/VTN/GNLY/LCN2/MS4A1/DEFA1B/IL6/PGLYRP2/HPX/JCHAIN/RPL39/BCL3/C9/SLPI	45
GO:0019730	antimicrobial humoral response	24/1859	65/14737	5.03126059227504e-07	0.000430315639418217	0.000401630744437623	CXCL6/F2/FGA/ITLN1/CCL13/RARRES2/CHGA/PLA2G2A/HIST1H2BF/PRSS3/DEFB1/PI3/RPS19/ROMO1/S100A8/PLA2G6/GNLY/LCN2/DEFA1B/PGLYRP2/JCHAIN/RPL39/BCL3/SLPI	24
GO:0007218	neuropeptide signaling pathway	23/1859	61/14737	5.61455633910069e-07	0.000430315639418217	0.000401630744437623	MCHR1/NPFFR2/PENK/GRP/CYSLTR2/PCSK1N/PNOC/PYY2/NPFF/UCN/SSTR1/NPPA/AGRP/NMU/NPB/POMC/PMCH/NPW/GPR83/RXFP4/NMUR2/ECEL1/NMB	23
GO:0034765	regulation of ion transmembrane transport	82/1859	383/14737	7.61977425114906e-07	0.000511001110717684	0.000476937712009422	EPO/KCNIP1/F2/TRDN/ABCB1/CD19/WNK2/KCNB1/NOS1/GSTO1/DRD4/BDKRB1/SCN3A/CNIH2/FXYD2/FXYD1/CLCN5/CACNG4/HCN2/GRIN1/RNF207/NOX1/KCND3/SCN2A/CBARP/MAPK8IP2/CACNG5/KCNH3/KCNK12/KCNJ1/CACNB3/JSRP1/CRHR1/KCNJ11/TCAF1/HTR3A/CLIC3/KCNS1/HAP1/KCNV1/COX17/S100A1/REM2/CACNA2D1/SLN/FKBP1B/ACTN2/NPPA/FXYD7/KCNK17/GRIN2D/CYBA/CACNA1I/KCNJ3/CLCNKB/SHISA9/KCNG3/XCL1/HAMP/FXYD3/TLR9/RRAD/PLA2G6/PIK3CG/AMIGO1/KCNH8/FXYD5/KCNJ13/KCNK15/CATSPER1/MMP9/CACNA1B/KCNAB3/CLIC5/DRD2/KCNK10/CLCNKA/CACNB1/SCN1A/ANK3/SLC30A1/KCNJ15	82
GO:0007631	feeding behavior	25/1859	72/14737	1.11842324783938e-06	0.000579378181059096	0.000540756758188674	MCHR1/OXTR/LEP/NPY6R/GRIN1/ASIP/STRA6/ADRB3/MRAP2/TCF15/PYY2/ACE2/UCN/CNTFR/AGRP/NMU/P2RY1/RETN/UCHL1/PMCH/NPW/DRD2/RXFP4/NMUR2/MMP17	25
GO:0030049	muscle filament sliding	15/1859	31/14737	1.27321873172701e-06	0.000579378181059096	0.000540756758188674	TNNT2/MYH8/MYLK2/MYBPC2/TNNC1/TCAP/MYBPC3/TNNI2/TNNC2/MYH3/TPM2/DES/ACTN2/TNNT1/TNNT3	15
