ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0031012	extracellular matrix	105/1296	445/14380	8.15499931387885e-21	3.80838467958142e-18	2.89287870397597e-18	PRSS36/TINAGL1/LTBP3/VEGFA/LAMB2/AEBP1/TPSAB1/COL4A2/GPC5/F3/PODN/MGP/ADAMTS1/CD93/CRISPLD2/VWF/LAMC1/SERPINA1/EDIL3/FBLN7/MAMDC2/COL16A1/THBS1/KRT1/ENTPD2/VCAN/TFF3/COL6A3/PRELP/CPZ/PXDN/DST/COL5A3/MATN3/RELN/COL28A1/HIST1H4F/WNT1/SDC3/ORM1/NCAM1/GLDN/L1CAM/COL1A2/COL3A1/ADAMTS9/CHI3L1/TGFBI/LAMA4/BMP4/FMOD/COL8A1/CDH2/SLPI/CLEC14A/CDH13/CPA3/RARRES2/SERPINE1/LOXL1/AGRN/MMP7/FGFR2/DEFA1B/COL9A3/LRRN1/HSPG2/CRIP2/CD248/MMP2/GPC3/COL2A1/SSC5D/GPC4/ADAMTS4/FBLN1/TPSB2/TGFB1I1/EMILIN1/COL6A2/SDC2/COL6A1/PCSK6/FLRT3/ECM1/FREM1/SPARC/CDON/MMP14/MFAP4/SPOCK1/LRRN2/WNT11/SERPINF1/CTSD/MMP8/TIMP3/ADAMTS5/EFEMP2/ADAMTS7/COL9A2/LAMC3/LGALS3BP/MXRA7/COL27A1	105
GO:0005578	proteinaceous extracellular matrix	72/1296	279/14380	8.2107544966483e-17	1.91721117496738e-14	1.4563285607213e-14	PRSS36/VEGFA/LAMB2/COL4A2/GPC5/PODN/MGP/ADAMTS1/CRISPLD2/VWF/LAMC1/SERPINA1/FBLN7/MAMDC2/COL16A1/ENTPD2/VCAN/TFF3/COL6A3/PRELP/CPZ/PXDN/DST/COL5A3/MATN3/RELN/COL28A1/WNT1/GLDN/COL1A2/COL3A1/ADAMTS9/CHI3L1/TGFBI/LAMA4/BMP4/FMOD/COL8A1/LOXL1/AGRN/MMP7/COL9A3/LRRN1/HSPG2/CD248/MMP2/GPC3/COL2A1/GPC4/ADAMTS4/FBLN1/EMILIN1/COL6A2/COL6A1/FLRT3/ECM1/FREM1/SPARC/MFAP4/SPOCK1/LRRN2/WNT11/SERPINF1/MMP8/TIMP3/ADAMTS5/EFEMP2/ADAMTS7/COL9A2/LAMC3/LGALS3BP/COL27A1	72
GO:0031225	anchored component of membrane	35/1296	108/14380	7.29757962451599e-12	1.13598989488299e-09	8.62906783670838e-10	FCGR3B/ULBP2/ART3/MELTF/GPC5/RTN4RL1/CA4/NTNG1/RAB27B/FOLR2/VNN3/MSLN/NCAM1/MDGA1/GFRA1/VNN1/ULBP1/CD177/RGMA/THY1/CDH13/VNN2/GPC3/NTNG2/GPC4/SYN1/RTN4R/CEACAM6/XPNPEP2/CD2/GFRA3/LYNX1/CPM/RTN4RL2/CEACAM8	35
GO:0009897	external side of plasma membrane	49/1296	196/14380	2.56021356704633e-11	2.98904933952660e-09	2.27050518972267e-09	ADGRE1/FCRL6/F3/CD9/TNFRSF13B/CD226/LRP2/FCER1G/CD36/SLC2A4/ANTXR1/TLR4/RTN4RL1/CA4/P2RY12/THBS1/FCN1/CCR1/MS4A2/FOLR2/IL31RA/ENPEP/LAG3/PDGFRA/NCAM1/TLR8/CDH5/IL2RA/CXCL12/THY1/CLEC14A/ITGAE/CD163/CDH13/ANPEP/FCGR3A/IL12RB1/TNFRSF18/ITGB2/GPC4/MCAM/RTN4R/ITGAM/SCUBE1/NLGN1/CD2/GFRA3/RTN4RL2/CXCL10	49
GO:0097060	synaptic membrane	51/1296	216/14380	9.60236869203686e-11	8.96861235836243e-09	6.81262789308721e-09	TANC1/HOMER2/SHISA9/ARC/CLSTN2/DLG3/MPDZ/SNCAIP/SHANK1/GABRD/SLC8A1/IGSF9B/ITGA8/PTPRS/KCNA2/CNIH3/DMD/KCNC3/NRXN1/PDLIM4/TMEM108/IL31RA/SHANK2/CADPS2/TENM2/LIN7A/GLRB/GABRR1/ADORA1/LRP4/GABRE/GRASP/DAGLA/GRID2IP/GSG1L/BAALC/GRIK3/GPHN/PDE2A/CNKSR2/PALM/DLGAP2/CHRNA6/FLRT3/SYNPO/ADGRL1/NLGN1/NETO1/GRID1/STXBP1/PSD3	51
GO:0043235	receptor complex	55/1296	263/14380	2.239795466863e-09	1.74330747170837e-07	1.32422995146111e-07	ITGA7/PLXNA4/SHISA9/PTH1R/DLG3/PLXNB1/TRPC1/SHANK1/GABRD/LRP2/CD36/APP/ITGA11/ITGA8/IFNLR1/TLR4/LIFR/CNIH3/INSRR/NTRK1/SHANK2/ABCG2/NTRK3/GABRR1/GHR/ITGAE/LRP4/GABRE/ADRA2A/NRP1/IL12RB1/NRP2/ITGB2/OSMR/EMILIN1/CACNG4/CHRNA6/ITGAM/LOXL4/IGF1R/LRP6/ITGAX/NLGN1/FLT4/ITGB4/IRS1/PTPRN2/CD3D/TRPV3/ITGA9/VDR/NOTCH3/GPR63/DDR1/FGFR1	55
GO:0045211	postsynaptic membrane	39/1296	162/14380	8.62077633788765e-09	5.7512893568479e-07	4.36872424942577e-07	TANC1/HOMER2/SHISA9/ARC/CLSTN2/DLG3/MPDZ/SHANK1/GABRD/SLC8A1/IGSF9B/PTPRS/CNIH3/DMD/PDLIM4/TMEM108/SHANK2/CADPS2/TENM2/LIN7A/GLRB/GABRR1/ADORA1/GABRE/GRASP/DAGLA/GRID2IP/GSG1L/BAALC/GRIK3/GPHN/CNKSR2/DLGAP2/CHRNA6/SYNPO/NLGN1/NETO1/GRID1/PSD3	39
GO:0005581	collagen trimer	23/1296	68/14380	1.14032549618391e-08	6.65665008397358e-07	5.05644331860497e-07	COLEC12/C1QB/COL4A2/COL16A1/FCN1/COL6A3/COL5A3/COL28A1/GLDN/EDA/COL1A2/COL3A1/COL8A1/COL9A3/C1QC/COL2A1/EMILIN1/COL6A2/COL6A1/C1QA/C1QL1/COL9A2/COL27A1	23
GO:0043025	neuronal cell body	65/1296	353/14380	1.75062497314482e-08	8.29792436245455e-07	6.30316806073973e-07	TMPRSS3/APOD/AZIN2/COBL/CYGB/TANC1/TRPM4/HOMER2/KCNJ2/ARC/DLG3/CNN3/RIC3/ASTN2/SNCAIP/UNC5A/CASP5/IGSF9B/ITGA8/NCF1/RTN4RL1/PTPRS/SORT1/MYO10/DAB2IP/KCNA2/NTRK1/KIF5A/KCNC3/NRXN1/SHANK2/LPAR1/SLC25A27/L1CAM/KNDC1/ADORA1/THY1/CRHBP/TUBB4A/LRP4/NRP1/PRKAR2B/RBFOX3/PDE1B/NRSN2/ROR2/PPARGC1A/GRIK3/KCNJ11/CNKSR2/RTN4R/FZD3/CX3CR1/SYNPO/FEZ1/BMPR2/LRP6/PARD3/EEF1A2/SERPINF1/AIF1/UCHL1/RTN4RL2/CKB/DMWD	65
GO:0005788	endoplasmic reticulum lumen	51/1296	249/14380	1.77685746519369e-08	8.29792436245455e-07	6.30316806073973e-07	MELTF/LAMB2/COL4A2/PRSS23/CES1/APP/PDGFD/LAMC1/SERPINA1/IGFBP4/COL16A1/THBS1/LIPC/FAM20C/VCAN/FSTL1/COL6A3/COL5A3/IGFBP5/MATN3/UGGT2/COL28A1/WFS1/WNT1/IGFBP3/PDGFA/CHGB/MSLN/F7/COL1A2/COL3A1/SPP1/GPX8/BMP4/COL8A1/CDH2/FKBP10/COL9A3/GPC3/COL2A1/COL6A2/COLGALT2/SDC2/COL6A1/SERPINH1/CERCAM/PTPRN2/ADAMTS5/ADAMTS7/COL9A2/COL27A1	51
