ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	27/462	77/4768	8.97045435419822e-10	1.57879996633889e-07	1.42583011314098e-07	9899/3679/3913/1284/948/22801/8516/7450/3915/7057/1293/50509/5649/9672/1278/1281/6696/3910/375790/3339/1280/1292/6383/1291/3691/3680/10319	27
hsa04510	Focal adhesion	41/462	183/4768	1.51608612844952e-07	1.33415579303558e-05	1.20488950208357e-05	3679/5747/7422/857/3913/1284/5159/5602/22801/858/8516/80310/7450/3915/7057/2318/25759/1293/50509/5649/5156/5154/1278/1281/6696/3910/55742/894/5923/1280/1292/1291/3480/2324/3691/595/10000/3680/56924/10319/3082	41
hsa04080	Neuroactive ligand-receptor interaction	37/462	161/4768	3.21044700564789e-07	1.88346224331343e-05	1.7009736766766e-05	5731/3363/59350/7434/728/5745/2358/2357/10161/2563/53829/8484/5733/2150/9127/6915/11255/1902/2743/2569/2690/134/2859/5737/2564/5724/150/5739/3061/2899/553/8973/56288/2894/3952/2862/6752	37
hsa05150	Staphylococcus aureus infection	16/462	47/4768	4.10324148686413e-06	0.000180542625422022	0.000163049859083285	713/2215/728/2358/2357/2209/3075/629/5724/2214/714/3689/3684/717/712/3586	16
hsa04060	Cytokine-cytokine receptor interaction	40/462	202/4768	6.19571272780521e-06	0.000218089088018744	0.000196958446715492	7422/57007/10563/8743/23495/5159/608/163702/3977/6367/1230/58191/5156/5154/6372/1896/3567/2690/5197/3559/6373/6387/3594/8784/4352/9180/3577/3579/1524/659/2324/27242/9547/7293/3586/6368/3082/85480/3952/3627	40
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	17/462	58/4768	2.00325276338497e-05	0.000587620810592923	0.000530686258370403	3679/6546/22801/8516/9254/1756/6444/1829/1674/1000/93589/785/775/27092/2697/3691/3680	17
hsa04610	Complement and coagulation cascades	15/462	50/4768	4.56672050432758e-05	0.00114820401251665	0.0010369545806819	713/2162/728/2152/7450/5265/2155/3075/629/5054/714/717/712/710/2161	15
hsa04360	Axon guidance	23/462	113/4768	0.000402447966669062	0.00885385526671936	0.00799600565355636	5747/1969/5364/90249/8633/2770/22854/6405/80031/10371/6091/25791/3897/9353/6586/54437/4776/6387/57522/8829/2047/1949/56924	23
hsa05146	Amoebiasis	19/462	89/4768	0.000686541903428649	0.0134257083337158	0.0121248920956405	5747/3913/1284/7099/3915/5568/50509/912/1278/1281/3910/5055/3689/1280/3684/2767/9630/3586/10319	19
hsa04974	Protein digestion and absorption	14/462	61/4768	0.00165185650926021	0.0256278641190387	0.0231447815907587	6550/1284/6546/1293/50509/1278/1281/1359/1299/1280/1292/1291/7512/1298	14
hsa05410	Hypertrophic cardiomyopathy (HCM)	14/462	61/4768	0.00165185650926021	0.0256278641190387	0.0231447815907587	3679/6546/22801/8516/9254/1756/6444/1674/93589/785/775/27092/3691/3680	14
hsa05414	Dilated cardiomyopathy	15/462	68/4768	0.00174735437175264	0.0256278641190387	0.0231447815907587	3679/6546/22801/8516/5568/9254/1756/6444/1674/93589/785/775/27092/3691/3680	15
hsa04514	Cell adhesion molecules (CAMs)	22/462	121/4768	0.00253651012165071	0.0343404447238865	0.0310132006776726	23705/10666/5797/8516/137075/1462/58494/9378/9672/4684/3897/1003/1000/90952/83700/3689/9369/6383/3684/22871/914/3680	22
hsa04340	Hedgehog signaling pathway	11/462	46/4768	0.00362938085714159	0.0456265022040657	0.0412057525886	6608/64399/4036/5568/50846/7471/653/652/2737/7481/5727	11
