ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003013	circulatory system process	79/1215	461/14839	1.82054458075573e-10	9.07541473506734e-07	7.94715618567793e-07	AR/CALCA/TH/FGG/ACTC1/FXYD1/CHRM1/ADRA1D/PCSK5/SGCG/HEG1/PDE3A/TEK/P2RX2/KCNJ5/CASQ2/ADRA1A/SLC8A3/ANGPT1/SCN4B/DES/ATP1B2/PIK3CG/SLIT2/FGF12/MYLK3/SLC6A4/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/HTR1D/AGTR2/ADRA2A/NTS/TNNI3/KCNJ8/CACNB4/NPR3/CACNA2D2/DRD5/GLP1R/FGA/ADRB3/ATP1A2/CYSLTR1/UCN/CTSG/KCNK3/CORIN/ABCC9/AZU1/CMA1/KCNH6/PRKG1/FGB/ELN/KCNE1/HCN4/ATP1A3/MEOX2/NTSR1/SGCD/SLC8A2/CTNNA3/EPO/KCNA5/ATP2A1/NPR1/CYP4A11/CAV3/CASR/EDNRB/EDN3/IFNG/HSPB7/SPX/CXCL10	79
GO:0044057	regulation of system process	77/1215	451/14839	3.72803639998543e-10	9.29213072696369e-07	8.13692997407347e-07	KCNA1/CALCA/MAG/TH/FGG/APOA5/CRHR1/KLK8/FXYD1/SPHK1/CHRM1/ADRA1D/MYBPH/SGCA/KCNJ5/NMUR2/MYOCD/CASQ2/ADRA1A/SLC8A3/SCN4B/TNNC2/DES/ATP1B2/PIK3CG/FGF12/HTR2A/IGF1/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/ADRA2A/TNNI3/TMEM100/CACNB4/CACNA2D2/GLP1R/FGA/SCN11A/NPNT/ATP1A2/UCN/NR4A3/KCNK3/CORIN/ABCC9/TNR/NMU/KCNH6/PRKG1/FGB/GAL/KCNE1/HCN4/ATP1A3/KISS1/GRIN2A/FGF10/BMP6/NTSR1/INHA/IL6ST/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/CASR/TNNT1/EDNRB/EDN3/IFNG/HSPB7/SPX	77
GO:0008015	blood circulation	77/1215	457/14839	7.00354000620222e-10	1.16375489769727e-06	1.01907650546388e-06	AR/CALCA/TH/FGG/ACTC1/FXYD1/CHRM1/ADRA1D/PCSK5/SGCG/PDE3A/TEK/P2RX2/KCNJ5/CASQ2/ADRA1A/SLC8A3/ANGPT1/SCN4B/DES/ATP1B2/PIK3CG/SLIT2/FGF12/MYLK3/SLC6A4/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/HTR1D/AGTR2/ADRA2A/NTS/TNNI3/KCNJ8/CACNB4/NPR3/CACNA2D2/DRD5/GLP1R/FGA/ADRB3/ATP1A2/UCN/CTSG/KCNK3/CORIN/ABCC9/AZU1/CMA1/KCNH6/PRKG1/FGB/ELN/KCNE1/HCN4/ATP1A3/MEOX2/NTSR1/SGCD/SLC8A2/CTNNA3/EPO/KCNA5/ATP2A1/NPR1/CYP4A11/CAV3/CASR/EDNRB/EDN3/IFNG/HSPB7/SPX/CXCL10	77
GO:0019730	antimicrobial humoral response	24/1215	73/14839	1.55891698976082e-09	1.94280029848942e-06	1.70127072540477e-06	EPPIN/DEFA1B/KLK5/CLU/HIST1H2BF/GNLY/PRSS3/HIST1H2BG/PLA2G1B/BPI/PRTN3/PLA2G2A/FGA/ITLN1/DMBT1/CTSG/AZU1/IL36RN/PGC/SFTPD/FGB/BPIFB1/LTF/PI3	24
GO:0070268	cornification	23/1215	74/14839	1.15651102590371e-08	1.153041492826e-05	1.0096949946153e-05	SPRR3/KRT32/KRT27/PKP1/KRT14/KLK5/KLK8/DSG3/KLK14/KRT17/KRT20/KRT6B/KRT16/SPRR2A/KLK13/SPRR1B/KRT6A/LIPN/SPRR2D/CDSN/KRT78/KRT6C/PI3	23
GO:0071804	cellular potassium ion transport	38/1215	180/14839	4.4528793998141e-08	2.83167757948832e-05	2.47964249002546e-05	KCNA1/LRRC55/NALCN/KCNE4/KCNJ5/CASQ2/ATP1B2/KCND3/FXYD2/KCNS2/KCNJ8/KCNQ2/FHL1/KCNN1/KCNF1/ATP1A2/KCNK12/KCNRG/CNGA4/KCNK17/KCNK3/ABCC9/DPP6/KCNH6/KCNG3/HCN2/GAL/KCNE1/HCN4/ATP1A3/KCNA4/KCNJ1/GRIK4/KCNA5/CAV3/EDN3/KCNH7/SLC9C2	38
GO:0071805	potassium ion transmembrane transport	38/1215	180/14839	4.4528793998141e-08	2.83167757948832e-05	2.47964249002546e-05	KCNA1/LRRC55/NALCN/KCNE4/KCNJ5/CASQ2/ATP1B2/KCND3/FXYD2/KCNS2/KCNJ8/KCNQ2/FHL1/KCNN1/KCNF1/ATP1A2/KCNK12/KCNRG/CNGA4/KCNK17/KCNK3/ABCC9/DPP6/KCNH6/KCNG3/HCN2/GAL/KCNE1/HCN4/ATP1A3/KCNA4/KCNJ1/GRIK4/KCNA5/CAV3/EDN3/KCNH7/SLC9C2	38
GO:0006813	potassium ion transport	42/1215	210/14839	4.54431707841656e-08	2.83167757948832e-05	2.47964249002546e-05	KCNA1/FXYD1/LRRC55/NALCN/KCNE4/KCNJ5/CASQ2/ATP1B2/HTR2A/KCND3/FXYD2/ADRA2A/SLC24A3/KCNS2/KCNJ8/KCNQ2/FHL1/KCNN1/KCNF1/ATP1A2/KCNK12/KCNRG/CNGA4/KCNK17/KCNK3/ABCC9/DPP6/KCNH6/KCNG3/HCN2/GAL/KCNE1/HCN4/ATP1A3/KCNA4/KCNJ1/GRIK4/KCNA5/CAV3/EDN3/KCNH7/SLC9C2	42
GO:0006936	muscle contraction	55/1215	316/14839	6.47887464373193e-08	3.58857667766708e-05	3.14244364298904e-05	KCNA1/CLCN1/CALCA/ACTC1/FXYD1/SPHK1/CHRM1/ADRA1D/MYOM3/LMOD1/MYBPH/P2RX2/SGCA/KCNJ5/NMUR2/MYOCD/CASQ2/ADRA1A/SLC8A3/SCN4B/TNNC2/DES/PIK3CG/FGF12/HTR2A/CACNA1C/KCND3/SCN2B/MYH1/HTR1D/ADRA2A/TNNI3/KCNJ8/SCN7A/MYLK/MYH11/NPNT/ATP1A2/UCN/CHRNB2/NMU/PRKG1/PGAM2/KCNE1/HCN4/ATP1A3/MYH2/CTNNA3/KCNA5/ATP2A1/CAV3/TNNT1/EDNRB/EDN3/SPX	55
GO:1903522	regulation of blood circulation	47/1215	253/14839	7.92785092678228e-08	3.95203368700097e-05	3.46071555719643e-05	CALCA/TH/FGG/FXYD1/CHRM1/ADRA1D/KCNJ5/CASQ2/ADRA1A/SLC8A3/SCN4B/DES/ATP1B2/PIK3CG/HTR2A/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/ADRA2A/TNNI3/CACNB4/CACNA2D2/GLP1R/FGA/ATP1A2/UCN/KCNK3/CORIN/ABCC9/KCNH6/FGB/KCNE1/HCN4/ATP1A3/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/CASR/EDN3/IFNG/HSPB7/SPX	47
GO:0035637	multicellular organismal signaling	37/1215	177/14839	8.7399872395892e-08	3.96080330812292e-05	3.46839493613171e-05	KCNA1/CLCN1/FXYD1/KCNJ5/CASQ2/SLC8A3/SCN4B/ATP1B2/FGF12/S1PR1/CACNA1C/KCND3/FXYD2/SCN2B/TNNI3/CACNB4/CACNA2D2/DRD5/SCN7A/SCN11A/ATP1A2/KCNK3/CORIN/ABCC9/TNR/KCNH6/KCNE1/HCN4/ATP1A3/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/IFNG/GPR88/NFASC	37
GO:0031424	keratinization	24/1215	90/14839	1.48975507954806e-07	5.85244139396744e-05	5.1248639520209e-05	SPRR3/KRT32/KRT27/PKP1/KRT14/KLK5/KLK8/DSG3/KLK14/KRT17/KRT20/KRT6B/KRT16/SPRR2A/KLK13/SPRR1B/KRT6A/LIPN/SPRR2D/CDSN/CNFN/KRT78/KRT6C/PI3	24
GO:0010469	regulation of receptor activity	71/1215	462/14839	1.52621340263945e-07	5.85244139396744e-05	5.1248639520209e-05	CGB3/FAM3D/SCGB3A1/ANGPTL3/IL36G/CALCA/CRLF1/FGF19/CCL16/CBLC/AREG/VEGFD/PENK/WNT9B/CMTM5/CCL26/TNFSF15/CASQ2/CGB2/UCN2/FGF8/FGF12/IL23A/IGF1/IL33/ADRA2A/NTS/FGF1/FGF14/PTN/OGN/UCN/VGF/KCNK3/DAND5/PYY2/IL36RN/INHBE/DKK1/CCL14/GDF1/GAL/C1QTNF12/LEFTY2/FGF7/ARTN/EREG/AGER/IL37/FGF10/LHB/BMP6/GDF10/INHA/AMH/CXCL11/KL/NRG3/EPO/IFNL1/NEURL1/CAV3/PHLDA2/RASGRF1/EDN3/IFNG/ZP3/SPX/CCL8/CXCL10/ARC	71
GO:0003012	muscle system process	62/1215	386/14839	1.95992727844895e-07	6.50385520038207e-05	5.69529377944031e-05	KCNA1/CLCN1/CALCA/ACTC1/FXYD1/SPHK1/CHRM1/ADRA1D/MYOM3/LMOD1/MYBPH/P2RX2/SGCA/KCNJ5/NMUR2/MYOCD/CASQ2/ADRA1A/SLC8A3/SCN4B/TNNC2/DES/PIK3CG/FGF12/HTR2A/IGF1/CACNA1C/KCND3/SCN2B/MYH1/HTR1D/AGTR2/ADRA2A/TNNI3/KCNJ8/SCN7A/MYLK/MYH11/NPNT/ATP1A2/UCN/NR4A3/CHRNB2/NMU/PRKG1/PGAM2/KCNE1/HCN4/ATP1A3/IL6ST/KLF15/MYOC/MYH2/CTNNA3/KCNA5/SORBS2/ATP2A1/CAV3/TNNT1/EDNRB/EDN3/SPX	62
GO:0006959	humoral immune response	36/1215	175/14839	1.98362883215785e-07	6.50385520038207e-05	5.69529377944031e-05	C8A/C9/EPPIN/DEFA1B/KLK5/CLU/HIST1H2BF/GNLY/PRSS3/HIST1H2BG/C6/PLA2G1B/C8B/BPI/CR2/PRTN3/PLA2G2A/FGA/VTN/CR1/ITLN1/DMBT1/CTSG/AZU1/IL36RN/PGC/SFTPD/FGB/BPIFB1/A2M/C7/LTF/IFNG/ZP3/PI3/FCER2	36
GO:0060047	heart contraction	44/1215	237/14839	2.08749615258e-07	6.50385520038207e-05	5.69529377944031e-05	CALCA/TH/ACTC1/FXYD1/SGCG/KCNJ5/CASQ2/ADRA1A/SLC8A3/SCN4B/DES/ATP1B2/PIK3CG/FGF12/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/TNNI3/KCNJ8/CACNB4/CACNA2D2/GLP1R/ATP1A2/UCN/KCNK3/CORIN/ABCC9/KCNH6/KCNE1/HCN4/ATP1A3/SGCD/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/EDN3/IFNG/HSPB7/SPX	44
GO:0003015	heart process	44/1215	240/14839	3.01803921446816e-07	8.84995616713163e-05	7.74972670117613e-05	CALCA/TH/ACTC1/FXYD1/SGCG/KCNJ5/CASQ2/ADRA1A/SLC8A3/SCN4B/DES/ATP1B2/PIK3CG/FGF12/CACNA1C/KCND3/FXYD2/SCN2B/AGTR2/TNNI3/KCNJ8/CACNB4/CACNA2D2/GLP1R/ATP1A2/UCN/KCNK3/CORIN/ABCC9/KCNH6/KCNE1/HCN4/ATP1A3/SGCD/SLC8A2/CTNNA3/KCNA5/ATP2A1/NPR1/CAV3/EDN3/IFNG/HSPB7/SPX	44
GO:0098813	nuclear chromosome segregation	49/1215	286/14839	5.47525411877226e-07	0.00015023282787267	0.000131555833223452	MAEL/TEX15/SPC24/SGO1/TTK/CENPU/MSH4/NDC80/MAD2L1/CDCA5/KIF23/BIRC5/CDCA8/GEM/CCNB1/MEIOC/MAJIN/DLGAP5/SYCE1/SPC25/EME1/CENPA/TRIP13/CDC20/CDC6/ANKLE1/NCAPG/NCAPH/NUSAP1/NUF2/AURKB/CENPM/DSCC1/KIF2C/PLK1/NEK2/MEIOB/KIF18B/STAG3/CENPK/CDT1/PTTG1/ESPL1/SPAG5/UBE2C/SKA1/BUB1B/KIFC1/SYCE2	49
