ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004930	G-protein coupled receptor activity	83/1111	360/15123	1.80844277485846e-21	1.48653996093366e-18	1.22974108690376e-18	ADGRA1/QRFPR/UTS2R/VIPR2/GCGR/MTNR1A/MRGPRF/EDNRB/SSTR3/CCR7/ADGRA2/NPFFR1/NPY4R/ADRA1A/HTR1F/CHRM4/LPAR4/GRIK3/GPR142/CHRM2/PTGER2/CXCR5/DRD1/SSTR2/PTH1R/GRM3/CYSLTR1/LTB4R/HTR1D/GPR88/GALR2/HRH2/FRZB/ADRA1D/PTGIR/ADRA2A/CCKBR/ADGRB3/ADGRF5/GPR15/S1PR1/GABBR2/AGTR1/ADGRD1/CCR4/FZD4/SFRP4/CNR1/ACKR1/PTGFR/PTGER3/OR51E2/NPSR1/AGTR2/EDNRA/PDGFRB/CCR8/CNR2/SORCS2/ADGRG2/OR52N4/PROKR1/OR2B6/HTR2A/TSHR/ADRB3/SORCS1/GPR21/GRM7/GPR150/NMUR2/SFRP2/SUCNR1/NPY1R/SSTR1/NTSR1/ADCYAP1R1/SFRP1/CCR2/CX3CR1/NPR1/ACKR2/HTR1B	83
GO:0005539	glycosaminoglycan binding	58/1111	199/15123	1.57202281372774e-20	6.46101376442102e-18	5.34487756667433e-18	FGF7/AZU1/CTSG/THBS1/LTF/RSPO1/PLA2G5/CTGF/COL5A3/DCN/RSPO3/ELANE/AOC1/FN1/THBS2/SLIT2/TNXB/NLRP3/COMP/STAB2/ABI3BP/PCOLCE/FBN1/SELP/COL5A1/ANOS1/F11/SPOCK2/ANGPTL3/CCL23/LIPC/ADAMTS8/SEMA5A/VCAN/CYR61/FSTL1/CCDC80/RSPO2/BGN/CRISPLD2/AGER/FGFBP1/TGFBR2/LYVE1/LPL/HABP2/GREM2/ECM2/RNASE7/PRELP/SFRP1/SOD3/EPYC/POSTN/LTBP2/WISP2/HRG/NDNF	58
GO:0005201	extracellular matrix structural constituent	32/1111	68/15123	6.50804338207484e-19	1.78320388668851e-16	1.47515649993696e-16	FBN2/COL9A1/COL3A1/COL5A3/COL1A1/COL4A4/COMP/COL5A2/FBN1/FBLN2/COL5A1/ANOS1/PXDN/MATN3/CD4/LAMA4/COL14A1/COL1A2/FBN3/VCAN/COL19A1/COL15A1/COL9A2/ELN/COL12A1/BGN/EMILIN1/COL4A3/MGP/PRELP/COL8A2/COL11A1	32
GO:0008201	heparin binding	46/1111	149/15123	1.24235103221604e-17	2.55303137120397e-15	2.11199675476728e-15	FGF7/AZU1/CTSG/THBS1/LTF/RSPO1/PLA2G5/CTGF/COL5A3/RSPO3/ELANE/AOC1/FN1/THBS2/SLIT2/TNXB/COMP/ABI3BP/PCOLCE/FBN1/SELP/COL5A1/ANOS1/F11/ANGPTL3/CCL23/LIPC/ADAMTS8/CYR61/FSTL1/CCDC80/RSPO2/CRISPLD2/AGER/FGFBP1/LPL/GREM2/ECM2/PRELP/SFRP1/SOD3/POSTN/LTBP2/WISP2/HRG/NDNF	46
GO:1901681	sulfur compound binding	50/1111	220/15123	3.75002677188799e-13	6.16504401298385e-11	5.10003640976766e-11	FGF20/FGF7/AZU1/CTSG/THBS1/LTF/RSPO1/PLA2G5/CTGF/COL5A3/RSPO3/ELANE/AOC1/FN1/THBS2/SLIT2/TNXB/COMP/ABI3BP/PCOLCE/FBN1/SELP/COL5A1/ANOS1/F11/ANGPTL3/CCL23/LIPC/ADAMTS8/SEMA5A/CYR61/FSTL1/CCDC80/RSPO2/CRISPLD2/AGER/FGFBP1/LPL/GREM2/ECM2/PRELP/SFRP1/SOD3/POSTN/LTBP2/WISP2/HPSE2/LRP1/HRG/NDNF	50
GO:0008528	G-protein coupled peptide receptor activity	32/1111	102/15123	6.82062442672114e-13	9.34425546460796e-11	7.73004101695062e-11	QRFPR/UTS2R/GCGR/EDNRB/SSTR3/CCR7/NPFFR1/NPY4R/CXCR5/SSTR2/CYSLTR1/LTB4R/GALR2/CCKBR/AGTR1/CCR4/NPSR1/AGTR2/EDNRA/CCR8/SORCS2/PROKR1/TSHR/SORCS1/NMUR2/NPY1R/SSTR1/NTSR1/CCR2/CX3CR1/NPR1/ACKR2	32
GO:0001653	peptide receptor activity	32/1111	103/15123	9.20946327996182e-13	1.0814541165898e-10	8.9463357576772e-11	QRFPR/UTS2R/GCGR/EDNRB/SSTR3/CCR7/NPFFR1/NPY4R/CXCR5/SSTR2/CYSLTR1/LTB4R/GALR2/CCKBR/AGTR1/CCR4/NPSR1/AGTR2/EDNRA/CCR8/SORCS2/PROKR1/TSHR/SORCS1/NMUR2/NPY1R/SSTR1/NTSR1/CCR2/CX3CR1/NPR1/ACKR2	32
GO:0022836	gated channel activity	55/1111	291/15123	6.12587254700123e-11	6.29433404204377e-09	5.20699166495105e-09	KCNB2/JPH3/GRIN2A/FAM155A/KCNA1/CNGA3/KCNA5/CACNA1D/SCNN1G/GRIK3/KCNH2/PIEZO2/CHRNA4/KCNA2/LRRC55/KCNK3/AQP1/CACNA1H/HTR3C/GRIK4/KCNA3/GRIA1/KCND2/CACNA1G/KCNS2/KCNC1/P2RX2/TRPA1/HCN4/CFTR/KCNJ1/JPH2/P2RX7/GRID1/RYR3/CNGA4/SCN9A/ANXA6/GABRP/SCN7A/CACNA1C/CHRNA6/KCNIP1/CLIC5/NMUR2/LRRC52/GRIK1/NALCN/KCNE4/SCN2B/CACNA2D2/ANO4/GABRB2/KCNN2/KCNJ5	55
GO:0005261	cation channel activity	53/1111	279/15123	1.12755000533374e-10	1.02982900487148e-08	8.51926670696602e-09	KCNB2/JPH3/TRPM1/GRIN2A/FAM155A/KCNA1/CNGA3/KCNA5/CACNA1D/SCNN1G/GRIK3/KCNH2/PIEZO2/CHRNA4/KCNA2/LRRC55/KCNK3/AQP1/ABCC9/CACNA1H/HTR3C/GRIK4/KCNA3/GRIA1/KCND2/CACNA1G/KCNS2/KCNC1/SLC24A2/CALHM5/P2RX2/TRPA1/HCN4/KCNJ1/JPH2/P2RX7/RYR3/CNGA4/SCN9A/SCN7A/CACNA1C/GPM6A/CHRNA6/KCNIP1/LRRC52/GRIK1/NALCN/KCNE4/SCN2B/CACNA2D2/KCNN2/LOXHD1/KCNJ5	53
GO:0005216	ion channel activity	64/1111	375/15123	1.56845362035915e-10	1.20242387748411e-08	9.94705884050118e-09	KCNB2/JPH3/TRPM1/GRIN2A/FAM155A/KCNA1/CNGA3/KCNA5/CACNA1D/SCNN1G/GRIK3/KCNH2/PIEZO2/CHRNA4/SLC26A9/KCNA2/LRRC55/KCNK3/AQP1/ABCC9/CACNA1H/HTR3C/GRIK4/KCNA3/GRIA1/KCND2/CACNA1G/KCNS2/KCNC1/SLC24A2/CALHM5/P2RX2/TRPA1/HCN4/CFTR/KCNJ1/JPH2/P2RX7/FXYD2/GRID1/RYR3/CNGA4/SCN9A/ANXA6/GABRP/SCN7A/CACNA1C/GPM6A/CHRNA6/KCNIP1/CLIC5/NMUR2/LRRC52/GRIK1/NALCN/KCNE4/SCN2B/CACNA2D2/ANO4/GABRB2/KCNN2/FXYD1/LOXHD1/KCNJ5	64
