ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000786	nucleosome	18/621	86/15738	5.23705550028136e-09	2.04768870061001e-06	1.83572577009863e-06	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H2BM/HIST1H2BI/HIST1H2BB/HIST1H2BO/HIST1H1C/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H1B/HIST1H2AL/HIST2H2AA3/HIST1H4D/HIST1H3I/HIST1H3F/HIST1H2BL	18
GO:0044815	DNA packaging complex	18/621	93/15738	1.93122006202616e-08	3.77553522126115e-06	3.38471726660375e-06	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H2BM/HIST1H2BI/HIST1H2BB/HIST1H2BO/HIST1H1C/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H1B/HIST1H2AL/HIST2H2AA3/HIST1H4D/HIST1H3I/HIST1H3F/HIST1H2BL	18
GO:0005578	proteinaceous extracellular matrix	35/621	344/15738	2.92683410325108e-07	3.8146404479039e-05	3.41977458379863e-05	USH2A/EMILIN3/COL5A3/CPA6/CRISP3/POSTN/COL6A6/VWC2/MMP11/ZG16/IMPG2/COCH/CD248/PI3/COL6A5/HPSE2/HAPLN1/MMP13/IHH/MATN1/SMOC1/SOST/SPOCK1/MMP10/ABI3BP/LTBP4/WNT2B/COL21A1/MYOC/MMP12/COL4A3/WNT3A/COL4A4/WNT16/MMP1	35
GO:0098794	postsynapse	35/621	398/15738	8.30967015110138e-06	0.00081227025727016	0.000728189515872832	ADGRB1/PRKCG/GAP43/ADGRB3/CHRM2/HTR3A/GRIN2A/ATP1A3/KCNB1/GLRA2/NETO1/GRM5/GRIN2B/LRRC7/NTSR1/NSG1/PALMD/IGF2BP1/SHANK1/ATP1A2/SPOCK1/HTR3B/CHRM1/GABBR1/NLGN3/ANK2/P2RX6/CHRNA1/CAMK2N1/CHRNA3/ANK1/CHRNA4/GPM6A/CALB1/ANKS1B	35
GO:0044297	cell body	39/621	475/15738	1.28464681897277e-05	0.00100459381243671	0.000900605033090386	NTRK1/KLHL1/ADAM21/ASTN1/GNAO1/CYP17A1/TRPM5/TMEM100/ACTC1/GJB2/PITX3/PCSK2/BRINP2/IFNG/CHRM2/NGB/HTR3A/SLC6A3/ATP1A3/KCNB1/CPLX2/PVALB/STAR/KCNA1/NTSR1/SEZ6L/S100B/S100A5/TH/CPNE6/TGFB2/PODXL/CAMK2N1/CHRNA3/GFAP/RIC3/CHRNA4/GPM6A/CALB1	39
GO:0045211	postsynaptic membrane	22/621	205/15738	2.06246519544123e-05	0.0013440398190292	0.00120491387733672	ADGRB1/CHRM2/HTR3A/GRIN2A/KCNB1/GLRA2/NETO1/GRIN2B/LRRC7/NSG1/SHANK1/HTR3B/CHRM1/GABBR1/NLGN3/ANK2/CHRNA1/CAMK2N1/CHRNA3/ANK1/CHRNA4/ANKS1B	22
GO:0097060	synaptic membrane	26/621	272/15738	2.94765661317179e-05	0.00164647676535738	0.00147604458975369	ADGRB1/PRKCG/CHRM2/HTR3A/GRIN2A/KCNB1/GLRA2/NETO1/GRM5/GRIN2B/LRRC7/KCNA1/NSG1/SHANK1/GRM8/HTR3B/CHRM1/GABBR1/NLGN3/ANK2/CHRNA1/CAMK2N1/CHRNA3/ANK1/CHRNA4/ANKS1B	26
GO:0043025	neuronal cell body	34/621	416/15738	5.04216211094712e-05	0.0024643567317254	0.00220926313545446	NTRK1/KLHL1/ADAM21/ASTN1/CYP17A1/TRPM5/TMEM100/PITX3/PCSK2/BRINP2/IFNG/CHRM2/NGB/HTR3A/SLC6A3/ATP1A3/KCNB1/CPLX2/PVALB/STAR/KCNA1/NTSR1/SEZ6L/S100B/S100A5/TH/CPNE6/TGFB2/CAMK2N1/CHRNA3/RIC3/CHRNA4/GPM6A/CALB1	34
GO:0030425	dendrite	37/621	474/15738	6.29499976708314e-05	0.00273482767658834	0.00245173675139028	NTRK1/KLHL1/ADGRB1/PRKCG/GNAO1/TRPM5/NFASC/GNG13/PCSK2/MME/ADCY2/BRINP2/CHRM2/ATP1A3/KCNB1/CPLX2/KCNA1/NTSR1/NSG1/PALMD/LYNX1/NECAB2/IGF2BP1/JPH4/SHANK1/ATP1A2/CHRM1/GABBR1/TH/CPNE6/CAMK2N1/CHRNA3/GCHFR/CHRNA4/GPM6A/CALB1/ANKS1B	37
GO:0032993	protein-DNA complex	19/621	181/15738	0.000100201837849214	0.00391789185990427	0.00351233810566193	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H2BM/HIST1H2BI/HIST1H2BB/HIST1H2BO/HIST1H1C/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H1B/HIST1H2AL/HIST2H2AA3/HOXA11/HIST1H4D/HIST1H3I/HIST1H3F/HIST1H2BL	19
GO:0000788	nuclear nucleosome	7/621	32/15738	0.000204693547948379	0.00727592520434692	0.00652277047529284	HIST1H3C/HIST1H4F/HIST1H4K/HIST1H3B/HIST1H4D/HIST1H3I/HIST1H3F	7
GO:1902495	transmembrane transporter complex	24/621	294/15738	0.000636946796945617	0.020753849800478	0.0186055511739378	SCN2B/KCNA4/KCNE5/VWC2/HTR3A/GRIN2A/ATP4B/ATP1A3/CACNG6/KCNB1/ATP1B2/GLRA2/KCNJ6/GRIN2B/KCNA1/ABCG8/SHANK1/ATP1A2/LRRC26/HTR3B/CHRNA1/CHRNA3/CHRNA4/ABCC9	24
GO:1990351	transporter complex	24/621	301/15738	0.000886276505285355	0.0266564702743518	0.0238971721668035	SCN2B/KCNA4/KCNE5/VWC2/HTR3A/GRIN2A/ATP4B/ATP1A3/CACNG6/KCNB1/ATP1B2/GLRA2/KCNJ6/GRIN2B/KCNA1/ABCG8/SHANK1/ATP1A2/LRRC26/HTR3B/CHRNA1/CHRNA3/CHRNA4/ABCC9	24
GO:0098533	ATPase dependent transmembrane transport complex	5/621	21/15738	0.00113154305447589	0.0316023810214339	0.0283311155744716	ATP4B/ATP1A3/ATP1B2/ABCG8/ATP1A2	5
GO:0090533	cation-transporting ATPase complex	4/621	13/15738	0.00129097828371016	0.0336515005953782	0.0301681241035427	ATP4B/ATP1A3/ATP1B2/ATP1A2	4
GO:0031528	microvillus membrane	5/621	22/15738	0.00141730613395792	0.0346354186485968	0.0310501935926308	ITGB3/S100P/PODXL/CA9/DPEP1	5
