ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004930	G-protein coupled receptor activity	101/2053	363/15061	4.85891749991556e-13	4.78603373741682e-10	4.22470089992658e-10	CNR1/ADRB3/MRGPRE/SFRP2/OR2B6/MC2R/GLP1R/SUCNR1/FFAR4/GPR20/AMHR2/OXGR1/GPR87/MC4R/SSTR5/SORCS3/NPY/FFAR1/GPR78/ADGRG4/NPFFR2/GPR150/NTSR1/OPRK1/S1PR1/XCR1/ADGRL2/GRIK3/FPR2/CCR5/GIPR/LPAR2/GLP2R/HTR1F/GPR176/NMUR1/ADGRE3/CCR1/GPR34/PTAFR/GPR141/CYSLTR1/CCR2/HRH2/ADGRB1/ADRB1/ADGRA2/SSTR1/CXCR6/EDNRA/FPR1/GHSR/ADORA3/ADGRE2/HRH4/F2R/P2RY13/VIPR2/GPR63/GABBR2/FFAR2/LPAR4/CELSR3/P2RY1/AVPR1A/ADGRF5/ADORA2B/SFRP4/P2RY12/CX3CR1/PTGER3/P2RY14/GRPR/ADCYAP1R1/FPR3/CALCRL/GPRC5D/DRD2/GPR19/ADGRD1/HTR2A/GPR88/RXFP4/F2RL2/C3AR1/EDNRB/CCR4/GPR37L1/ADRA1D/MTNR1A/CMKLR1/PDGFRB/CCR8/GPR174/LPAR3/DRD4/PTGFR/CXCR2/NPR3/AGTR2/GPR82	101
GO:0022838	substrate-specific channel activity	104/2053	385/15061	1.63451183527657e-12	5.59463180828556e-10	4.93846206106746e-10	CACNG1/SCNN1A/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	104
GO:0005216	ion channel activity	102/2053	375/15061	1.70394877409713e-12	5.59463180828556e-10	4.93846206106746e-10	CACNG1/SCNN1A/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/AQP6/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	102
GO:0015267	channel activity	108/2053	410/15061	3.40739548969628e-12	6.71256911470166e-10	5.9252814199771e-10	CACNG1/SCNN1A/GJD2/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GJC2/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/GJA1/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/PANX2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	108
GO:0022803	passive transmembrane transporter activity	108/2053	410/15061	3.40739548969628e-12	6.71256911470166e-10	5.9252814199771e-10	CACNG1/SCNN1A/GJD2/SCNN1B/KCNA1/SLC26A3/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/AQP5/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/AQP6/AQP8/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/CALHM3/KCNH6/GABRG1/KCNJ15/KCNB1/SLC26A5/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/SLC26A9/SLC24A2/REST/GJC2/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/LRRC8C/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/BEST4/PIEZO2/KCNK2/SLC26A4/CLIC4/CATSPER3/SLC4A11/CLDN4/ANO4/KCNAB1/SLC26A6/KCNA3/GJA1/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/ANO2/PANX2/CACNA2D1/KCNE4/FXYD3/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	108
GO:0005201	extracellular matrix structural constituent	33/2053	68/15061	4.59509473308078e-12	7.54361385347429e-10	6.65885657811356e-10	COL11A1/FBN3/MUC4/MUC6/FBN2/PXDN/COL2A1/ANOS1/FBN1/ELN/FBLN1/LUM/COL4A4/MATN3/COL5A1/IMPG2/COL4A1/COL4A6/COL12A1/COL8A2/VCAN/BCAN/COL3A1/COL5A2/COL24A1/COL15A1/COL9A3/COL14A1/COL9A2/PRELP/COL1A2/COL19A1/COL11A2	33
GO:0022836	gated channel activity	80/2053	291/15061	2.50166252441433e-10	3.5201965522116e-08	3.10732818821991e-08	CACNG1/SCNN1A/SCNN1B/KCNA1/GRIK2/GABRE/KCNK12/KCND3/GABRA4/CACNG4/P2RX1/JPH3/CLCA4/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/CFTR/CHRNA1/GLRA3/CLIC3/KCNH3/CLCA2/KCNK10/ANO3/KCNH6/GABRG1/KCNJ15/KCNB1/TRPM3/CACNG6/KCNJ16/KCNA7/CLCA1/P2RX7/REST/GRIK3/SCN2B/KCNJ5/CHRNA6/ANO7/TMEM150C/RYR2/ASIC3/GLRA1/TMC2/P2RX6/KCND2/CACNA1F/HCN2/CYBB/LRRC26/RYR3/PIEZO2/KCNK2/CLIC4/CATSPER3/ANO4/KCNAB1/KCNA3/KCNK7/KCNS2/ITPR2/ANO9/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/PKD2/ANO2/CACNA2D1/KCNE4/KCNIP1/SCN4B	80
GO:0005261	cation channel activity	74/2053	275/15061	3.28561969235983e-09	4.04541924621804e-07	3.57094982353845e-07	CACNG1/SCNN1A/SCNN1B/KCNA1/GRIK2/KCNK12/KCND3/CACNG4/P2RX1/JPH3/CHRNB3/P2RX5/JPH2/GRIA4/CATSPER1/CHRNA3/CHRNA1/KCNH3/KCNK10/CALHM3/KCNH6/KCNJ15/KCNB1/FXYD4/TRPM3/CACNG6/KCNJ16/KCNA7/P2RX7/SLC24A2/REST/GRIK3/SCN2B/KCNJ5/ABCC9/CHRNA6/RYR2/ASIC3/CALHM5/TMC2/P2RX6/KCND2/CACNA1F/HCN2/LRRC26/RYR3/PIEZO2/KCNK2/CATSPER3/SLC4A11/KCNAB1/KCNA3/KCNK7/KCNS2/ITPR2/TMEM175/SLC24A4/KCNQ5/KCNN4/CACNB1/KCNA2/KCNE1/SCN7A/CACNA1B/GRIN1/ASIC4/PKD2/CACNA2D1/KCNE4/GPM6A/TRPC3/KCNK15/KCNIP1/SCN4B	74
GO:0004252	serine-type endopeptidase activity	49/2053	156/15061	7.32357668778507e-09	8.01524781940921e-07	7.07517467147423e-07	PRSS1/PRSS50/KLK2/MMP3/HGFAC/PRSS3P2/F11/CELA2B/KLK9/CTRL/CELA2A/TPSD1/PRSS21/CTRC/PRSS45/CELA3A/KLK11/CMA1/CTRB1/CELA3B/KLK1/PRTN3/CTRB2/FAP/KLK3/C1S/MST1/F12/MASP1/PCSK5/F7/PRSS3/FCN1/PCSK4/CORIN/TPSG1/RHBDL1/RHBDD2/F2/KLK12/TLL1/CTSV/MMP2/PRSS27/LPA/PROC/PRSS41/TMPRSS11D/TMPRSS5	49
GO:0008201	heparin binding	47/2053	149/15061	1.2704515800302e-08	1.25139480632975e-06	1.10462421589995e-06	KNG1/AOC1/F11/NDNF/CCL15/C6orf15/TGFBR3/FGF10/CEL/ADAMTS15/CRISPLD2/THBS4/TNXB/ANOS1/FBN1/CCDC80/ABI3BP/POSTN/REG4/ADAMTS8/FN1/COL5A1/IMPG2/ECM2/LTBP2/ADAMTSL5/RSPO1/RSPO2/F2/TMEM184A/SERPINC1/FGF7/CTGF/GPNMB/WISP1/GREM2/FSTL1/ADAMTS3/NRP1/RSPO3/THBS2/PRELP/FGFBP3/SMOC2/LPA/SLIT2/THBS1	47
