ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	75/730	223/5163	3.59309534437808e-14	6.97060496809347e-12	6.12717311357104e-12	5644/1268/2898/155/2564/4158/2557/5023/2740/1142/5026/2893/1136/1134/8001/2565/4160/6755/10886/4923/4986/5027/1901/2899/2358/2696/9170/8973/9340/3355/2741/10316/9127/5724/10800/3274/153/6751/5646/1909/2357/706/2693/140/3972/59340/2149/53829/7434/9568/2846/5028/3953/552/136/5733/9934/2925/2147/117/2359/10203/1813/3356/2902/2151/719/1910/146/4543/2690/23566/1815/5737/186	75
hsa04974	Protein digestion and absorption	38/730	78/5163	2.08459548090971e-13	2.02205761648242e-11	1.7773919363546e-11	5644/1301/1360/51032/6519/1506/63036/6550/1357/10136/1504/1358/23436/477/1280/6546/2006/5646/1286/1289/1282/117247/1288/1303/3783/1293/1359/1281/1290/1306/1299/7373/1298/1278/1302/206358/59272/131873	38
hsa04972	Pancreatic secretion	34/730	93/5163	4.43671868823669e-08	2.86907808505973e-06	2.5219243069977e-06	5644/1811/1360/22802/51032/1506/5406/1080/63036/9635/5582/5407/8399/1357/5319/10136/1504/1358/23436/279/5408/1179/1056/8671/6262/477/487/111/107/5646/3709/1359/489/280	34
hsa04512	ECM-receptor interaction	31/730	83/5163	9.98705411449009e-08	4.84372124552769e-06	4.25763885933525e-06	1301/22801/7143/3381/7060/3908/1280/7148/2814/22987/1286/3371/2335/1289/1282/1288/3676/63923/8516/1293/1281/1290/3690/7058/1278/3672/1302/3680/7057/9899/131873	31
hsa04020	Calcium signaling pathway	46/730	162/5163	1.22741081371784e-06	4.76235395722521e-05	4.18611688046926e-05	155/2066/810/5023/5026/3706/5582/85366/51806/4923/5027/6262/5350/9127/5724/6546/487/10800/778/3274/107/153/6263/1909/2149/816/7125/3709/552/136/5733/2925/4638/3356/774/2902/5137/1910/5156/146/5136/5159/163688/4842/489/5737	46
hsa04510	Focal adhesion	51/730	196/5163	5.55929778399773e-06	0.00017975062834926	0.00015800109491362	1301/22801/29895/7143/5582/3381/85366/7060/3908/1280/7148/80310/56034/3479/1286/3791/23533/3082/9475/3371/2335/5881/1289/1282/1950/1288/3676/10000/63923/8516/4638/10398/1293/1281/1290/3690/2318/4636/3265/5156/2316/7058/1278/5159/3672/1302/3680/7057/5295/131873/5294	51
hsa05414	Dilated cardiomyopathy	24/730	82/5163	0.000270109614480322	0.00648648800554258	0.00570163351545252	786/22801/27092/59285/6262/5350/3908/1756/7137/6546/778/111/107/153/3479/7043/3676/8516/782/3690/781/6444/3672/3680	24
hsa04060	Cytokine-cytokine receptor interaction	52/730	231/5163	0.000295963932852613	0.00648648800554258	0.00570163351545252	53833/8744/944/7173/6357/7850/970/269/6361/6359/10344/2829/1234/3624/3575/1436/1230/3554/10673/729230/3572/56034/10663/3791/6387/2322/3082/1950/3815/7043/3953/3977/658/1439/1524/8771/9180/268/3559/8718/5156/64109/1233/356/8995/2690/4283/5159/1237/3579/9966/1435	52
hsa00982	Drug metabolism - cytochrome P450	19/730	59/5163	0.00030462628844537	0.00648648800554258	0.00570163351545252	125/7366/54578/316/54600/1559/1558/10720/2939/2327/2328/2326/124/1548/119391/220/222/1565/218	19
hsa05218	Melanoma	20/730	64/5163	0.000334355051832092	0.00648648800554258	0.00570163351545252	2250/1029/2255/80310/56034/3479/23533/4286/3082/1950/10000/2248/2252/8822/3265/5156/5159/1869/5295/5294	20
