ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	58/392	213/4960	3.22268671654739e-18	5.54302115246151e-16	4.81706856578662e-16	1903/148/2916/4889/9568/8001/2557/146/2902/2569/7068/5731/2846/3973/2358/116444/55879/2151/1081/2561/11255/4985/5746/2642/1139/3972/887/2892/2895/1137/3356/57053/3360/2914/150/2911/2149/1812/155/59350/2690/9170/552/57105/10800/3351/4829/5724/5028/3352/117/1815/5027/3274/2899/5024/165829/10203	58
hsa04512	ECM-receptor interaction	29/392	83/4960	1.44860969120845e-12	1.24580433443927e-10	1.08264513764e-10	7058/1293/1278/7060/1289/1281/22798/131873/7143/1280/6696/1101/1301/3680/3339/3918/3371/3690/3672/3676/3673/3914/2335/22987/1290/8516/7057/22801/3908	29
hsa04510	Focal adhesion	41/392	194/4960	2.41989344672205e-09	1.38740557612064e-07	1.20570129626151e-07	7058/1293/1278/7060/1289/1281/22798/131873/7143/91807/1280/6696/1101/1301/1956/3680/5881/1793/3918/3371/5156/3690/3672/3676/5923/3673/3914/2335/56034/1290/9475/8516/2318/7057/4638/5582/3791/2316/22801/3908/5294	41
hsa04020	Calcium signaling pathway	36/392	160/4960	4.17046532090913e-09	1.79330008799092e-07	1.55843704097131e-07	148/146/2902/51196/5731/6263/3973/91807/1139/887/1956/7125/3356/4842/3360/5156/2911/2149/1812/114/155/3706/3710/777/552/57105/10800/5137/4638/5582/5724/487/5027/3274/5024/2767	36
hsa00140	Steroid hormone biosynthesis	12/392	28/4960	4.77521801805175e-07	1.6426749982098e-05	1.42753886013336e-05	3290/8630/1583/1588/3284/1584/1577/1576/1551/9420/6820/1545	12
hsa04974	Protein digestion and absorption	15/392	64/4960	9.76130069730161e-05	0.00279823953322646	0.00243176262985409	1293/1278/7373/1289/1281/1803/131873/1280/1301/1360/4311/1290/1303/1306/477	15
hsa04060	Cytokine-cytokine receptor interaction	32/392	206/4960	0.000133730228790846	0.00309709356408858	0.00269147665912227	3586/944/3559/6374/8995/83729/50604/2921/1233/650/8784/1956/9966/4982/8797/5156/6387/3570/3575/268/2690/3815/56034/3624/9547/7048/3556/9180/3791/3554/3572/1524	32
hsa00982	Drug metabolism - cytochrome P450	11/392	39/4960	0.000144050863445981	0.00309709356408858	0.00269147665912227	2327/125/4257/124/316/2328/2938/1577/1565/1576/1551	11
hsa05146	Amoebiasis	17/392	92/4960	0.000722865823311933	0.0138147690677392	0.0120054908667011	3586/1278/1289/1281/22798/1280/1301/733/3918/3914/2335/1290/5582/3554/3908/5294/2767	17
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	14/392	69/4960	0.000808584519913781	0.013907653742517	0.0120862107187113	781/27092/1674/1829/3680/3690/6444/3672/3676/3673/8516/29119/22801/3908	14
hsa05414	Dilated cardiomyopathy	15/392	82/4960	0.00163211600294296	0.0250629066796514	0.0217804941769308	781/27092/1674/4624/3680/3690/6444/3672/3676/114/3673/8516/111/22801/3908	15
hsa00830	Retinol metabolism	8/392	30/4960	0.00175718293328851	0.0250629066796514	0.0217804941769308	10170/125/56603/8854/124/1577/1576/1551	8
hsa05410	Hypertrophic cardiomyopathy (HCM)	14/392	75/4960	0.00189428945834574	0.0250629066796514	0.0217804941769308	781/27092/1674/4624/3680/3690/6444/3672/3676/3673/1636/8516/22801/3908	14
hsa04970	Salivary secretion	13/392	72/4960	0.00369230946094112	0.0453626590915623	0.0394216498837322	148/146/6263/820/4842/114/155/3710/5592/5582/111/5555/477	13
hsa04350	TGF-beta signaling pathway	14/392	81/4960	0.00398434902896991	0.045687202198855	0.0397036885693844	7058/7060/83729/650/130399/4093/268/4052/3624/9475/7048/7057/1634/9241	14
