ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	muscle contraction	84/1372	313/14753	1.03478972979109e-19	5.11703521381694e-16	4.98550799289876e-16	TRDN/TNNT3/MYL4/KCND3/ACTC1/TNNT1/PIK3CA/TPM2/NPPA/DOCK5/GSTM2/MYL5/SGCA/ACTA1/GAMT/MYLK2/MYBPC3/TCAP/CALCA/TNNI3/SMTN/HSPB6/MYOM3/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/CCDC78/ADRA2B/NOS1AP/CNN1/PIK3CG/ACTA2/DSG2/ACTG2/MYLPF/NOS1/JSRP1/KCNE5/UTRN/STAC3/P2RX6/TMOD4/CHGA/GHRL/CHRM3/SCN7A/CRYAB/SMPX/MYH2/CKMT2/DRD2/DES/PTAFR/MYOT/MYH6/ADRA2C/TNNC2/FXYD1/MB/MYH3/CACNG1/MYL3/KCNA5/UCN/ROCK2/ANKRD2/ATP8A2/KLHL41/P2RX1/PROK2/TACR2/CACNA1D/UTS2/CACNA2D1/NUP155/MYH7/HRC/ACTN2/TRIM63/TNNI2/SPHK1/P2RX2	84
GO:0003012	muscle system process	90/1372	381/14753	3.99817187817964e-17	9.88547996879916e-14	9.63138562443591e-14	TRDN/TNNT3/MYL4/KCND3/ACTC1/TNNT1/PIK3CA/HAND2/TPM2/NPPA/DOCK5/GSTM2/MYL5/SGCA/ACTA1/GAMT/MYLK2/MYBPC3/TCAP/CALCA/TNNI3/SMTN/HAMP/HSPB6/MYOM3/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/CCDC78/ADRA2B/NOS1AP/CNN1/PIK3CG/ACTA2/DSG2/ACTG2/MYLPF/NOS1/JSRP1/KCNE5/UTRN/STAC3/P2RX6/TMOD4/CHGA/IL6ST/GHRL/SLN/CHRM3/SCN7A/CRYAB/SMPX/MYH2/CKMT2/DRD2/DES/PTAFR/MYOT/MYH6/ADRA2C/TNNC2/FXYD1/MB/MYH3/CACNG1/MYL3/KCNA5/UCN/ROCK2/ANKRD2/ATP8A2/KLHL41/P2RX1/PROK2/TACR2/CACNA1D/UTS2/CACNA2D1/NUP155/MYH7/HRC/ACTN2/TRIM63/TNNI2/SPHK1/P2RX2/P2RY1/GTF2I	90
GO:0030049	muscle filament sliding	21/1372	35/14753	1.21998708185551e-13	1.50820902994388e-10	1.46944233517176e-10	TNNT3/MYL4/ACTC1/TNNT1/TPM2/ACTA1/MYLK2/MYBPC3/TCAP/TNNI3/TNNC1/TNNT2/MYH2/DES/MYH6/TNNC2/MYH3/MYL3/MYH7/ACTN2/TNNI2	21
GO:0033275	actin-myosin filament sliding	21/1372	35/14753	1.21998708185551e-13	1.50820902994388e-10	1.46944233517176e-10	TNNT3/MYL4/ACTC1/TNNT1/TPM2/ACTA1/MYLK2/MYBPC3/TCAP/TNNI3/TNNC1/TNNT2/MYH2/DES/MYH6/TNNC2/MYH3/MYL3/MYH7/ACTN2/TNNI2	21
GO:0010469	regulation of receptor activity	88/1372	451/14753	1.08238261509123e-11	1.07047640632523e-08	1.04296110089949e-08	SST/TRDN/UCN3/CLEC11A/LTB/NPPA/GSTM2/PSPN/PF4V1/TFF1/NMB/PGF/CXCL5/NENF/CALCA/NTF4/HAMP/INHA/SCT/CMTM5/IFNE/ANGPTL8/C1QTNF4/ADRA2B/CCL21/F2/CTF1/TTR/NETO1/GDF7/CCL14/CCL15/EPO/MIA/BICD1/CCL7/NPFF/DKK1/NOS1/PENK/FLT3LG/JSRP1/GPHA2/FOXH1/POMC/CRLF1/TNFSF15/GHRL/BMP8B/CORT/GDF10/NCOA2/UCN2/TG/ADRA2C/INHBA/VGF/BTC/PPARGC1B/SCGB3A1/RELN/TIMP1/PYY2/LY6G6D/PROK1/UCN/C1QTNF12/CGB7/GNRH1/NRTN/GMFG/CCL23/WISP3/CSF3/GDF5/IL17B/FGF17/UTS2/CCL26/IL32/HRC/ACTN2/FAM3D/CCL17/PMCH/P2RY1/AGER/INSL3	88
GO:0044057	regulation of system process	83/1372	445/14753	4.40393980122612e-10	3.6295803861772e-07	3.5362863982828e-07	TH/TRDN/TNNT3/MYL4/KCND3/TNNT1/FXYD2/HAND2/NPPA/DOCK5/GSTM2/FXYD6/POPDC2/MYL5/SGCA/MYLK2/MYBPC3/CALCA/TNNI3/HAMP/HSPB6/INHA/SCT/TNNC1/TNNT2/FXYD7/PRKG1/MYL9/ADRA1D/ADRA2B/NOS1AP/CNN1/PIK3CG/CACNG6/DSG2/AVPR1A/NPFF/NOS1/C1QTNF1/KCNE5/UTRN/POMC/CACNA1F/S100A1/CHGA/IL6ST/WNK3/GHRL/SLN/CHRM3/AVPR1B/S100B/DRD2/DES/PTAFR/MYH6/ADRA2C/INHBA/TNNC2/FXYD1/KISS1/CACNG1/MYL3/KCNA5/UCN/CXADR/AKAP9/P2RX1/APOA1/PROK2/TACR2/CACNA1D/UTS2/CACNA2D1/EGFR/NUP155/MYH7/HRC/TRIM63/FXYD4/TNNI2/SPHK1/GTF2I	83
GO:0006937	regulation of muscle contraction	38/1372	142/14753	1.32688285357873e-09	9.37347958706685e-07	9.13254559523282e-07	TNNT3/TNNT1/NPPA/DOCK5/GSTM2/MYL5/MYLK2/MYBPC3/CALCA/TNNI3/HSPB6/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/ADRA2B/NOS1AP/CNN1/PIK3CG/DSG2/NOS1/CHGA/GHRL/CHRM3/PTAFR/ADRA2C/TNNC2/MYL3/UCN/AKAP9/P2RX1/PROK2/TACR2/MYH7/HRC/TNNI2/SPHK1	38
GO:0006941	striated muscle contraction	40/1372	156/14753	1.93367642961979e-09	1.19525374305873e-06	1.1645311866276e-06	TNNT3/MYL4/KCND3/ACTC1/TNNT1/PIK3CA/NPPA/GSTM2/MYLK2/MYBPC3/TCAP/TNNI3/MYOM3/TNNC1/TNNT2/CCDC78/NOS1AP/PIK3CG/DSG2/NOS1/JSRP1/KCNE5/STAC3/CHGA/SMPX/MYH6/TNNC2/MB/MYH3/MYL3/KCNA5/UCN/ATP8A2/KLHL41/CACNA1D/CACNA2D1/NUP155/MYH7/HRC/TNNI2	40
GO:0090257	regulation of muscle system process	46/1372	197/14753	3.23075141907229e-09	1.77511841859028e-06	1.72949113977706e-06	TNNT3/TNNT1/HAND2/NPPA/DOCK5/GSTM2/MYL5/SGCA/MYLK2/MYBPC3/CALCA/TNNI3/HAMP/HSPB6/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/ADRA2B/NOS1AP/CNN1/PIK3CG/DSG2/NOS1/UTRN/CHGA/IL6ST/GHRL/SLN/CHRM3/PTAFR/ADRA2C/TNNC2/MYL3/UCN/AKAP9/P2RX1/PROK2/TACR2/MYH7/HRC/TRIM63/TNNI2/SPHK1/GTF2I	46
GO:0070252	actin-mediated cell contraction	29/1372	99/14753	1.29808648737774e-08	6.41903768008293e-06	6.25404405550307e-06	TNNT3/MYL4/KCND3/ACTC1/TNNT1/TPM2/ACTA1/MYLK2/MYBPC3/TCAP/TNNI3/TNNC1/TNNT2/NOS1AP/DSG2/KCNE5/MYH2/DES/MYH6/TNNC2/MYH3/MYL3/KCNA5/CACNA1D/CACNA2D1/NUP155/MYH7/ACTN2/TNNI2	29
