ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	136/1600	331/15331	4.43156869487081e-49	2.29555258394308e-46	1.98254388981062e-46	LRRN2/MMP8/ADAMTS10/PTPRZ1/LAMA2/MMP1/WNT7A/COL9A1/IMPG2/COL6A5/CHI3L1/WNT6/VIT/LAMA1/TFPI2/ANOS1/AMELX/COL6A6/COL4A4/CILP2/COL19A1/COMP/COL2A1/FREM1/COL26A1/LUM/CTHRC1/COL10A1/FBN2/COL11A1/COL1A1/POSTN/FN1/MFAP5/MATN3/LAMA4/COL5A3/OGN/CYR61/NID2/WISP2/TIMP3/MGP/ANGPTL4/MMP2/LRRC55/ELN/ASPN/COL21A1/VCAN/TIMP2/ADAMTS6/PTN/MMP9/COL1A2/GPC6/CCDC80/HMCN1/COL4A1/ADAMTS12/ABI3BP/ADAMTS1/CPZ/KERA/CCBE1/ADAMTS16/COL5A2/DCN/TNC/FBLN2/FBLN1/COL8A1/SPARC/COL5A1/SPOCK1/COL22A1/SERPINF1/ADAMTS2/LTBP1/EMILIN1/FLRT2/COL16A1/CRTAC1/LTBP2/CD248/BGN/COL6A2/PRELP/MAMDC2/COL3A1/TNN/ECM2/FBN1/CRISPLD2/FBLN5/COL24A1/DPT/ADAMTS3/LRRN3/LRFN5/CTGF/SFRP1/EPYC/COL6A1/NID1/COL14A1/MMP16/CHL1/WISP1/MMP11/EFEMP1/MMP13/ADAMTS5/PXDN/MFAP4/CILP/WNT2/FBLN7/ADAMTS4/PODN/WNT9A/COL12A1/RELN/FGF1/SPARCL1/COL8A2/LOX/COL6A3/ADAMTSL3/GPC3/COL15A1/THBS4/TNXB/OMD/THBS2/COL4A2	136
GO:0005581	collagen trimer	42/1600	80/15331	6.69936283008834e-21	1.73513497299288e-18	1.49854168567766e-18	COL9A1/COL6A5/COL6A6/COL4A4/COL19A1/COL2A1/COL26A1/LUM/CTHRC1/COL10A1/COL11A1/COL1A1/MARCO/COL5A3/C1QTNF7/COLEC12/COL21A1/COL1A2/COL4A1/MSR1/CCBE1/COL5A2/DCN/COL8A1/COL5A1/COL22A1/C1QTNF3/EMILIN1/COL16A1/COL6A2/COL3A1/COL24A1/COL6A1/COL14A1/FCN1/COL12A1/COL8A2/LOX/COL6A3/COL15A1/TNXB/COL4A2	42
GO:0044420	extracellular matrix component	46/1600	115/15331	8.9033601365569e-17	1.53731351691216e-14	1.32769405545147e-14	ADAMTS10/PTPRZ1/LAMA2/LAMA1/COL4A4/COL2A1/FREM1/LUM/FBN2/COL11A1/COL1A1/FN1/MFAP5/LAMA4/COL5A3/NID2/TIMP3/ELN/PTN/COL1A2/CCDC80/HMCN1/COL4A1/ADAMTS1/COL5A2/TNC/FBLN1/COL8A1/SPARC/COL5A1/SERPINF1/LTBP1/EMILIN1/COL3A1/FBN1/FBLN5/NID1/COL14A1/MFAP4/COL12A1/COL8A2/COL15A1/THBS4/TNXB/THBS2/COL4A2	46
GO:0009897	external side of plasma membrane	64/1600	212/15331	1.35390455867681e-15	1.75330640348646e-13	1.51423536167801e-13	CD36/CD69/ICOS/CD209/UMODL1/CD274/FCER1A/KLRD1/IL13/LY6G6C/EPHA5/CXCR5/ASTN1/SCNN1G/LY6G6D/TNFRSF9/THY1/ITGAM/CD33/MS4A2/CXCL9/PRND/CXCL12/CD4/ABCA1/PDPN/ITGA5/IL7R/ITGB2/GPIHBP1/TNF/FGB/HEG1/FCGR2B/ANTXR1/CCR1/IL6ST/VCAM1/PDGFRA/LRP2/P2RX7/SELL/CD163/CCR4/FCN1/S1PR1/CCR5/CD28/TLR8/IL2RA/SLC22A11/NLGN1/THBS1/P2RY12/CD86/MS4A1/STAB2/IL6/PTPRC/CD80/FCGR3A/ITGAV/KCNJ5/FOLR2	64
GO:0005788	endoplasmic reticulum lumen	69/1600	276/15331	2.82927415631649e-12	2.93112802594388e-10	2.53145582407265e-10	PTGS2/CYP2W1/NOTUM/MTTP/BCHE/WNT7A/COL9A1/WNT6/APOE/AMELX/ERP27/F7/COL4A4/COL19A1/COL2A1/ITIH2/COL26A1/CASQ2/APOA2/COL10A1/P4HA3/COL11A1/COL1A1/PDGFC/FN1/MATN3/COL5A3/MXRA8/ARSI/CDH2/CYR61/COL21A1/VCAN/COL1A2/COL4A1/CD4/COL5A2/TNC/COL8A1/COL5A1/COL22A1/LTBP1/COL16A1/COL6A2/COL3A1/FBN1/COL24A1/EDN1/COL6A1/COL14A1/CP/IGFBP5/THBS1/ADAMTS5/CHRDL1/C3/FSTL1/FMO1/COL12A1/CERCAM/SPARCL1/IL6/COL8A2/COL6A3/SDC2/GPC3/COL15A1/COL4A2/SPP1	69
GO:0098644	complex of collagen trimers	14/1600	20/15331	3.64200117044046e-10	3.14426101048027e-08	2.71552718848631e-08	COL4A4/COL2A1/LUM/COL11A1/COL1A1/COL5A3/COL1A2/COL4A1/COL5A2/COL8A1/COL5A1/COL3A1/TNXB/COL4A2	14
GO:0098552	side of membrane	82/1600	412/15331	5.48719291839119e-09	4.06052275960948e-07	3.50685261701693e-07	CD36/CD69/ICOS/HLA-DQA1/MATK/CD209/UMODL1/CD274/KCNIP1/FCER1A/KLRD1/IL13/BMX/AJAP1/LY6G6C/CNR2/EPHA5/CXCR5/ASTN1/SCNN1G/LY6G6D/TNFRSF9/THY1/ITGAM/ITK/RGS2/CD33/MS4A2/CXCL9/PRND/CXCL12/FERMT2/TIAM1/CD4/ABCA1/PDPN/ITGA5/IL7R/ITGB2/GPIHBP1/TNF/GNG2/GEM/FGB/HEG1/LRRK2/FCGR2B/ANTXR1/CCR1/IL6ST/BTK/GNAO1/VCAM1/PDGFRA/LRP2/PKD2/P2RX7/SELL/CD163/CCR4/FCN1/S1PR1/CCR5/CD28/TLR8/IL2RA/SLC22A11/NLGN1/THBS1/P2RY12/RGS1/CD86/MS4A1/STAB2/IL6/PTPRC/SLA/CD80/FCGR3A/ITGAV/KCNJ5/FOLR2	82
GO:0005583	fibrillar collagen trimer	10/1600	12/15331	8.09166067417473e-09	4.52345026971876e-07	3.90665792446753e-07	COL2A1/LUM/COL11A1/COL1A1/COL5A3/COL1A2/COL5A2/COL5A1/COL3A1/TNXB	10
GO:0098643	banded collagen fibril	10/1600	12/15331	8.09166067417473e-09	4.52345026971876e-07	3.90665792446753e-07	COL2A1/LUM/COL11A1/COL1A1/COL5A3/COL1A2/COL5A2/COL5A1/COL3A1/TNXB	10
GO:0042383	sarcolemma	34/1600	114/15331	8.73252947822154e-09	4.52345026971876e-07	3.90665792446753e-07	POPDC2/LAMA2/SCN5A/AHNAK2/KCND3/NOS1/SYNM/MYOT/ADRA1A/SGCA/SCN2A/TGFB3/RDX/SLC8A1/STAC/CDH2/ATP2B4/SCN1B/SLC8A3/ANK2/SGCD/BGN/COL6A2/AHNAK/ATP1A2/VCAM1/CACNA2D1/COL6A1/BVES/SGCG/SSPN/SLC27A6/COL6A3/KCNJ5	34
