ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04080	Neuroactive ligand-receptor interaction	74/931	190/4996	1.96273507646913e-11	3.90584280217358e-09	3.42962129151449e-09	55879/1131/53829/552/2918/3001/4829/4886/1813/2569/3362/4986/1141/3352/9568/3972/5746/3973/2902/2556/59350/154/140/155/9002/2899/55584/1136/1139/3356/1268/1394/5617/1909/2914/3363/3351/10316/1903/2358/7068/719/2912/2903/2891/5618/1815/6751/887/5028/1812/3952/148/6865/2357/7434/2846/706/2911/2570/2892/2901/2847/5733/2150/165829/4923/5729/57105/3274/10886/116444/728/5023	74
hsa04060	Cytokine-cytokine receptor interaction	80/931	228/4996	1.21044735908825e-09	1.20439512229281e-07	1.05754874530868e-07	6366/3574/3595/2277/6351/3572/6352/3577/939/50615/2920/643/1440/4050/8744/608/7850/3601/6355/6362/51561/8784/6356/4804/51330/6357/5473/3576/6368/50604/83729/7293/7424/5617/6354/4352/3559/8600/3553/5008/23495/58985/1950/3569/3586/943/6349/269/27190/5618/6372/1441/163702/3976/6374/6376/3952/1436/3554/6364/1230/7040/1232/6348/5154/3570/2919/2921/8771/10344/3589/10913/5196/3587/4233/6387/11009/3606/56477/1437	80
hsa05150	Staphylococcus aureus infection	24/931	49/4996	1.25287965017157e-06	8.31076834613808e-05	7.2974744536309e-05	3123/5648/3426/1675/10747/717/713/3586/2358/719/2214/2209/714/2357/3383/2212/3689/6404/3684/712/3108/728/629/2213	24
hsa04610	Complement and coagulation cascades	26/931	57/4996	2.52160500921711e-06	0.000125449849208551	0.000110154324086853	5648/3426/2153/1675/735/729/10747/717/5328/2161/1380/2162/725/1604/713/7035/5329/1378/2/719/714/5265/5054/712/728/629	26
hsa04020	Calcium signaling pathway	53/931	159/4996	5.04598514519885e-06	0.000200830208778914	0.000176343901916423	6547/7134/1131/773/552/492/3362/6543/777/3973/114/2902/815/5350/154/108/155/8877/6546/1139/3356/2767/1909/3363/491/4638/2903/5260/887/6263/1812/291/148/5153/6865/2911/775/2769/5255/2774/493/5733/6262/4923/57105/9630/5332/3708/5137/3274/487/8912/5023	53
hsa04640	Hematopoietic cell lineage	30/931	79/4996	3.86506214785693e-05	0.00128191227903921	0.00112561459042851	3574/3123/915/924/1440/909/7850/928/920/945/1380/930/1604/3559/3553/3569/1378/290/3672/1441/2209/1436/3554/2208/4311/3570/3589/3684/929/1437	30
hsa05410	Hypertrophic cardiomyopathy (HCM)	28/931	78/4996	0.000216565396091405	0.00595413453070214	0.00522817419781304	7134/781/4607/4633/53632/7168/51422/6546/8516/93589/783/1756/3569/785/3672/7169/5563/1674/7139/7040/775/70/59284/6262/3679/5565/6442/7137	28
hsa00982	Drug metabolism - cytochrome P450	18/931	42/4996	0.000239362192189031	0.00595413453070214	0.00522817419781304	2938/2949/124/126/1551/220/2944/1576/2954/222/9446/218/2326/4128/2330/4129/1548/125	18
hsa04974	Protein digestion and absorption	25/931	69/4996	0.000395954797880685	0.00875500053091736	0.00768754344423318	1287/6547/486/7373/1357/131873/6543/1297/7512/6519/481/477/6546/5222/1284/1301/3783/1299/1302/643847/1288/643834/1803/4311/3784	25
hsa04380	Osteoclast differentiation	39/931	126/4996	0.000510433806639197	0.01015763275212	0.00891915914759019	55423/126014/5293/5602/4689/11026/1536/9846/4286/54/11006/11025/54209/8600/3553/10288/5603/140885/6850/79168/695/8061/2214/7305/2209/1535/1436/3554/7040/2212/10990/9021/10859/10000/6688/653361/11027/5295/2213	39
hsa05323	Rheumatoid arthritis	29/931	86/4996	0.0005664068716208	0.0102468152229581	0.0089974680085218	3123/6352/4050/942/51561/4314/1514/3576/4312/54/8600/3553/3569/6349/6372/6374/245972/533/6364/3383/7040/6348/2919/3689/3589/6387/3108/3606/1437	29
hsa00980	Metabolism of xenobiotics by cytochrome P450	16/931	40/4996	0.00130486114946822	0.0216389473953479	0.0190006097203267	1646/2938/2949/124/126/1551/220/2944/1576/2954/222/29785/1645/9446/218/125	16
hsa05414	Dilated cardiomyopathy	27/931	84/4996	0.00195329932427985	0.0294410773985304	0.0258514617728434	7134/781/4607/4633/114/5350/7168/108/6546/8516/93589/783/1756/785/3672/111/7169/1674/7139/7040/775/70/59284/6262/3679/6442/7137	27
hsa04630	Jak-STAT signaling pathway	36/931	122/4996	0.00213639281597715	0.0294410773985304	0.0258514617728434	3574/3595/3572/50615/1440/894/3601/5293/4609/51561/595/5777/50604/5617/4352/3559/5008/58985/3569/3586/6777/3598/5618/1441/163702/3976/3952/8835/9021/10000/3570/3589/5295/3587/11009/1437	36
hsa05146	Amoebiasis	30/931	97/4996	0.00221917668833144	0.0294410773985304	0.0258514617728434	1287/88/735/7850/5293/3909/2767/3576/3553/1284/3569/1301/3586/1302/1288/3554/87/7414/7040/2769/5055/2774/2919/3689/9630/3684/5332/929/5295/1437	30
hsa04950	Maturity onset diabetes of the young	7/931	12/4996	0.00252123851040675	0.0306853097037754	0.0269439905359784	2645/5313/168620/3174/3171/4821/5080	7
hsa00360	Phenylalanine metabolism	8/931	15/4996	0.0026213581153979	0.0306853097037754	0.0269439905359784	220/8639/222/9588/218/3242/4128/4129	8
hsa04970	Salivary secretion	24/931	74/4996	0.00298516421598799	0.0330026488323116	0.0289787871259652	1131/486/727897/492/1755/114/154/108/155/481/477/5592/1471/491/3783/1470/111/6263/148/1469/493/3778/5332/3708	24
hsa00590	Arachidonic acid metabolism	16/931	43/4996	0.00315258519037373	0.0330191817307565	0.0289933042438803	5742/2878/57834/5322/246/6916/4056/2687/8399/9536/5320/240/2053/2876/5730/27306	16
hsa04062	Chemokine signaling pathway	48/931	181/4996	0.00492715926993362	0.0479306962058591	0.0420867261051183	6366/6351/94235/6352/3577/2920/643/114/2788/6355/5293/3055/108/6362/6356/6357/5473/5880/3576/6368/6354/6093/9475/10451/6777/6349/6372/111/6374/6376/7409/6364/1230/2793/1232/2786/6348/10000/2919/2921/10344/5196/653361/7454/5332/5295/6387/56477	48
hsa02010	ABC transporters	15/931	41/4996	0.00505801316745247	0.0479306962058591	0.0420867261051183	368/6833/10351/5244/23456/26154/154664/23460/9429/10060/10350/340273/9619/5243/225	15
