ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005261	cation channel activity	43/804	259/14583	7.14117127990304e-11	1.97246107448515e-08	1.67255471228273e-08	GRIA3/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/SCN2B/KCND3	43
GO:0022838	substrate-specific channel activity	52/804	355/14583	9.02773787284403e-11	1.97246107448515e-08	1.67255471228273e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	52
GO:0030545	receptor regulator activity	50/804	337/14583	1.32085836998057e-10	1.97246107448515e-08	1.67255471228273e-08	CD40LG/TG/CRLF1/CXCL5/ADCYAP1/EDN2/SEMA3A/INS-IGF2/CD70/CHGB/LEFTY2/LEP/PTN/BTC/NDP/TSLP/TTR/CCL24/CSF3/CXCL6/IL36RN/EPHA7/LHB/UCN2/FLRT2/WNT9A/GDF10/GREM2/FGF14/PXDN/TGFB3/THBS4/CXCL14/IL17B/TNFSF18/CCL20/OGN/FBN1/FNDC5/IGF1/KL/EFEMP1/TNFSF15/PCSK9/INHA/PENK/SFRP2/WNT9B/WNT2/ADM	50
GO:0005539	glycosaminoglycan binding	34/804	177/14583	1.33078063825344e-10	1.97246107448515e-08	1.67255471228273e-08	TMEM184A/MMP7/PTN/REG3G/EPYC/RNASE7/CXCL6/TNXB/GREM2/VCAN/FGFR2/SLIT2/ADAMTS8/ABI3BP/LTBP2/LTF/WISP1/THBS4/DCN/VIT/COL5A1/NDNF/CCDC80/SMOC2/STAB2/FBN1/CHRD/COMP/POSTN/ADAMTS15/SELP/RSPO1/LYVE1/ECM2	34
GO:0048018	receptor ligand activity	48/804	316/14583	1.36976463505913e-10	1.97246107448515e-08	1.67255471228273e-08	CD40LG/TG/CRLF1/CXCL5/ADCYAP1/EDN2/SEMA3A/INS-IGF2/CD70/CHGB/LEFTY2/LEP/PTN/BTC/NDP/TSLP/TTR/CCL24/CSF3/CXCL6/IL36RN/EPHA7/LHB/UCN2/FLRT2/WNT9A/GDF10/GREM2/FGF14/TGFB3/THBS4/CXCL14/IL17B/TNFSF18/CCL20/OGN/FBN1/FNDC5/IGF1/KL/EFEMP1/TNFSF15/INHA/PENK/SFRP2/WNT9B/WNT2/ADM	48
GO:0015267	channel activity	53/804	378/14583	3.06520415674584e-10	3.15278141836714e-08	2.67341114422945e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GJA1/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	53
GO:0022803	passive transmembrane transporter activity	53/804	378/14583	3.06520415674584e-10	3.15278141836714e-08	2.67341114422945e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GJA1/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	53
GO:0005216	ion channel activity	49/804	348/14583	1.2633685291938e-09	1.05142173217909e-07	8.91556439567063e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/GABRA2/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	49
GO:0046873	metal ion transmembrane transporter activity	52/804	382/14583	1.31427716522386e-09	1.05142173217909e-07	8.91556439567063e-08	SLC39A2/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/SLC9A3/SLC13A5/KCNK10/KCNIP1/CACNG4/GRIK3/SLC24A2/KCNJ4/CACNA1B/SLC5A1/ATP12A/TRPC3/CACNA1G/KCND2/KCNA1/HCN2/SLC1A2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/SLC9A2/ATP1A2/SLC1A7/SLC10A6/SLC30A8/TRPV6/SLC13A3/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/SLC34A2/SCN2B/KCND3	52
GO:0004714	transmembrane receptor protein tyrosine kinase activity	18/804	60/14583	1.89468723120869e-09	1.36417480647025e-07	1.1567564148432e-07	ERBB4/EPHA7/KDR/FGFR2/TEK/EPHB6/PDGFRB/EPHA8/EPHA3/NTRK3/INSRR/PDGFRL/EPHA6/NTRK2/PDGFRA/EFEMP1/ROR2/FGFR3	18
