ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004930	G-protein coupled receptor activity	157/2725	373/15089	6.90542360302533e-28	6.82255851978903e-25	5.72059829008519e-25	ADGRE3/LPAR3/ADGRG7/OR7D2/SORCS3/GPR87/NPSR1/CCKBR/OPRD1/GPR173/GPR34/ADCYAP1R1/OR2A1/GRPR/CYSLTR1/GPR142/NMUR1/APLNR/PDGFRL/OPRL1/MC2R/ADRA1A/SORCS2/CNR1/GPR182/RAMP3/OR56B1/SUCNR1/ADGRD1/CNR2/HCRTR1/ADGRL2/AGTR1/CALCRL/GALR1/CHRM4/FZD4/ADRB3/PTGER3/EDNRA/FRZB/GPR88/SFRP4/CCR7/GPR52/SFRP2/SCTR/ACKR1/GABBR1/GPR146/ADGRB3/GPER1/GPR26/FPR1/ADRB2/ADORA3/HTR2B/GPR21/F2RL2/LPAR4/CCKAR/MTNR1A/PTGDR/NPY/HRH2/XCR1/DRD5/AVPR1A/GABBR2/ACKR3/HTR7/GRM6/PTH1R/CYSLTR2/P2RY8/TACR2/PTGIR/S1PR1/GRM5/FFAR3/GRM7/GPR20/GPR176/OR2C1/CRHR2/PTGFR/NPR1/OXTR/CX3CR1/CXCR2/FZD1/GPR1/NPY1R/HTR1F/MC5R/MRGPRE/CCR2/GLP1R/TBXA2R/NPY5R/AVPR2/CHRM2/ADRA1D/ADGRA2/SFRP1/CXCR4/GPR31/ADGRB1/GPR17/F2RL3/PTGER1/ADGRL4/MRGPRF/GPR62/P2RY10/ELOVL4/P2RY14/LHCGR/VIPR2/SSTR3/P2RY1/BDKRB1/TACR1/P2RY12/OR52N4/GPR15/GP1BA/PDGFRB/GPR135/SMO/GPR162/GRIK3/ADGRB2/OPN1SW/CCR4/ADGRL3/SSTR2/PRLHR/NPR3/CXCR5/ADGRE1/OR13A1/GPBAR1/GLP2R/MLNR/HTR2A/SORCS1/FZD7/F2R/RAMP2/GPR68/GPR183/ADGRG4/S1PR3/OR51E2/TAAR1/LPAR1	157
GO:0005261	cation channel activity	116/2725	283/15089	8.81094107721009e-20	4.35260489214179e-17	3.6495845409286e-17	CHRNA4/NOX5/TRPC3/KCNA5/ITPR1/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/KCNB1/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/KCNN3/CHRNB2/TRPC4/GRIA1/LRRC55/GPM6A/KCNAB1/KCNA6/KCNA4/KCNJ12/IL1RAPL1/DENND5A/KCNQ4/KCNC1/NALCN/TRPC1/GRIK5/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/PKD2/P2RX7/KCNQ1/P2RX2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B	116
GO:0005539	glycosaminoglycan binding	91/2725	202/15089	5.34567922118372e-19	1.76051035684317e-16	1.47615773581459e-16	SAA1/AZU1/APOB/EPYC/LPA/HMMR/LTBP2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/LYVE1/FGF1/POSTN/RSPO1/APOH/FBN1/BGN/CXCL10/PLA2G5/VIT/CHRD/CXCL11/DCN/CEL/SELL/FGF7/PRNP/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/STAB2/NLRP3/VCAN/SMOC2/WISP1/RSPO2/NOV/SELP/FGF2/THBS4/NRP1/STAB1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/WISP2/ENG/TNXB/C6orf15/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LTBP4/LPL/THBS2/PTPRS/DPYSL3/CTSG/IMPG2/PRELP/THBS3/CCL2/FSTL1/LAYN/CLEC3B/CYR61/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SUSD5/SOD3/SPOCK3/COL5A1/ABI3BP/PCOLCE/ANOS1/FN1	91
GO:0030545	receptor regulator activity	144/2725	394/15089	9.34928561491364e-19	2.30927354688367e-16	1.93628625761501e-16	ANGPT4/SAA1/IL24/WNT3A/IL13/ADH7/REG1A/IFNE/C10orf99/IL36RN/GDF6/CRLF1/PENK/UTS2B/CLEC12B/GREM2/TIMP1/GDF7/TNFSF12/TNFSF9/GPNMB/SCG2/PDGFD/FGF1/UCN3/TSLP/GDF1/FBN1/SEMA3A/PCSK9/PDGFC/CXCL10/GDF10/LEP/FGF5/FNDC5/WNT9A/IL34/CXCL11/ADIPOQ/FGF8/GDF5/AGT/NGF/CCL20/IL17B/SFRP2/IL17F/DAND5/FGF7/RETN/CCL19/WNT7A/NRG2/CMTM8/IFNG/TDGF1/PXDN/PROK1/WNT9B/AMH/CXCL12/IL17A/NPY/VIP/CCL14/CCL28/PTN/CCL16/FLRT2/GREM1/IL23A/C1QTNF4/CXCL2/TGFB3/KL/FGF13/PNOC/NOV/LEFTY2/BMP3/CMTM5/NRG3/CTF1/THPO/FGF14/SCT/FGF2/THBS4/PPBP/NTF4/HGF/NPPC/CTGF/CXCL5/VEGFC/POMC/OGN/PRL/IGF1/IL12B/LYNX1/WFIKKN2/PTHLH/INHBA/EFEMP1/IL16/IL33/CARTPT/ENDOU/CXCL1/VEGFD/ACTN2/GDNF/IL6/GHRL/PYY/GRP/HAMP/TFF1/TDGF1P3/SAA4/CCL2/TNFSF18/CXCL3/GDF3/SAA2/KCNK3/MAPT/CCL21/CCL11/CLEC11A/SST/CMTM3/FGF10/CXCL13/EPHA7/TNFSF8/TNFSF4/IGF2/IL17C/ADCYAP1/VSTM1/HDGFL3	144
GO:0048018	receptor ligand activity	136/2725	369/15089	3.8861071893379e-18	7.67894780613168e-16	6.43866601686089e-16	SAA1/IL24/WNT3A/IL13/REG1A/IFNE/C10orf99/IL36RN/GDF6/CRLF1/PENK/UTS2B/GREM2/TIMP1/GDF7/TNFSF12/TNFSF9/GPNMB/SCG2/PDGFD/FGF1/UCN3/TSLP/GDF1/FBN1/SEMA3A/PDGFC/CXCL10/GDF10/LEP/FGF5/FNDC5/WNT9A/IL34/CXCL11/ADIPOQ/FGF8/GDF5/AGT/NGF/CCL20/IL17B/SFRP2/IL17F/DAND5/FGF7/RETN/CCL19/WNT7A/NRG2/CMTM8/IFNG/TDGF1/PROK1/WNT9B/AMH/CXCL12/IL17A/NPY/VIP/CCL14/CCL28/PTN/CCL16/FLRT2/GREM1/IL23A/C1QTNF4/CXCL2/TGFB3/KL/FGF13/PNOC/NOV/LEFTY2/BMP3/CMTM5/NRG3/CTF1/THPO/FGF14/SCT/FGF2/THBS4/PPBP/NTF4/HGF/NPPC/CTGF/CXCL5/VEGFC/POMC/OGN/PRL/IGF1/IL12B/PTHLH/INHBA/EFEMP1/IL16/IL33/CARTPT/ENDOU/CXCL1/VEGFD/GDNF/IL6/GHRL/PYY/GRP/HAMP/TFF1/TDGF1P3/SAA4/CCL2/TNFSF18/CXCL3/GDF3/SAA2/KCNK3/MAPT/CCL21/CCL11/CLEC11A/SST/CMTM3/FGF10/CXCL13/EPHA7/TNFSF8/TNFSF4/IGF2/IL17C/ADCYAP1/VSTM1/HDGFL3	136
GO:0008201	heparin binding	74/2725	152/15089	4.9434632323441e-18	8.14023612259328e-16	6.82544835764001e-16	SAA1/AZU1/APOB/LPA/LTBP2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/FGF1/POSTN/RSPO1/APOH/FBN1/CXCL10/PLA2G5/CHRD/CXCL11/CEL/SELL/FGF7/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/SMOC2/WISP1/RSPO2/NOV/SELP/FGF2/THBS4/NRP1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/WISP2/TNXB/C6orf15/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LPL/THBS2/PTPRS/CTSG/IMPG2/PRELP/THBS3/CCL2/FSTL1/CLEC3B/CYR61/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SOD3/COL5A1/ABI3BP/PCOLCE/ANOS1/FN1	74
GO:0005216	ion channel activity	138/2725	382/15089	1.59420290579279e-17	2.25010352989039e-15	1.88667321332169e-15	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	138
GO:0022838	substrate-specific channel activity	140/2725	392/15089	2.8622918974595e-17	3.53493049336248e-15	2.96397858329029e-15	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	140
GO:0015267	channel activity	144/2725	416/15089	2.18694180185806e-16	2.16069850023576e-14	1.81170862953925e-14	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/BCL2/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/GJA5/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/GJA3/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/GJA1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	144
GO:0022803	passive transmembrane transporter activity	144/2725	416/15089	2.18694180185806e-16	2.16069850023576e-14	1.81170862953925e-14	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/BCL2/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/GJA5/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/GJA3/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/GJA1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	144
