ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1902495	transmembrane transporter complex	44/945	280/15463	6.71665935210828e-09	2.15940858477262e-06	1.90856180156904e-06	KCNT1/GABRR2/SCN3B/ATP12A/RYR2/KCNA3/KCNC2/KCNG2/ABCG5/CHRNA9/CHRNB2/SCN4A/KCNA1/KCND3/SCN2B/ANO1/ATP4B/ATP1B2/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/CLCNKA/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/BEST3/SCNN1B/TRDN/CLCNKB/KCNE5/KCNF1/KCNN1/KCNB1	44
GO:0034702	ion channel complex	40/945	246/15463	1.22558528770499e-08	2.15940858477262e-06	1.90856180156904e-06	KCNT1/GABRR2/SCN3B/RYR2/KCNA3/KCNC2/KCNG2/CHRNA9/CHRNB2/SCN4A/KCNA1/KCND3/SCN2B/ANO1/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/CLCNKA/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/BEST3/SCNN1B/TRDN/CLCNKB/KCNE5/KCNF1/KCNN1/KCNB1	40
GO:1990351	transporter complex	44/945	287/15463	1.44281197200843e-08	2.15940858477262e-06	1.90856180156904e-06	KCNT1/GABRR2/SCN3B/ATP12A/RYR2/KCNA3/KCNC2/KCNG2/ABCG5/CHRNA9/CHRNB2/SCN4A/KCNA1/KCND3/SCN2B/ANO1/ATP4B/ATP1B2/GABRR1/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/GABRA1/CLCNKA/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/BEST3/SCNN1B/TRDN/CLCNKB/KCNE5/KCNF1/KCNN1/KCNB1	44
GO:0016324	apical plasma membrane	39/945	261/15463	1.90772499046339e-07	1.87756404959223e-05	1.65945761738664e-05	DPEP1/STK26/CA4/P2RY1/SLC14A2/KCNC2/AMN/LZTS1/SLC22A4/SLC7A9/CD36/ABCG5/ADGRG2/OXTR/KCNA1/DDR2/PRKG2/CYP4A11/IL6R/RHCG/TF/CLDN1/ANO1/ATP1B2/ATP6V0D2/DSG1/MAL2/EPCAM/LRP2/SLC2A5/CRB1/MUC13/CFAP126/FN1/SCNN1B/PTH1R/CD300LG/SLC44A4/RAPGEF6	39
GO:0034703	cation channel complex	31/945	183/15463	2.0908285630203e-07	1.87756404959223e-05	1.65945761738664e-05	KCNT1/SCN3B/RYR2/KCNA3/KCNC2/KCNG2/SCN4A/KCNA1/KCND3/SCN2B/GRIN2A/KCNJ16/GRIA4/CACNA1E/KCNH1/KCNG3/GRIK4/TRPC4/GRIN2D/KCND2/HSPA2/KCNMB2/KCNQ4/SHANK1/NOS1AP/SCNN1B/TRDN/KCNE5/KCNF1/KCNN1/KCNB1	31
GO:0005578	proteinaceous extracellular matrix	43/945	334/15463	2.87448140101595e-06	0.000215107024842693	0.00019011920845316	HAPLN1/CD151/SFRP1/WNT10B/FBN1/SFTPA1/ADAMTS14/WNT5B/SFTPA2/HAPLN2/ADAMTS1/MYOC/NOV/WNT9A/SPOCK1/MMP23B/ECM2/SERPINF1/ANGPTL4/CCDC80/CPZ/WNT16/KAZALD1/NTN3/COCH/P3H2/COL9A2/MMP7/MMP10/DMP1/WNT5A/POSTN/WNT2B/PTN/GPLD1/ABI3BP/WISP1/FN1/WNT9B/ADAMTS12/LRFN2/HMCN1/MMP3	43
GO:0034705	potassium channel complex	18/945	88/15463	4.96800303277033e-06	0.000318661908816268	0.00028164468321119	KCNT1/KCNA3/KCNC2/KCNG2/KCNA1/KCND3/KCNJ16/KCNH1/KCNG3/GRIK4/KCND2/KCNMB2/KCNQ4/NOS1AP/KCNE5/KCNF1/KCNN1/KCNB1	18
GO:0008076	voltage-gated potassium channel complex	17/945	84/15463	1.05123999749449e-05	0.000590008448593785	0.00052147036717819	KCNT1/KCNA3/KCNC2/KCNG2/KCNA1/KCND3/KCNJ16/KCNH1/KCNG3/KCND2/KCNMB2/KCNQ4/NOS1AP/KCNE5/KCNF1/KCNN1/KCNB1	17
GO:0045211	postsynaptic membrane	29/945	202/15463	1.52463876036008e-05	0.00074873254705592	0.000661756348001599	GABRR2/CLSTN2/ANKS1B/P2RY1/KCNC2/LZTS1/ADORA1/CHRNA9/CHRNB2/CABP1/NETO1/GSG1L/NLGN4X/GABRR1/CNKSR2/GRIN2A/GRIA4/KCNH1/GRIK4/GABRA1/GRIN2D/KCND2/SHANK1/CBLN1/PCDH8/LRFN2/STRN/NEURL1/KCNB1	29
GO:0005882	intermediate filament	18/945	96/15463	1.76820286464323e-05	0.00074873254705592	0.000661756348001599	KRT6C/KRTAP5-9/GPER1/SYNC/KRT9/FLG/KRTAP5-10/KRT33A/KRTAP5-8/KRT1/KRT6B/KRT2/SYNM/KRT40/KRTAP5-1/KRT6A/KRT36/KRT33B	18
