ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007204	positive regulation of cytosolic calcium ion concentration	39/952	256/15007	2.94711704460122e-07	0.000783040640973097	0.000743440758269385	NMB/P2RY1/NOS1/TBXA2R/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/CCL19/ADRA1A	39
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	28/952	153/15007	3.29653743295495e-07	0.000783040640973097	0.000743440758269385	PCDH17/PCDHB3/CDH13/PCDHGB4/PCDHB1/PCDHA12/PCDHB5/CD84/CADM1/PCDH8/CADM3/PCDHGA10/PCDHGA9/CDH17/PCDHAC1/CDHR5/PCDHGA12/PCDHB15/PCDHGB7/PTPRT/PCDHAC2/CLSTN2/PCDHGA2/PCDHA2/CDH26/PCDHB11/CDH6/PCDHGA8	28
GO:0006937	regulation of muscle contraction	27/952	147/15007	4.94239832299451e-07	0.000783040640973097	0.000743440758269385	UCN/NOS1/TBXA2R/MYH7/MYL2/FKBP1B/ANK2/OXTR/PPP1R12B/PIK3CG/TACR1/PTGS2/ATP1A2/ADRB2/RYR2/ADRA2A/GUCY1A3/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/KIT/MYLK2/TACR2/ADRA1A/C12orf57	27
GO:0006936	muscle contraction	45/952	330/15007	9.34546573666514e-07	0.000871045082576436	0.000826994644713075	KCND3/UCN/SCN7A/NOS1/TBXA2R/KCNE5/GNAO1/MYH7/KCNE1/MYL2/HTR7/FKBP1B/ANK2/OXTR/DRD1/MB/PPP1R12B/KCNN2/PIK3CG/TACR1/CACNA2D1/IGSF22/PTGS2/SCN4B/ATP1A2/ADRB2/RYR2/ADRA2A/MYL4/GUCY1A3/ROCK2/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/EDNRB/KIT/MYLK2/TACR2/MYL6B/TTN/ADRA1A/FGF12/C12orf57	45
GO:0001508	action potential	24/952	126/15007	1.06974480271837e-06	0.000871045082576436	0.000826994644713075	KCND3/SCN7A/KCNE5/AKAP6/KCNE1/CATSPER3/FKBP1B/ANK2/DRD1/KCNN2/TACR1/CACNA2D1/CACNA1A/SCN4B/ATP1A2/RYR2/GPR35/CNR1/SCN2A/HCN2/PKP2/NRCAM/ADRA1A/FGF12	24
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	35/952	229/15007	1.09957300556672e-06	0.000871045082576436	0.000826994644713075	PCDH17/PCDHB3/CDH13/PCDHGB4/TENM1/PCDHB1/PCDHA12/PCDHB5/CD84/CADM1/CLDN16/PCDH8/IL1RAPL1/CADM3/PCDHGA10/PCDHGA9/CDH17/FXYD5/PCDHAC1/CD177/UNC5D/CDHR5/PCDHGA12/PCDHB15/PCDHGB7/PTPRT/PCDHAC2/CLSTN2/PCDHGA2/PCDHA2/CDH26/PCDHB11/CD209/CDH6/PCDHGA8	35
GO:0051480	regulation of cytosolic calcium ion concentration	39/952	283/15007	3.80903949170141e-06	0.00232463860255329	0.00220707712340039	NMB/P2RY1/NOS1/TBXA2R/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/CCL19/ADRA1A	39
GO:0003012	muscle system process	50/952	403/15007	3.91270961927758e-06	0.00232463860255329	0.00220707712340039	P2RY1/KCND3/UCN/SCN7A/NOS1/TBXA2R/KCNE5/GNAO1/AKAP6/MYH7/KCNE1/MYL2/HTR7/FKBP1B/ANK2/OXTR/MYOC/DRD1/MB/PPP1R12B/KCNN2/PIK3CG/TACR1/CACNA2D1/IGSF22/PTGS2/SCN4B/ATP1A2/ADRB2/RYR2/ADRA2A/MYL4/GUCY1A3/AGTR2/ROCK2/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/EDNRB/KIT/NPPB/MYLK2/TACR2/MYL6B/TTN/ADRA1A/FGF12/C12orf57	50
GO:0006940	regulation of smooth muscle contraction	14/952	55/15007	5.84255375967152e-06	0.00308551755774652	0.00292947695528793	TBXA2R/OXTR/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/CHRNA3/MYOCD/PROK2/KIT/TACR2/ADRA1A	14
GO:0006939	smooth muscle contraction	19/952	95/15007	6.63514415838575e-06	0.00315368401848075	0.00299419610599997	TBXA2R/HTR7/FKBP1B/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/ROCK2/CHRNA3/MYOCD/PROK2/EDNRB/KIT/TACR2/ADRA1A	19
GO:0003013	circulatory system process	55/952	475/15007	1.04517301239687e-05	0.00451609757083847	0.00428770976473242	P2RY1/KCND3/UCN/NOS1/TBXA2R/KCNE5/GNAO1/CASR/MYH7/KCNE1/MYL2/HTR7/FKBP1B/CPS1/ANK2/OXTR/REN/DRD1/CORIN/KCNN2/PIK3CG/CYSLTR1/TACR1/CACNA2D1/PTGS2/SCN4B/LNPEP/ATP1A2/ADRB2/RYR2/ADRA2A/EPO/FOXC2/MYL4/PDE3A/GUCY1A3/CNR1/AGTR2/ATP2A1/COL4A3/NPY6R/CACNG5/PKP2/SGCD/FGG/HRH2/EDNRB/NPPB/MYLK2/TACR2/CACNA2D2/TTN/ADRA1A/FGF12/AR	55
GO:0008015	blood circulation	54/952	471/15007	1.66589846496972e-05	0.00587074561178942	0.00557385062901907	P2RY1/KCND3/UCN/NOS1/TBXA2R/KCNE5/GNAO1/CASR/MYH7/KCNE1/MYL2/HTR7/FKBP1B/CPS1/ANK2/OXTR/REN/DRD1/CORIN/KCNN2/PIK3CG/TACR1/CACNA2D1/PTGS2/SCN4B/LNPEP/ATP1A2/ADRB2/RYR2/ADRA2A/EPO/FOXC2/MYL4/PDE3A/GUCY1A3/CNR1/AGTR2/ATP2A1/COL4A3/NPY6R/CACNG5/PKP2/SGCD/FGG/HRH2/EDNRB/NPPB/MYLK2/TACR2/CACNA2D2/TTN/ADRA1A/FGF12/AR	54
GO:0030317	flagellated sperm motility	15/952	68/15007	1.79965445403879e-05	0.00587074561178942	0.00557385062901907	CCDC39/SLIRP/CATSPER3/TMF1/TACR1/ROPN1B/NME8/DNAI1/TPGS1/DNAH5/LRRC6/RGN/CFAP157/TEKT1/TACR2	15
GO:0050880	regulation of blood vessel size	22/952	129/15007	1.89752874652665e-05	0.00587074561178942	0.00557385062901907	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/FOXC2/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	22
GO:0035150	regulation of tube size	22/952	130/15007	2.14989310568753e-05	0.00587074561178942	0.00557385062901907	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/FOXC2/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	22
GO:0035296	regulation of tube diameter	21/952	121/15007	2.22047890911231e-05	0.00587074561178942	0.00557385062901907	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	21
GO:0097746	regulation of blood vessel diameter	21/952	121/15007	2.22047890911231e-05	0.00587074561178942	0.00557385062901907	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	21
GO:0055074	calcium ion homeostasis	46/952	385/15007	2.50736386940975e-05	0.00587074561178942	0.00557385062901907	NMB/P2RY1/DRD4/NOS1/TBXA2R/CASR/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/PKHD1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/RGN/CAPS2/ATP2A1/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/SLC24A5/CCL19/ADRA1A	46
