ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04974	Protein digestion and absorption	13/204	61/4765	1.18225462225299e-06	0.000178520447960201	0.000151826383068279	1299/1303/1306/1286/7373/1281/477/482/481/6550/50509/6546/6519	13
hsa04512	ECM-receptor interaction	13/204	77/4765	1.80232533437958e-05	0.00136075562745659	0.00115728258312794	5649/1286/7060/1281/8515/6383/3673/8516/3672/7448/3676/50509/3908	13
hsa04970	Salivary secretion	11/204	66/4765	9.14009153278958e-05	0.00397557129668314	0.00338110629623801	5578/2983/1131/23236/2982/477/482/952/481/3778/108	11
hsa04972	Pancreatic secretion	11/204	67/4765	0.000105313146932004	0.00397557129668314	0.00338110629623801	5578/1131/23236/760/477/482/952/5319/481/3778/108	11
hsa04976	Bile secretion	9/204	50/4765	0.000219898252474069	0.00643828021413816	0.00547556769693172	5243/10998/1244/760/477/482/481/6550/108	9
hsa03010	Ribosome	12/204	86/4765	0.000255825703873039	0.00643828021413816	0.00547556769693172	6152/6159/6138/9045/6223/3921/6161/6222/6165/6141/6133/6170	12
hsa04510	Focal adhesion	19/204	189/4765	0.000394906417965404	0.00851869558753942	0.00724489969801192	5649/1286/7060/1281/5578/8515/3673/8516/3672/5294/3791/7448/3676/3082/80310/5156/50509/1950/3908	19
hsa04540	Gap junction	11/204	80/4765	0.000526629094092523	0.00994012415099638	0.00845378282622209	5578/2983/23236/2982/51807/10381/80310/5156/347733/1950/108	11
hsa04514	Cell adhesion molecules (CAMs)	14/204	125/4765	0.00080882554743596	0.0129751010653752	0.0110349413034213	6383/8516/25945/958/23562/3676/57502/1462/3897/6401/5788/3112/9076/9379	14
hsa04971	Gastric acid secretion	9/204	60/4765	0.000894916898623641	0.0129751010653752	0.0110349413034213	5578/1131/23236/760/495/477/482/481/108	9
hsa04060	Cytokine-cytokine receptor interaction	18/204	187/4765	0.000945206037875017	0.0129751010653752	0.0110349413034213	2323/3953/7042/3791/3815/958/658/1439/6387/6375/1489/8743/3082/1270/5156/10663/944/1950	18
hsa05414	Dilated cardiomyopathy	10/204	76/4765	0.00133421800316417	0.0167889098731491	0.0142784733671955	8515/3673/8516/3672/7042/3676/108/6546/3908/7137	10
hsa04020	Calcium signaling pathway	15/204	148/4765	0.00149934064403461	0.0171382872239644	0.0145756085139328	5578/51196/1131/1909/552/23236/2903/773/2149/5137/952/6869/5156/108/6546	15
hsa04964	Proximal tubule bicarbonate reclamation	5/204	21/4765	0.00158898027242054	0.0171382872239644	0.0145756085139328	760/477/482/481/6550	5
hsa04080	Neuroactive ligand-receptor interaction	16/204	166/4765	0.00178734193444925	0.0179925754734558	0.015302155508969	1136/1131/1909/552/3953/2903/2149/2918/2563/2562/2151/6869/10888/5734/2898/2894	16
hsa05410	Hypertrophic cardiomyopathy (HCM)	9/204	70/4765	0.00271901145506774	0.0256606706072018	0.02182364457357	8515/3673/8516/3672/7042/3676/6546/3908/7137	9
hsa04960	Aldosterone-regulated sodium reabsorption	6/204	35/4765	0.00327911728041271	0.0291262770201365	0.0247710407560589	5578/5294/477/482/481/6337	6
