Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	79.7349597178456	8.00314959954634	0.453345562698307	17.6535302384161	9.55897998608484e-70	1.60523950906323e-65
SPRR2B|6701	933.292193630366	-9.09056905875793	0.980405221259975	-9.27225688075704	1.82248110256728e-20	1.53024625777062e-16
APOA1|335	1676.97572353335	-6.48508400025764	0.730352127486663	-8.87939359138248	6.72258392153657e-19	3.76307839314545e-15
PRKG1|5592	148.44935499674	3.41646308288424	0.415037046840831	8.23170632330197	1.84565290677088e-16	7.74851231585084e-13
EDIL3|10085	441.473767437732	5.29480275164526	0.659622236891397	8.02702282536453	9.98665098018102e-16	2.79509716516966e-12
MAP1B|4131	6573.18334419448	2.3866027820925	0.296558296765081	8.04766822620055	8.4386334514424e-16	2.79509716516966e-12
NELF|26012	9458.94301149512	-4.50984035219607	0.568759947001688	-7.92925095371155	2.20471620811836e-15	5.28911418327595e-12
FEZF1|389549	32.3853751606748	-6.80063420313578	0.86886072911525	-7.82707052493992	4.99368995963754e-15	1.04823794365242e-11
RPS27A|6233	11418.6896879304	-1.30049641970444	0.168892765463033	-7.70013100406653	1.35926804132213e-14	2.53624313532472e-11
APOOL|139322	213.991650129337	1.97171385467672	0.258905290877085	7.61557961213235	2.62510777555559e-14	4.4083434874905e-11
PSMD4|5710	5215.17482949672	-1.12596631837404	0.148857752966142	-7.56404215392226	3.90733019991945e-14	5.96507236793157e-11
SORCS3|22986	88.3092849570856	5.42914786563644	0.733364303361606	7.40307080771484	1.33070746048712e-13	1.86221419866334e-10
SCNM1|79005	812.274588447897	-1.16760367373485	0.158728130594188	-7.3559971339926	1.89507081325868e-13	2.44799416669639e-10
RBP4|5950	289.886143374724	5.87812341498952	0.822186004459727	7.14938393879879	8.71682116560385e-13	1.04558269881418e-09
TNNI3|7137	310.025858433962	-4.78376096053072	0.672876415068542	-7.10941987771027	1.16531726872671e-12	1.30461152624851e-09
CDKL5|6792	24.060250454885	2.89711655753014	0.413236763708748	7.01079093623927	2.36974614637162e-12	2.48719668975116e-09
AUP1|550	6137.6251303295	-1.17954887454409	0.169590164101689	-6.9552906018583	3.51836018096951e-12	3.47551897170712e-09
RCE1|9986	481.401284090314	-1.13607417493036	0.164086269370692	-6.92363949334375	4.40185272366633e-12	4.10668404380715e-09
TNNI3K|51086	25.7103645546932	2.80486941311981	0.405858255768074	6.91095813195097	4.8139113101332e-12	4.25473750689825e-09
ADCY2|108	52.6224601874784	5.36681944835652	0.779371115736205	6.88608974594465	5.73468203032071e-12	4.58583406357979e-09
SAC3D1|29901	601.828577936949	-1.31994107847627	0.191668645461274	-6.88657800705831	5.71504281895123e-12	4.58583406357979e-09
HERC3|8916	1866.23248725533	1.74733668807167	0.254013107190717	6.87892332563667	6.03066062855968e-12	4.59273694938612e-09
SPRR2A|6700	59.7837139603285	-6.33920611160274	0.922346039845978	-6.87291519423808	6.29029654236175e-12	4.59273694938612e-09
H19|283120	33075.2443188278	-4.42594785725463	0.64461735058314	-6.86600795534093	6.60233935412984e-12	4.61971186557927e-09
ISL1|3670	256.654914116986	-7.97525769827104	1.17133324511216	-6.80870088128285	9.84840021464027e-12	6.12534017794274e-09
PRSS8|5652	676.269956872982	6.24517473838159	0.916728329817423	6.812459629807	9.59439854672338e-12	6.12534017794274e-09
SLFN5|162394	633.678813892857	2.34166480946883	0.343706504843893	6.81297786474067	9.55988557286827e-12	6.12534017794274e-09
ENTPD8|377841	79.4903838248241	-4.99509677534928	0.737277873049488	-6.77505314880648	1.24360534115278e-11	7.16499281254245e-09
HHIPL2|79802	197.005735910258	-5.40764771532294	0.799501445957629	-6.76377477822539	1.34442025623157e-11	7.16499281254245e-09
LBX2|85474	21.4393333054659	-3.52202057360916	0.52039635373303	-6.76795782357845	1.30612816231501e-11	7.16499281254245e-09
PLXNC1|10154	921.932362197736	2.73859429687173	0.405025251624862	6.761539646936	1.36532942298195e-11	7.16499281254245e-09
SSTR1|6751	304.341135733521	4.54393468294531	0.671410813738421	6.76774128442263	1.30808389925815e-11	7.16499281254245e-09
C1orf35|79169	658.127855511718	-0.791633413786326	0.117664369368176	-6.72789407734194	1.72136149903706e-11	8.75964353131194e-09
SCG2|7857	1655.24194891867	4.41144804571795	0.65700475529837	6.71448419534582	1.88732631690396e-11	9.32172671757889e-09
CLOCK|9575	305.770814133819	1.51811350187205	0.226288001761631	6.70876710233721	1.96275636342586e-11	9.41730503171726e-09
C21orf15|54094	132.459528088919	-4.74970070867925	0.711408629075431	-6.6764732877251	2.44760653270928e-11	1.14174045843853e-08
KIAA1109|84162	1802.39824133266	1.04316668866515	0.156400503005404	6.6698422870744	2.56078463613029e-11	1.16225017282529e-08
BOD1L|259282	1523.36620810056	0.970322915782314	0.145710366797519	6.65925793139131	2.75213579620777e-11	1.21622674804519e-08
THUMPD1|55623	2605.26690512844	1.0197351576287	0.154296159851116	6.60894709636758	3.87062998661443e-11	1.66665357346708e-08
C11orf67|28971	2160.03808304287	-1.63668493313214	0.24930577291728	-6.5649700525595	5.20433206928232e-11	2.18490871098645e-08
TMEM223|79064	837.753852771419	-1.37982223328922	0.211103580896755	-6.53623319617706	6.30875246289321e-11	2.58397268559429e-08
PTPRN|5798	280.586012689967	4.55457371090142	0.699142826587392	6.51451110945798	7.29267847453841e-11	2.91585594340294e-08
DDIT4L|115265	1155.14582163509	3.38393843142946	0.521100456529562	6.49383125466037	8.3680475337077e-11	3.26801447054775e-08
REST|5978	271.296520838081	1.73671129413378	0.268082533352899	6.47827097279628	9.2779624163536e-11	3.54101870131423e-08
BCKDHB|594	549.018942392629	1.15760995767173	0.178896739408487	6.47082759305345	9.74675946144003e-11	3.63727403635472e-08
RPL27A|6157	16412.6057983941	-1.18723816160278	0.184106217659412	-6.44865869657437	1.12844363189014e-10	4.11955519789806e-08
ACTN2|88	59.8273311939461	-4.11149389707036	0.638499157410116	-6.43930982422503	1.20017988991515e-10	4.14729581760429e-08
FAM136A|84908	1006.17120695453	-0.891922455208542	0.138452861145239	-6.44206589759749	1.17858084051181e-10	4.14729581760429e-08
PSMB4|5692	9991.63489523564	-0.923770408541987	0.143554326947642	-6.43498825973327	1.23482874340627e-10	4.14729581760429e-08
THUMPD2|80745	270.850025276833	-0.858834101565485	0.133411099932325	-6.43750109249637	1.21456449532145e-10	4.14729581760429e-08
FBXW11|23291	2348.64227973968	0.841431150621139	0.130935407959239	6.42630716729491	1.3074108666419e-10	4.19639340823068e-08
HS3ST3B1|9953	23.2667991478402	3.7153633188608	0.578154769987853	6.42624347618694	1.30795849522508e-10	4.19639340823068e-08
STK25|10494	2935.03566052616	-0.733792037641478	0.114220580440596	-6.42434169753771	1.32441404535357e-10	4.19639340823068e-08
DRD1|1812	24.9826468522928	4.41664021568732	0.690758602828791	6.39389824115157	1.61709067580665e-10	5.02885254052243e-08
SLC4A1|6521	38.8125828702713	-4.45138884473463	0.698191972909356	-6.37559441737171	1.822546645601e-10	5.56473196719592e-08
PHAX|51808	1074.42826172985	0.933923931577228	0.146613073001378	6.36999083682291	1.89039493987785e-10	5.59686607534444e-08
TCP11L2|255394	245.478764888592	1.4310476449878	0.224681229511364	6.36923541899801	1.89972825757538e-10	5.59686607534444e-08
RPS7|6201	10096.6177621563	-1.05228441707581	0.166055625449493	-6.33693928903284	2.34374288490523e-10	6.78594383900234e-08
WDR74|54663	1175.79990533026	-1.11781174219006	0.17697643856649	-6.31616135596548	2.68140086442489e-10	7.6319940197097e-08
C5orf41|153222	646.53673654866	1.59249554404965	0.252586531419204	6.30475241534819	2.88654941981674e-10	8.07897073449709e-08
ARHGAP8|23779	194.052841330488	-4.18609248566062	0.665496135589683	-6.29018301053154	3.17091919961479e-10	8.72938460969363e-08
MEMO1|51072	632.106989161589	-0.942691730076295	0.150033795224573	-6.28319592039418	3.3168262676446e-10	8.98378443750898e-08
RAD9A|5883	595.721591200136	-0.837924108378227	0.133459697099131	-6.27848051952222	3.41897855965785e-10	9.11347729402132e-08
IL8|3576	154.755291484601	-2.95281742654679	0.471927695491734	-6.25692760724722	3.92635554424125e-10	1.03023888522568e-07
LRRC16B|90668	69.7654754202256	-3.23389303534036	0.518128135069973	-6.24149282089	4.33414334171704e-10	1.11974260211468e-07
DIS3L2|129563	1048.3693982521	-0.902489575004513	0.145126342146486	-6.21864757049805	5.01458197204072e-10	1.25300295464547e-07
HS3ST3A1|9955	137.919289972723	4.40260626308964	0.70816890617453	6.21688727746063	5.07113783439982e-10	1.25300295464547e-07
SNRPA1|6627	910.68904423135	-1.28439028951683	0.206599734984489	-6.21680511648897	5.07379270624022e-10	1.25300295464547e-07
LOC84989|84989	41.3656881719628	-2.55235625619596	0.410818008997271	-6.2128636045576	5.20276082804504e-10	1.26623134181682e-07
RNF25|64320	1036.71242793419	-0.961919773995689	0.155133293614392	-6.20060176371096	5.62476761710808e-10	1.34938175134423e-07
COPS7B|64708	1375.03056482908	-0.917936710792349	0.148128418854873	-6.19689805567754	5.75867725589829e-10	1.36204883321549e-07
LOC84856|84856	134.67516684285	-4.163315048413	0.672237245041466	-6.19322282292793	5.89463038056564e-10	1.37484066640054e-07
PIF1|80119	82.3265080747406	-2.28570593596286	0.36930027314697	-6.18928850630235	6.04363800913407e-10	1.39028511078614e-07
SLC22A5|6584	819.603497813791	1.13521691049294	0.184952723106483	6.13787616330125	8.36320138896131e-10	1.89788163411929e-07
CYP2U1|113612	823.810122970524	1.40455659710798	0.229238583397567	6.12705146005926	8.95225249880772e-10	2.00446901616637e-07
GLYATL1|92292	11.0241325937173	4.23922276033235	0.693194433727352	6.11548874900477	9.62614744982325e-10	2.12699860690634e-07
DCLK2|166614	540.345358868444	1.84069994341808	0.30121064648055	6.11100558670636	9.90052998225376e-10	2.13153333323061e-07
ZFAND2B|130617	947.046151137865	-0.809926662838637	0.132534065352619	-6.11108291806904	9.89573306736324e-10	2.13153333323061e-07
FAM199X|139231	1122.53219795316	1.14362962533064	0.18741070837459	6.10226403415963	1.04576432539694e-09	2.22297725523934e-07
DTYMK|1841	959.879289058089	-1.29494111357882	0.212822891431109	-6.0845950586946	1.16786096947108e-09	2.45148615754099e-07
NCOA2|10499	551.225813328953	2.10589537950663	0.346294408970511	6.08122835643575	1.1926528889635e-09	2.47261974868693e-07
FAM196B|100131897	130.845489069734	4.06907918968146	0.669756960674049	6.07545636492723	1.2363559709605e-09	2.53196656345605e-07
CX3CR1|1524	234.92684196691	3.29522804795029	0.544131910132108	6.05593604526933	1.39603462953911e-09	2.8245312691386e-07
POLR2G|5436	1614.8793551592	-0.867149846687907	0.143236542976629	-6.05397078613795	1.41318249838377e-09	2.82518734468554e-07
IGF2BP1|10642	63.5093693583821	-4.78421788142662	0.790737929463468	-6.05032047049117	1.44557978116174e-09	2.85595544294696e-07
MRPL53|116540	1721.75584797758	-0.966678473592637	0.159889547319149	-6.045914131354	1.48565210999449e-09	2.87281857053311e-07
VWCE|220001	185.346166547841	-2.12441631915444	0.351397370196653	-6.04562384165127	1.48832975428084e-09	2.87281857053311e-07
THAP4|51078	1663.37008420292	-0.735873208910091	0.122128482703418	-6.02540204071084	1.68689764695042e-09	3.21909911195891e-07
MAN2A1|4124	1713.09268240807	1.7542341113466	0.291588176784925	6.01613594449859	1.78629575961143e-09	3.33302941012831e-07
TMEM150C|441027	711.485137917449	2.02081135973327	0.335832443426267	6.01732024195258	1.77328056097448e-09	3.33302941012831e-07
ENSA|2029	5671.71812302817	-0.766391979599243	0.127758161209626	-5.9987712122887	1.98816240673949e-09	3.6689243182831e-07
EIF3F|8665	3133.11034907711	-0.808581485200906	0.134885572177006	-5.9945735644716	2.04020094732246e-09	3.72403201178109e-07
RAPGEF6|51735	330.770269495368	1.8093158961278	0.302797121356716	5.975340478869	2.29610122316541e-09	4.14606750974373e-07
C4orf12|404201	113.419581102939	1.82164543043042	0.305253903777285	5.96764007892755	2.40709612883195e-09	4.25498582015525e-07
CAMTA1|23261	988.132283142874	-0.759518858747418	0.127236919894741	-5.96932760849403	2.38233327847329e-09	4.25498582015525e-07
C19orf33|64073	85.0375932548064	-4.4032706462246	0.740155148563604	-5.94911844465298	2.6959050655558e-09	4.66725090369883e-07
FAM186B|84070	64.8284648366255	1.87272409353714	0.314751327709893	5.94985287961432	2.68383616912845e-09	4.66725090369883e-07
ANKRD39|51239	497.818050065764	-1.15218424023022	0.193741299196872	-5.94702443416266	2.7306066366889e-09	4.67908951529763e-07
TTC37|9652	2734.07937986887	1.07974741571909	0.181680929921821	5.9430971438979	2.79686570598828e-09	4.74421876774356e-07
CAPN12|147968	280.180226337798	-1.83058238063479	0.30829095347508	-5.93784008255944	2.88801534003355e-09	4.84984416051835e-07
RGS7BP|401190	85.8396830801423	3.44890561898094	0.581249092925156	5.93361032466167	2.96344706285061e-09	4.92724421053964e-07
SPOCK1|6695	14513.0397641248	2.93070347750297	0.494146183654109	5.93084308742613	3.01383128040213e-09	4.96188908743068e-07
ILKAP|80895	807.025722413822	-0.735908917822535	0.124236404382227	-5.9234563450374	3.15244443945654e-09	5.13970868658191e-07
PPP1R14B|26472	1843.24548714274	-1.11240582670313	0.188027047034111	-5.91620112239133	3.29462312385926e-09	5.31986597297774e-07
ZDHHC16|84287	1097.00128261952	-0.938098681755004	0.158612208031003	-5.91441663539314	3.33053867589096e-09	5.32664152230828e-07
SUMO1P3|474338	308.473812674535	-0.768490989693576	0.130093444029426	-5.90722303823207	3.47922567717093e-09	5.51194686761618e-07
ADAT1|23536	340.91482117962	1.52713737108128	0.258758008875231	5.90179750462386	3.59562322875737e-09	5.59086119264097e-07
KLHL11|55175	21.7655669685394	1.65602648431298	0.280570195772929	5.90236065434845	3.5833674635482e-09	5.59086119264097e-07
SPRR2D|6703	136.501423451948	-4.67983787415595	0.793217775495826	-5.89981467728792	3.63910090152321e-09	5.60655242562195e-07
C20orf94|128710	16.803226169319	1.84405890057871	0.312813614262712	5.89507238975219	3.74517157934577e-09	5.71751512108669e-07
ADCY8|114	85.2443767237696	5.91454355051224	1.00716925849351	5.87244249229666	4.29420693126959e-09	6.49663216187479e-07
ORMDL1|94101	1443.48139227856	-0.698592646818946	0.119054738306796	-5.86782732677736	4.41542728357937e-09	6.62038128331681e-07
ALDH6A1|4329	702.251644974211	1.57162618445277	0.267918867380845	5.86605265921312	4.46292110118796e-09	6.63237469488932e-07
KIAA0232|9778	3161.59298880246	1.04349623372561	0.178006161495181	5.86213547306821	4.56951963932268e-09	6.68873915479834e-07
SLC9A7|84679	93.2095813149829	2.49857393719048	0.426251479794507	5.86173668744806	4.580509752884e-09	6.68873915479834e-07
LOC100130932|100130932	126.279248417062	-0.973646112446426	0.166189575626878	-5.85864732353859	4.66652527657417e-09	6.75559991116466e-07
VPS72|6944	1361.128773899	-0.907351068449504	0.155041694649344	-5.85230360453458	4.84810576778153e-09	6.95848206481668e-07
CSMD2|114784	87.7152662989976	2.59827681635595	0.444261102320224	5.84853547336475	4.95919890448482e-09	6.99830480697594e-07
POLR2L|5441	3252.90899750906	-0.936179953571517	0.160050889513309	-5.84926429598924	4.93752009203446e-09	6.99830480697594e-07
KLRC2|3822	22.806504358102	-5.11960295817973	0.876855959725444	-5.83859059335441	5.26442550689042e-09	7.36712479476756e-07
BANK1|55024	260.649300370123	2.70718416413445	0.463884980549335	5.83589527069531	5.35024961043109e-09	7.42535055437763e-07
C15orf63|25764	1754.15766544183	-0.945227196776499	0.162100537986509	-5.83111696307366	5.50575735405733e-09	7.52080900969196e-07
DNAJB14|79982	558.643479686444	1.05466514245627	0.180871132521518	5.83103078834757	5.50860184715126e-09	7.52080900969196e-07
PHKG1|5260	139.01934611778	2.94550529234331	0.505370640582993	5.82840603669693	5.59592903553558e-09	7.57842228175395e-07
METTL12|751071	104.043538301604	-1.41048030775819	0.242408950316195	-5.8185983063677	5.93431545946768e-09	7.91927487382042e-07
TMEM100|55273	610.014340467564	2.58094585968827	0.443584665043925	5.81838386913735	5.9419319603488e-09	7.91927487382042e-07
TAF1L|138474	28.4955331637584	1.34928008666404	0.232499952499256	5.80335639710874	6.50004242816756e-09	8.59489862174943e-07
RPL37A|6168	23434.8419105015	-1.10435921713224	0.190418082908961	-5.79965516016792	6.64514277459103e-09	8.71811582919587e-07
NT5C|30833	788.536581377643	-1.24830489029818	0.215617339340993	-5.78944575660505	7.06190575448829e-09	9.12235256424014e-07
WDR75|84128	1053.97863831468	-0.698473998200606	0.120630581259223	-5.79019010693195	7.03068022827729e-09	9.12235256424014e-07
BAALC|79870	1715.39779553489	2.23316067931121	0.385985238422899	5.78561161674396	7.2248968160275e-09	9.26165589553816e-07
NFATC2|4773	17.1681306687608	2.74662282070277	0.474935415430567	5.78315015361139	7.33145674163318e-09	9.32705705017014e-07
DEDD|9191	1137.05720761533	-0.643747385564444	0.111427659587084	-5.77726740335362	7.59235717169965e-09	9.45438526262909e-07
RPS25|6230	12783.5145391895	-0.887442993188536	0.153570504756556	-5.7787333224914	7.52651136605295e-09	9.45438526262909e-07
TMEM179B|374395	2008.10255338125	-0.803045075182486	0.139005158740472	-5.77708829268561	7.60044072205637e-09	9.45438526262909e-07
SLC5A6|8884	964.60788837941	-1.16647940421203	0.202288876216275	-5.76640409512635	8.09807573034288e-09	9.99933718673882e-07
ATP2B1|490	2582.40339629414	1.65158970625493	0.286678001665368	5.7611316412858	8.35518409908962e-09	1.02415041296359e-06
DPY30|84661	1546.58065499078	-0.755722111286319	0.131311510518991	-5.75518557588311	8.65466669285795e-09	1.05317259255916e-06
PMF1|11243	1483.26802330896	-0.780797959328285	0.13575269770197	-5.75162020752208	8.83921964867273e-09	1.06088270930754e-06
TMED7|51014	4988.01102432651	0.717716586182262	0.124787252475563	5.75152166542661	8.84437440022956e-09	1.06088270930754e-06
PSMD13|5719	3309.94788567184	-0.792775292842547	0.138045938991938	-5.74283675877523	9.31034724057366e-09	1.10885575326917e-06
CTSO|1519	1679.95417669891	1.24042348721688	0.216235164008125	5.73645592245244	9.66781950988489e-09	1.1353265246818e-06
TIMM8B|26521	1564.25712513848	-1.03601256239787	0.180572998985012	-5.73736144507331	9.61628910954686e-09	1.1353265246818e-06
CLINT1|9685	3818.26750362241	0.937814978121039	0.163810776208828	5.72498952648575	1.03440122181592e-08	1.19812485535751e-06
SPNS3|201305	158.533822013965	3.49241243454418	0.610031686804124	5.72496889930501	1.03452691018186e-08	1.19812485535751e-06
EIF2B4|8890	1147.29457158535	-0.671797928077014	0.11742221941508	-5.72121640540835	1.05764080458548e-08	1.2165042487263e-06
HN1|51155	2392.74153427555	-1.3412388929622	0.234945542847087	-5.70872244141757	1.13827341789799e-08	1.30034187120822e-06
SNCAIP|9627	482.18246687417	3.56601255918856	0.625453501781097	5.70148308232933	1.18769524636156e-08	1.34763285622632e-06
LOC151534|151534	239.142715697032	-2.37426197153019	0.41652461280252	-5.70017208720355	1.19686545976851e-08	1.34892360173775e-06
RAI2|10742	751.455530584157	2.31192930163909	0.405872054230172	5.69620223305146	1.22505556269598e-08	1.37149053762358e-06
PFDN2|5202	2030.54455503542	-1.05725880266827	0.18574447172777	-5.69200683516335	1.25554826533659e-08	1.39631933905943e-06
FAM189B|10712	2217.31646858655	-1.6359698586992	0.287665498229071	-5.68705621206078	1.29247923168672e-08	1.42793445642863e-06
ERVFRDE1|405754	239.558588535343	-3.74929394949691	0.659799288650481	-5.68247649548929	1.32758163584604e-08	1.45712930789298e-06
EIF4E2|9470	2375.56592091406	-0.771714856759714	0.13588827561884	-5.67903929345852	1.3545336339118e-08	1.46752795576006e-06
LAMA1|284217	164.767015444317	-4.1757432384947	0.735286792327458	-5.67906738169049	1.35431124745062e-08	1.46752795576006e-06
GABRB2|2561	164.009359404166	3.51179246859006	0.619136586384621	5.67208035483217	1.41073773218111e-08	1.5186229959306e-06
C8orf37|157657	142.568486423797	1.20493918327282	0.212699703993372	5.66497818591403	1.47043241761155e-08	1.57280073814973e-06
SF3B4|10262	2762.54442929256	-1.01904138870695	0.179973515794846	-5.66217414938189	1.49467018533621e-08	1.58860736850322e-06
FAM20A|54757	218.05695123456	-3.30193920491691	0.583532400685665	-5.65853618588626	1.52669529403577e-08	1.59894099648438e-06
GPM6B|2824	33.0046007760568	2.08595018185244	0.36868355581342	5.65783352406441	1.5329571871255e-08	1.59894099648438e-06
SLC25A46|91137	1141.26914291066	0.894673397625845	0.158084180164522	5.65947457041393	1.51837145038951e-08	1.59894099648438e-06
C20orf160|140706	407.911879836289	-2.28128732031919	0.40330072792707	-5.65654153922509	1.54453610285318e-08	1.60107375155639e-06
B3GALT2|8707	97.8567376775946	3.71779910876078	0.658838575666072	5.64295905867709	1.67152105583342e-08	1.68082952638387e-06
CLCN3|1182	1776.15033817173	1.06197736472061	0.188109137890453	5.64553841791067	1.64665093678777e-08	1.68082952638387e-06
GPBAR1|151306	26.8235114178326	-1.87182816921796	0.331676270543062	-5.64353960611401	1.66589181524273e-08	1.68082952638387e-06
PCDHGA9|56107	113.413448995564	2.65903257150906	0.471174930478328	5.64340842329972	1.6671622085412e-08	1.68082952638387e-06
PRRX1|5396	1168.91953312844	2.92937155974633	0.518909673241797	5.64524369230891	1.64947438498066e-08	1.68082952638387e-06
GPR137|56834	1522.06057852916	-0.981026356605735	0.173969476720543	-5.63907172165388	1.70969319219034e-08	1.70898082002693e-06
HDX|139324	72.5631854761415	1.2546300243702	0.222659995872948	5.63473478678271	1.75327946288987e-08	1.7421788177698e-06
PRRG1|5638	503.73315581656	1.35958002281395	0.241521348979598	5.62923331025613	1.81012413429287e-08	1.78808321101059e-06
LOC647121|647121	299.085613863427	3.08729374539477	0.548539173017081	5.62821015756086	1.82089155839158e-08	1.7882006982497e-06
PTPRG|5793	942.757821659954	1.31120083560822	0.233429349911523	5.6171207095646	1.94165782415331e-08	1.89571278145387e-06
HMGA2|8091	617.223066964987	-3.52584738235416	0.628096002791217	-5.61354851278391	1.98218995356398e-08	1.92409918440461e-06
MTM1|4534	837.127285863584	1.26472453859074	0.225395625389483	5.61113169967384	2.01007709927497e-08	1.93995544414509e-06
CNTN4|152330	139.312948642498	2.52727588050002	0.45088088103718	5.60519637622784	2.08018978017694e-08	1.99615011305779e-06
POLR2D|5433	1014.10191553338	-1.01604652537216	0.181388755900554	-5.60148571683909	2.12522302461227e-08	2.02777671888147e-06
C17orf53|78995	127.513899748161	-1.63203785191403	0.29178159703321	-5.59335430509784	2.22724131517586e-08	2.08950074892448e-06
LYRM4|57128	741.716084690766	-0.891287653241684	0.159318128616005	-5.59438942061578	2.21399522316118e-08	2.08950074892448e-06
SNRPG|6637	1482.81375636733	-0.878631435024888	0.157067254998574	-5.59398224049224	2.21919664708563e-08	2.08950074892448e-06
CHST4|10164	119.576237791958	3.29121780358904	0.589521569324374	5.58286240037148	2.36591929147947e-08	2.20727125898971e-06
RPLP2|6181	16648.7278027427	-1.00093232711446	0.179460166555133	-5.57746237690557	2.44052545812061e-08	2.26429524962538e-06
BBS10|79738	905.973307630375	0.823469576835712	0.147723238201198	5.5744078376765	2.48373250849927e-08	2.28755325829628e-06
EML3|256364	811.363889971062	-1.05671537440697	0.189587162326089	-5.57377072076971	2.49283776733293e-08	2.28755325829628e-06
SUMO1|7341	4440.6803177303	-0.739346603435858	0.132695620025226	-5.57174836136494	2.52195513764097e-08	2.30169525143504e-06
C18orf21|83608	538.405310761577	-0.688772149234411	0.12364456691161	-5.57058159884044	2.53890372210128e-08	2.3046383894728e-06
DHRS2|10202	2000.67310390085	-3.58084040159874	0.643311728651297	-5.56626009152044	2.60264686683652e-08	2.34979832445084e-06
FBXO22OS|692224	121.626592329006	-1.18812529038064	0.213542428253198	-5.56388395551949	2.6383542960235e-08	2.35813296610877e-06
RAPGEF2|9693	1182.79993578094	0.947650968948015	0.170325097590979	5.56377763671516	2.63996306573244e-08	2.35813296610877e-06
TAF1D|79101	758.657653181562	-1.00132983583349	0.180082256974804	-5.56040252190746	2.69153150876094e-08	2.39147558871018e-06
GLIS1|148979	11.6866374800909	-3.80703328538144	0.684958386445596	-5.55805047535369	2.72804502412961e-08	2.4111610573794e-06
SERF2|10169	24841.4677890283	-1.13210459078078	0.203831298497391	-5.55412539254991	2.79005153839356e-08	2.45305421383472e-06
C2CD4A|145741	102.175171421064	3.34846207917883	0.603122532377758	5.55187693946338	2.82618528233537e-08	2.45907406457295e-06
DMXL1|1657	1560.17499778515	0.875168408408393	0.157612107585539	5.55267245527711	2.81334934979311e-08	2.45907406457295e-06
CDAN1|146059	1066.83810557535	-0.862736333541287	0.155592339283048	-5.54485097091976	2.94204642628632e-08	2.53654381410309e-06
SF3B14|51639	2134.41786672749	-0.680034180116867	0.122666714857381	-5.54375472521224	2.96053467256718e-08	2.53654381410309e-06
ZNF699|374879	24.810641413378	1.55352654010407	0.280216557937895	5.54402120822703	2.95603007834712e-08	2.53654381410309e-06
PNKD|25953	2668.67054387453	-0.966546366776973	0.174387514926023	-5.54252044469463	2.98148579787429e-08	2.5415274621169e-06
KIAA1239|57495	58.4721281980726	5.31917669472833	0.960264102840054	5.53928516019339	3.03708769272491e-08	2.57584917292572e-06
C11orf48|79081	1316.99776828975	-1.236424728458	0.22331771052467	-5.53661742972869	3.08369111669265e-08	2.59120292742439e-06
MAD1L1|8379	773.776846548723	-0.65817685557493	0.11887994805577	-5.5364833711583	3.08605124447614e-08	2.59120292742439e-06
EMB|133418	4964.86985911754	3.36033970453868	0.60708233760733	5.53522890779965	3.10822141278053e-08	2.59683393954346e-06
