Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	2170.93732039875	5.03980069630783	0.0971586592641154	51.8718633468137	0	0
KRT16|3868	5906.84376998528	-6.06881911405455	0.191598340459216	-31.6746956132763	3.46684736214652e-220	3.0475321736949e-216
ART3|419	484.462594822273	-7.12634889508368	0.225383128052859	-31.6188215003048	2.03532835036428e-219	1.19277025759181e-215
EN1|2019	1251.88798108088	-4.53666523785061	0.147200487120126	-30.8196346806133	1.43012957080145e-208	6.28577699606507e-205
TTYH1|57348	1185.1971603992	-5.2906379753212	0.172121585423301	-30.7377948112078	1.78025986443047e-207	6.25974973531041e-204
FOXC1|2296	2273.00166458615	-3.61952764813636	0.118130671988563	-30.6400326621927	3.58790070064438e-206	1.05131470363381e-202
FZD9|8326	146.998056379472	-4.56131423756438	0.152944426875614	-29.8233438821146	1.94637567840457e-195	4.88846154314724e-192
SCRG1|11341	478.012294222006	-6.17045687082587	0.207623775272157	-29.7194136978654	4.31031902014923e-194	9.47246483665545e-191
SPTLC2|9517	6500.41012474896	1.49179432484669	0.0503279769625239	29.6414522276055	4.37093867643413e-193	8.5383858744876e-190
ROPN1|54763	436.677628758185	-5.98310881390938	0.202120724104971	-29.6016593073457	1.42256450519331e-192	2.50101065658035e-189
SOX8|30812	594.802601337325	-4.80424926824794	0.163175342733552	-29.4422502062262	1.58208989213876e-190	2.52861112669923e-187
NCAN|1463	170.904366241731	-7.20728668523514	0.255649062599362	-28.1921107472629	7.30638992604364e-175	1.07044701074811e-171
ROPN1B|152015	443.209745751492	-5.29080401031538	0.189861339154249	-27.8666738256648	6.7651834789616e-171	9.14913005720183e-168
FAM19A3|284467	91.5216869310676	-4.33406514003001	0.156325597848026	-27.7246030061144	3.52777180237922e-169	4.43012543268779e-166
MSLN|10232	2267.7482192932	-6.30904670335411	0.228750797743106	-27.5804358524658	1.91034007548102e-167	2.23904592446879e-164
SFRS13B|135295	108.85346897533	-3.2496870557595	0.119012522898527	-27.3054211154759	3.65732034976751e-164	4.01870931682891e-161
DLX6|1750	56.575788121458	-5.5058484492308	0.20189848947181	-27.2703796033083	9.52786575012557e-164	9.85349457370339e-161
CHODL|140578	165.919150602856	-4.09513890282012	0.150241087126014	-27.2571170853238	1.36848837394671e-163	1.3366330056865e-160
LEMD1|93273	82.92997184959	-5.9138859826909	0.217269116110088	-27.2191744900108	3.85195942981076e-163	3.56427888081594e-160
IL6ST|3572	9632.22236563528	3.13150870172109	0.115916033697902	27.015319639752	9.76584775823137e-161	8.58466847187328e-158
AMY1A|276	223.860712386304	-5.21003612748496	0.193462988614626	-26.9304023720176	9.67850646414578e-160	8.10275343553081e-157
HAPLN3|145864	2038.2310568312	-2.75388579590851	0.102851827899724	-26.7752732464166	6.27237941509078e-158	5.01248647712322e-155
MIA|8190	1278.95369050891	-4.80969678277198	0.180565167463415	-26.6369026226861	2.53828956745949e-156	1.94024647328284e-153
VGLL1|51442	1073.26608561684	-5.88916595385241	0.222526169626623	-26.4650488692356	2.44895032447637e-154	1.7939581522758e-151
IGF2BP3|10643	180.65783220127	-3.7461835705957	0.141826611000298	-26.4138270256477	9.50547618583997e-154	6.6846310729301e-151
TSIX|9383	1228.98500980786	-4.14825837637266	0.157441469803074	-26.3479398506712	5.4191299301103e-153	3.66437397312574e-150
BAIAP2L2|80115	120.614397655657	-3.44139431514799	0.130640081172646	-26.3425610598024	6.24539534249545e-153	4.06667761171898e-150
COL9A3|1299	1195.75632030383	-4.42207704933326	0.167996039191918	-26.3225077841358	1.05979159983521e-152	6.65435575596528e-150
