Lgroup	TCGA.W5.AA2H.01	TCGA.W5.AA38.01	TCGA.W5.AA2I.01	TCGA.W5.AA2T.01	TCGA.W5.AA34.01	TCGA.W5.AA36.01	TCGA.W5.AA2X.01	TCGA.4G.AAZO.01	TCGA.W5.AA2W.01	TCGA.W5.AA2Q.01	TCGA.ZH.A8Y1.01
Hgroup	TCGA.3X.AAVB.01	TCGA.ZH.A8Y4.01	TCGA.3X.AAVE.01	TCGA.W5.AA33.01	TCGA.ZH.A8Y6.01	TCGA.W5.AA31.01	TCGA.W5.AA2G.01	TCGA.3X.AAVC.01	TCGA.W5.AA2R.01	TCGA.W5.AA39.01	TCGA.ZH.A8Y2.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	84.35984330394	5.91559800963645	0.528457364362207	11.1940875623447	4.35866293240939e-29	7.49907957521035e-25
HSD17B6|8630	1838.23844315217	6.54832741179436	0.920130911114596	7.1167345132032	1.10514064691332e-12	9.50697241507187e-09
BHMT|635	834.50788343267	6.5822798114487	0.942361876109191	6.9848748960702	2.85109925687334e-12	1.63510542381686e-08
SCG3|29106	368.246754671447	7.19955611461317	1.0561749858113	6.81663191358656	9.31996497391617e-12	4.00874993440569e-08
AQP9|366	998.125064031093	4.81913289623735	0.714995416592733	6.74008921512061	1.58289408214392e-11	5.44673853665724e-08
SLC38A4|55089	1179.46078327476	6.94889729407375	1.04774992716549	6.63220976103793	3.30698163369822e-11	9.48276983462963e-08
ACSM5|54988	271.744076147317	4.43976755578596	0.672568005349069	6.6012173051284	4.07795282979971e-11	1.00230254909577e-07
HAO1|54363	643.237315981901	6.84758036286812	1.05148504848188	6.5122945616341	7.40114003758378e-11	1.59170767933286e-07
PRG4|10216	1318.78400801733	5.11620288522159	0.815121366808967	6.27661486196893	3.46023784592741e-10	6.6148213487979e-07
AHSG|197	5368.28599208661	6.34873368379637	1.04326904433941	6.08542323597488	1.16183981320635e-09	1.6657878321846e-06
C6orf142|90523	96.0205012697655	5.50481339227619	0.901336099232054	6.10739256639819	1.0127193525118e-09	1.6657878321846e-06
CCL19|6363	466.161265336376	6.01124337459149	0.986583940652027	6.09298725318669	1.10822889945977e-09	1.6657878321846e-06
TNNI2|7136	425.0345768815	-5.26106906402314	0.869207170153503	-6.05272165793804	1.42418829861479e-09	1.75022569126196e-06
VSTM2L|128434	355.341656617244	5.03410885862385	0.830470991843353	6.06175159405616	1.34647058086958e-09	1.75022569126196e-06
CYP3A4|1576	1680.17664198734	5.97591667058882	1.00602997321252	5.9400980385367	2.84851674973038e-09	3.26724871194075e-06
SERPINC1|462	1940.31731987295	6.03686572214372	1.0210413961411	5.9124593233529	3.37037095684021e-09	3.4611215267491e-06
ZIC1|7545	46.86195101754	6.48660657237074	1.09755387145509	5.91005757537086	3.41988177592181e-09	3.4611215267491e-06
HMGCS2|3158	9935.12766957203	6.22995078070604	1.06385693828738	5.8560042769803	4.74136012505804e-09	4.29342636587493e-06
ZBTB16|7704	215.945539540224	4.48487578391689	0.765389286505499	5.85960094162446	4.63980785276439e-09	4.29342636587493e-06
PLAC4|191585	840.431578495443	6.1855974127566	1.06504216911829	5.80784272408427	6.32829188322983e-09	5.44391309254846e-06
PIPOX|51268	1211.88095874683	4.24512697408782	0.735378425472461	5.77271079357602	7.80062644058439e-09	6.39094180525021e-06
FMO3|2328	2225.81996701359	4.86865829710059	0.845934458313877	5.75536112668213	8.64567714973408e-09	6.76131251641704e-06
LOC96610|96610	13799.7413227815	3.85303739961122	0.675992855208295	5.69981970952041	1.199341996781e-08	8.59778293942377e-06
PLG|5340	10585.7334488669	8.46956901528737	1.48417843750036	5.70657058564452	1.15275114985797e-08	8.59778293942377e-06
LEPR|3953	1141.90892058543	3.11886764212931	0.549246438397279	5.678448550764	1.3592190224741e-08	9.21034196434964e-06
SUSD3|203328	289.845034681911	3.32610500077547	0.586161047445003	5.67438763676555	1.39185638519669e-08	9.21034196434964e-06
CPS1|1373	1478.50767363019	5.31198975512197	0.948418185302787	5.60089403328564	2.13249074371291e-08	1.35887049057706e-05
KLB|152831	297.458185344612	4.72728830448154	0.851942102546541	5.54883752117803	2.87575272973669e-08	1.76704734696856e-05
SAA2|6289	2507.75657891212	5.56700484982112	1.00905643317036	5.51704014445468	3.44756703694164e-08	2.0453583058821e-05
ARG1|383	986.48525402326	6.5100030499641	1.18370278082047	5.49969397339067	3.80450970985595e-08	2.15050168596696e-05
GYS2|2998	117.486059142241	5.93467130837425	1.07972492129373	5.49646598993316	3.87477781255308e-08	2.15050168596696e-05
CYP2A6|1548	1016.81734696042	6.55659021823094	1.19456126802487	5.48870149546355	4.04899207341487e-08	2.17696589447196e-05
DPYD|1806	752.886007686627	1.96888626422778	0.360213630388896	5.46588495860671	4.60603003399276e-08	2.40141656772259e-05
CYP7A1|1581	28.221625502549	6.35883177926601	1.16470726291469	5.45959657137621	4.77217707985779e-08	2.41486196055745e-05
C6|729	4077.62214259669	4.70405777503668	0.868953747560498	5.41347314312512	6.18138694236268e-08	2.79870427219342e-05
