Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	84.8691935707479	5.89910372378616	0.528209965363207	11.1681038045729	5.841457600173e-29	1.00502278010976e-24
HSD17B6|8630	1844.87844638679	6.5728919684716	0.922149391188195	7.12779516126166	1.01989401478488e-12	8.77363826218691e-09
SCG3|29106	371.156316378498	7.09255879319455	1.04402355567148	6.79348541004217	1.09456312316428e-11	6.27731951134715e-08
ACSM5|54988	272.92108257967	4.47771883472947	0.672180984111476	6.66147799561505	2.71087391934369e-11	8.24310217871698e-08
BHMT|635	838.866660823888	6.63508334116635	0.997329111236955	6.65285236980305	2.87466510155779e-11	8.24310217871698e-08
SLC38A4|55089	1184.12210375684	6.92245607785776	1.03322099211358	6.69987943595396	2.08591565583419e-11	8.24310217871698e-08
AQP9|366	1005.88980351366	4.72758996795572	0.721263729884393	6.55459268513818	5.5793953194418e-11	1.37133566387137e-07
HAO1|54363	645.795008417419	6.89291276076219	1.09617470946101	6.28815160691987	3.21268093405038e-10	6.86426609298986e-07
PRG4|10216	1323.21887710483	5.13219553245434	0.818420461908372	6.27085437293101	3.59072332676017e-10	6.86426609298986e-07
RBM17|84991	2724.61213135227	-0.619871255604528	0.102661453997979	-6.03801360164576	1.56022916976845e-09	2.4403402605333e-06
VSTM2L|128434	359.386618046827	4.88791891894409	0.808816191426673	6.04330003621994	1.50993483549208e-09	2.4403402605333e-06
AHSG|197	5392.31984815242	6.38161382950726	1.06053018643589	6.01738065651284	1.77261909971651e-09	2.54149263421855e-06
C6orf142|90523	96.2814271236756	5.67230712819217	0.94726183640851	5.98810900025108	2.1229477744279e-09	2.80963972761785e-06
FMO3|2328	2222.61949603164	5.11572308591565	0.856293009917941	5.9742670168543	2.31126978811129e-09	2.82297577759361e-06
LOC255167|255167	162.256667167611	4.60052586556562	0.771381015868907	5.96401229862191	2.46118202056984e-09	2.82297577759361e-06
CYP3A4|1576	1691.59643410006	6.00844858954949	1.02021441491632	5.88939785764769	3.87605283386889e-09	3.33437445033571e-06
PIK3C2G|5288	60.898717762925	5.46463062018622	0.92325595375251	5.91886854124862	3.24163930242682e-09	3.33437445033571e-06
PLAC4|191585	844.059879778521	6.28085410532973	1.06479871381757	5.89863043956103	3.6653114609639e-09	3.33437445033571e-06
SERPINC1|462	1952.27447883816	6.11290185050792	1.03681131481825	5.89586722592768	3.7271859334202e-09	3.33437445033571e-06
ZIC1|7545	47.1556216225071	6.49196586977398	1.09794864118521	5.91281379315346	3.36312309141342e-09	3.33437445033571e-06
FREM1|158326	34.1297203206003	3.45200482841335	0.598364727611942	5.7690647010398	7.97126979598411e-09	6.28432362878697e-06
PIPOX|51268	1219.13122379601	4.2017348606306	0.72849316373166	5.76770664409187	8.03575238787058e-09	6.28432362878697e-06
GPR158|57512	18.0941616473704	7.02763179282661	1.22556064857525	5.73421788713305	9.79633312157717e-09	7.32808310246675e-06
ITGA9|3680	156.990629029846	2.64120554637412	0.4653158094893	5.67615690787066	1.37754431234941e-08	9.87527078915482e-06
GYS2|2998	118.228218985504	5.90527361424681	1.04822691126126	5.63358329270653	1.76503209638915e-08	1.21469508873502e-05
SUSD3|203328	292.193289093395	3.28945491897029	0.584850027454757	5.62444176208021	1.86108825972851e-08	1.2315393657165e-05
CPS1|1373	1487.31174399915	5.35945531602039	0.956621371474597	5.60248336053687	2.11302326579143e-08	1.34646538103487e-05
PPIP5K2|23262	1373.37533521554	0.817566749479682	0.146160674036276	5.59361644211332	2.22387956335423e-08	1.36649456741105e-05
HMGCS2|3158	9998.22089544143	6.23532874592495	1.11844987905809	5.57497377636277	2.47567155813333e-08	1.41979763858947e-05
KLB|152831	298.867786689145	4.70507278565193	0.843738768422819	5.576456791771	2.45466847722022e-08	1.41979763858947e-05
CYP7A1|1581	28.4381759668865	6.20143896034703	1.12041239916271	5.53496102415631	3.11297570948883e-08	1.7277015187663e-05
TBX18|9096	61.255927287525	4.19768427831618	0.76143556578825	5.51285554145435	3.53058008777597e-08	1.8982384503183e-05
SLC13A2|9058	537.795292917451	6.78143948090675	1.23340778666592	5.49813253509446	3.83834404954635e-08	2.00117301128621e-05
ARG1|383	990.458254235917	6.52075142899592	1.19089363355335	5.47551120039119	4.36250366409829e-08	2.14448215830889e-05
C6|729	4095.92261421076	4.69023686673424	0.856131519258501	5.4784069517689	4.29172173122952e-08	2.14448215830889e-05
LOC254559|254559	80.0247877412027	4.0280144654713	0.736477711809908	5.46929581286632	4.51827108318602e-08	2.15935705517265e-05
ADAM19|8728	536.328656075691	1.22700939390019	0.226511708801511	5.41697998921283	6.06141215602944e-08	2.81855665255369e-05
PLG|5340	10652.7018547753	8.4930562389029	1.57178778358138	5.40343698279111	6.53759303494625e-08	2.9599812675329e-05
A2M|2	19874.2710084896	2.05476677603115	0.380854109873339	5.39515452968201	6.84646033024471e-08	3.02034230722719e-05
UPB1|51733	577.589250752389	5.21708590569443	0.968210723449072	5.38837856196172	7.1096176543713e-08	3.05802429358646e-05
TAT|6898	721.815530944236	4.83419774058323	0.905583650461468	5.33821225473739	9.3867531946758e-08	3.93900216376579e-05
MFAP3L|9848	157.338670505164	2.08399762552713	0.393055870752388	5.30203917712244	1.14516257261388e-07	4.69107668138615e-05
CYP2A6|1548	1023.62666041396	6.65236712491873	1.25578359516796	5.29738336327684	1.17473894218332e-07	4.70032174424746e-05
CYP2B7P1|1556	226.309009257898	4.13368795300859	0.782232600985812	5.28447414208906	1.26066353383109e-07	4.92948093171908e-05
CPLX2|10814	108.729551383069	7.1769809363126	1.36309235808719	5.26521984642621	1.40021694270304e-07	5.25151831301762e-05
SAMHD1|25939	690.223638916983	1.61617167173551	0.307212426534303	5.26076269103993	1.43459087888305e-07	5.25151831301762e-05
SLC16A12|387700	36.0460916745846	2.66270451893069	0.506088546239851	5.26134119950771	1.43008371191265e-07	5.25151831301762e-05
RAPGEF4|11069	308.333811850582	2.64859262666373	0.505593784749951	5.23857829457622	1.61818324291423e-07	5.8001755613207e-05
HPX|3263	9394.27280468463	5.22440402708918	1.00067834928395	5.22086245877867	1.78091776254791e-07	5.95744406744787e-05
MTTP|4547	214.303942359396	4.93568728736957	0.945329477748908	5.2211291444363	1.77835465304871e-07	5.95744406744787e-05
TF|7018	7388.08319523897	4.81826807105467	0.92284921815621	5.22107834764301	1.77884258471407e-07	5.95744406744787e-05
TMEM200C|645369	105.609754767735	3.77762283149615	0.723844704186418	5.21883051661213	1.80056432146056e-07	5.95744406744787e-05
INS-IGF2|723961	139.398746922902	6.30182411095522	1.21086787170842	5.20438625732463	1.94638793602012e-07	6.31841593192947e-05
ADH1C|126	1317.92707861604	4.18227270650369	0.805308705925129	5.1933782358644	2.0651202664694e-07	6.34755553330992e-05
CALCRL|10203	612.416600937187	1.43712093696403	0.276367965837538	5.20002719059285	1.99259374453773e-07	6.34755553330992e-05
ZNF366|167465	27.463563195813	2.27358275685927	0.437791961558101	5.1932948900377	2.06604539299829e-07	6.34755553330992e-05
PEG3|5178	64.3075382892987	2.66484921630978	0.514160107292296	5.18291710794831	2.18442137512508e-07	6.59350346649596e-05
EFR3A|23167	2878.52112504725	0.896156619816914	0.173852211489716	5.1547035964505	2.5403242322607e-07	7.53556524414576e-05
CNTFR|1271	77.568257546094	4.84654751246074	0.942523357996929	5.14209804069019	2.71687267790229e-07	7.92267702089982e-05
RDH16|8608	550.295617275973	4.1310504995259	0.805012422272601	5.13166056228509	2.87197081768238e-07	8.23537631970421e-05
PLGLB2|5342	1296.97850300309	3.18629275152383	0.622489542361071	5.11862856271992	3.07765410274922e-07	8.6804981701312e-05
ITGA8|8516	29.4723114751729	3.07340966730944	0.601607729409789	5.10866053919325	3.24450664486778e-07	9.00350593950808e-05
PALMD|54873	305.356013547996	2.19466672079494	0.430181407188017	5.10172379401727	3.36573714437118e-07	9.19166786808033e-05
CD5L|922	83.3573662132545	5.98430670185947	1.18538362238374	5.04841351682027	4.45494056953673e-07	0.000117918849998276
HSD17B13|345275	458.965739026972	4.21944593312196	0.835428674309369	5.05063575488367	4.40342033471098e-07	0.000117918849998276
LAMA1|284217	1457.23306871228	5.36223111510875	1.06614484669463	5.02955215863332	4.91626755458979e-07	0.000128158156479875
ADRB2|154	36.3862247688908	2.63175327209752	0.524144192990328	5.02104822927244	5.13902526776993e-07	0.000131965566764152
PCSK1|5122	25.2438068576923	5.08054863441787	1.01456687914497	5.00760347972283	5.51119235255306e-07	0.000139441271214229
LRP2|4036	148.807877636216	5.4873349304369	1.099096063136	4.99258901426698	5.95752413812362e-07	0.000148549569270169
ECM2|1842	232.872187753342	1.73294575757724	0.34802873803338	4.97931799359347	6.38087274562291e-07	0.000154623824772454
SAA1|6288	2277.03955094291	4.4731298014439	0.89806936194965	4.98082886574933	6.33125105989552e-07	0.000154623824772454
MOGAT2|80168	13.7026614228665	5.80159628863375	1.1708408870808	4.95506806488332	7.23049737824087e-07	0.000172778760267547
GSTA2|2939	135.465499402745	5.82270382311554	1.18038177081151	4.93289880198035	8.10181362012478e-07	0.000190947538814037
