Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	13.5000669523527	5.35439635956713	0.205934438539545	26.0004902411644	4.88931355545376e-149	8.40228534504728e-145
DDR2|4921	182.48777092358	2.77497800622417	0.158141245821396	17.5474651904427	6.21945040531613e-69	5.34406276076789e-65
TNS1|7145	3062.44361008153	2.4209471161777	0.141910214120384	17.0597101215278	2.9602047129064e-65	1.69570393304322e-61
RNF150|57484	26.6363715342079	3.09156377154973	0.185313828973374	16.6828551796527	1.74667343397744e-62	7.50414574072556e-59
MPDZ|8777	189.587588987483	2.22176221019735	0.134960218406758	16.4623489530905	6.83940282223501e-61	2.35070275000217e-57
NHSL2|340527	21.9750715741765	2.73831302823783	0.168122253156245	16.2876298457229	1.20821685518626e-59	3.46053444272932e-56
EVC|2121	262.717573980565	2.26630622246285	0.139799743715352	16.2110899650668	4.21034665939573e-59	1.03364010488165e-55
MYH11|4629	9839.78136205962	3.38413868612237	0.209065945538496	16.1869436813622	6.23494958854764e-59	1.33934510848989e-55
COL6A3|1293	16338.1472785217	2.15404580985574	0.135456838637924	15.9020824014172	6.12929893717476e-57	1.17035558039276e-53
C20orf194|25943	153.210923552126	2.02547308956821	0.127460686995595	15.890963224121	7.31941696963044e-57	1.25784180623099e-53
GLI3|2737	151.050707648067	2.41840680244584	0.152380705811786	15.8708203217864	1.00913279568092e-56	1.57654064488878e-53
FBN1|2200	3312.6065707778	2.23589182144781	0.141206579126009	15.8341901297146	1.80771625271994e-56	2.58880031691601e-53
AOC3|8639	993.031480094343	2.37334107531108	0.151601526363499	15.6551265164736	3.06503123022556e-55	4.05173551472509e-52
OSMR|9180	384.226023991995	2.15115567849878	0.138416468222232	15.5411831130167	1.8258134649971e-54	2.24118602828394e-51
SYNPO2|171024	1566.35327902654	2.93923644561896	0.189360831999214	15.5218817671395	2.46708607066708e-54	2.82645827496092e-51
BNC2|54796	159.287822680155	2.34268754632674	0.151008404753286	15.5136235638948	2.80587189853893e-54	2.83640638684656e-51
GNAO1|2775	131.708877411303	2.60908307396358	0.168139980079402	15.5173271266684	2.64855718437481e-54	2.83640638684656e-51
LMOD1|25802	909.594755590685	2.61294763592886	0.168513417788093	15.5058728867197	3.16584827754981e-54	3.02250570276075e-51
MRVI1|10335	702.321157812306	1.80520939831315	0.116674598214521	15.4721715432356	5.34723682393078e-54	4.83643499048687e-51
MAP1A|4130	443.625405561772	1.95570684453201	0.126459441996912	15.4650915238086	5.96883706152088e-54	5.12872324511181e-51
ADAMTS12|81792	283.389996786261	2.49468681445642	0.161900263484969	15.4087878596197	1.4286652770898e-53	1.16912441841848e-50
PLXNA4|91584	119.78000744982	2.56099729847481	0.166265424948608	15.4030659066153	1.56089749323589e-53	1.2192737918754e-50
FAM129A|116496	438.981139661623	2.0004500397863	0.130016940730673	15.3860722190825	2.02985876940969e-53	1.51665751966545e-50
LTBP2|4053	1684.98068814405	1.97249115763996	0.128279333929821	15.3765310218953	2.35216792864296e-53	1.61688023414917e-50
ODZ4|26011	158.863247678874	2.26802451308631	0.147474541911826	15.379091765156	2.26096939316326e-53	1.61688023414917e-50
COL8A1|1295	615.360563487815	2.61408972898897	0.170479247251283	15.3337709494684	4.54799464333359e-53	3.00604953637261e-50
SSC5D|284297	466.331685281234	2.50390150708955	0.164109978750846	15.2574604307944	1.46853449486232e-52	9.34695010896631e-50
INHBA|3624	386.818142160991	2.33121658421664	0.153524018840724	15.1847027052828	4.46583365829994e-52	2.74090540778159e-49
C14orf132|56967	187.80040755832	2.15139772687993	0.142823425014584	15.0633394113062	2.82166667233501e-51	1.67208075048542e-48
COL14A1|7373	1372.22682001772	2.26403132629712	0.150753999982647	15.0180514384874	5.59277348711842e-51	3.20372707920433e-48
GAS7|8522	605.973382583044	1.81436413359426	0.121217123096108	14.9678864441925	1.19044739700694e-50	6.59930274760138e-48
TSHZ3|57616	192.55218229937	1.73059590443859	0.1158584753833	14.9371541332059	1.88870619810881e-50	1.01429425045312e-47
AMOTL1|154810	547.5081089403	2.01051135837424	0.134641750342218	14.9323025975534	2.03128868161118e-50	1.05780896949964e-47
BOC|91653	327.629835726395	2.18373212244587	0.146509710180999	14.9050333916302	3.05659768646486e-50	1.54493033064408e-47
JPH2|57158	176.738911289454	2.48707281470915	0.167317701903783	14.8643735026874	5.61375792180294e-50	2.75635513960524e-47
ZEB1|6935	511.061134353606	1.7586093327443	0.118425305982484	14.8499454415969	6.9625297177148e-50	3.32364092219247e-47
SYNE1|23345	553.522449247014	1.9136367477076	0.128989303958934	14.8356234895015	8.61992914216108e-50	4.00360762994698e-47
A2M|2	8936.52115582719	1.5543663388045	0.104805666585247	14.8309379583041	9.24323317858232e-50	4.18013058352466e-47
SVEP1|79987	338.831798487122	1.9978863871192	0.135301878584146	14.7661393029122	2.42194677350038e-49	1.06720911032318e-46
FBXL7|23194	166.715601664058	1.67677283267172	0.113665021789077	14.7518806250108	2.99209276657674e-49	1.28547785484053e-46
MYLK|4638	3315.70744027648	2.14379703672883	0.145821082273602	14.7015575752377	6.29938999249853e-49	2.640366268807e-46
C7|730	373.67368490373	3.27404734928047	0.222919617830069	14.6871207709331	7.79564838541103e-49	3.089772520691e-46
DAAM2|23500	282.351142061758	1.67016924446138	0.113724293446258	14.6861254869052	7.91096833927285e-49	3.089772520691e-46
HEG1|57493	1215.52932035195	1.7442159818771	0.118752664802476	14.6878049833938	7.71734328705517e-49	3.089772520691e-46
SLIT3|6586	401.831204585673	2.36113837209278	0.16080013277244	14.6836842195535	8.20107061686162e-49	3.1318977455726e-46
SYNM|23336	1074.7478519786	2.95216803563518	0.201511754904431	14.6501033502252	1.34510949875386e-48	5.02515363827935e-46
KIAA1644|85352	79.521006394247	2.42377679453827	0.165482494483014	14.6467262420138	1.41364736372017e-48	5.16883615862365e-46
ANTXR1|84168	3701.15849125553	2.09569693334442	0.14331124681275	14.6233947436286	1.99214252816696e-48	7.13228528053108e-46
PLIN4|729359	303.343521496022	3.67958581715859	0.251723500041944	14.6175697403916	2.17009258767321e-48	7.61082471819675e-46
IL1R1|3554	987.711325225035	1.70782688960622	0.116865042579572	14.6136676281393	2.29806199712047e-48	7.89843908410305e-46
CLIP3|25999	335.292221386534	1.67964081867713	0.115032945298411	14.6013893178161	2.75179870467205e-48	9.10319131103315e-46
CNTNAP1|8506	305.104625243712	1.97323048166511	0.135152558705653	14.6000231187823	2.80750153904426e-48	9.10319131103315e-46
ZNF521|25925	151.208613213982	1.84930105278875	0.126660223278179	14.600487863717	2.78842807095139e-48	9.10319131103315e-46
ZEB2|9839	535.214722839028	1.77401236753456	0.121609728040477	14.5877504712788	3.36098407635617e-48	1.06960206207742e-45
ITPR1|3708	366.749439856207	1.53283153846185	0.105312575062194	14.5550665488582	5.42331345600611e-48	1.69453894075391e-45
SDPR|8436	251.755516487764	2.00960667414006	0.138160094395872	14.5454929147769	6.23798938540985e-48	1.91428299264765e-45
CADM3|57863	56.8397325206027	3.48933824060874	0.240179641295633	14.5280350232257	8.04965317633435e-48	2.42689982167203e-45
PEG3|5178	41.6880528033617	2.1913696256988	0.151117938193408	14.5010556119034	1.19300978555665e-47	3.53480571806742e-45
ATP8B2|57198	482.405180505496	1.73824482564486	0.120126851353527	14.4700773062743	1.87261584437977e-47	5.37310377225845e-45
FNDC1|84624	1385.51509394281	2.64586245148294	0.182852166817603	14.4699540483007	1.87597454952288e-47	5.37310377225845e-45
CCDC80|151887	1436.92317476808	2.49334981310263	0.172437221643535	14.4594640840185	2.18492391033247e-47	6.15539629492845e-45
CACNA2D1|781	31.615202082482	2.91437759984233	0.201600946815466	14.4561702009762	2.29200976806952e-47	6.35293352649593e-45
CCBE1|147372	20.0665416401151	3.44376359704089	0.238330715595164	14.4495164563286	2.52451927827881e-47	6.88632758686052e-45
HSPB8|26353	313.017281551133	2.36487665869041	0.163734424044684	14.4433687203433	2.76015032712871e-47	7.41143490182919e-45
MAP1B|4131	436.213809576658	1.89473322698405	0.131257351109455	14.4352541855278	3.10498892756604e-47	8.12836937102554e-45
THSD7A|221981	30.1103818722143	2.48405155361222	0.172086711478022	14.4348830440024	3.12174791089721e-47	8.12836937102554e-45
STON1|11037	231.52700095735	2.06575010074625	0.143160438656789	14.4296156125831	3.36953755058129e-47	8.64261235921484e-45
EVC2|132884	38.5578647981159	1.95584340214887	0.135557488913044	14.4281471856084	3.44203918905515e-47	8.69874168586952e-45
LAMA4|3910	2057.46533690486	1.4220243570837	0.0985808558727233	14.4249544649892	3.60507747280929e-47	8.97873280727936e-45
FIGN|55137	10.1200499691656	2.32388303240118	0.161170437192296	14.418792136355	3.9418054752261e-47	9.67713244168007e-45
ANK2|287	140.77682498392	2.35007832213186	0.163063000753533	14.4120880351268	4.34376777486085e-47	1.05137534099977e-44
EFS|10278	104.981859136349	1.69786119589051	0.118117205894909	14.3743765612025	7.49418590342317e-47	1.78871645486566e-44
ATP10A|57194	176.599184776359	1.82966032935938	0.127669953453785	14.3311740927491	1.39738026422252e-46	3.28958627954301e-44
HMCN1|83872	253.841968824985	2.2605133987204	0.157774513257397	14.327494042289	1.47342009383156e-46	3.37609657499939e-44
