Lgroup	TCGA.4P.AA8J.01	TCGA.BA.4076.01	TCGA.BA.6870.01	TCGA.BA.A6D8.01	TCGA.BA.A6DA.01	TCGA.BB.7870.01	TCGA.BB.A6UO.01	TCGA.C9.A480.01	TCGA.CN.5365.01	TCGA.CN.A49B.01	TCGA.CN.A63U.01	TCGA.CN.A63W.01	TCGA.CQ.6225.01	TCGA.CQ.A4CH.01	TCGA.CR.7385.01	TCGA.CV.5966.01	TCGA.CV.5973.01	TCGA.CV.5977.01	TCGA.CV.6937.01	TCGA.CV.7180.01	TCGA.CV.7432.01	TCGA.CV.A45Q.01	TCGA.CV.A45X.01	TCGA.CV.A461.01	TCGA.CV.A6JD.01	TCGA.CV.A6JM.01	TCGA.CV.A6JN.01	TCGA.CV.A6K1.01	TCGA.CV.A6K2.01	TCGA.D6.A4ZB.01	TCGA.D6.A6EK.01	TCGA.D6.A6EN.01	TCGA.D6.A6EQ.01	TCGA.D6.A6ES.01	TCGA.DQ.7588.01	TCGA.F7.A50J.01	TCGA.F7.A61S.01	TCGA.F7.A61W.01	TCGA.F7.A624.01	TCGA.HD.A633.01	TCGA.HD.A6I0.01	TCGA.IQ.A61E.01	TCGA.IQ.A61G.01	TCGA.IQ.A61I.01	TCGA.IQ.A6SH.01	TCGA.KU.A66T.01	TCGA.KU.A6H7.06	TCGA.KU.A6H7.01	TCGA.MT.A67D.01	TCGA.P3.A5Q5.01	TCGA.P3.A6SW.01	TCGA.P3.A6T0.01	TCGA.QK.A6IH.01	TCGA.QK.A6II.01	TCGA.QK.A6V9.01	TCGA.QK.A8ZA.01	TCGA.QK.AA3K.01	TCGA.T2.A6WZ.01	TCGA.TN.A7HL.01	TCGA.UF.A719.01	TCGA.UF.A7JF.01	TCGA.BA.5152.01	TCGA.CQ.7068.01	TCGA.CV.7407.01	TCGA.BB.7872.01	TCGA.CQ.A4CG.01	TCGA.CV.6003.01	TCGA.CV.A45U.01	TCGA.CQ.A4CI.01	TCGA.CN.6995.01	TCGA.BB.4224.01	TCGA.BB.A5HY.01	TCGA.CN.4730.01	TCGA.CV.6952.01	TCGA.HL.7533.01	TCGA.UF.A71E.01	TCGA.BA.A6DJ.01	TCGA.CQ.5327.01	TCGA.CQ.7065.01	TCGA.T2.A6WX.01	TCGA.BB.4227.01	TCGA.MZ.A5BI.01	TCGA.CV.5979.01	TCGA.CV.A6JU.01	TCGA.CV.A465.01	TCGA.BA.7269.01	TCGA.MT.A51W.01	TCGA.CV.5442.01	TCGA.CV.7427.01	TCGA.QK.A6IG.01	TCGA.BA.6868.01	TCGA.F7.A622.01	TCGA.MT.A67F.01	TCGA.C9.A47Z.01	TCGA.RS.A6TP.01	TCGA.CN.6011.01	TCGA.CV.A463.01	TCGA.CN.6988.01	TCGA.BA.6872.01	TCGA.D6.A6EM.01	TCGA.CV.7253.01	TCGA.BB.8601.01	TCGA.IQ.A6SG.01	TCGA.BB.A6UM.01	TCGA.CV.A6JT.01	TCGA.UF.A7JV.01	TCGA.CV.6938.01	TCGA.CV.6433.01	TCGA.CR.6493.01	TCGA.BA.A6DL.01	TCGA.BA.A4IF.01	TCGA.CV.6441.01	TCGA.CN.A49C.01	TCGA.P3.A6T5.01	TCGA.HD.7229.01	TCGA.CX.A4AQ.01	TCGA.CV.A45R.01	TCGA.F7.A620.01	TCGA.P3.A5Q6.01	TCGA.CV.A6JZ.01	TCGA.P3.A6T7.01	TCGA.BA.A6DE.01	TCGA.CN.A63V.01	TCGA.MT.A67A.01	TCGA.UF.A71A.06	TCGA.BA.4075.01	TCGA.BA.4074.01	TCGA.UF.A71B.01	TCGA.CV.A45W.01	TCGA.UF.A7JK.01	TCGA.D6.A74Q.01	TCGA.HD.7832.01	TCGA.CQ.6220.01	TCGA.CV.A45P.01	TCGA.UF.A7JT.01	TCGA.KU.A66S.01	TCGA.D6.8569.01	TCGA.BA.A4IG.01	TCGA.QK.A64Z.01	TCGA.H7.8501.01	TCGA.CN.6998.01	TCGA.QK.A8Z7.01	TCGA.CN.A499.01	TCGA.MZ.A7D7.01	TCGA.HD.8634.01	TCGA.CV.6436.01	TCGA.BA.A4II.01	TCGA.CN.A642.01	TCGA.CV.6960.01	TCGA.CV.5439.01	TCGA.F7.A50I.01	TCGA.CV.A45T.01	TCGA.CV.A6JE.01	TCGA.CV.6953.01	TCGA.CV.A6JY.01	TCGA.CN.A498.01	TCGA.P3.A6T4.01
Hgroup	TCGA.BA.5153.01	TCGA.TN.A7HI.01	TCGA.CV.7437.01	TCGA.CV.7438.01	TCGA.CV.A45Y.01	TCGA.CR.7372.01	TCGA.CN.5361.01	TCGA.QK.A6VC.01	TCGA.CV.5440.01	TCGA.CX.7219.01	TCGA.HD.A6HZ.01	TCGA.CQ.5332.01	TCGA.BB.7862.01	TCGA.CR.7390.01	TCGA.CV.7446.01	TCGA.CN.4723.01	TCGA.CR.6481.01	TCGA.CR.7364.01	TCGA.CQ.5325.01	TCGA.BA.5557.01	TCGA.CQ.6224.01	TCGA.CR.5247.01	TCGA.UF.A7J9.01	TCGA.BB.8596.01	TCGA.CV.7435.01	TCGA.BA.A6DG.01	TCGA.CV.7178.01	TCGA.CV.7104.01	TCGA.WA.A7H4.01	TCGA.CQ.6227.01	TCGA.BA.5151.01	TCGA.CN.6996.01	TCGA.CN.4739.01	TCGA.CV.5434.01	TCGA.CN.5373.01	TCGA.CR.6488.01	TCGA.CV.6943.01	TCGA.CV.7261.01	TCGA.CR.7368.01	TCGA.CQ.5326.01	TCGA.CV.6959.01	TCGA.CR.5250.01	TCGA.HD.8314.01	TCGA.CR.7397.01	TCGA.CR.7367.01	TCGA.CV.7102.01	TCGA.CV.7101.01	TCGA.D6.8568.01	TCGA.CV.7416.01	TCGA.CN.6989.01	TCGA.CN.4727.01	TCGA.BA.5555.01	TCGA.QK.A8Z9.01	TCGA.CR.7365.01	TCGA.CV.6935.01	TCGA.CN.5363.01	TCGA.CN.6018.01	TCGA.CR.7394.01	TCGA.D6.6515.01	TCGA.CQ.5330.01	TCGA.CR.7380.01	TCGA.CN.4733.01	TCGA.CR.7370.01	TCGA.CN.4728.01	TCGA.CR.6470.01	TCGA.CV.6961.01	TCGA.CQ.6222.01	TCGA.CN.5370.01	TCGA.CN.5358.01	TCGA.CR.7398.01	TCGA.MT.A7BN.01	TCGA.D6.6827.01	TCGA.CN.5355.01	TCGA.DQ.5625.01	TCGA.CR.5249.01	TCGA.CV.7090.01	TCGA.CN.4742.01	TCGA.CR.7391.01	TCGA.CV.7568.01	TCGA.CR.7371.01	TCGA.CR.6482.01	TCGA.CR.7392.01	TCGA.CV.7254.01	TCGA.HD.8635.01	TCGA.BA.4078.01	TCGA.F7.7848.01	TCGA.CQ.5334.01	TCGA.CR.7388.01	TCGA.UF.A718.01	TCGA.KU.A6H8.01	TCGA.CX.7085.01	TCGA.CN.6012.01	TCGA.CN.6022.01	TCGA.P3.A5QE.01	TCGA.CN.4736.01	TCGA.CV.7263.01	TCGA.CN.6019.01	TCGA.CN.4737.01	TCGA.CN.4738.01	TCGA.QK.A6VB.01	TCGA.CR.7382.01	TCGA.CN.5359.01	TCGA.CV.7243.01	TCGA.CR.7389.01	TCGA.UP.A6WW.01	TCGA.DQ.7596.01	TCGA.CN.6016.01	TCGA.CR.7377.01	TCGA.CV.7414.01	TCGA.CR.7386.01	TCGA.CN.4722.01	TCGA.CV.7177.01	TCGA.CV.7421.01	TCGA.CV.5444.01	TCGA.CQ.6221.01	TCGA.CV.7103.01	TCGA.T2.A6X0.01	TCGA.HD.7831.01	TCGA.BA.A4IH.01	TCGA.CQ.6228.01	TCGA.CN.5360.01	TCGA.HD.8224.01	TCGA.DQ.7590.01	TCGA.CN.6010.01	TCGA.D6.6826.01	TCGA.CR.6474.01	TCGA.CR.7399.01	TCGA.CR.7376.01	TCGA.CN.5356.01	TCGA.CR.7393.01	TCGA.CV.7099.01	TCGA.CV.6934.01	TCGA.CN.4740.01	TCGA.CN.6992.01	TCGA.CR.5243.01	TCGA.DQ.7593.01	TCGA.CV.5971.01	TCGA.CN.6017.01	TCGA.CR.6467.01	TCGA.CV.6955.01	TCGA.CR.7374.01	TCGA.CV.6948.01	TCGA.BB.7861.01	TCGA.CN.4735.01	TCGA.CN.6997.01	TCGA.D6.6824.01	TCGA.CV.6939.01	TCGA.CV.5431.01	TCGA.CV.7406.01	TCGA.HD.7754.01	TCGA.CV.5430.01	TCGA.CR.6472.01	TCGA.CV.5443.01	TCGA.BB.4223.01	TCGA.BB.4228.01	TCGA.BA.5559.01	TCGA.BB.4225.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	48.4913252781734	6.3624767367753	0.182843812043039	34.7973314802563	2.66913473374573e-265	4.69660947749899e-261
RUNX1T1|862	41.5267809473479	3.47867332055708	0.144281843192379	24.1102639361126	1.95098904240622e-128	1.71648015950899e-124
NHSL2|340527	61.4601941468838	3.22701297494559	0.140762870787233	22.9251716514315	2.6070063028033e-116	1.52909609680423e-112
KIAA0754|643314	206.703360437359	2.94174540961563	0.133078530863839	22.1053342753349	2.8084758191745e-108	1.23544851285486e-104
FAT4|79633	387.17927611838	2.79621932915322	0.131097944465642	21.3292385365054	6.07893656974087e-101	2.13929935762321e-97
SPATA13|221178	296.938139059813	2.63864741801226	0.124101484280235	21.262013370073	2.55228662151598e-100	7.48500589869921e-97
DDR2|4921	324.312401982316	3.04350152999354	0.143265381549753	21.243802913662	3.76168848510266e-100	9.45581008340949e-97
ITGA8|8516	64.6181317574505	3.226196458613	0.153452080067726	21.0241298598827	3.94563159972473e-98	8.67841670359455e-95
ADAMTS12|81792	618.505164785439	3.44817333069273	0.165317737824632	20.8578545536991	1.29345012555638e-96	2.415245101148e-93
ZNF366|167465	60.3744840932763	2.69521363885828	0.129235769059005	20.8550129618352	1.37261030981359e-96	2.415245101148e-93
PLXNC1|10154	445.571511651809	2.99118337784895	0.14362199789256	20.826777386056	2.47568613991912e-96	3.96019757436517e-93
ARHGAP31|57514	1060.72464251781	1.89977540130293	0.0924600731069528	20.5469813884461	8.19002098195645e-94	1.20093007665421e-90
PREX2|80243	64.2936052592824	2.90936008058647	0.143212003952766	20.3150573994204	9.46392994243117e-92	1.28097931743861e-88
ZEB1|6935	882.508323114598	1.88703848648149	0.0929514765147096	20.3013287925863	1.25154476919274e-91	1.57301298276539e-88
ITGA9|3680	187.816643589594	2.38578902778948	0.117724502014655	20.2658663826201	2.57390394046235e-91	3.01936091575836e-88
LAMA2|3908	887.822840197622	2.5701193347499	0.128382370577708	20.0192543819266	3.74280216746267e-89	4.11614668366708e-86
DCHS1|8642	1050.97719007606	2.13581364904761	0.107951805785832	19.7848811652571	4.01843997508869e-87	4.15932175303886e-84
SNED1|25992	400.232297245157	2.36877091821999	0.119976413074281	19.7436384162728	9.09843437064949e-87	8.89422506588602e-84
THSD7A|221981	52.2720464090822	2.77393593102143	0.140539798985899	19.7377251927032	1.0228024405246e-86	9.47222723340573e-84
BICC1|80114	238.95570331366	3.18795337442907	0.162810746738017	19.580730623138	2.2575910027838e-85	1.98622856424919e-82
FBN1|2200	8089.0678590414	2.69030625346605	0.137593038391951	19.5526335118959	3.91765837331634e-85	3.28262460651783e-82
COLEC12|81035	741.208131987376	2.5619029485299	0.13196178210603	19.4139765896117	5.87957138140861e-84	4.70258809214845e-81
TCF4|6925	3141.83193367355	1.55862568883447	0.081023910956263	19.2366138642187	1.82764822617284e-82	1.39823035598857e-79
ZNF423|23090	241.00390583531	2.39781132276824	0.125024457532435	19.1787380652796	5.57162445508896e-82	4.08492932965605e-79
KIAA1462|57608	981.082221765585	1.96355559898012	0.102409872050234	19.173499191728	6.16211244102781e-82	4.33714122049301e-79
TEK|7010	252.204658731897	1.97016441619767	0.102847770626959	19.1561217534184	8.60511526314548e-82	5.82367723731953e-79
PRG4|10216	136.608140649876	4.0414085134841	0.213835277063028	18.8996341903534	1.1484599938749e-79	7.48455631563805e-77
HECW2|57520	317.951992840241	1.5513040813429	0.0820924164869885	18.8970449126538	1.20621964967358e-79	7.58022891273441e-77
SGK269|79834	1554.1126146266	1.38408281817289	0.0733076452790022	18.880470282536	1.65109386754831e-79	1.00181543770276e-76
KDR|3791	868.070334272443	1.77115785115605	0.0940347863307649	18.8351345312367	3.89137050121967e-79	2.28241851131538e-76
ADAMTS2|9509	1825.86435176477	2.66835107685764	0.142353419710302	18.7445519910087	2.14470487011326e-78	1.21736215788752e-75
COL8A1|1295	928.689552683642	3.08019405398165	0.164797771046846	18.6907506965374	5.88786827355496e-78	3.23759156692103e-75
PTPRB|5787	604.943630601228	1.63887118596511	0.0882321013164112	18.5745455623676	5.16404161267782e-77	2.7535295823236e-74
C4orf31|79625	72.1081746755029	3.16640696815921	0.171113744506145	18.504691001286	1.89261142464487e-76	9.7948207729562e-74
EBF2|64641	20.2365130799415	3.16020117784507	0.170812831135914	18.5009589550713	2.02832741397775e-76	1.01972711932436e-73
PDE3A|5139	129.277059190173	2.85721185643281	0.155729882317433	18.3472292787635	3.47381006312896e-75	1.69792116307825e-72
ZEB2|9839	1088.34242964632	1.83025832613728	0.0999080062099975	18.3194360048607	5.7909852186539e-75	2.75400475425497e-72
ARHGAP6|395	63.1382898398364	1.87055733924731	0.102225537908547	18.2983369666466	8.53135286401112e-75	3.95046539460894e-72
FGD5|152273	670.405869038115	1.75561486730001	0.0963581009907832	18.2196914348482	3.60180281521314e-74	1.6250595470895e-71
ATP2A1|487	1156.61484915516	4.80705560635853	0.264281348064867	18.1891595512016	6.28972342665854e-74	2.76684933538709e-71
CD93|22918	2678.19842408842	1.70044356736968	0.0936541476809268	18.1566285047297	1.13802542025487e-73	4.88407202312309e-71
TNS1|7145	4442.70265650655	1.84153371412001	0.101919921114518	18.0684373965601	5.64911479453613e-73	2.36671009344423e-70
NFATC2|4773	154.884369225789	2.91336525046369	0.16130990231299	18.0606720894969	6.5026055024488e-73	2.66092666095556e-70
GPR116|221395	842.342979228604	1.57333315818554	0.0871526615319259	18.0526117106498	7.52469301515749e-73	3.00919314306162e-70
PIK3CG|5294	214.235738549546	2.47240010034687	0.137221431121713	18.017594483138	1.41775422254985e-72	5.54373406666379e-70
PARD3B|117583	87.0143589520805	2.63569681217564	0.14643126929441	17.9995490367319	1.96411696779699e-72	7.513174383773e-70
ANTXR1|84168	6794.55115400044	1.72435323427353	0.0959808956873069	17.9655880675593	3.62416989107716e-72	1.35682751922114e-69
DAAM2|23500	392.919434347928	2.19220109387596	0.122078322076885	17.9573331004281	4.2053323223032e-72	1.54160474048431e-69
BNC2|54796	371.335122988119	2.48007970979538	0.138882645864207	17.8573765956352	2.53266581100116e-71	9.09485461436253e-69
SYNE1|23345	1278.65731722456	2.08573900302748	0.118896124722265	17.5425314147089	6.78370924984937e-69	2.38732295920699e-66
VCAN|1462	8600.9841920525	2.63132144121629	0.150109541784717	17.5293416389883	8.55543241945507e-69	2.95179193828885e-66
ABCC9|10060	349.912529860098	2.34320108156068	0.133717914093193	17.523464207852	9.48688080856159e-69	3.2102145136048e-66
PRELP|5549	1137.38506771906	2.90747422144398	0.166002988575812	17.5145896250908	1.10882639890075e-68	3.68130364435049e-66
SHROOM4|57477	355.509593809674	1.94616907791133	0.111336556156572	17.4800545759151	2.03304380809674e-68	6.62471089764263e-66
ANKRD44|91526	132.981928887783	2.03206563572309	0.116660792040735	17.4185825432554	5.96362959126197e-68	1.9079277506881e-65
S1PR1|1901	562.610694378059	1.60610424695984	0.0922400089977018	17.412229946767	6.66369901636169e-68	2.09382942664108e-65
MITF|4286	307.088833234075	1.8179876093635	0.104672509737905	17.3683387731475	1.4331532769362e-67	4.42416930894201e-65
PYGM|5837	539.762716516502	4.66297536141696	0.268880649606531	17.342175304324	2.26018915913542e-67	6.85694628347359e-65
A2M|2	11295.6258881653	1.66036234894363	0.096322304826742	17.2375687223242	1.3875064236255e-66	4.13806153052784e-64
COL14A1|7373	1570.34968707996	2.3256058713344	0.13566899062673	17.1417643824955	7.24194005187818e-66	2.12381961921414e-63
COL6A3|1293	42882.7541927034	2.47383705605464	0.144495375934192	17.1205274913524	1.04325713518084e-65	3.00936927059705e-63
SPON1|10418	1082.3135022698	2.57600393580184	0.150537804410581	17.1120068203996	1.20765954922508e-65	3.42741571422009e-63
STARD8|9754	237.496340620181	1.60999140511555	0.0942251069363014	17.0866498055974	1.86590296847487e-65	5.21149660845774e-63
CMYA5|202333	2813.1341225613	4.05895367926287	0.238425667610013	17.0239795066947	5.45349377879199e-65	1.49936994580662e-62
HMCN1|83872	1346.12293074786	2.70553100212292	0.159382819539878	16.9750479376229	1.25651633401804e-64	3.40148637128944e-62
PRKG1|5592	141.997699546696	2.65445066338269	0.156741993019385	16.9351595717837	2.47685833792171e-64	6.60345444152583e-62
CDH5|1003	1089.21159666643	1.57515575918323	0.0931038115722025	16.9182736193533	3.29961381462451e-64	8.66567234061684e-62
SGCD|6444	621.78474322722	3.01263884255586	0.178538786671697	16.8738619698116	7.00621840365188e-64	1.81296204456851e-61
PCDH17|27253	378.976637479812	1.86118475714218	0.110326391171594	16.8698054688241	7.50430967064954e-64	1.9137077241268e-61
FNDC1|84624	1903.34608810826	2.90638031235935	0.172576836490033	16.8410800167101	1.21989529570233e-63	3.0664682318826e-61
