Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	48.8252113676911	6.36617419224199	0.184208170440798	34.5596733142084	1.02008414579096e-261	1.79494006293378e-257
RUNX1T1|862	40.640139860256	3.44831251680445	0.14449130291622	23.8651908260795	7.04342597644796e-126	6.19680617407891e-122
NHSL2|340527	61.1209011091822	3.25534691442223	0.141594361497454	22.9906535824929	5.78123688950895e-117	3.39088814359332e-113
KIAA0754|643314	205.525092400656	2.9274054867913	0.133604704510125	21.9109461566111	2.04293851808964e-106	8.98688654107634e-103
SPATA13|221178	296.873720266855	2.63809993909509	0.12584075630837	20.9637959631335	1.40429095336439e-97	4.94198072307997e-94
DDR2|4921	320.623765445878	3.0210410564184	0.144306796796211	20.9348493867873	2.57878717428495e-97	7.56272318645298e-94
FAT4|79633	368.552212207502	2.71344871542961	0.130166066327129	20.8460529844258	1.65526701906317e-96	4.16086835249078e-93
PLXNC1|10154	444.607289676946	2.99026628679401	0.144464847684297	20.6989197353305	3.54221171135303e-95	7.79109465912099e-92
ADAMTS12|81792	611.731129242483	3.42952460569728	0.165954079643913	20.6655034516536	7.08147481635807e-95	1.32676440783521e-91
ITGA8|8516	64.9927759947341	3.19580888086756	0.154667295831661	20.6624733669997	7.54014780538308e-95	1.32676440783521e-91
ZNF366|167465	60.4141658709727	2.68466104472272	0.13078607797493	20.5271163895392	1.23276863607049e-93	1.97198153820876e-90
ARHGAP31|57514	1037.14865578514	1.87498989049511	0.0916378841347952	20.4608597000896	4.80830261209542e-93	7.05057439686925e-90
PREX2|80243	64.1623347002478	2.90840026491659	0.144595752852767	20.1140089355047	5.56399349450666e-90	7.53107919456455e-87
THSD7A|221981	52.8398622268176	2.81934332384734	0.140617008406661	20.0498030486743	2.026457380959e-89	2.5469674339539e-86
ITGA9|3680	188.278327009164	2.36271397758509	0.11798638882156	20.0253097088887	3.31445156689546e-89	3.88807265140617e-86
ZEB1|6935	880.244512912841	1.87149538911227	0.0939240035670108	19.9256347476397	2.43933795384591e-88	2.68266191474204e-85
LAMA2|3908	895.384967958734	2.57305524416981	0.129440634392107	19.878265092362	6.27669433650026e-88	6.49674785559168e-85
DCHS1|8642	1033.64803903096	2.09415242011108	0.106721528911847	19.6225863840545	9.91765728687809e-86	9.69506097888371e-83
SNED1|25992	388.021267718859	2.31150961852766	0.118249770415848	19.5476880031039	4.31644122348202e-85	3.9974789351784e-82
BICC1|80114	234.628094521971	3.15853542740633	0.162777105826573	19.4040520094486	7.13219358315325e-84	6.27490391445823e-81
FBN1|2200	7864.08771571121	2.63427618638518	0.136697291279723	19.2708733415549	9.43307399437736e-83	7.90401761928876e-80
COLEC12|81035	721.497356236036	2.49623106154087	0.130456938201777	19.1345212906957	1.30270347182632e-81	1.04192592228436e-78
KIAA1462|57608	965.190198151393	1.92508271444025	0.101414672814099	18.9822898503955	2.38951260814394e-80	1.82808103708264e-77
TEK|7010	253.886043140818	1.96651051499315	0.103680566424146	18.9670116861473	3.19564205162852e-80	2.34293823085231e-77
ZNF423|23090	243.068684536247	2.38765381838923	0.126195943281417	18.9202105575197	7.77433072034359e-80	5.47188493420663e-77
TCF4|6925	3135.52945550069	1.53977714148474	0.0814226463705192	18.9109198745258	9.27251225088934e-80	6.27535098333264e-77
SGK269|79834	1557.2427954681	1.37742504538296	0.0729901737913221	18.8713764310386	1.96123026972046e-79	1.27814103059264e-76
PRG4|10216	138.685957035049	4.04222005721667	0.214280330405733	18.8641675582769	2.24783445640859e-79	1.41260339624877e-76
HECW2|57520	315.591823038518	1.53797663896482	0.0815402657760459	18.8615602895991	2.36147234444956e-79	1.43284370251498e-76
C4orf31|79625	72.8683328794832	3.18191745132328	0.171184800201844	18.5876167017836	4.0476812304249e-77	2.37409996435188e-74
EBF2|64641	20.1939335939282	3.18098101392974	0.171244578164948	18.5756597260891	5.05796478949582e-77	2.84187634231367e-74
KDR|3791	863.013358986544	1.73337159648547	0.0933199493307591	18.5745021178889	5.16822249113648e-77	2.84187634231367e-74
COL8A1|1295	922.169320247362	3.06079620032005	0.16556869462304	18.4865635818941	2.6490736651303e-76	1.41251818823129e-73
ADAMTS2|9509	1807.55367922803	2.63471454957442	0.143036092295153	18.4199281964283	9.09240373021774e-76	4.70558635402681e-73
TNS1|7145	4468.56326035799	1.85590792887974	0.10154102935858	18.2774188975948	1.25213116514755e-74	6.29499999483893e-72
PTPRB|5787	601.989872362913	1.63427585604277	0.089463030159802	18.2676112481723	1.4986894539369e-74	7.32526100874271e-72
ZEB2|9839	1083.3045498673	1.80877742705736	0.0993653880163241	18.2032945592705	4.85952694251462e-74	2.31103340758074e-71
PDE3A|5139	127.988081712099	2.83844055267746	0.156134107514922	18.1795034912931	7.50098195777341e-74	3.47334943497318e-71
