Lgroup	TCGA.KN.8421.01	TCGA.KO.8414.01	TCGA.KN.8431.01	TCGA.KL.8326.01	TCGA.KO.8409.01	TCGA.KN.8422.01	TCGA.KO.8415.01	TCGA.KN.8426.01	TCGA.KM.8439.01	TCGA.KL.8330.01	TCGA.KL.8339.01	TCGA.KM.8477.01	TCGA.KN.8428.01	TCGA.KO.8404.01	TCGA.KN.8427.01	TCGA.KO.8405.01	TCGA.KL.8331.01	TCGA.KM.8438.01	TCGA.KO.8417.01	TCGA.KO.8410.01
Hgroup	TCGA.KO.8416.01	TCGA.KL.8344.01	TCGA.KL.8346.01	TCGA.KL.8334.01	TCGA.KN.8435.01	TCGA.KL.8329.01	TCGA.KL.8342.01	TCGA.KO.8406.01	TCGA.KN.8429.01	TCGA.KM.8443.01	TCGA.KL.8335.01	TCGA.KL.8324.01	TCGA.KN.8424.01	TCGA.KL.8332.01	TCGA.KL.8336.01	TCGA.KO.8411.01	TCGA.KL.8323.01	TCGA.KL.8325.01	TCGA.KL.8345.01	TCGA.KL.8341.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	331.268259551998	6.8105387015977	0.347965342507945	19.5724627415795	2.65534730732311e-85	4.58844014705433e-81
SPATA17|128153	53.9612742610454	-5.35548911240307	0.752015385518113	-7.12151535132932	1.06746842332257e-12	9.222927177507e-09
CSGALNACT1|55790	6218.78617889558	2.15696830169092	0.307594886163675	7.01236723598574	2.34319177776107e-12	1.34967846399038e-08
ABCA13|154664	139.480500694089	4.4489937833643	0.684678846267676	6.49792790826922	8.14338079189254e-11	2.81435240167806e-07
CYP26A1|1592	29.073502936989	4.07298121829953	0.625756639773517	6.50889013302948	7.57080665125987e-11	2.81435240167806e-07
CYP26C1|340665	33.5864986587089	3.86392223510467	0.609485570941919	6.33964513570558	2.30294981101402e-10	6.63249545572037e-07
CLEC2L|154790	62.8458378354116	-6.34228496231935	1.00436355314639	-6.31473030104562	2.7063302379394e-10	6.68076950165611e-07
GRIK1|2897	34.002278968033	5.08153298925628	0.820091546091196	6.19629968565875	5.78060155122064e-10	1.24860993506366e-06
SMTNL2|342527	59.0138559245837	-3.66075486206167	0.597308733441637	-6.1287482621738	8.8573138407262e-10	1.70060425741943e-06
CHRDL1|91851	16.2834786596653	2.89676830848009	0.477126908193758	6.07127424325381	1.2689926334522e-09	2.1928192706054e-06
