Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	330.916643427027	6.81056466341601	0.348137330765226	19.5628680453371	3.20531083531165e-85	5.53877712341853e-81
SPATA17|128153	54.8634990292529	-5.38195449011856	0.75001599575794	-7.17578627730432	7.18927899816739e-13	6.21153705441663e-09
CSGALNACT1|55790	6200.41848191661	2.1707119541019	0.308478352162565	7.03683723309685	1.96652342909006e-12	1.13271749515587e-08
ABCA13|154664	139.165820493208	4.47354184106358	0.704474361879911	6.35018402816789	2.15057502531802e-10	6.19365607291588e-07
CYP26A1|1592	28.9989839276784	4.11186957723652	0.643358208880923	6.3912599862351	1.64524370501899e-10	6.19365607291588e-07
CYP26C1|340665	33.5771329494174	3.84707560949411	0.605238943713532	6.35629225358471	2.06681636051599e-10	6.19365607291588e-07
SMTNL2|342527	63.0093635000285	-3.7643786824279	0.60245882987467	-6.24835838693079	4.1478905593571e-10	1.02393641236701e-06
GRIK1|2897	34.1089367496815	4.95223266358844	0.796081357036202	6.22076201109083	4.94746123537344e-10	1.06865162684066e-06
FAM136A|84908	1016.04862129864	-0.978467605808215	0.164046250130463	-5.96458379895948	2.45258376671664e-09	4.70896083209595e-06
CLEC2L|154790	59.9259874746606	-6.27522928375225	1.05683554481813	-5.93775381091306	2.8895350263192e-09	4.93617824079503e-06
MARCH1|55016	721.719245696726	1.98689646647536	0.335398400605775	5.92398909144098	3.14224309309869e-09	4.93617824079503e-06
PLP1|5354	13.3807298898688	3.73157110525063	0.632462480258903	5.90006715295282	3.63353653713844e-09	5.23229261347935e-06
ATP10D|57205	7205.85147001728	1.39945299830675	0.241852862774409	5.78638177879295	7.19186596314101e-09	5.35230465472408e-06
C1orf113|79729	159.735230925957	-1.50030258060814	0.256109535712243	-5.85805044874955	4.68332397186006e-09	5.35230465472408e-06
C6orf26|401251	74.3880021067945	-1.5629142866165	0.270195817309866	-5.78437631706236	7.27818488970905e-09	5.35230465472408e-06
DNAH9|1770	124.768148064268	3.7123240056994	0.641631764829922	5.78575471038818	7.21874865099224e-09	5.35230465472408e-06
DPP4|1803	961.508763722134	-3.91768709642464	0.673569341058885	-5.81630851883168	6.01613847680636e-09	5.35230465472408e-06
HCN3|57657	344.487273778361	-1.02052505055759	0.176448068957712	-5.78371334175477	7.30694157440673e-09	5.35230465472408e-06
MAB21L1|4081	60.812489140643	4.55672410043558	0.78375547807546	5.81396140493306	6.1011486683225e-09	5.35230465472408e-06
MRPL2|51069	1558.47211794849	-0.698760057807968	0.119201713524959	-5.86199675444818	4.57333966535043e-09	5.35230465472408e-06
PCGF1|84759	447.955506648228	-1.03113144479013	0.176433022131609	-5.84432229484207	5.08634681178017e-09	5.35230465472408e-06
PLP2|5355	2683.86393951684	-1.69353050989374	0.291168798484997	-5.8163186395846	6.0157744197083e-09	5.35230465472408e-06
RNF181|51255	2084.58273352277	-0.76487124648563	0.131745029335896	-5.80569339383211	6.41001683968713e-09	5.35230465472408e-06
SCNM1|79005	636.32350393164	-1.14663656646016	0.198351902149183	-5.7808196142115	7.43375646489455e-09	5.35230465472408e-06
AUP1|550	4784.67499003274	-1.0460368763603	0.18178341055654	-5.7543032840995	8.69998455857782e-09	5.66198230477968e-06
NT5M|56953	480.679159947836	-1.51742799247135	0.26411529872036	-5.74532410588595	9.17450836422633e-09	5.66198230477968e-06
SNCG|6623	661.924791744341	-3.08034103568192	0.535368627090662	-5.75368237847879	8.73201484995788e-09	5.66198230477968e-06
