Lgroup	TCGA.B0.5702.01	TCGA.DV.A4VZ.01	TCGA.B4.5832.01	TCGA.G6.A8L7.01	TCGA.AK.3447.01	TCGA.CZ.4858.01	TCGA.AK.3440.01	TCGA.BP.4352.01	TCGA.B0.4698.01	TCGA.B0.5098.01	TCGA.AK.3453.01	TCGA.AK.3443.01	TCGA.CJ.6027.01	TCGA.BP.4799.01	TCGA.G6.A8L6.01	TCGA.B0.4842.01	TCGA.B0.5084.01	TCGA.B0.4813.01	TCGA.B0.4815.01	TCGA.AK.3451.01	TCGA.CJ.5681.01	TCGA.A3.3374.01	TCGA.BP.5169.01	TCGA.AK.3427.01	TCGA.B8.5551.01	TCGA.CZ.4860.01	TCGA.A3.3383.01	TCGA.BP.4334.01	TCGA.CJ.4891.01	TCGA.B0.5100.01	TCGA.A3.3346.01	TCGA.AK.3433.01	TCGA.CJ.4900.01	TCGA.B0.4821.01	TCGA.B0.5109.01	TCGA.B0.4843.01	TCGA.B0.5092.01	TCGA.B0.4697.01	TCGA.B0.4819.01	TCGA.MM.A84U.01	TCGA.B8.4143.01	TCGA.MM.A564.01	TCGA.B0.5094.01	TCGA.B0.4691.01	TCGA.A3.3378.01	TCGA.B0.4822.01	TCGA.B0.5400.01	TCGA.B0.5117.01	TCGA.AK.3426.01	TCGA.DV.A4VX.01	TCGA.BP.4770.01	TCGA.G6.A5PC.01	TCGA.CJ.4638.01	TCGA.CJ.6033.01	TCGA.B0.5088.01	TCGA.CJ.4888.01	TCGA.B0.4847.01	TCGA.CJ.4882.01	TCGA.CW.6090.01	TCGA.BP.4167.01	TCGA.BP.4784.01	TCGA.CJ.4873.01	TCGA.BP.5175.01	TCGA.CJ.4876.01	TCGA.BP.5001.01	TCGA.BP.4981.01	TCGA.BP.4992.01	TCGA.BP.4338.01	TCGA.B0.4811.01	TCGA.BP.4758.01	TCGA.BP.4776.01	TCGA.G6.A8L8.01	TCGA.BP.5191.01	TCGA.BP.4988.01	TCGA.B0.5085.01	TCGA.B0.4700.01	TCGA.CJ.4895.01	TCGA.BP.4968.01	TCGA.BP.4761.01	TCGA.6D.AA2E.01	TCGA.CJ.4890.01	TCGA.BP.4342.01	TCGA.B0.4713.01	TCGA.CJ.5677.01	TCGA.BP.5185.01	TCGA.BP.4769.01	TCGA.B0.4839.01	TCGA.B0.4824.01	TCGA.B8.4153.01	TCGA.B0.4810.01	TCGA.CJ.4875.01	TCGA.B0.4714.01	TCGA.B8.A54I.01	TCGA.3Z.A93Z.01	TCGA.BP.4971.01	TCGA.BP.4345.01	TCGA.B0.5075.01	TCGA.B0.4706.01	TCGA.AK.3434.01	TCGA.BP.4985.01	TCGA.BP.5196.01	TCGA.B0.5696.01	TCGA.BP.4159.01	TCGA.B0.4828.01	TCGA.DV.A4W0.05	TCGA.CJ.4636.01	TCGA.B0.5700.01	TCGA.DV.5565.01	TCGA.BP.5000.01	TCGA.BP.4165.01	TCGA.B0.4849.01	TCGA.CJ.4869.01	TCGA.B0.5107.01	TCGA.BP.5010.01	TCGA.B0.4707.01	TCGA.BP.4337.01	TCGA.BP.4969.01	TCGA.B0.5083.01	TCGA.MM.A563.01	TCGA.BP.5170.01	TCGA.BP.4355.01	TCGA.A3.3365.01	TCGA.B0.4837.01	TCGA.B0.4833.01	TCGA.AK.3458.01	TCGA.AK.3450.01	TCGA.DV.5568.01	TCGA.B0.4817.01	TCGA.CZ.5469.01	TCGA.B0.4718.01	TCGA.BP.5173.01	TCGA.B0.5095.01	TCGA.BP.4760.01	TCGA.CJ.4912.01	TCGA.CJ.4637.01	TCGA.BP.4989.01	TCGA.BP.4335.01	TCGA.BP.5199.01	TCGA.B0.4841.01	TCGA.CJ.4887.01	TCGA.BP.4771.01	TCGA.CJ.4881.01	TCGA.B0.5121.01	TCGA.CJ.5676.01	TCGA.AK.3429.01	TCGA.A3.3380.01	TCGA.DV.5576.01	TCGA.B2.4099.01	TCGA.CJ.5689.01	TCGA.CJ.4923.01	TCGA.A3.3329.01	TCGA.BP.5176.01	TCGA.T7.A92I.01	TCGA.BP.4177.01	TCGA.B0.4945.01	TCGA.CJ.4916.01	TCGA.MW.A4EC.01	TCGA.BP.4326.01	TCGA.BP.4804.01	TCGA.B8.A7U6.01	TCGA.B0.4845.01
Hgroup	TCGA.BP.4162.01	TCGA.BP.4972.01	TCGA.CZ.5465.01	TCGA.B0.5710.01	TCGA.A3.3362.01	TCGA.B4.5834.01	TCGA.B2.4101.01	TCGA.B0.4836.01	TCGA.BP.5202.01	TCGA.BP.4970.01	TCGA.B0.4694.01	TCGA.CJ.4886.01	TCGA.BP.4343.01	TCGA.B4.5844.01	TCGA.BP.4961.01	TCGA.BP.5187.01	TCGA.B8.5550.01	TCGA.CW.5590.01	TCGA.BP.4164.01	TCGA.CJ.4894.01	TCGA.B0.5703.01	TCGA.B4.5838.01	TCGA.BP.5189.01	TCGA.AS.3778.01	TCGA.B4.5836.01	TCGA.B0.4834.01	TCGA.BP.4789.01	TCGA.GK.A6C7.01	TCGA.CZ.5466.01	TCGA.BP.4170.01	TCGA.CZ.5453.01	TCGA.B8.4622.01	TCGA.B8.5546.01	TCGA.B2.A4SR.01	TCGA.EU.5904.01	TCGA.B0.5709.01	TCGA.CJ.5686.01	TCGA.CJ.6028.01	TCGA.CZ.4857.01	TCGA.CJ.4639.01	TCGA.B0.5713.01	TCGA.EU.5905.01	TCGA.BP.5186.01	TCGA.B0.5701.01	TCGA.CJ.4874.01	TCGA.A3.3382.01	TCGA.CZ.5461.01	TCGA.CJ.4904.01	TCGA.B8.A54E.01	TCGA.CZ.4861.01	TCGA.B0.5695.01	TCGA.BP.4963.01	TCGA.BP.5195.01	TCGA.AS.3777.01	TCGA.BP.4998.01	TCGA.A3.3347.01	TCGA.B0.4710.01	TCGA.BP.4965.01	TCGA.CJ.6032.01	TCGA.B0.5699.01	TCGA.BP.4176.01	TCGA.BP.4977.01	TCGA.CZ.4854.01	TCGA.B8.A54F.01	TCGA.CZ.4863.01	TCGA.B2.4098.01	TCGA.A3.3323.01	TCGA.B0.5712.01	TCGA.CJ.4871.01	TCGA.BP.4762.01	TCGA.B4.5835.01	TCGA.B8.5545.01	TCGA.CZ.5455.01	TCGA.A3.A6NN.01	TCGA.B0.5116.01	TCGA.BP.4766.01	TCGA.CZ.5463.01	TCGA.B0.5113.01	TCGA.CJ.4643.01	TCGA.CW.5588.01	TCGA.CW.5584.01	TCGA.CZ.5451.01	TCGA.BP.5194.01	TCGA.CJ.4903.01	TCGA.A3.3324.01	TCGA.A3.3311.01	TCGA.BP.4807.01	TCGA.A3.3367.01	TCGA.B0.5402.01	TCGA.BP.4781.01	TCGA.B0.5110.01	TCGA.EU.5906.01	TCGA.BP.4991.01	TCGA.A3.3331.01	TCGA.CW.5587.01	TCGA.BP.4330.01	TCGA.AK.3428.01	TCGA.BP.5004.01	TCGA.B0.5711.01	TCGA.B0.5691.01	TCGA.B8.4148.01	TCGA.BP.4768.01	TCGA.B2.4102.01	TCGA.A3.3370.01	TCGA.B0.5705.01	TCGA.BP.4982.01	TCGA.A3.3322.01	TCGA.B8.5553.01	TCGA.BP.4803.01	TCGA.AK.3465.01	TCGA.B0.5119.01	TCGA.CJ.4905.01	TCGA.CZ.5984.01	TCGA.CW.5580.01	TCGA.CZ.4862.01	TCGA.B2.3923.01	TCGA.BP.4163.01	TCGA.CJ.5680.01	TCGA.B8.5165.01	TCGA.B2.5639.01	TCGA.BP.4797.01	TCGA.A3.3319.01	TCGA.BP.4959.01	TCGA.BP.4975.01	TCGA.CZ.5458.01	TCGA.BP.4973.01	TCGA.BP.4325.01	TCGA.A3.3372.01	TCGA.CJ.4907.01	TCGA.CW.5581.01	TCGA.BP.5181.01	TCGA.CZ.5986.01	TCGA.CZ.4853.01	TCGA.BP.4995.01	TCGA.A3.3317.01	TCGA.CJ.4635.01	TCGA.AK.3456.01	TCGA.BP.4994.01	TCGA.CJ.4634.01	TCGA.BP.4775.01	TCGA.B8.4621.01	TCGA.CW.5591.01	TCGA.CZ.5982.01	TCGA.CW.6088.01	TCGA.EU.5907.01	TCGA.B8.5549.01	TCGA.A3.3320.01	TCGA.CJ.4897.01	TCGA.B8.5158.01	TCGA.B4.5377.01	TCGA.CZ.5985.01	TCGA.B8.5159.01	TCGA.BP.4987.01	TCGA.BP.4976.01	TCGA.B2.5641.01	TCGA.B8.5164.01	TCGA.A3.3385.01	TCGA.CW.5583.01	TCGA.BP.4967.01	TCGA.CW.5585.01	TCGA.CZ.5456.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	469.723189553694	3.66390020653828	0.0956159075506078	38.3189398123847	0	0
SYNC|81493	564.48170601591	-3.4978465537049	0.164572924503224	-21.2540827372633	3.02209674500517e-100	2.64886779699703e-96
MYO9A|4649	2414.9077023962	1.68758307630292	0.0826626926086134	20.4152928370382	1.22296351514902e-92	7.14618347352077e-89
C6orf125|84300	1588.41710046797	-1.43202641818361	0.0739149802562236	-19.373967404436	1.28003565520574e-83	5.60975625893914e-80
ZNF704|619279	818.396201478246	1.85957915506959	0.0970754802459839	19.1560129330035	8.62312067010829e-82	3.02326610693997e-78
PFDN6|10471	1287.10844057083	-1.20063861005089	0.0631195869940914	-19.021648702538	1.12877585240091e-80	3.29790678209798e-77
DRAP1|10589	2965.01616003143	-1.11880168984452	0.059476925290463	-18.8106847215237	6.17352307769398e-79	1.54602656502822e-75
PFDN2|5202	1551.73402940456	-1.13200148446283	0.0602705774510046	-18.7819916838039	1.06027321576066e-78	2.32332368403555e-75
CLVS1|157807	62.0213908691799	-3.75126384176366	0.201114303543567	-18.6523970481843	1.20740616885977e-77	2.35175890445686e-74
ZXDA|7789	218.308052984493	1.08927334198597	0.0585313849168182	18.6100729298305	2.66254854492596e-77	4.66744759925521e-74
C9orf142|286257	776.332808941636	-1.47889372767724	0.0798495443001574	-18.521003978658	1.39805476571465e-76	2.22799091299798e-73
SS18L2|51188	470.135622845305	-0.991048746472496	0.0538587808250351	-18.4008759814301	1.29258229827478e-75	1.88824730739641e-72
RAB4B|53916	1085.21598744486	-1.03492794782615	0.0563240282261043	-18.3745371277706	2.10092385168968e-75	2.83301500924001e-72
SCNM1|79005	1178.32994348391	-0.934466816502741	0.0513764447868821	-18.1886236071621	6.35152294123532e-74	7.9530140828468e-71
NUTF2|10204	4277.20050277968	-1.02704010313853	0.0567642115246184	-18.0930920302329	3.61238732418679e-73	4.22167665286629e-70
DGUOK|1716	1651.43730663745	-0.841895691282325	0.0468292203071161	-17.9779993294997	2.89760995064554e-72	3.17469390217602e-69
RAPGEF6|51735	940.771179967122	1.47753181928543	0.0823299363677045	17.9464710465271	5.11383296855437e-72	5.27326423169165e-69
NOL12|79159	645.407631389191	-1.02562509308185	0.0574156109890552	-17.8631747605604	2.28277764815242e-71	2.22317178733955e-68
CDKL5|6792	230.350022262693	2.26364695196202	0.126887792488916	17.8397535930003	3.47223679863962e-71	3.20359532000803e-68
ATXN1L|342371	3734.41710164723	0.815651686355759	0.0462123649348531	17.6500745526789	1.01621968055732e-69	8.90716550008494e-67
MARCH8|220972	800.706934552679	1.30101439866067	0.0738646271719821	17.6134971294374	1.94075334606259e-69	1.62006695983224e-66
C19orf22|91300	2503.76938480739	-1.00593939857819	0.0573485988174647	-17.5407842444417	6.99552925011602e-69	5.57416489793336e-66
SNRPF|6636	1410.08211838744	-1.00763339030559	0.0574889658431506	-17.527422445809	8.84909852587676e-69	6.74455205037476e-66
PRR24|255783	529.445130898456	-1.52836542745205	0.0873115153055408	-17.5047406072801	1.31826178695322e-68	9.62880380220411e-66
KRTCAP2|200185	4344.79687757034	-1.22302000261019	0.0698967310756648	-17.4975279070812	1.49623799532793e-68	1.04916208232395e-65
CDC14C|168448	21.8112844369619	1.571807478903	0.0899251971102835	17.4790551415234	2.06898998910213e-68	1.39497671188309e-65
DDI2|84301	198.268421486024	1.79817566692136	0.103218315975373	17.4210909171431	5.70784053708344e-68	3.70586831907676e-65
ZBTB20|26137	106.64467056391	1.5037312291838	0.0863982965646166	17.4046397785073	7.60830841087373e-68	4.76334451580773e-65
LMTK2|22853	1264.21753669618	1.50396366338642	0.0864288343699971	17.4011795293691	8.08214093831322e-68	4.88551484995279e-65
AUP1|550	5624.86465796107	-0.857313392550541	0.0492823511268895	-17.3959515515641	8.85440123003002e-68	5.17392178541421e-65
BANF1|8815	4421.95613301873	-1.06874185269852	0.0614677046272838	-17.3870467293184	1.03428095467114e-67	5.84869197915646e-65
LSM7|51690	988.402911217001	-1.26894466334272	0.0731418649701544	-17.3490881571111	2.00399919280899e-67	1.09781580781068e-64
C7orf47|221908	574.32268052176	-1.40079935462911	0.081074876996394	-17.2778474235787	6.9078378175892e-67	3.66952718007087e-64
C17orf90|339229	756.283917294273	-1.18662735754229	0.0687879330774154	-17.2505162527102	1.10903975861325e-66	5.71807852014422e-64
TAOK1|57551	973.379527321231	1.7314151971029	0.100418700177044	17.2419598545919	1.28602116970678e-66	6.44112888713138e-64
BTBD8|284697	25.7377150902662	2.07987039889237	0.121257555972039	17.1525014026505	6.02042611855326e-66	2.93161305161774e-63
ERC1|23085	3454.58053274873	0.7796948967832	0.0457111106343537	17.0570105596434	3.10019716194668e-65	1.46882314186285e-62
ANKRD13D|338692	1028.0899860468	-1.13434554381016	0.0665927516585848	-17.034069257655	4.58985926781632e-65	2.11737455170579e-62
FAM168A|23201	611.25113391615	1.38267841987987	0.0812087848127806	17.0262173368005	5.24894253549988e-65	2.35933237557213e-62
NAA10|8260	1964.92370988911	-1.04603354279136	0.0615560804352722	-16.9931798027864	9.224972479578e-65	4.04284418917506e-62
KIAA1958|158405	288.485094792769	1.44323660798887	0.0849551632127561	16.98821535278	1.00397666469627e-64	4.29261242246967e-62
RUNDC2A|84127	372.343460145016	1.71331701693627	0.10091835362479	16.9772588968931	1.21007234030063e-64	4.93315537801627e-62
SH3BGRL3|83442	10175.7790875236	-1.42880983430739	0.0841559781660463	-16.9781145136028	1.19256171848239e-64	4.93315537801627e-62
UBXN7|26043	770.7621785179	1.30804163908865	0.0771476422762026	16.9550436085347	1.76630276918921e-64	7.03711080542882e-62
NBEAL1|65065	646.767964037629	1.69666198795436	0.100094177877789	16.9506561113466	1.90317995458458e-64	7.41394324530394e-62
AMOT|154796	2529.8596747078	1.29941878233157	0.0767322904674205	16.9344453868908	2.50710179206533e-64	9.55423791628375e-62
SLC30A4|7782	285.437322508439	1.36985855570172	0.0811071368192675	16.8894946785534	5.37614787234805e-64	2.00518877026088e-61
LIN37|55957	389.106626651251	-0.972198658142113	0.0578384029515195	-16.8088779864308	2.10110662032875e-63	7.67341646965895e-61
MAN1A2|10905	1832.44442545452	1.2274960464441	0.0730666761059523	16.7996699981827	2.45405526554405e-63	8.77950791938514e-61
RIF1|55183	1846.06882060853	1.34703325333388	0.0802925566163182	16.7765644799523	3.62192886671863e-63	1.26116796228245e-60
TIAF1|9220	1041.00761812487	-1.289231332862	0.076850681744104	-16.7757956546808	3.66911386630947e-63	1.26116796228245e-60
GADD45GIP1|90480	2874.21205770167	-1.48487899083051	0.0887919848474759	-16.7231196980357	8.89391017627319e-63	2.99827394980902e-60
PSENEN|55851	2482.98754317783	-1.14066834153968	0.0684173841395276	-16.6722004339342	2.08765673402979e-62	6.90502312217778e-60
SLC30A1|7779	958.467164136405	1.31194183697431	0.0787169966597933	16.666563672956	2.2940970841857e-62	7.44731886773616e-60
EXOC6B|23233	399.042371870905	1.4225854422652	0.0854332376976937	16.6514284206228	2.95464807293768e-62	9.4172692215632e-60
RC3H2|54542	999.132477653693	1.21628588169634	0.0730743457319807	16.6444990990051	3.31730238858542e-62	1.03843412271254e-59
C19orf53|28974	4161.72505798704	-1.21219601667182	0.0732857041745435	-16.5406886694402	1.86873724101247e-61	5.74718663771029e-59
C11orf48|79081	1250.25481324967	-1.04623165892818	0.0633225401229315	-16.522262955609	2.53697834644457e-61	7.66779834709883e-59
ZNHIT1|10467	3879.74079523223	-1.30136562715636	0.0789729887341322	-16.4786169045405	5.22669345861874e-61	1.55294807338282e-58
MXD3|83463	532.096951078447	-1.52013990659854	0.0925144232872477	-16.4313828329088	1.14028711022945e-60	3.33153884038705e-58
C9orf16|79095	1404.67773367145	-1.58012154614408	0.0964578195332576	-16.3814769376917	2.59367894939063e-60	7.45363802997011e-58
MAP3K13|9175	322.040888838791	1.49253280038416	0.0911362563141424	16.3769377934449	2.79463077647938e-60	7.90159314704574e-58
SIRT6|51548	754.49377289059	-0.932858730623385	0.0570334365096511	-16.3563479199702	3.91938956621918e-60	1.09058569993369e-57
DIP2B|57609	2784.40282345893	0.723101772700936	0.0442145366381514	16.3543899287863	4.04741507250571e-60	1.10861228470352e-57
S100A11|6282	16595.5067118284	-1.3618504941693	0.083352968378492	-16.3383562776716	5.26533161315539e-60	1.42001943351714e-57
SYDE2|84144	221.583491437537	1.38598932090739	0.0848462600055841	16.3353024731576	5.53570629759392e-60	1.45834850423658e-57
TRIM44|54765	3512.59701281616	1.15883742072784	0.070942495484784	16.3348838070743	5.57383626833146e-60	1.45834850423658e-57
