Lgroup	TCGA.P4.A5ED.01	TCGA.BQ.5888.01	TCGA.AL.A5DJ.01	TCGA.P4.A5EA.01	TCGA.A4.7287.01	TCGA.2Z.A9JI.01	TCGA.5P.A9K8.01	TCGA.J7.A8I2.01	TCGA.5P.A9KC.01	TCGA.MH.A857.01	TCGA.G7.6795.01	TCGA.2Z.A9JN.01	TCGA.MH.A854.01	TCGA.B1.A656.01	TCGA.B1.A654.01	TCGA.WN.A9G9.01	TCGA.G7.6789.01	TCGA.BQ.5876.01	TCGA.B9.4114.01	TCGA.Q2.A5QZ.01	TCGA.A4.A6HP.01	TCGA.IA.A40Y.01	TCGA.A4.8312.01	TCGA.HE.A5NK.01	TCGA.MH.A562.01	TCGA.AL.3473.01	TCGA.AL.7173.01	TCGA.Y8.A8S1.01	TCGA.2Z.A9J9.01	TCGA.2Z.A9JQ.01	TCGA.F9.A8NY.01	TCGA.A4.7915.01	TCGA.2Z.A9JE.01	TCGA.WN.AB4C.01	TCGA.2Z.A9J5.01	TCGA.GL.A59T.01	TCGA.B9.4115.01	TCGA.A4.7828.01	TCGA.MH.A55Z.01	TCGA.G7.A8LC.01	TCGA.KV.A6GD.01	TCGA.AL.3472.01	TCGA.Y8.A898.01	TCGA.BQ.5889.01	TCGA.2Z.A9JT.01	TCGA.IZ.A6M8.01	TCGA.B1.A47N.01	TCGA.MH.A560.01	TCGA.5P.A9JW.01	TCGA.IZ.A6M9.01	TCGA.BQ.5881.01	TCGA.A4.A7UZ.01	TCGA.AL.3466.01	TCGA.P4.AAVL.01	TCGA.2Z.A9J2.01	TCGA.B1.A47M.01	TCGA.4A.A93Y.01	TCGA.DW.7839.01	TCGA.BQ.5886.01	TCGA.G7.6796.01	TCGA.IA.A40U.01	TCGA.5P.A9K2.01	TCGA.BQ.5894.01	TCGA.2Z.A9JP.01	TCGA.MH.A856.01	TCGA.HE.A5NI.01	TCGA.PJ.A5Z9.01	TCGA.F9.A7VF.01	TCGA.4A.A93W.01	TCGA.G7.A8LD.01	TCGA.DW.7840.01	TCGA.F9.A7Q0.01	TCGA.BQ.5883.01	TCGA.UZ.A9PM.01	TCGA.B9.A69E.01	TCGA.BQ.5887.01	TCGA.2Z.A9J7.01	TCGA.UZ.A9PL.01	TCGA.2Z.A9J1.01	TCGA.IA.A83T.01	TCGA.KV.A6GE.01	TCGA.2Z.A9J3.01	TCGA.P4.AAVO.01	TCGA.B1.A47O.01	TCGA.2Z.A9JO.01	TCGA.DW.7963.01	TCGA.AL.3467.01	TCGA.5P.A9JY.01
Hgroup	TCGA.2Z.A9JG.01	TCGA.MH.A855.01	TCGA.A4.7585.01	TCGA.A4.8518.01	TCGA.HE.A5NH.01	TCGA.V9.A7HT.01	TCGA.BQ.7050.01	TCGA.A4.8516.01	TCGA.EV.5903.01	TCGA.HE.A5NJ.01	TCGA.UZ.A9PV.01	TCGA.UZ.A9PJ.01	TCGA.IZ.8195.01	TCGA.BQ.7046.01	TCGA.BQ.5892.01	TCGA.SX.A7SL.01	TCGA.BQ.7044.01	TCGA.UZ.A9PQ.01	TCGA.B9.A8YH.01	TCGA.A4.A4ZT.01	TCGA.BQ.5893.01	TCGA.P4.A5EB.01	TCGA.Y8.A895.01	TCGA.Y8.A897.01	TCGA.B3.3926.01	TCGA.SX.A71S.01	TCGA.GL.8500.01	TCGA.MH.A55W.01	TCGA.2Z.A9JD.01	TCGA.BQ.7062.01	TCGA.B9.A8YI.01	TCGA.B9.A5W7.01	TCGA.UZ.A9PS.01	TCGA.A4.8311.01	TCGA.UZ.A9PU.01	TCGA.Y8.A894.01	TCGA.A4.A5XZ.01	TCGA.UZ.A9PX.01	TCGA.UZ.A9PR.01	TCGA.2Z.A9J8.01	TCGA.A4.7584.01	TCGA.SX.A7SR.01	TCGA.A4.A5Y1.01	TCGA.5P.A9KA.01	TCGA.A4.8517.01	TCGA.IZ.8196.01	TCGA.5P.A9KH.01	TCGA.A4.7734.01	TCGA.BQ.5879.01	TCGA.BQ.5875.01	TCGA.BQ.7059.01	TCGA.BQ.7061.01	TCGA.BQ.5884.01	TCGA.B3.8121.01	TCGA.BQ.7049.01	TCGA.B3.4104.01	TCGA.BQ.7053.01	TCGA.A4.7997.01	TCGA.B3.3925.01	TCGA.HE.7128.01	TCGA.A4.8630.01	TCGA.B9.7268.01	TCGA.A4.7286.01	TCGA.B9.5155.01	TCGA.Y8.A8S0.01	TCGA.UZ.A9Q1.01	TCGA.A4.8515.01	TCGA.G7.6790.01	TCGA.B3.4103.01	TCGA.G7.6792.01	TCGA.A4.7996.01	TCGA.DZ.6134.01	TCGA.BQ.7056.01	TCGA.GL.6846.01	TCGA.BQ.7060.01	TCGA.BQ.5891.01	TCGA.B9.4117.01	TCGA.HE.7129.01	TCGA.B9.5156.01	TCGA.A4.7288.01	TCGA.EV.5902.01	TCGA.DW.7842.01	TCGA.DZ.6133.01	TCGA.A4.7583.01	TCGA.BQ.7051.01	TCGA.G7.6797.01	TCGA.DZ.6135.01	TCGA.BQ.5878.01
Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	624.007133698353	4.55155256477028	0.13655655069129	33.3308987502171	1.37795087754413e-243	2.38013455078197e-239
MYCBP2|23077	2548.09570215403	1.24747135279125	0.0851519661087615	14.6499418603899	1.34831029337315e-48	1.16446818487172e-44
SLC12A6|9990	1881.36950598961	1.05643989673992	0.0732261062060256	14.427093716653	3.49500730476054e-47	2.01230870583763e-43
ZNF462|58499	1018.44605961817	1.61727033443164	0.113297435906476	14.2745537133484	3.15299790110928e-46	1.36154331864651e-42
SCNM1|79005	965.694227366027	-1.06552464581921	0.0749160142120373	-14.2229222553594	6.60367009325418e-46	2.28130387041559e-42
LDLRAD2|401944	405.794538798644	-2.2000386466875	0.154940303205614	-14.1992664346857	9.25764021958471e-46	2.66512032521478e-42
PDPK1|5170	3234.7178638766	1.11312018806112	0.0786089327286252	14.1602251731854	1.6147591856986e-45	3.98453363065313e-42
SH3D19|152503	2935.35599515315	1.06394179931929	0.0752884783183373	14.131535436547	2.42792204830296e-45	5.24218719254213e-42
DGKH|160851	165.664704354596	1.95331824494968	0.138676755270616	14.085404876527	4.66974772033416e-45	8.96228359703689e-42
SMAD9|4093	364.511820629609	3.04407205763485	0.219532032515647	13.8661862815755	1.01533476589511e-43	1.75378774113063e-40
C6orf125|84300	2750.4444249232	-1.35440947940986	0.0977456728140515	-13.8564648481826	1.16260659353162e-43	1.82560942637015e-40
PARP4|143	6506.84884234086	0.936587531053737	0.0677941746518587	13.8151623773483	2.06488104570961e-43	2.97222419187851e-40
ATXN1L|342371	3625.66926655943	1.08993039399903	0.0790578445111003	13.7864926717802	3.07343063954989e-43	4.08364364899579e-40
PROM2|150696	764.141721564661	-5.16188714539695	0.375877625008251	-13.7328928405452	6.45055997028266e-43	7.95860874047802e-40
MKL2|57496	2318.97144686935	1.11926117938495	0.0816275682810951	13.711803535916	8.62860354373543e-43	9.93612460072947e-40
KRTCAP2|200185	4408.89303616392	-1.27836668307881	0.0933264006945054	-13.6978033393082	1.046423837882e-42	1.12967993448349e-39
RSPH3|83861	529.524338168583	1.07226220423137	0.0784742176996633	13.6638788593616	1.6685380000778e-42	1.69533275737317e-39
RPL39|6170	1074.88999371468	-1.7865966130049	0.131027735217528	-13.6352552384337	2.47124712694885e-42	2.37143620132153e-39
ZNRD1|30834	654.634086947934	-0.977804124585653	0.071789493591514	-13.620434908615	3.02759382619222e-42	2.75240148209569e-39
RPL18|6141	28392.0438597481	-1.24779538246632	0.0919171925460682	-13.5752120784252	5.61808554654461e-42	4.85205958227325e-39
RPP21|79897	785.485002816316	-1.23770064997071	0.0915794195897002	-13.5150523503636	1.27464998743037e-41	1.04842996347071e-38
NENF|29937	3008.94511219962	-1.42501282595245	0.105650243273566	-13.4880221928366	1.839697068613e-41	1.42011099907067e-38
RPL35|11224	19504.368086379	-1.37226376270716	0.101754725532843	-13.485995422043	1.89096005202486e-41	1.42011099907067e-38
CDKL5|6792	150.155888596239	3.14465531412743	0.234292562850737	13.4219169224369	4.49922684505193e-41	3.23813105394092e-38
PFDN5|5204	14122.3575022514	-1.13666391078354	0.0848887888807256	-13.390035666319	6.91475348233121e-41	4.77754147601228e-38
C11orf48|79081	1511.6297820703	-1.10350193679085	0.0829998123289582	-13.2952341195335	2.46699834549778e-40	1.63894086237627e-37
SNRPD2|6633	5649.37540458498	-1.05969566551247	0.0797715194394885	-13.2841354026898	2.86144445839513e-40	1.83058259740219e-37
PSENEN|55851	3098.7201708783	-0.993143870843912	0.0750241073186459	-13.2376632836934	5.31777150975603e-40	3.28049526028628e-37
POLR2F|5435	1583.76747418955	-0.981214443203851	0.074234572339889	-13.2177557204921	6.93009865019204e-40	4.12771013740576e-37
RAB4B|53916	1141.88878204977	-1.10617713756395	0.0838122423410086	-13.1982763694977	8.97655338924607e-40	5.00167763524024e-37
TIAF1|9220	1363.23464408939	-1.70005881087245	0.128793067091639	-13.1999248815375	8.78225862553182e-40	5.00167763524024e-37
FAU|2197	16699.9424434846	-1.1422409812502	0.0868264582837031	-13.1554482795781	1.58341609464499e-39	8.54698318837589e-37
SLC25A28|81894	1342.93744999061	-0.996570236030352	0.0757981560261127	-13.1476844329436	1.75465988775937e-39	9.18431522462654e-37
C19orf43|79002	4030.1316520828	-1.07997602324715	0.0821568349581058	-13.1452973303786	1.81092288828181e-39	9.20002089685048e-37
RPS19|6223	36504.9638106764	-1.36058521430633	0.103610937397348	-13.1316755593908	2.16805652850022e-39	1.06996686905098e-36
PRR24|255783	505.082187553048	-1.51103461076839	0.116109815272171	-13.0138404511832	1.02080061704285e-38	4.89785807171697e-36
BICC1|80114	3754.79894070498	2.39089557297962	0.183864976654947	13.0035399698036	1.16808508882725e-38	5.45306317278733e-36
PFDN6|10471	1602.24162127544	-1.21464470632711	0.0939240063558065	-12.932207147614	2.96192069422834e-38	1.34634884608963e-35
PDPR|55066	2527.15792035657	1.50780189508234	0.116670471173885	12.9235948043367	3.31293963106152e-38	1.46729246788015e-35
THAP3|90326	1010.27024303328	-1.24613636938829	0.0964559368465862	-12.9192293406499	3.5063575825627e-38	1.51413286309014e-35
