Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	627.594179929674	4.5794431448899	0.135618169229463	33.7671800976873	5.98281735198929e-250	1.03341204120911e-245
PROM2|150696	787.706715213977	-5.59042667939158	0.373792841819577	-14.9559490015327	1.42436644714635e-50	1.23015408207795e-46
SLC12A6|9990	1899.7320571406	1.07068894529754	0.0733663210438748	14.5937390626039	3.07852052965912e-48	1.77250950362673e-44
ZNF462|58499	1033.1267179343	1.6373044063517	0.112515651628128	14.5517924187392	5.68925715230172e-48	2.45676346979269e-44
MYCBP2|23077	2565.88039995453	1.23743198201725	0.0857019681605782	14.4387813789609	2.95012035898392e-47	1.01914857921458e-43
SH3D19|152503	2953.71235776078	1.0631544481939	0.0742443533022534	14.319667434717	1.64910472757849e-46	4.74749765991055e-43
DGKH|160851	168.433795974962	1.99015285331303	0.141504854236174	14.0642019954413	6.30298314507553e-45	1.55530611235557e-41
PDPK1|5170	3260.13150886443	1.10838649169298	0.0797348633450283	13.900901628147	6.25484433849251e-44	1.20044362509757e-40
SMAD9|4093	371.64781987187	3.09314450315839	0.22250603575723	13.901395944752	6.21179241808789e-44	1.20044362509757e-40
ATXN1L|342371	3666.45036904982	1.09668848543085	0.0790984163916407	13.8648602015091	1.03427411176501e-43	1.7865016732517e-40
LDLRAD2|401944	410.04029707362	-2.2106673606888	0.159527619999189	-13.8575837883123	1.14462770774976e-43	1.79737767236015e-40
SCNM1|79005	964.873524347813	-1.05949646461083	0.0767197359222982	-13.809959743395	2.2195558975291e-43	3.19486575150169e-40
MKL2|57496	2298.42680457351	1.08813311998302	0.0797132027769232	13.6506009302895	2.00220630906708e-42	2.66031612127044e-39
PARP4|143	6554.69563925941	0.931919312984867	0.0689196976858164	13.5218137089515	1.16273364041551e-41	1.43456415506408e-38
KRTCAP2|200185	4368.49260627505	-1.27906988244776	0.0947336349605215	-13.5017502809936	1.52704657968585e-41	1.75844503806092e-38
C6orf125|84300	2750.49370938788	-1.34049714638499	0.0993800599700179	-13.4885926491633	1.82551947638185e-41	1.97076236972149e-38
NENF|29937	2982.44641464508	-1.43842552248554	0.106798201027675	-13.4686306383831	2.39262220965557e-41	2.29624828398517e-38
RSPH3|83861	533.153663019485	1.0820799809384	0.0803408071289953	13.4686222308049	2.39289463971129e-41	2.29624828398517e-38
RPL18|6141	27881.5108040571	-1.21818866987273	0.0908298440372219	-13.4117666146549	5.1594964989386e-41	4.69052542242982e-38
ZNRD1|30834	654.820116967182	-0.967833631838028	0.072749558269503	-13.3036358551162	2.20480494314986e-40	1.90417978915138e-37
RPP21|79897	765.637895357959	-1.18056529338057	0.0892180550841691	-13.2323585429745	5.7068030915799e-40	4.69398141908855e-37
SNRPD2|6633	5552.04766481601	-1.0237219632513	0.0777902515059259	-13.1600289680683	1.49028722570527e-39	1.17007869316396e-36
PSENEN|55851	3055.16926916599	-0.981367826377422	0.0747989272762876	-13.1200788849886	2.5267179517761e-39	1.89756518178385e-36
RPL39|6170	1063.38400725825	-1.75400139821187	0.133722490888316	-13.11672693621	2.64096941178037e-39	1.90072769373677e-36
PFDN5|5204	14215.3481514551	-1.14511043250924	0.0875297464554196	-13.0825288416946	4.14419850073291e-39	2.86330962812639e-36
CDKL5|6792	152.803423684674	3.14903251029078	0.241107928527691	13.0606758953143	5.52351923252775e-39	3.66952875782507e-36
THAP3|90326	995.765288248548	-1.25706996434245	0.0965187919103739	-13.0240955099164	8.92524144807868e-39	5.70984057528382e-36
C19orf43|79002	4017.42658319628	-1.08702035687193	0.0835235662774059	-13.014534763298	1.01156495464065e-38	6.24027195053856e-36
BICC1|80114	3823.43391479495	2.39843347790156	0.184427520138104	13.0047482941025	1.1497685460483e-38	6.84825934341114e-36
RPL35|11224	19386.2251523762	-1.3487514251654	0.103897731604986	-12.9815290895213	1.5573995416073e-38	8.96698742739428e-36
RAB4B|53916	1145.06864623741	-1.11468675344899	0.0860455562942354	-12.9546115041349	2.21253365622904e-38	1.23280947884014e-35
PDPR|55066	2554.78236288439	1.53121396492358	0.118352259129637	12.9377671046091	2.75521401312298e-38	1.48721286402104e-35
RPS19|6223	35708.0958784649	-1.31459501301433	0.10171323285118	-12.9245229569858	3.27320432562663e-38	1.71327449444087e-35
CLTB|1212	3069.20251989893	-1.10626795655045	0.0856293054388307	-12.9192681276705	3.50459059058218e-38	1.78043509620959e-35
POLR2F|5435	1578.5388031922	-0.975337200249568	0.0756539297300132	-12.8920890657004	4.98742308857302e-38	2.42155948425712e-35
TIAF1|9220	1352.11387873364	-1.6832945838054	0.130577291311304	-12.8911740081384	5.04696007834518e-38	2.42155948425712e-35
TTBK2|146057	231.692364027258	1.79660940539477	0.139497136850848	12.8791848058912	5.8954961713231e-38	2.75224068560173e-35
SLC25A28|81894	1336.29162577453	-0.991056091745026	0.077316556306008	-12.8181613239804	1.29740733179037e-37	5.89739916895134e-35
FAU|2197	16569.7044167494	-1.13064185689769	0.0884217290808677	-12.786923176583	1.94003634565472e-37	8.59237123038308e-35
C11orf48|79081	1509.94939677275	-1.09492900853002	0.0857009456407318	-12.7761601735421	2.22800495656922e-37	9.62108240370505e-35
FAM115A|9747	648.916258447752	2.02569428042894	0.158939059764248	12.7451004393358	3.31963004458322e-37	1.39853584780698e-34
EXOSC1|51013	837.551980495984	-0.841007627943585	0.0663788745000618	-12.6698084937069	8.69263523782552e-37	3.57494972530858e-34
LMTK2|22853	1623.3288480324	2.09071977412808	0.165077231651259	12.6651007726185	9.23017613449275e-37	3.70774028769984e-34
RPS20|6224	37176.296067912	-1.20573961403156	0.0952480457544149	-12.6589433355977	9.98340426588872e-37	3.91916686101581e-34
PRR24|255783	504.564473916279	-1.51197537419168	0.119531755420671	-12.6491522597534	1.13088460698126e-36	4.34083773697494e-34
SPTLC2|9517	3607.57773356527	1.28851694442093	0.101903170821775	12.6445225799156	1.19950935951589e-36	4.50415764498217e-34
DRAP1|10589	3052.53654186382	-1.0448154815067	0.0828470002844578	-12.6113857824579	1.8275106239449e-36	6.71629595902134e-34
TRIM56|81844	876.070541611924	1.66034601116052	0.131754950749903	12.6017732290924	2.0645026296746e-36	7.42919873382695e-34
CHD9|80205	2388.16223601301	1.1001473018588	0.0873260940236728	12.5981508065684	2.16152871179251e-36	7.61960927322287e-34
LSM10|84967	957.444100502205	-0.911943783461275	0.0724221842072027	-12.5920502597956	2.33527847306104e-36	8.06745301303666e-34
EMILIN3|90187	66.9524364465682	-3.74715848618237	0.298677038297573	-12.5458539013939	4.1887454527241e-36	1.41867059225301e-33
RPL24|6152	20688.4956578949	-1.11997412928096	0.0895855862477862	-12.5017223885012	7.30511834704513e-36	2.4265636386252e-33
RPL28|6158	32395.4054654668	-1.30297129753577	0.10432623891977	-12.4893920362431	8.53029883143753e-36	2.78007267387586e-33
C11orf10|746	2530.94938429297	-0.901266010544069	0.0723983806258385	-12.4487040007413	1.42134386603487e-35	4.54645788852227e-33
ATF4|468	8930.27356947856	-0.992669002471969	0.079761725854274	-12.4454303344137	1.48084085212057e-35	4.65064800703248e-33
TAF10|6881	2892.0456884373	-1.14671022401711	0.0921536780752094	-12.4434558442827	1.51791575237085e-35	4.68195692691103e-33
TAOK1|57551	758.421313931074	2.39176706014755	0.192399256744644	12.4312697492483	1.7680346876468e-35	5.3577654666181e-33
S100A13|6284	4599.24090806364	-1.3041832122371	0.105167029388138	-12.4010654273001	2.57871854099984e-35	7.67969057908453e-33
MYO9A|4649	1311.5391066951	2.10069115465986	0.169460262217127	12.3963643580834	2.73451525096368e-35	8.00564100506706e-33
LIN37|55957	340.945886974182	-1.05369065852974	0.0850690276351421	-12.3863018988412	3.10012760402603e-35	8.92475068405693e-33
PFDN6|10471	1598.11642183925	-1.19335660473598	0.09642439701969	-12.376085737848	3.52100425189688e-35	9.97021417098603e-33
GLUD2|2747	1411.83972589709	1.65352122044212	0.133828426561861	12.3555306067788	4.54745733174992e-35	1.26690694340833e-32
UBE2M|9040	2646.04314535391	-0.805067976592736	0.0652485106502757	-12.3384881673055	5.62012640869073e-35	1.54089592789389e-32
UBXN7|26043	475.388057577058	1.68545009942405	0.13662424313455	12.3363911173816	5.76839681909772e-35	1.5568362227543e-32
TRAPPC5|126003	2226.13971042611	-1.37043532224242	0.111262644801584	-12.3171197726455	7.32644783429513e-35	1.94691897602738e-32
NAA10|8260	2145.92431638821	-1.07361813828146	0.0872551519123313	-12.3043524050038	8.58220027064633e-35	2.24606583749809e-32
C12orf57|113246	2873.60110708345	-1.23492464142485	0.100517633151355	-12.2856518076321	1.08169647315272e-34	2.78867808668163e-32
NUP160|23279	2183.45591997363	0.834081599037302	0.0679888263195919	12.2679217187332	1.34665639617665e-34	3.420705283994e-32
POLR2I|5438	1531.01840918877	-1.06431128489316	0.0867914735404772	-12.2628553413924	1.43357827475197e-34	3.58872428112909e-32
RNF25|64320	1012.78156855353	-0.776183771348296	0.0633594125509361	-12.2504887608341	1.66986484515575e-34	4.12051078148217e-32
PLEKHA7|144100	2616.90480996171	1.44137224327104	0.117696582793182	12.2465088540748	1.75384638707296e-34	4.26678713294525e-32
ATF7IP|55729	1520.65436035215	1.23872852916681	0.101363703716416	12.2206320778528	2.41201992052845e-34	5.78650278990109e-32
ARHGAP42|143872	575.662444908154	1.51298565365952	0.124384930511696	12.1637375800701	4.84883504427011e-34	1.14731407835175e-31
PCGF1|84759	506.277976522934	-0.739664707173556	0.0608220915207661	-12.1611192361088	5.00679687556266e-34	1.16868111394046e-31
GEMIN7|79760	584.850386564008	-0.919438522656191	0.0756744984535058	-12.1499123409598	5.74271352428197e-34	1.32258520939897e-31
SHFM1|7979	4431.75006774372	-1.22561653704969	0.10105920780961	-12.1277077429567	7.53285736448255e-34	1.7120400691672e-31
