Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AR|367	172.166261763879	9.34496982698988	0.297954421252765	31.3637562003559	6.31747912933127e-216	1.02463193998624e-211
FAM171A1|221061	372.139008970146	5.40877922976129	0.38984865568195	13.8740486876885	9.09923059007794e-44	7.37902104702371e-40
GABRE|2564	596.231785448259	7.7881808977355	0.571048898642331	13.6383782829315	2.36767374521923e-42	1.28004334912369e-38
CLIP3|25999	839.474594392343	4.2422335765745	0.342252661263265	12.3950345949577	2.78025721919732e-35	1.12732479595403e-31
LOXL4|84171	213.698252989788	3.43758961570615	0.30459598898899	11.285735006282	1.54346001934618e-29	5.00667561075513e-26
MEG3|55384	853.173319554673	7.1515480150027	0.661936531059451	10.8039784472333	3.29605292994135e-27	8.90978041178646e-24
LRP4|4038	142.718270224138	3.80735812832936	0.353869486789154	10.7592156726355	5.3624615272792e-27	1.24248233587059e-23
DLK1|8788	131.950063286333	6.9742755029279	0.651551360442975	10.7041070379874	9.73648271614812e-27	1.97395016466508e-23
SLC16A2|6567	79.4165281333284	4.3753446305421	0.413819538499404	10.5730740660724	3.97255420842267e-26	7.15898407848969e-23
CACNA1H|8912	216.670729745777	4.58091105719608	0.434547357284838	10.5417993698518	5.54280845991547e-26	8.97523926240928e-23
CCL23|6368	124.664073459741	-4.29943000184108	0.408187151365819	-10.5329871051917	6.0871590040386e-26	8.97523926240928e-23
CACNG4|27092	58.1652995492124	-4.53684975859291	0.436914817449416	-10.3838313039547	2.93744808226e-25	3.97020587051458e-22
ANXA8|653145	453.644824537474	5.95376885730105	0.579255613270184	10.2783101637791	8.82614735614931e-25	1.10116372284143e-21
COL2A1|1280	114.005255271093	5.63079215398768	0.551421483191444	10.2114123689896	1.76279948726798e-24	2.04220320599996e-21
HOXB9|3219	123.018437818421	-7.10631848187247	0.697648374277674	-10.1861034066483	2.28749914586493e-24	2.47339657645222e-21
IGDCC4|57722	58.0327654444437	4.37349564880395	0.432832556933924	10.1043592464132	5.28398492550664e-24	5.35630946917451e-21
FGF13|2258	72.9017508208587	6.25304651323902	0.624434201171874	10.0139398218482	1.32373502565656e-23	1.26292108124257e-20
SCN3A|6328	388.978833319554	4.67702953433635	0.473873085602673	9.86979357223482	5.62803123747839e-23	5.07116881337011e-20
ANXA8L2|244	98.4407170797999	6.238717643827	0.646311542480247	9.65280245481253	4.78303968827265e-22	4.08295372126811e-19
HOXB8|3218	48.6869905253324	-6.80275405729311	0.706675620648773	-9.62641678659829	6.18486417391714e-22	5.0156156018381e-19
FLT4|2324	340.311047604181	3.70220957049933	0.385563143479443	9.60208368748484	7.83443276577177e-22	6.0507935727644e-19
EFNB3|1949	23.7271065866168	4.62158693212084	0.490556146325354	9.42111716821839	4.46313712603105e-21	3.29034641123171e-18
SPARC|6678	3040.64295292869	2.49447458741079	0.266078491911143	9.37495762808147	6.92035603321333e-21	4.88005454359509e-18
PCSK6|5046	91.1459913736358	2.90483616681411	0.318019594747066	9.13414209311361	6.59274082782959e-20	4.45531931194034e-17
AK5|26289	271.73758655473	2.93208240712319	0.326061836548859	8.99241210856588	2.41862902774199e-19	1.56910976803789e-16
MFAP4|4239	424.745972426383	2.63254868566583	0.29742992700647	8.85098790213052	8.67479628074618e-19	5.41140464913163e-16
SOSTDC1|25928	28.3750395697246	4.11395462116949	0.465405433626857	8.83950707044793	9.61418264790655e-19	5.77527512468134e-16
LAMC3|10319	71.784558317649	3.6339231195854	0.413665425957978	8.78469142343685	1.5679435773667e-18	9.08231317189661e-16
PTPRG|5793	83.4182600058694	3.84409324600934	0.44952097045521	8.55153262842577	1.21464728024685e-17	6.79322904769782e-15
SSTR2|6752	38.9317341051141	2.87032488509032	0.337485166869388	8.50504012284834	1.81532801469094e-17	9.81426835675747e-15
SYDE1|85360	54.8970909124136	2.75192735550693	0.325985918497193	8.44185959992816	3.12328376608959e-17	1.63408191620023e-14
FBLN1|2192	143.741264569418	4.04045028153681	0.480920321147556	8.4014962642785	4.40825203151156e-17	2.23429499059644e-14
C10orf140|387640	265.40263853083	-2.97847333281679	0.354958567796569	-8.39104504873872	4.81839644384217e-17	2.3681688461417e-14
NRXN3|9369	41.4646486011963	3.7118787608902	0.443441292430187	8.37062047277561	5.73156309834482e-17	2.73412417329572e-14
MMP14|4323	560.568516106703	3.05593727864846	0.3685776002134	8.29116386041669	1.12145663404099e-16	5.19683004214593e-14
C2|717	606.415408153886	-3.62416399703803	0.437981433606001	-8.27469778159194	1.28781839792289e-16	5.80197960997537e-14
